id,name,brewery_type,address_1,address_2,city,state_province,postal_code,country,phone,website_url,longitude,latitude
,Carlton & United Breweries,large,1 Southampton Crescent,,Abbotsford,VIC,3067,Australia,,,145.0046161,-37.8085828
,Cascade Brewery,large,140 Cascade Road,,South Hobart,TAS,7004,Australia,,http://www.cascadebrewerybar.com.au/,147.2934417,-42.8960609
,Matilda Bay Brewing Company,large,50 Tope Street,,South Melbourne,VIC,3205,Australia,+61 3 8652 8325,https://brewmanity.com.au/,144.9629367,-37.8305483
,Balter Brewing Company,large,14 Traders Way,,Currumbin Waters,QLD,4223,Australia,+61 7 5525 6916,https://www.balter.com.au/tap-room/about?utm_source=google&utm_medium=organic&utm_campaign=gmb,153.470668,-28.142652
,4 Pines,large,,,Richmond,VIC,3121,Australia,,,144.9901574,-37.824664
,Pirate Life Brewing,large,18 Baker Street,,Port Adelaide,SA,5015,Australia,+61 8 8317 2111,https://piratelife.com.au/,138.5096616,-34.8445271
,Mountain Goat Beer,large,80 North Street,,Richmond,VIC,3121,Australia,+61 3 9428 1180,https://www.goatbeer.com.au/,145.0128053,-37.8167663
,Green Beacon Brewing Co.,large,26 Helen Street,,Teneriffe,QLD,4005,Australia,+61 460 408 697,http://www.greenbeacon.com.au/,153.046519,-27.4528282
,J. Boag & Sons (orig. Esk Brewery),large,Esplanade,,Launceston,TAS,7250,Australia,,,147.1383758,-41.4317228
,Hahn Brewery,large,107-109 Whitehall Street,Unit 6,Footscray,VIC,3011,Australia,+61 450 973 644,https://hopnation.com.au/pages/footscray-taproom,144.9040948,-37.8100439
,Malt Shovel Brewery,large,7-21 Bellerine Street,,Geelong,VIC,3220,Australia,+61 3 5222 8756,https://maltshoveltaphouse.com.au/our-venues/geelong/,144.3661784,-38.1483781
,South Australian Brewing Company,large,11 Jay Drive,1,Willunga,SA,5172,Australia,+61 448 012 669,http://www.southcoastbrewingcompany.com.au/,138.5422447,-35.2687754
,Swan Brewery,large,518 Great Northern Highway,,Middle Swan,WA,6056,Australia,+61 8 9250 6035,https://swanvalleybrewery.com.au/,116.0155814,-31.8480871
,Tooheys,large,1320 Malvern Road,,Malvern,VIC,3144,Australia,+61 3 9277 5800,,145.0395845,-37.8531494
,Little Creatures Brewery,large,40 Mews Road,,Fremantle,WA,6160,Australia,+61 8 6215 1000,https://littlecreatures.com.au/locations/fremantle,115.7447222,-32.0591667
,White Rabbit Brewery,large,221 Swanston Street,,Geelong,VIC,3220,Australia,+61 3 5202 4009,https://whiterabbitbeer.com.au/barrel-hall/,144.3619537,-38.1652412
,Stone & Wood Brewing Co.,large,35 Kite Crescent,,South Murwillumbah,NSW,2484,Australia,+61 2 6685 5173,https://stoneandwood.com.au/,153.4223498,-28.342698
,Two Birds Brewing,large,136 Hall Street,,Spotswood,VIC,3015,Australia,+61 3 9762 0000,,144.8852885,-37.8347067
