obdb_id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
Banff-Ave-Brewing-Company,Banff Ave Brewing Company,,110 Banff Avenue,,,Banff,,Alberta,,http://www.banffavebrewingco.ca/,(403) 762-1003,,,Canada,,,
948 Brewing Company,948 Brewing Company,,541 Kingsview Way SE,,,Airdrie,,Alberta,,https://948brewing.ca/,(403) 948-2337,,,Canada,,,
Balzac Craft Brewing Company,Balzac Craft Brewing Company,,401 Coopers Blvd,,,Airdrie,,Alberta,,http://www.balzaccraftbrewing.com,(587) 254-1957,,,Canada,,,
Federation of Beer,Federation of Beer,,720 Willow Brook Road NW,,,Airdrie,,Alberta,,http://www.federationofbeer.com/,(406) 290-1715,,,Canada,,,
Fitzsimmons Brewing Co.,Fitzsimmons Brewing Co.,,220 East Lake Blvd NE,,,Airdrie,,Alberta,,https://www.fitzsimmonsbrewing.com,(587) 892-2739,,,Canada,,,
Hobo Brewing and Malt,Hobo Brewing and Malt,,P.O. Box 477,,,Beiseker,,Alberta,,http://www.hobomalt.ca,(403) 702-2817,,,Canada,,,
Hard Knox Brewery,Hard Knox Brewery,,445 1 Avenue NE,,,Black Diamond,,Alberta,,http://www.hardknoxbrewery.com,(403) 614-9229,,,Canada,,,
The Pass Beer Company,The Pass Beer Company,,10801 20 Ave,,,Blairmore,,Alberta,,https://passbeer.ca/,(403) 753-1100,,,Canada,,,
Beaver River Brew Co.,Beaver River Brew Co.,,P.O. Box 5050,,,Bonnyville,,Alberta,,https://beaverriverbrewco.com,,,,Canada,,,
The Bragg Creek Brewing Company,The Bragg Creek Brewing Company,,,,,Bragg Creek,,Alberta,,http://www.braggcreekbrewing.ca/,(403) 836-7629,,,Canada,,,
Newell Brewing Company,Newell Brewing Company,,328 7 Street E,,,Brooks,,Alberta,,,(403) 793-2378,,,Canada,,,
Piston Broke Brewing,Piston Broke Brewing,,350 9 Street E,,,Brooks,,Alberta,,https://www.pistonbrokebrewing.com,(403) 501-4818,,,Canada,,,
Annex Ale Project,Annex Ale Project,,4323 1 Street SE,,,Calgary,,Alberta,,http://www.annexales.com,(403) 475-4412,,,Canada,,,
Bam Brewing Company,Bam Brewing Company,,56th Avenue,,,Calgary,,Alberta,,https://www.facebook.com/BamBrewing/,(403) 969-6873,,,Canada,,,
Banded Peak Brewing Company,Banded Peak Brewing Company,,519 34th Avenue SE,,,Calgary,,Alberta,,http://bandedpeakbrewing.com,(403) 283 5133,,,Canada,,,
Best of Kin,Best of Kin,,,,,Calgary,,Alberta,,https://www.bestofkin.ca/,(403) 671-0454,,,Canada,,,
Big Beaver Brewing,Big Beaver Brewing,,,,,Calgary,,Alberta,,https://www.bigbeaverbrewing.ca,(403) 561-9309,,,Canada,,,
Big Rock Brewery,Big Rock Brewery,,5555 76th Avenue SE,,,Calgary,,Alberta,,http://bigrockbeer.com/,(403) 720-3239,,,Canada,,,
Bitter Sisters Brewing Co.,Bitter Sisters Brewing Co.,,510 Heritage Drive SW,,,Calgary,,Alberta,,https://bittersisters.co,(403) 287-8811,,,Canada,,,
Apex Predator Brewing,Apex Predator Brewing,,,,,Yellowhead County,,Alberta,,http://www.apexpredatorbrewing.com/,(780) 517-7008,,,Canada,,,
Boiling Oar Brewing Company,Boiling Oar Brewing Company,,7930 51 Street SE,,,Calgary,,Alberta,,http://www.boilingoar.com/,(403) 903-5003,,,Canada,,,
Born Colorado Brewing,Born Colorado Brewing,,414 36 Ave SE,,,Calgary,,Alberta,,http://borncoloradobrewing.com,(403) 247-0295,,,Canada,,,
Bow River Brewing,Bow River Brewing,,5769 4th Street SE,,,Calgary,,Alberta,,http://www.bowriverbrewing.com,(403) 917-1088,,,Canada,,,
Brewsters Brewing Company,Brewsters Brewing Company,,834 11th Avenue SW,,,Calgary,,Alberta,,http://brewsters.ca/,(403) 265-2739,,,Canada,,,
Buffalo 9 Brewing Company,Buffalo 9 Brewing Company,,,,,Calgary,,Alberta,,http://www.buffalo9brewing.com,,,,Canada,,,
Cabin Brewing Company,Cabin Brewing Company,,505 36 Avenue SE,,,Calgary,,Alberta,,https://www.cabinbrewing.ca,(403) 244-3331,,,Canada,,,
Caravel Craft Brewery,Caravel Craft Brewery,,10221 15th Street NE,,,Calgary,,Alberta,,http://www.caravelbrewery.ca,(403) 971-4612,,,Canada,,,
Citizen Brewing Company,Citizen Brewing Company,,227 35th Avenue NE,,,Calgary,,Alberta,,http://citizenbrewingcompany.com/,(403) 474-4677,,,Canada,,,
CO-OP Brewery,CO-OP Brewery,,2570 Southland Drive SW,,,Calgary,,Alberta,,,,,,Canada,,,
Cold Garden Beverage Company,Cold Garden Beverage Company,,1100 11 Street SE,,,Calgary,,Alberta,,https://www.coldgarden.ca,(403) 764-2653,,,Canada,,,
Common Crown Brewing Co.,Common Crown Brewing Co.,,943 28th Street NE,,,Calgary,,Alberta,,http://www.commoncrown.ca/,(587) 356-4275,,,Canada,,,
Delta Brewery,Delta Brewery,,4925 Barlow Trail NW,,,Calgary,,Alberta,,https://deltabrewstillery.ca/,(403) 619-1221,,,Canada,,,
Eighty-Eight Brewing Co.,Eighty-Eight Brewing Co.,,2600 Portland Street SE,,,Calgary,,Alberta,,https://www.88brewing.ca,(403) 452-5880,,,Canada,,,
Elite Brewing & Cidery,Elite Brewing & Cidery,,1319 Edmonton Trail NE,,,Calgary,,Alberta,,https://www.elitebrewing.com,,,,Canada,,,
Evil Corporation Brewing,Evil Corporation Brewing,,,,,Calgary,,Alberta,,https://www.evilcorpbrewing.com,,,,Canada,,,
Freehold Brewing Co.,Freehold Brewing Co.,,,,,Calgary,,Alberta,,https://www.freeholdbrewing.ca,,,,Canada,,,
Goat Locker Brewing Company,Goat Locker Brewing Company,,1006 11 Ave SW,,,Calgary,,Alberta,,http://goatlockerbeer.com/,(403) 831-7067,,,Canada,,,
Good Mood Brewery,Good Mood Brewery,,4416 64th Avenue SE,,,Calgary,,Alberta,,http://goodmoodbrewery.com/,(403) 452-1806,,,Canada,,,
Heathen's Brewing,Heathen's Brewing,,3300 14th Avenue NE,,,Calgary,,Alberta,,https://heathensbrewing.ca,,,,Canada,,,
High Line Brewing,High Line Brewing,,1318 9th Avenue SE,,,Calgary,,Alberta,,http://highlinebrewing.com/,(403) 827-6985,,,Canada,,,
Inner City Brewing,Inner City Brewing,,820 11 Avenue SW,,,Calgary,,Alberta,,https://www.innercitybrewing.ca,(587) 880-8600,,,Canada,,,
Into The Wild Brewing Company,Into The Wild Brewing Company,,,,,Calgary,,Alberta,,,,,,Canada,,,
Last Best Brewing and Distilling,Last Best Brewing and Distilling,,607 11 Avenue SW,,,Calgary,,Alberta,,http://www.lastbestbrewing.com/,(587) 353-7387,,,Canada,,,
Last Spike Brewery,Last Spike Brewery,,5840 76th Avenue SE,,,Calgary,,Alberta,,http://www.lastspikebrewery.com/,(587) 578-4447,,,Canada,,,
Legend 7 Brewing,Legend 7 Brewing,,4025 9 Street SE,,,Calgary,,Alberta,,https://www.legend7brewing.com,(587) 355 3105,,,Canada,,,
Long Hop Brewing Co,Long Hop Brewing Co,,,,,Calgary,,Alberta,,https://longhopbrewing.com,,,,Canada,,,
Marda Loop Brewing,Marda Loop Brewing,,3523 18th Street SW,,,Calgary,,Alberta,,https://www.mardaloopbrewing.com,(403) 585-8087,,,Canada,,,
Minhas Micro Brewery,Minhas Micro Brewery,,1314 44 Avenue NE,,,Calgary,,Alberta,,http://minhasbrewery.com/minhas-micro-brewery-calgary,(403) 695-3701,,,Canada,,,
New Era Brewing,New Era Brewing,,,,,Calgary,,Alberta,,https://www.newerabrewing.co,,,,Canada,,,
New Level Brewing,New Level Brewing,,7005 Fairmount Drive SE,,,Calgary,,Alberta,,http://newlevelbrewing.ca,(403) 764-4359,,,Canada,,,
O.T. Brewing Company,O.T. Brewing Company,,1155E 44 Avenue SE,,,Calgary,,Alberta,,http://otbrewingcompany.com,(403) 816-4575,,,Canada,,,
