id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
63969ec8-b557-4c71-b993-ad00c99ab70e,360 Degree Brewing Company,micro,Bluebell Business Estate,,,Sheffield Park,East Sussex,TN22 3HQ,England,1825722375,https://www.360degreebrewing.com/,-0.00086,50.993912
98b6e0ab-22ba-4864-80b0-a967ca61e536,Abyss Brewing Ltd,micro,Palehouse Common,,,Uckfield,East Sussex,TN22 5RB,England,1825840561,https://abyssbrewing.co.uk/,0.14604,50.945743
ef48afa5-9ac1-439c-851d-0fb04b43786f,Battle Brewery,micro,North Trade Road,,,Battle,East Sussex,TN33 0HN,England,1424772838,http://battlebrewery.co.uk/,0.457425,50.916346
0b77f859-3790-499b-9d8a-13cb628363d8,Bedlam Brewery Ltd,micro,Plumpton Green,,,Lewes,East Sussex,BN7 3DH,England,1273978015,https://bedlambrewery.co.uk/,-0.068698,50.948125
bb4ba62d-f718-46d1-929b-3a8b4e96b80c,Beer Me Brewery,brewpub,Grand Parade,,,Eastbourne,East Sussex,BN21 3YN,England,1323729967,https://beermebrewery.co.uk/,0.291598,50.767006
639813cf-a5a1-4209-8a21-6bb8fc99589f,Brewing Brothers Ltd,brewpub,Queens Road,,,Hastings,East Sussex,TN34 1RL,England,7985505810,https://brewingbrothers.org/,0.584234,50.860013
21236bbe-320b-4986-9212-e70f63425fd3,Brighton Bier Brewery,micro,Roedean Road,,,Brighton,East Sussex,BN2 5RU,England,1273567374,https://www.brightonbier.com/,-0.106288,50.817144
84574ef8-dd32-4f5d-836c-bb67a35584a5,BRZN,micro,New England Road,,,Brighton,East Sussex,BN1 4ZR,England,,,-0.140921,50.833413
1b59fbb0-0fd2-4daa-9041-5799da9320db,Burning Sky Brewery Ltd,micro,Place Barn,,,Lewes,East Sussex,BN8 6LP,England,1273858080,https://www.burningskybeer.com/,0.087961,50.844723
4236bf9c-5c3a-4486-9922-47329c33df32,Franklin's Brewing Co,taproom,Highfield Farm,,,Lewes,East Sussex,BN8 5AR,England,1273814447,https://www.franklinsbrewery.co.uk/,0.089645,50.903057
e2bf66f2-075f-4570-b375-a46f25cae206,Furnace Brook Brewery,micro,Trolliloes Lane,,,Hailshame,East Sussex,BN27 4QR,England,1435830835,http://www.quaffale.org.uk/php/brewery/3553,0.318049,50.912028
0a7e88a9-f4c1-4977-af19-9b5b18431889,Good Things Brewing Co Ltd,micro,Sandhill Lane,,,Tunbridge Wells,East Sussex,TN3 9LP,England,1892249012,https://goodthingsbrewing.co/,0.204763,51.075834
0aad28bf-9036-4880-9613-f8a7dcaee10a,Gun Brewery Ltd,micro,Gun Hill,,,Heathfield,East Sussex,TN21 0JY,England,1323700200,https://www.gunbrewery.co.uk/,0.222494,50.899245
