id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
1648-brewing-lewes,The 1648 Brewing Co Ltd,micro,Mill Lane,East Hoathly,,Lewes,,East Sussex,BN8 6QB,http://www.1648brewing.co.uk/,1825840830,30/12/2020 09:24,30/12/2020 09:24,England,-0.02828,50.93968,
hand-brew-brighton,Hand Brew Co Ltd,brewpub,Upper St. James Street,,,Brighton,,East Sussex,BN2 1JN,http://www.handbrewpub.com/,1273699595,30/12/2020 09:24,30/12/2020 09:24,England,-0.12867,50.81986,
360-degree-sheffield-park,360 Degree Brewing Company,micro,Bluebell Business Estate,,,Sheffield Park,,East Sussex,TN22 3HQ,https://www.360degreebrewing.com/,1825722375,30/12/2020 09:24,30/12/2020 09:24,England,-0.00086,50.993912,
harveys-lewes,Harveys & Son,large,Cliffe High Street,,,Lewes,,East Sussex,BN7 2AH,https://www.harveys.org.uk/,1273480209,30/12/2020 09:24,30/12/2020 09:24,England,0.01749,50.874229,
81-artisan-chichester,81 Artisan,micro,Chilgrove Road,Lavant,,Chichester,,West Sussex,PO18 9HP,https://81artisan.com/,7990035736,30/12/2020 09:24,30/12/2020 09:24,England,-0.81111,50.89212,
heathen-brewers-haywards-heath,Heathen Brewers Partnership,micro,The Broadway,,,Haywards Heath,,West Sussex,RH16 3AS,http://www.heathenbrewers.co.uk/,1444456217,30/12/2020 09:51,30/12/2020 09:51,England,-0.105976,51.000799,
abyss-brewing-uckfield,Abyss Brewing Ltd,micro,Palehouse Common,,,Uckfield,,East Sussex,TN22 5RB,https://abyssbrewing.co.uk/,1825840561,30/12/2020 09:51,30/12/2020 09:51,England,0.14604,50.945743,
hepworth-pulborough,Hepworth & Company Brewing Ltd,micro,Stane Street,,,Pulborough,,West Sussex,RH20 1DJ,https://hepworthbrewery.co.uk/,1403269696,30/12/2020 09:51,30/12/2020 09:51,England,-0.478064,50.989042,
adur-brewery-steyning,Adur Brewery,micro,Mouse Lane,,,Steyning,,West Sussex,BN44 3DG,https://www.adurbrewery.co.uk/,1903867614,30/12/2020 09:51,30/12/2020 09:51,England,-0.340173,50.893624,
high-weald-brewery-hartfield,High Weald Brewery,micro,Highgate Road,,,Forest Row,,East Sussex,TN7 4LA,https://www.highwealdbrewery.co.uk/,7836291430,30/12/2020 09:51,30/12/2020 09:51,England,0.032359,51.089706,
arundel-brewery-arundel,Arundel Brewery Ltd,brewpub,Lyminster Road,,,Arundel,,West Sussex,BN17 7QL,https://www.arundelbrewery.co.uk/,1903733111,30/12/2020 10:45,30/12/2020 10:45,England,-0.534301,50.839971,
hurst-brewery-hassocks,Hurst Brewery,brewpub,College Lane,,,Hassocks,,West Sussex,BN6 9JT,http://www.hurstbrewery.com/,7866438953,30/12/2020 10:45,30/12/2020 10:45,England,-0.161461,50.941632,
brzn-brighton,BRZN,micro,New England Road,,,Brighton,,East Sussex,BN1 4ZR,,,30/12/2020 10:45,30/12/2020 10:45,England,-0.140921,50.833413,
kiln-brewery-east-grinstead,The Kiln Brewery,micro,Selsfield Road,,,East Grinstead,,West Sussex,RH19 4QS,https://www.thekilnbrewery.co.uk/,7800556729,30/12/2020 12:31,30/12/2020 12:31,England,-0.070719,51.079995,
battle-brewery-battle,Battle Brewery,micro,North Trade Road,,,Battle,,East Sussex,TN33 0HN,http://battlebrewery.co.uk/,1424772838,30/12/2020 12:31,30/12/2020 12:31,England,0.457425,50.916346,
kissingate-brewery-horsham,Kissingate Brewery,taproom,Church Lane,,,Horsham,,West Sussex,RH13 6LU,http://www.kissingate.co.uk/,1403891335,30/12/2020 12:31,30/12/2020 12:31,England,-0.26049,51.041848,
break-brewery-lewes,The Beak Brewery Limited,taproom,South Street,,,Lewes,,East Sussex,BN8 6JL,https://beakbrewery.com/,1273473094,30/12/2020 12:31,30/12/2020 12:31,England,0.024917,50.868313,
laines-bew-hub-pulborough,Laines Brew Hub,micro,Stane Street,,,Pulborough,,West Sussex,RH20 1DJ,http://laine.beer/,1273550000,30/12/2020 12:31,30/12/2020 12:31,England,-0.478064,50.989042,
bedlam-brewery-lewes,Bedlam Brewery Ltd,micro,Plumpton Green,,,Lewes,,East Sussex,BN7 3DH,https://bedlambrewery.co.uk/,1273978015,30/12/2020 12:31,30/12/2020 12:31,England,-0.068698,50.948125,
langham-brewery-petworth,The Langham Brewery llp,micro,Langham Lane,,,Petworth,,West Sussex,GU28 9BU,https://langhambrewery.co.uk/,1798860861,30/12/2020 12:31,30/12/2020 12:31,England,-0.679379,50.994711,
beer-me-brewery-eastbourne,Beer Me Brewery,brewpub,Grand Parade,,,Eastbourne,,East Sussex,BN21 3YN,https://beermebrewery.co.uk/,1323729967,30/12/2020 12:31,30/12/2020 12:31,England,0.291598,50.767006,
larrikin-beer-hove,Larrikin Beer,brewpub,Belfast Street,,,Hove,,East Sussex,BN3 3YS,https://www.urchinpub.co.uk/,1273241881,30/12/2020 12:31,30/12/2020 12:31,England,-0.175401,50.830522,
bestens-brewery-horsham,Bestens Brewery Ltd,taproom,Church Lane,,,Horsham,,West Sussex,RH13 6LU,https://www.bestensbrewery.co.uk/,1403892556,30/12/2020 12:59,30/12/2020 12:59,England,-0.26049,51.041848,
listers-brewery-worthing,Lister's Brewery Limited,micro,Michelgrove Lane,,,Worthing,,West Sussex,BN13 3XW,http://www.listersbrewery.com/,1903885950,30/12/2020 12:59,30/12/2020 12:59,England,-0.478855,50.872653,
brew-studio-lancing,Brew Studio,micro,Meadowview Road,,,Lancing,,West Sussex,BN15 0HU,https://www.brewstudio.co.uk/,7980978350,30/12/2020 12:59,30/12/2020 12:59,England,-0.330956,50.838777,
long-man-brewery-polegate,The Long Man Brewery,micro,Church Farm,,,Polegate,,East Sussex,BN26 5RA,https://www.longmanbrewery.com/,1323871850,30/12/2020 12:59,30/12/2020 12:59,England,0.160243,50.799904,
brewhouse-kitchen-horsham,Brewhouse & Kitchen,brewpub,East Street,,,Horsham,,West Sussex,RH12 1HL,https://www.brewhouseandkitchen.com/,2073543761,30/12/2020 12:59,30/12/2020 12:59,England,-0.327295,51.061642,
loud-shirt-brewing-brighton,Loud Shirt Brewing Co,micro,Roedean Road,,,Brighton,,East Sussex,BN2 5RU,https://loudshirtbeer.co.uk/,1273087077,30/12/2020 12:59,30/12/2020 12:59,England,-0.106288,50.817144,
brewing-brothers-hastings,Brewing Brothers Ltd,brewpub,Queens Road,,,Hastings,,East Sussex,TN34 1RL,https://brewingbrothers.org/,7985505810,30/12/2020 12:59,30/12/2020 12:59,England,0.584234,50.860013,
missing-link-brewery-east-grinstead,Missing Link Brewery Ltd,taproom,Selsfield Road,,,East Grinstead,,West Sussex,RH16 4QS,https://missinglinkbrewing.com/,7515336785,30/12/2020 12:59,30/12/2020 12:59,England,-0.070719,51.079995,
brighton-bier-brewery-brighton,Brighton Bier Brewery,micro,Roedean Road,,,Brighton,,East Sussex,BN2 5RU,https://www.brightonbier.com/,1273567374,30/12/2020 12:59,30/12/2020 12:59,England,-0.106288,50.817144,
north-laine-brewhouse-brighton,North Laine Brewhouse,brewpub,Gloucester Place,,,Brighton,,East Sussex,BN1 4AA,https://www.northlaine.pub/,1273683666,30/12/2020 12:59,30/12/2020 12:59,England,-0.13588,50.826276,
brolly-brewing-billinghurst,Brolly Brewing,taproom,Fittleworth Road,,,Billinghurst,,West Sussex,RH14 0ES,https://www.brollybrewing.co.uk/,7720847017,30/12/2020 13:19,30/12/2020 13:19,England,-0.521971,51.010214,
burning-sky-brewery-lewes,Burning Sky Brewery Ltd,micro,Place Barn,,,Lewes,,East Sussex,BN8 6LP,https://www.burningskybeer.com/,1273858080,30/12/2020 13:19,30/12/2020 13:19,England,0.087961,50.844723,
old-tree-brewery-brighton,Old Tree Brewery,micro,Richmond Place,,,Brighton,,East Sussex,BN2 9NA,https://oldtree.house/,7413064346,30/12/2020 13:19,30/12/2020 13:19,England,-0.134261,50.828046,
chapeau-brewing-horsham,Chapeau Brewing Co,micro,Redkiln Close,,,Horsham,,West Sussex,RH13 5QL,https://www.chapeaubrewing.com/,1403252459,30/12/2020 13:19,30/12/2020 13:19,England,-0.30833,51.070596,
pin-up-beers-brighton,Pin-up Beers Ltd,micro,Manor Hall Road,,,Brighton,,East Sussex,BN42 4NH,https://www.pinupbrewingco.com/,1273411127,30/12/2020 13:19,30/12/2020 13:19,England,-0.220415,50.835048,
