id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
,Ant Brew,brewpub,Mallaskatu 1,,,Lahti,Päijät-Häme,15140,Finland,+358 50 3028181,https://www.antbrew.fi,25.6521,60.9827
,Atmos Brewing,micro,Erkkilänkatu 11 B,,,Tampere,Pirkanmaa,33100,Finland,+358 45 78706709,https://atmosbrewing.fi,23.7745,61.5034
,Bock's Corner Brewery,brewpub,Gerbyntie 18,,,Vaasa,Ostrobothnia,65230,Finland,+358 46 9236175,https://www.bockscornerbrewery.com,21.6241,63.1114
,CoolHead Brew,micro,Koetilantie 1,,,Helsinki,Uusimaa,00790,Finland,+358 40 8291581,https://www.coolhead.fi,25.0134,60.2269
,Etko Brewing,micro,Kumitehtaankatu 5,,,Kerava,Uusimaa,04260,Finland,+358 50 4120980,https://www.etko.beer,25.1051,60.3923
,Fat Lizard Brewing Co.,micro,Betonimiehenkuja 8,,,Espoo,Uusimaa,02150,Finland,+358 9 31523705,https://fatlizard.beer,24.8239,60.1843
,Fiskarsin Panimo,micro,Peltorivi 7,,,Fiskars,Uusimaa,10470,Finland,+358 40 9381411,https://www.fiskarsinpanimo.fi,23.6062,60.1293
,Haapala Brewery,brewpub,Haapalantie 3,,,Sotkamo,Kainuu,88600,Finland,+358 44 9847840,https://www.haapalabnb.fi,28.3243,64.1287
,Hailuodon Panimo,micro,Luovontie 233,,,Hailuoto,Northern Ostrobothnia,90480,Finland,+358 44 9862223,https://www.hailuodonpanimo.fi,24.7153,65.0101
,Hiisi,micro,Lutakonaukio 3,,,Jyväskylä,Central Finland,40100,Finland,+358 50 3399416,https://hiisi.beer,25.7928,62.2547
,Hollolan Hirvi,brewpub,Aikkalantie 37,,,Hollola,Päijät-Häme,15880,Finland,+358 45 3204221,https://www.hollolanhirvi.fi,25.5342,60.9995
,Husky Brewing,micro,Sahaajankatu 20 D,,,Helsinki,Uusimaa,00880,Finland,+358 40 7686981,https://www.huskybrewing.fi,25.0435,60.1932
,Iso-Kallan Panimo,micro,Siikaranta 5,,,Kuopio,North Savo,70620,Finland,+358 40 5562321,https://www.isokallanpanimo.fi,27.6891,62.8797
,Kahakka Brewery,micro,Indolantie 15,,,Kokkola,Central Ostrobothnia,67600,Finland,+358 50 3595487,https://www.kahakkabrewery.com,23.1561,63.8231
,Kakola Brewing Company,micro,Graniittilinnankatu 2,,,Turku,Varsinais-Suomi,20100,Finland,+358 40 6672011,https://www.kakolabrewing.com,22.2428,60.4429
,Kanavan Panimo,micro,Meijeritie 1,,,Vääksy,Päijät-Häme,17200,Finland,+358 44 5242288,https://www.kanavanpanimo.fi,25.5333,61.1764
,Karvilan Panimo,micro,Miilunkankaantie 50,,,Enonkoski,South Savo,58160,Finland,+358 29 3093999,https://karvilanpanimo.fi,28.8576,62.0391
,Kimito Brewing,micro,Hallitie 8,,,Kemiö,Varsinais-Suomi,25700,Finland,+358 40 5963317,https://www.kimitobrewing.com,22.7231,60.1652
,Koskipanimo,brewpub,Itäinenkatu 8,,,Tampere,Pirkanmaa,33210,Finland,+358 3 2601200,https://www.plevna.fi,23.7592,61.5008
,Kråkö Bryggeri,micro,Veneenrakentajantie 5,,,Kråkö,Uusimaa,07410,Finland,+358 44 2314352,https://www.krakobryggeri.com,25.6881,60.3242
,Kuninkaantien Panimo,micro,Jättänväljäntie 9,,,Piikkiö,Varsinais-Suomi,21500,Finland,+358 40 8421870,https://www.kuninkaantienpanimo.fi,22.5204,60.4248
,Kurikan Lakkitehdas,brewpub,Koivistonkyläntie 74,,,Panttila,South Ostrobothnia,61310,Finland,+358 50 5874541,https://www.kurikanlakkitehdas.fi,22.5855,62.5123
,Kvarken Brewery,micro,Klobbskatintie 185,,,Söderudden,Ostrobothnia,65970,Finland,+358 50 3557789,https://www.kvarkenbrewery.com,21.0423,63.2681
,Laitilan Wirvoitusjuomatehdas,regional,Limonaadikuja 4,,,Laitila,Varsinais-Suomi,23800,Finland,+358 2 85841,https://laitilan.com,21.6884,60.9161
,Lammin Sahti,micro,Liesontie 554,,,Lammi,Kanta-Häme,16900,Finland,+358 40 5410657,https://www.sahti.fi,24.9084,61.1681
,Lapin Panimo,micro,Teollisuustie 14 B,,,Rovaniemi,Lapland,96320,Finland,+358 45 1334410,https://www.lapinpanimo.fi,25.7111,66.4914
,Lepaan Panimo,micro,Viinitilantie 12,,,Lepaa,Kanta-Häme,14610,Finland,+358 3 6461,https://www.hami.fi/lepaan-viinitila,24.3855,61.1114
