id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
ae7b3174-8be8-4d53-a3a5-9b8240970eea,'s,brewpub,1 Friesener Straße,,,Kronach,Bayern,96317,Germany,+49 9261 628000,http://www.antla.de,11.327765,50.241246
21f21cc0-5b2f-4b79-be29-3bc625bcc4c8,1. Altenberger Brauhaus,brewpub,18 Zirndorfer Straße,,,Oberasbach,Bayern,90522,Germany,+49 911 604237,http://www.altenberger-brauhaus.de,10.9685585,49.4369958
c1dc2b15-1ad0-4af4-840b-13a5c204f19a,1516 Westparkbräu,brewpub,6 Am Westpark,,,Ingolstadt,Bayern,85057,Germany,+49 841 9568777,http://www.westparkbraeu.com,11.3903278,48.77525869999999
d1142d5b-e9e8-47bd-b3a8-3ce42c22ddda,Adam-Bräu,brewpub,53 Bahnhofstraße,,,Bodenmais,Bayern,94249,Germany,+49 9924 94000,http://www.adam-braeu.de,13.1022222,49.0697222
9e48e89b-22b3-44d9-a0b9-eab4f611009f,Adler Bräu,brewpub,2A Bahnhofstraße,,,Stettfeld,Bayern,96188,Germany,,http://www.adlerbraeu-stettfeld.de,10.7209419,49.9693024
b4896cfc-4731-4bc7-8794-d2d6650f7fe2,Aichinger,brewpub,5 Marktplatz,,,Heiligenstadt in Oberfranken,Bayern,91332,Germany,+49 9198 522,,11.1704687,49.8637819
4feeca61-265e-4195-9234-75f78693fd14,Airbräu,brewpub,München Airport Center - Ebene 03,,,Oberding,Bayern,85356,Germany,+49 89 97593111,http://www.airbraeu.de,11.7873402,48.3540889
64d12e0f-0abc-41ce-96c2-cd45b04d35e4,Aktienbrauerei,brewpub,3 Hohe Buchleuthe,,,Kaufbeuren,Bayern,87600,Germany,+49 8341 43040,http://www.aktien-brauerei.de,10.61612,47.87813999999999
49f94bf3-f861-4b9f-b773-9c43f0070ed1,Albertshöfer Sternbräu,brewpub,5 Hindenburgstraße,,,Albertshofen,Bayern,97320,Germany,+49 162 2699078,http://www.albertshoefer-sternbraeu.de,10.15941,49.77149
5958cbc2-f9d9-4bc3-9b9a-7469ce2d84d9,Aldersbacher,brewpub,1 Freiherr-von-Aretin-Platz,,,Aldersbach,Bayern,94501,Germany,+49 8543 96040,http://www.aldersbacher.de,13.0848087,48.5873322
328d8ab7-c82a-44c6-b252-e6d85e39b14c,Allgäuer Brauhaus,brewpub,18 Schwendener Straße,,,Marktoberdorf,Bayern,87616,Germany,+49 8342 96470,http://www.allgaeuer-brauhaus.de,10.5679674,47.7496109
98939b4a-14d7-4427-a99e-3d686784abca,Alt,brewpub,10 Dorfstraße,,,Leutenbach,Bayern,91359,Germany,+49 9199 403,http://www.brauerei-alt.de,11.1728824,49.7108499
7c5ca24c-37df-43db-859f-ac5831866aef,Alte Brauerei / Zapfbräu,brewpub,2 Kirchplatz,,,Uettingen,Bayern,97292,Germany,+49 9369 8221,http://www.alte-brauerei.de,9.7296212,49.7941875
f14b5ab3-92fc-487f-9869-07b1c8db5bf7,Alte Brauerei Stegen,brewpub,57 Landsberger Straße,,,Inning am Ammersee,Bayern,82266,Germany,+49 8143 9976431,http://www.alte-brauerei-stegen.de,11.1386516,48.0762625
773770b1-b840-45c1-8bff-487ac7268d25,Altstadthof,brewpub,19 Bergstraße,,,Nürnberg,Bayern,90403,Germany,+49 911 2449859,http://www.altstadthof.de,11.0748976,49.4570626
ef19c7ac-4313-4b3a-80bd-890f59ece1ea,Ambräusianum,brewpub,10 Dominikanerstraße,,,Bamberg,Bayern,96049,Germany,+49 951 5090262,http://www.ambraeusianum.de,10.884593,49.891758
aacf9c9e-ec62-43b9-bcaa-877d54ffce8b,Ametsbichler,brewpub,13 Hauptstraße,,,Aschau am Inn,Bayern,84544,Germany,+49 8638 3204,http://www.ametsbichler.de,12.3505556,48.1980556
7fe7f410-f9f7-4eed-a402-648d3651e910,Ammergauer Maxbräu,brewpub,5 Ettaler Straße,,,Oberammergau,Bayern,82487,Germany,+49 8822 9487460,http://www.maximilian-oberammergau.de,11.066696,47.5953971
bdf3e527-3362-46ec-829a-0804de5150a3,Andorfer,brewpub,2 Rennweg,,,Passau,Bayern,94034,Germany,+49 851 754444,http://www.andorfer-weissbraeu.de,13.453345,48.586244
5b484569-0e34-4ba7-9a4c-c89657d75a4e,Apostelbräu,brewpub,11 - 13 Eben,,,Hauzenberg,Bayern,94051,Germany,+49 8586 2200,http://www.apostelbraeu.de,13.63452,48.6390058
7861ed8a-e099-49ad-9507-2b901120320d,Appl,brewpub,2 Schloß,,,Alerheim,Bayern,86733,Germany,+49 9085 1212,http://www.donare-appl.de,10.61385,48.83533
27cfc500-a1ad-4a6a-9224-6f4e2a7a75b9,Arcobräu,brewpub,1 Schloßallee,,,Moos,Bayern,94554,Germany,+49 9938 918180,http://www.arcobraeu.de,12.9610071,48.7454643
2f4fd4b1-0018-461a-a75e-cdc71ad9ad19,Arnsteiner,brewpub,9 Schweinfurter Straße,,,Arnstein,Bayern,97450,Germany,+49 9363 90910,http://www.arnsteiner-brauerei.de,9.973691299999999,49.9771374
2092fc73-491d-4f20-ba70-3e3bc2cb83a9,Auerbräu,brewpub,80 Münchener Straße,,,Rosenheim,Bayern,83022,Germany,+49 8031 18050,http://www.auerbraeu.de,12.1152728,47.8525325
ab02b540-6a18-4020-8363-d5102897f4e0,Augustiner,brewpub,52 Arnulfstraße,,,München,Bayern,80335,Germany,+49 89 594393,http://www.augustinerbraeu.de,11.5519791,48.1433523
fb81c7bf-88a8-4508-a3cf-e75c7edc510a,Auxburg City Brewery,closed,43 Ulmer Straße,,,Augsburg,Bayern,86154,Germany,+49 821 4508486,http://www.auxburg-city-brewery.de,10.8744319,48.3811986
46a6a14a-e7c7-4df8-b28a-76a988c4152c,Ayinger,brewpub,21 Münchener Straße,,,Aying,Bayern,85653,Germany,+49 8095 880,http://www.ayinger-bier.de,11.7744366,47.9720722
805f26cb-59f1-4e8d-91ce-13f0c1a8ba6c,Bachmayer,brewpub,7 Loh,,,Dorfen,Bayern,84405,Germany,+49 8082 442,http://www.brauerei-bachmayer.de,12.2172716,48.2656576
143796a4-b99e-46f7-9a3e-8d206c45c0e5,Baderbräu,brewpub,4 Baderweg,,,Schnaitsee,Bayern,83530,Germany,+49 176 32357045,http://www.baderbraeu.de,12.3689993,48.0708381
f74bbdc2-cba6-4df2-a5c6-7b1d6e1b2424,Barbarossa Bräu,brewpub,18 Aschaffenburger Straße,,,Schöllkrippen,Bayern,63825,Germany,+49 6024 5454,http://www.brauhaus-barbarossa.de,9.2453186,50.0836644
efb7f668-5151-49a8-8a95-6eac23234197,Bärenbräu,brewpub,2 Hohlgasse,,,Holzheim,Bayern,89291,Germany,+49 7302 3113,http://www.baerenbraeu-neuhausen.de,10.0934872,48.3781962
b750c15e-557f-4103-838c-bc54fa0e23d1,Barleys Braukeller,brewpub,8 Königstraße,,,Kempten (Allgäu),Bayern,87435,Germany,+49 831 20500,http://www.allgaeu-zapf.de,10.3138189,47.7226693
4ed5d507-4af0-47ec-b3bf-a8a31ff7b9ca,Bauer's,closed,2 Am Straußenhof,,,Hohenaltheim,Bayern,86745,Germany,+49 9088 887,http://www.bauers-brauerei.de,10.5369853,48.7834309
c91fae81-7bd4-4a04-9759-4c5f2c39b940,Bauernhof- & Wintersportmusem,micro,5 Brunnbichl,,,Schliersee,Bayern,83727,Germany,+49 8026 929220,http://www.wasmeier.de,11.8780282,47.70784039999999
af1b6148-1637-4deb-9a1b-9ca8084f2b1c,Baumer,closed,1 Marktplatz,,,Gars am Inn,Bayern,83536,Germany,+49 8073 1219,,12.2772244,48.15225849999999
d5242d91-383f-4831-8ecc-6a5f162c2366,Bauriedl,brewpub,21 Ludwig-Müller-Straße,,,Eslarn,Bayern,92693,Germany,+49 9653 274,,12.5218042,49.5781911
e57c6575-ca4b-4de1-b06f-8e3cb47a308e,Bavarian Festbeer Brewery,brewpub,6 Brauhausgasse,,,Ebermannstadt,Bayern,91320,Germany,,http://www.festbeer-shop.com,11.1872692,49.77948259999999
4439df5b-9bb6-4355-a56c-56908428fd67,Bayer,brewpub,15 Schulterbachstraße,,,Rauhenebrach,Bayern,96181,Germany,+49 9554 293,http://www.bayer-theinheim.de,10.5868699,49.8846745
aebfde0b-a3a3-4a65-8fe3-0b513e76311d,Bayerische-Böhmische Brauhaus,brewpub,1 Schloßplatz,,,Tegernsee,Bayern,83684,Germany,+49 8022 18020,https://www.brauhaus-tegernsee.de/,11.7564449,47.70781059999999
aec8a521-93d7-4df1-bc07-c1ed4e7cb8b9,Bayerisches Brauereimuseum,micro,20 Hofer Straße,,,Kulmbach,Bayern,95326,Germany,+49 9221 80514,http://www.bayerisches-brauereimuseum.de,11.4697406,50.114645
cd540d28-7c5b-41bd-9038-eafefaab017a,Bayrisch Brau Pub,brewpub,38 Frauentorstraße,,,Augsburg,Bayern,86152,Germany,+49 821 2970718,http://www.bayrisch-brau-pub.de,10.8954085,48.37616939999999
a93cdcc7-00f3-4f69-b089-74ee4143d982,Becher-Bräu,brewpub,25 St.-Nikolaus-Straße,,,Bayreuth,Bayern,95445,Germany,+49 921 68993,http://www.becherbraeu.de,11.5519465,49.9385572
1746ec27-f2f6-4c15-a056-55d2b5cc0390,Beck,brewpub,8 Steigerwaldstraße,,,Lisberg,Bayern,96170,Germany,+49 9549 252,http://www.beck-braeu.de,10.7250006,49.8948755
4179acc1-6db7-40e8-aa41-04a693599e25,Behringer,brewpub,35 Marktplatz,,,Vohenstrauß,Bayern,92648,Germany,+49 9651 9244604,https://www.brauerei-behringer.de/,12.3406698,49.6246699
b91bc958-55d5-40d7-814b-0e395d8fac9a,Bender,closed,7-9 Kirchgasse,,,Mühlhausen,Bayern,92360,Germany,+49 9185 406,,11.4442251,49.16867509999999
25a72c40-7b7c-4cb2-aa0d-1e4790931895,Berabecka Boandl-Bräu,brewpub,36 Hauptstraße,,,Aichach,Bayern,86551,Germany,+49 8251 52355,http://www.boandlbraeu.de,11.127037,48.470683
112f20d5-c6f8-40cc-b6df-4546d0052cc8,Berger,brewpub,3 Öttinger Straße,,,Reischach,Bayern,84571,Germany,+49 8670 218,http://www.brauerei-berger.de/,12.7251573,48.2900526
10ce0b22-d232-440c-bc1c-330a70d705ee,Berggasthof Sonne,closed,12 Imberg,,,Sonthofen,Bayern,87527,Germany,,http://www.berggasthof-sonne.de,10.31413,47.4979723
ec8700ac-6c55-4427-a64b-d30612a988fb,Berghammer,brewpub,55 Donaustraße,,,Bad Abbach,Bayern,93077,Germany,+49 9405 962176,http://www.brauerei-berghammer.de,12.0172235,48.9480575
74631351-c8b4-4395-b29e-0ad8fe8ab83a,BernardiBräu,brewpub,7 Kammeregger Weg,,,Rettenberg,Bayern,87549,Germany,+49 8327 9326180,http://www.bernardibraeu.de,10.3110528,47.5742673
e40105c1-c1d6-4350-884f-b28b0268be05,Betz,micro,15 Oberglaim,,,Ergolding,Bayern,84030,Germany,+49 8784 262,http://www.gasthaus-betz.de,12.1127913,48.6092265
5b4eaf49-3385-4a08-9b42-5d5982708f3a,Bierhimmel,brewpub,100 Friedrich-Ebert-Straße,,,Fürth,Bayern,90766,Germany,+49 911 7873091,http://www.bierhimmel.bayern,10.9738569,49.4863733
fdd8c0de-3556-4f49-b02a-494559a43e9f,Biermanufaktur Sparifankal,brewpub,7 Zechenstraße,,,Peiting,Bayern,86971,Germany,+49 171 8097979,http://www.sparifankal.de,10.9442663,47.78497309999999
16b4e7be-07b1-4846-81e8-a94acab94f65,Bierwerk Kreativbrauerei / Hausbrauerei Wohlfart,brewpub,2a Bründeläckerstraße,,,Lauf an der Pegnitz,Bayern,91207,Germany,+49 162 2801313,http://www.bierwerk.bayern,11.2177723,49.5309956
d59ae9c0-d156-400c-8df0-e8fc598e7700,Bio Bräu Wagner,brewpub,31-35 Landsberger Straße,,,München,Bayern,80339,Germany,+49 89 519940,http://www.hofbrauerei-wagner.de,11.5425211,48.13937
d7efa13d-4084-4dd8-a0e2-af9480661600,Bischofshof,brewpub,2 Heitzerstraße,,,Regensburg,Bayern,93049,Germany,+49 941 20010,http://www.bischofshof.de,12.0761156,49.0151786
0c73ca9a-a654-4bae-a00e-d63b43a970a0,Blauer Löwe,brewpub,9 Brückenstraße,,,Höchstadt an der Aisch,Bayern,91315,Germany,+49 9193 8219,http://www.brauerei-blauer-loewe.de,10.8056391,49.7021622
a35abcc1-aa2b-45b6-893c-59905a5432d5,Brandy's Braugarage,brewpub,1 Schafbergstraße,,,Straßkirchen,Bayern,94342,Germany,+49 1512 1024564,http://www.brandys-braugarage.de,12.73178,48.83253999999999
6dd4108b-671f-4ee2-a85b-bfe76319c369,Bräu im Moos,brewpub,1 Bräu im Moos Straße,,,Tüßling,Bayern,84577,Germany,+49 8633 1041,http://www.braeuimmoos.de,12.5956936,48.1875609
81892b74-c2c2-4b47-b482-dbd2ec359a4c,Bräu z'Loh,brewpub,7 Loh,,,Dorfen,Bayern,84405,Germany,+49 8082 442,http://www.braeuzloh.de,12.2172716,48.2656576
d481b440-36c7-4955-8133-e9b0ba0343b1,Brauer-Vereinigung,brewpub,4 Am Buchauer Berg,,,Pegnitz,Bayern,91257,Germany,+49 9241 4839937,,11.5420619,49.7581857
aea1843a-7bec-4390-911d-b8bb6e20fe29,Brauerei Brauda,brewpub,3 Gewerbering,,,Seeon-Seebruck,Bayern,83370,Germany,+49 8624 4073300,http://www.camba-bavaria.de/,12.4661335,47.9793527
baa7e27d-ebaa-45ed-912e-c490414597ba,Brauerei Gasthof Blomenhof 1571,closed,8 Berliner Ring,,,Neumarkt in der Oberpfalz,Bayern,92318,Germany,+49 9181 2705527,http://www.facebook.com/BlomenhofNeumarkt/,11.4613017,49.29822799999999
ba4509c4-d96c-4534-9b3e-be788787a24b,Brauerei im Eiswerk,closed,44 Ohlmüllerstraße,,,München,Bayern,81541,Germany,,http://www.brauerei-im-eiswerk.de,11.5815965,48.1222976
bbd5d195-b4a5-435d-9616-5806e68879c7,Brauerei Mainstockeim,brewpub,3 Untere Brunnengasse,,,Mainstockheim,Bayern,97320,Germany,,http://www.brauerei-mainstockheim.de,10.1512373,49.7717061
4f301473-bd46-44b2-9bac-c05faf4b4956,Brauerei Thomas Ernst / Silbersteg Bier,brewpub,39 Schöngeisinger Straße,,,Fürstenfeldbruck,Bayern,82256,Germany,+49 160 7530519,http://brauerei-ernst.de/,11.2521966,48.1766513
47b8e313-8f99-4ccc-8c65-3b581e42662c,Brauereigasthof St. Afra im Felde,brewpub,144 Afrastraße,,,Friedberg,Bayern,86316,Germany,+49 821 6089150,http://www.sankt-afra.eu,10.9663669,48.3399966
96912cbb-f8cc-4819-8c50-a2f698d8b00e,Brauereigenossenschaft,brewpub,3 Bräuhausstraße,,,Taufkirchen (Vils),Bayern,84416,Germany,+49 8084 2377,http://www.taufkirchner-brauerei.de,12.1326082,48.3457547
c77a1e35-b020-4d24-86b5-f3034dc2697a,Brauhaus,brewpub,17 Jägerstraße,,,Würzburg,Bayern,97082,Germany,+49 931 42970,http://www.brauhausbar.de,9.9148122,49.7923439
a3d242ce-8d0a-4011-8dcd-5ecb52648f33,Brauhaus am Kreuzberg,brewpub,1 Kreuzberg,,,Hallerndorf,Bayern,91352,Germany,+49 9545 4736,http://www.friedels-keller.de,10.9555412,49.7590977
13c17d55-708d-4003-905a-9392317b16da,Brauhaus am Schloss,brewpub,6 Waffnergasse,,,Regensburg,Bayern,93047,Germany,+49 941 2804330,http://www.brauhaus-am-schloss.com,12.0912231,49.01549139999999
6a820e1c-54f1-4914-9e3b-bc60226006af,Brauhaus Binkert,brewpub,5 Westring,,,Breitengüßbach,Bayern,96149,Germany,+49 9544 9848857,http://www.mainseidla.de,10.8819446,49.9636314
be282c19-c16c-43e5-97d8-ff7c1a7911de,Brauhaus Brandmeier,brewpub,59 Hindenburgstraße,,,Cadolzburg,Bayern,90556,Germany,+49 9103 7129990,http://www.cadolzburger.de,10.8512624,49.45422199999999
1680d0a1-7bc3-4030-92b3-d5df7a771176,Brauhaus Budenschuster,bar,4 Friedrichstraße,,,Bad Steben,Bayern,95138,Germany,+49 160 94832696,http://www.brauhaus-budenschuster.de,11.6440746,50.3661598
5450b2b7-9010-4106-a576-660a8d6ed237,Brauhaus Floß,brewpub,4 Graf-Gebhard-Straße,,,Floß,Bayern,92685,Germany,+49 9603 6769867,http://www.brauhaus-floss.de,12.2777759,49.72393049999999
0eeeacf2-0423-4f23-942b-aebeb6639c59,Bräuhaus Freising,brewpub,26 Mainburger Straße,,,Freising,Bayern,85356,Germany,+49 8161 6010,http://www.brauhaus-freising.de,11.7467485,48.4060454
493a4717-621e-4244-89f4-35bd9de7b608,Brauhaus Germering,brewpub,15 Dorfstraße,,,Germering,Bayern,82110,Germany,+49 89 20921348,http://www.brauhaus-germering.de,11.3581283,48.1372993
f86b494a-19db-4086-8900-d643a762db1a,Brauhaus Höchstadt,brewpub,11 Kellerstraße,,,Höchstadt an der Aisch,Bayern,91315,Germany,+49 9193 8367,http://www.brauhaus-hoechstadt.de,10.806307,49.7072797
3bc9ac35-1637-4ed7-b7d1-e01dff06d6b7,Brauhaus im Wurzgrund,brewpub,58 Hauptstraße,,,Karlstadt,Bayern,97753,Germany,+49 9353 97710,http://www.alte-brauerei-karlstadt.de/,9.7646456,49.9600173
5e65395f-1aaa-4e4b-9bf7-610bbecc4441,Bräuhaus Melkendorf,brewpub,13 Otterbachstraße,,,Litzendorf,Bayern,96123,Germany,,https://www.brandholz-brauerei.de/,11.0315904,49.8996122
6585c6c0-a794-4188-b610-c0141f623ec0,Brauhaus Niederlauer,brewpub,6 Brückenauer Straße,,,Motten,Bayern,97786,Germany,+49 9748 710,http://www.hausbrauerbier.de,9.771565299999999,50.3953363
c508ccd7-6a2b-4766-8383-0481740a781d,Brauhaus Oberstreu,brewpub,6 Brückenauer Straße,,,Motten,Bayern,97786,Germany,+49 9748 710,http://www.brauhaus-oberstreu.de,9.771565299999999,50.3953363
b3bb3e75-7c12-4f7d-80e3-afa4bf68b195,Brauhaus Rosenberg,brewpub,14 Rosenberger Straße,,,Sulzbach-Rosenberg,Bayern,92237,Germany,+49 9661 87090,http://www.brauhaus-rosenberg.de,11.7409574,49.5042589
7eba6a41-179a-46e1-be8e-81d8fce0872d,Brauhaus zu Coburg,brewpub,4 Nägleinsgasse,,,Coburg,Bayern,96450,Germany,+49 9561 7059192,http://www.brauhaus-coburg.de,10.9638777,50.2589586
5cd41322-411f-4e4f-a7c1-c086ab0be192,Braukraft,closed,20 Münchener Straße,,,Gilching,Bayern,82205,Germany,,http://www.braukraft.de,11.3147331,48.1072348
