id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
,Berlin Craft Beer Experience,bar,Reichenberger Str. 176,,,Berlin,Berlin,10999,Germany,4915779216971,http://www.berlincraftbeerexperience.com/,52.4995161,13.4168836
,BRLO Brwhouse,large,Schöneberger Str. 16,,,Berlin,Berlin,10963,Germany,493055577606,https://www.brlo.de/gastronomien/brlo-brwhouse,52.4995161,13.4168836
,BrewDog Berlin Mitte,bar,Ackerstraße 29,,,Berlin,Berlin,10115,Germany,493048477770,https://www.brewdog.com/eu_de/brewdog-berlin-mitte,52.5170043,13.4132225
,Mikkeller Berlin,bar,Torstraße 102,,,Berlin,Berlin,10119,Germany,,https://mikkeller.com/locations/mikkeller-berlin,52.5285769,13.3942421
,Prater Beer Garden,beergarden,Kastanienallee 7-9,,,Berlin,Berlin,10435,Germany,,https://www.prater-biergarten.de/,52.5285752,13.3942421
,Birgit,beergarden,Schleusenufer 3,,,Berlin,Berlin,10997,Germany,491725746904,https://www.birgit.club/,52.5093176,13.4123414
,Golgatha Biergarten,beergarden,Katzbachstraße &  Monumentenstraße,,,Berlin,Berlin,10965,Germany,,http://www.golgatha-berlin.de/,52.4868139,13.3791632
,Berlin Craft Beer Experience,bar,Reichenberger Str. 176,,,Berlin,Berlin,10999,Germany,4915779216971,http://www.berlincraftbeerexperience.com/,52.4995161,13.4168836
,BRLO Brwhouse,large,Schöneberger Str. 16,,,Berlin,Berlin,10963,Germany,493055577606,https://www.brlo.de/gastronomien/brlo-brwhouse,52.4995161,13.4168836
,BrewDog Berlin Mitte,bar,Ackerstraße 29,,,Berlin,Berlin,10115,Germany,493048477770,https://www.brewdog.com/eu_de/brewdog-berlin-mitte,52.5170043,13.4132225
