id,name,brewery_type,address_1,address_2,city,state_province,postal_code,country,phone,website_url,longitude,latitude
,Aalener Löwenbrauerei,,8 Galgenbergstraße,,Aalen,Baden-Württemberg,73431,Germany,+49 7361 32597,http://www.bestesbier.de,10.0985681,48.8384864
,Mall,,23 Eschelbronner Straße,,Meckesheim,Baden-Württemberg,74909,Germany,+49 6226 785450,http://www.mall-braeu.de,8.82293,49.3185
,Löwenbrauerei Wasseralfingen,,162 Wilhelmstraße,,Aalen,Baden-Württemberg,73433,Germany,+49 7361 57200,http://www.wasseralfinger.de,10.09898,48.85067
,Adlerbrauerei Schmetzer,,3 Reubacher Straße,,Wallhausen,Baden-Württemberg,74599,Germany,+49 7955 2234,https://adlerbrauerei-schmetzer.de/,10.11867,49.2347
,Wieland,,1a Dewanger Straße,,Abtsgmünd,Baden-Württemberg,73453,Germany,+49 7366 9209990,http://www.wielands-bier.de,10.0071701,48.89382089999999
,Brauwerk Salvermoser,,14 Am Mühlberg,,Tuttlingen,Baden-Württemberg,78532,Germany,+49 7462 7986,http://www.brauwerk-salvermoser.de,8.7699,47.96017
,Brauhaus Zollernalb,,4 Bahnhof,,Albstadt,Baden-Württemberg,72458,Germany,+49 7431 9482941,http://www.brauhaus-zollernalb.de,9.0255824,48.2105719
,Adler-Bräu,,17 Biberacher Straße,,Oberstadion,Baden-Württemberg,89613,Germany,+49 7357 921990,http://www.brauereigasthof-moosbeuren.de,9.724819,48.1795445
,Alpirsbacher Klosterbräu,,1 Marktplatz,,Alpirsbach,Baden-Württemberg,72275,Germany,+49 7444 670,http://www.alpirsbacher.de,8.40305,48.34566
,Mosbacher Brauhaus,,18 Eisenbahnstraße,,Mosbach,Baden-Württemberg,74821,Germany,+49 6261 36969,http://www.mosbacher-brauhaus.de,9.1415601,49.3512099
,Schlossbrauerei,,30 Hauptstraße,,Aulendorf,Baden-Württemberg,88326,Germany,+49 7525 9213520,http://www.schlossbrauerei-aulendorf.de,9.638224,47.954831
,Fischer's Brauhaus,,30 Auf der Lehr,,Mössingen,Baden-Württemberg,72116,Germany,+49 7473 954443,http://www.brauhaus-moessingen.de,9.0657474,48.40880629999999
,Häffner,,24 Salinenstraße,,Bad Rappenau,Baden-Württemberg,74906,Germany,+49 7264 8050,http://www.haeffner-braeu.de,9.112063000000001,49.238093
,Sudwerkstatt,,3/1 Heerweg,,Mössingen,Baden-Württemberg,72116,Germany,,http://www.sudwerkstatt.de,9.069119299999999,48.40999799999999
,Schussenrieder,,12 Wilhelm-Schussen-Straße,,Bad Schussenried,Baden-Württemberg,88427,Germany,+49 7583 4040,http://www.schussenrieder.de,9.6582198,48.0041016
,Hey Joe Brewing,,93 Siegelsberger Straße,,Murrhardt,Baden-Württemberg,71540,Germany,,http://www.heyjoebrewing.com,9.58845,48.99005
,Steinacher Hausbräu,,Steinacher-Str. 135,,Bad Waldsee,Baden-Württemberg,88339,Germany,,http://www.steinacherbier.de,,
,Fux Bier,,67 Filderstraße,,Leinfelden-Echterdingen,Baden-Württemberg,70771,Germany,+49 177 2923241,http://www.fux-bier.de,9.1240161,48.6921326
,Baisinger BierManufaktur,,13 Ergenzinger Straße,,Rottenburg am Neckar,Baden-Württemberg,72108,Germany,+49 7457 94300,http://www.baisinger.de,8.7782754,48.5046712
,Nattheimer,,7 Heidenheimer Straße,,Nattheim,Baden-Württemberg,89564,Germany,+49 7321 97980,http://www.nattheimer.de,10.2401356,48.6995845
,Spall,,21 Georg-Metzler-Straße,,Ravenstein,Baden-Württemberg,74747,Germany,+49 6297 219,,9.5513251,49.4000754
,Neckarsulmer Brauhaus,,9 Felix-Wankel-Straße,,Neckarsulm,Baden-Württemberg,74172,Germany,+49 7132 343511,http://www.neckarsulmer-brauhaus.de,9.2251207,49.1935146
,Berg,,2 Brauhausstraße,,Ehingen (Donau),Baden-Württemberg,89584,Germany,+49 7391 771710,http://www.bergbier.de,9.735312799999999,48.2623255
,HopfX Bräu,,43 Bahnhofstraße,,Tuttlingen,Baden-Württemberg,78532,Germany,,http://www.facebook.com/HopfXBraeuTuttlingen/,8.8137709,47.9832651
,Max & Moritz,,6 Weinbichl,,Kressbronn am Bodensee,Baden-Württemberg,88079,Germany,+49 7543 6508,http://www.maxmoritz-bier.de,9.6058571,47.6062796
,Rößle,,8 Obere Torstraße,,Neubulach,Baden-Württemberg,75387,Germany,+49 7053 7766,http://www.roessle-neubulach.de,8.694891,48.6617894
,Schwanen-Bräu,,36 Bernhäuser Hauptstraße,,Filderstadt,Baden-Württemberg,70794,Germany,+49 711 706954,http://www.schwanen-braeu.de,9.2182968,48.6793827
,Neuenstädter Biermanufaktur,,6 Helmbundstraße,,Neuenstadt am Kocher,Baden-Württemberg,74196,Germany,+49 176 87944600,,9.3278,49.23659
,Beurener Fels Brauerei,,Weiler Steige,,Beuren,Baden-Württemberg,72660,Germany,,http://www.beurenerfelsbrauerei.de,9.4187429,48.5706148
,Ladenburger,,16 Hauptstraße,,Neuler,Baden-Württemberg,73491,Germany,+49 7961 91140,http://www.brauerei-ladenburger.de,10.0674097,48.9276432
,Wahnsinnsbräu,,Muehlrain 1,,Spraitbach,Baden-Württemberg,73565,Germany,,http://www.brutzelbaer.com/,,
,Hirtler,,10 Eichstetter Straße,,March,Baden-Württemberg,79232,Germany,+49 7665 3304,http://www.brauerei-hirtler.de/,7.770066099999999,48.0689491
,Café Weichhardt,,1 Wielandstraße,,Biberach an der Riß,Baden-Württemberg,88400,Germany,+49 7351 828925,http://www.cafe-weichhardt.de,9.7868023,48.0990354
,Schlachthof,,15 Mühlstraße,,Nürtingen,Baden-Württemberg,72622,Germany,+49 7022 939571,http://www.schlachthofbraeu.de,9.334195,48.6294309
,Rommelmühle,,60 Flößerstraße,,Bietigheim-Bissingen,Baden-Württemberg,74321,Germany,+49 7142 9938490,http://www.brauhaus-rommelmuehle.de,9.0990416,48.9487523
,Naturkost Lang,,24/1 Wimpfener Straße,,Neckarsulm,Baden-Württemberg,74172,Germany,+49 7132 43427,http://www.naturkost-lang.de,9.203669999999999,49.19801
,Schönbuch,,20 Lange Straße,,Böblingen,Baden-Württemberg,71032,Germany,+49 7031 681323,http://www.schoenbuchbraeu.de,9.0173569,48.6843842
,Löwen,,23 Sasbachwaldener Straße,,Sasbach,Baden-Württemberg,77880,Germany,+49 7841 20780,http://www.loewen-sasbach.de,8.1044064,48.6320457
,Wichtel,,Graf-Zeppelin-Platz,,Böblingen,Baden-Württemberg,71034,Germany,+49 7031 3069899,http://www.wichtel.de,9.003333099999999,48.6900583
,Speidel's Brauerei'le,,5 Im Dorf,,Hohenstein,Baden-Württemberg,72531,Germany,+49 7387 98900,http://www.speidels-brauereile.de,9.375336599999999,48.3482475
,Hirschbrauerei Schilling,,37 Aglishardter Straße,,Römerstein,Baden-Württemberg,72587,Germany,+49 7382 93880,http://www.boehringer-biere.de,9.508918699999999,48.4920082
,Volksbräu,,2 Brauhausstraße,,Ehingen (Donau),Baden-Württemberg,89584,Germany,+49 7391 771710,http://www.volksbraeu-durbach.de,9.735312799999999,48.2623255
,Löwenbrauerei,,4 Friedhofweg,,Bräunlingen,Baden-Württemberg,78199,Germany,+49 771 61121,http://www.braeunlinger-loewenbrauerei.de,8.45082,47.92717
,Badenstuff,,25 Krokusweg,,Offenburg,Baden-Württemberg,77656,Germany,+49 781 76665,http://www.badenstuff.com,7.92048,48.45587
,Domänen Bräu,,1 Brielhof,,Hechingen,Baden-Württemberg,72379,Germany,+49 7471 96019210,http://www.hofgut-domaene.de,8.950374199999999,48.336022
,Brauwerk Baden,,3 Gutenbergstraße,,Offenburg,Baden-Württemberg,77654,Germany,,http://www.kronen-brauhaus.de,7.956585599999999,48.4882827
,Mülhaupt,,26 Mulsowstraße,,Lörrach,Baden-Württemberg,79541,Germany,+49 7621 51654,http://www.hausbraeu-muelhaupt.de,7.6930556,47.6313583
,Friedrich Bier,,34 Friedrichstraße,,Offenburg,Baden-Württemberg,77654,Germany,+49 781 12555560,http://www.friedrichbier.de,7.9496305,48.4700684
,Brewmaltster / Braxar,,9 Steingasse,,Heidelberg,Baden-Württemberg,69117,Germany,+49 6221 165850,http://www.brewmaltster.de,8.7096851,49.4126062
