id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
ddae7cb2-84c9-44f0-bbab-93781b5cf837,Alsfelder,brewpub,8 Cent,,,Lauterbach (Hessen),Hessen,36341,Germany,+49 6641 1800,http://www.alsfelder.de,9.392651299999999,50.6390531
0474f95d-9e16-4b45-b789-93827fcc13c2,Alt Oberurseler Brauhaus,brewpub,13 Ackergasse,,,Oberursel (Taunus),Hessen,61440,Germany,+49 6171 54370,http://www.meinbier.de,8.578921,50.202898
ad3a2f17-d7a8-432a-91c0-1ff29b4398fd,Alte Feuerwache,brewpub,6 Schulgasse,,,Idstein,Hessen,65510,Germany,+49 6126 958112,http://www.brauhaus-alte-feuerwache.de,8.2680809,50.22186019999999
8a884a90-88e6-44b7-98d3-fbfe01e9cf82,Bad Wildunger Brauhaus,brewpub,2 Frankenberger Straße,,,Bad Wildungen,Hessen,34537,Germany,+49 5621 74150,http://www.brauhaus-bad-wildungen.de,9.10132,51.10931
80e9b35a-d269-4b0b-b103-68849afb477e,Bier Hannes,brewpub,568 Hanauer Landstraße,,,Frankfurt am Main,Hessen,60386,Germany,+49 69 412890,http://www.bier-hannes.de,8.7680832,50.13322849999999
a98205b4-e51c-41df-b567-eb37a7cbff4a,Biermanufaktur Rotenburg,brewpub,7 Obertor,,,Rotenburg an der Fulda,Hessen,36199,Germany,+49 6623 9141220,http://www.bier-rotenburg.de,9.7317962,50.9949722
2a07391b-a93e-4cf1-9d4e-853d752fdcb0,Binding,bar,13 Wallstraße,,,Frankfurt am Main,Hessen,60594,Germany,+49 1515 7801106,http://www.binding.de,8.6884342,50.1049117
9903d1d3-b439-4784-bbec-451c78afabaa,Bramanufaktur Steckenpferd,brewpub,19a Schwanenweg,,,Kassel,Hessen,34123,Germany,+49 1525 5429152,http://www.braumanufaktur-steckenpferd.de,9.5129863,51.3088337
207c3c9d-ea5d-4fd4-af4f-d77cab830591,Brauhaus 18·80,brewpub,4 Auf der Lache,,,Fritzlar,Hessen,34560,Germany,+49 5622 918809,http://www.brauhaus1880.de,9.2769718,51.1222076
75e57315-27f9-4a3c-bc83-f187edf69e91,Brauhaus Castel,brewpub,27 Otto-Suhr-Ring,,,Wiesbaden,Hessen,55252,Germany,+49 6134 24999,http://www.brauhaus-castel.de,8.29242,50.01686
4a47766e-d24f-4892-b3e9-d80bd4bc4ef0,Brauhaus Michelsrombacher Wald,brewpub,51 Michelsrombacher Straße,,,Fulda,Hessen,36039,Germany,+49 172 4706525,http://www.brauhaus-mrw.de,9.686620699999999,50.5906329
71fc9541-2f0f-497f-874c-f3b2ad312de3,Braustil,closed,57 Oeder Weg,,,Frankfurt am Main,Hessen,60318,Germany,,http://www.braustil.de,8.6803232,50.1219242
30c10773-f482-4760-8993-41dc65f6343f,BrauWerkstatt Malsfeld,brewpub,9 Brauereistraße,,,Malsfeld,Hessen,34323,Germany,+49 1522 8873118,http://www.brauwerkstatt-malsfeld.de,9.545593499999999,51.0905518
31cf78f2-54a7-4472-b4bb-323a613a8275,Brewers Fantasy,brewpub,14 Paul-Joseph-Straße,,,Fürth,Hessen,64658,Germany,+49 6207 4619386,http://www.brewers-fantasy.de,8.7457354,49.6632373
5b2bc4a9-8ec2-44bf-ac4f-db71f493ffcc,Burgbrauerei,brewpub,8 Cent,,,Lauterbach (Hessen),Hessen,36341,Germany,+49 6641 1800,https://www.lauterbacher-auerhahn.de/,9.3921847,50.6398732
