id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
c3c59882-de79-4ffe-9239-a08b9b49b53b,Bachs Braumanufaktur,brewpub,69 b Wellesweilerstraße,,,Neunkirchen,Saarland,66538,Germany,,http://www.bachs-braumanufaktur.de,7.191335,49.3518041
c47d94e9-57df-44ad-a218-e3f285a39550,Bruch,brewpub,14 Saarbrücker Straße,,,Neunkirchen,Saarland,66538,Germany,,http://www.brauerei-bruch.de,7.1705762,49.34746879999999
9647957d-4b7a-4f8e-821e-062d9c0b9833,Flammings Flammbräu,brewpub,63 Im Almet,,,Saarbrücken,Saarland,66119,Germany,+49 681 8579266,http://www.flammings-flammbraeu.de,6.994789399999999,49.20862959999999
a2bdf151-9f3c-401d-804a-ffbf426dcf69,Grosswald,brewpub,130 Großwaldstraße,,,Heusweiler,Saarland,66265,Germany,+49 6806 6070,http://www.grosswald.de,6.947559999999999,49.37266
0025ae6e-aef7-4de6-ac5f-304d74540dcd,Herz & Heimat,brewpub,5 Kahlenbergstraße,,,Sankt Ingbert,Saarland,66386,Germany,+49 177 6278680,http://www.herzundheimat.com,7.150965299999999,49.2764883
e48eb13b-3509-40a8-ac30-8c2b4c0d8c61,Hochwälder Brauhaus,brewpub,190 Zum Stausee,,,Losheim am See,Saarland,66679,Germany,+49 6872 505772,http://www.hochwaelder-brauhaus.de,6.7412845,49.5194312
d7d009b4-3e3e-4915-8baa-cd89c442215d,Homburger Brauhaus,brewpub,38d Talstraße,,,Homburg,Saarland,66424,Germany,+49 6841 2466,http://www.homburger-brauhaus.de,7.337546199999999,49.3213371
a41677d5-6f1d-4557-8b13-b9d06bbac4f5,Karlsberg,brewpub,62 Karlsbergstraße,,,Homburg,Saarland,66424,Germany,+49 6841 1050,http://www.karlsberg.de,7.3453085,49.32446820000001
eb45c496-e216-4533-871b-2db0bcc865b6,Körpricher Landbräu,closed,40 Bahnhofstraße,,,Nalbach,Saarland,66809,Germany,+49 6838 1447,http://www.landbrauerei.de,6.832735,49.38936400000001
305cbfb2-ac1e-4f43-9b9b-f354b4943bdb,Mettlacher Abtei-Bräu,brewpub,32 Bahnhofstraße,,,Mettlach,Saarland,66693,Germany,+49 6864 93232,http://www.abtei-brauerei.de,6.5962272,49.4976947
81405c0c-b872-49b5-95d8-31da1f4ecd18,Saarfürst Merziger Brauhaus,brewpub,6 Saarwiesenring,,,Merzig,Saarland,66663,Germany,+49 6861 791635,http://www.saarfuerst.de,6.6280015,49.443243
c509c550-8730-4de6-9726-8c3fec3fd655,Schmelzer Brauhaus,brewpub,12 Am Erzweg,,,Schmelz,Saarland,66839,Germany,+49 6887 889109,http://www.schmelzer-brauhaus.de,6.8729327,49.4400479
87b93747-6f37-4e3a-86bc-75f8a9328b0d,Stiefel Bräu,brewpub,2 Am Stiefel,,,Saarbrücken,Saarland,66111,Germany,+49 681 30984650,http://www.stiefelgastronomie.de/frameset_stiefelbraeu.htm,6.995145399999999,49.2329003
17622d37-d142-4fd6-bdfc-dee5da7efbf5,Stumm's Brauhaus,brewpub,16 Saarbrücker Straße,,,Neunkirchen,Saarland,66538,Germany,+49 6821 179145,http://www.stumms-brauhaus.de,7.172285199999998,49.3476947
