id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
a00c1c11-dede-4d7f-a514-bd291b6db283,3TREE BREWERY,micro,3-19 Futabacho,,,Ibaraki,Osaka,567-0829,Japan,,https://3tree-brewery.jimdosite.com/,135.5780968,34.81744613
625f2c38-c681-4d85-b4b6-2e5ee25d79a9,APE BREWING,brewpub,2-1-15 Kawaramachi Kawaramachi Daito Building 1F,,,Osaka,Osaka,541-0048,Japan,81676619443,https://www.instagram.com/ape_brewing,135.5076625,34.68696137
3e53001e-282d-4c9e-970e-0dfc10173651,Beer stand MARCA,brewpub,1-1-14 Sangenyanishi,,,Osaka,Osaka,551-0001,Japan,818021106099,https://beermarca.jp/,135.4799445,34.66768998
c8741305-1bbf-4318-a202-1f08584ff983,Brewpub Center Point,brewpub,2-5-8 Ukida,,,Osaka,Osaka,530-0021,Japan,81664508296,https://brewpub.co.jp/,135.5075634,34.70979002
74716bad-707a-449f-b278-c48148587be2,CRAFT BEER BASE MOTHER TREE,brewpub,1-13-13 Oyodonaka,,,Osaka,Osaka,531-0076,Japan,81675039795,https://craftbeerbase.com/shops/mothertree,135.4887076,34.70512865
62707d11-47fe-4377-94c5-c21e64e76170,funs brewing BEERHOUSE OSAKA,brewpub,1-15-10 Kita-Horie H1 Building B1,,,Osaka,Osaka,550-0014,Japan,81665857700,https://funsbrewing.com/pages/beerhouse-osaka,135.4947186,34.67351909
836b7f89-ce50-485f-8eeb-119b949054b3,Kamigata Beer,micro,3-15-6 Nishiawaji,,,Osaka,Osaka,533-0031,Japan,81668296550,https://kamigatabeer.co.jp/,135.5098626,34.740096
bae80975-5b23-43db-96d5-7d4712dea985,Kotobuki Brewing,micro,3−26−12 Tondacho,,,Takatsuki,Osaka,569-0814,Japan,81726960003,https://kuninocho.jp/,135.5929565,34.8330891
09c1d107-87d3-491f-9968-7591abf6010a,MARCA BREWING,micro,3−7−28 Kita-Horie 1F,,,Osaka,Osaka,550-0014,Japan,81667109487,https://beermarca.com/,135.4886683,34.67439921
699c24ab-d73d-49b1-824e-8be49e919c19,MINOH BEER WAREHOUSE,brewpub,3-14-18 Makiochi,,,Minoh,Osaka,562-0004,Japan,81727257234,https://www.minoh-beer.jp/warehouse/,135.4730884,34.82355132
