id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
,Rock City Beers,micro,Mijnbouwweg 15,,,Amersfoort,Utrecht,3812 RT,Netherlands,+31 033 202 2230,https://rockcitybrewing.nl/,5.367071399999999,52.1664465
,Amstel Brewery,large,Funenkade 7,,,Amsterdam,Noord-Holland,1018 AL,Netherlands,+31 020 261 9801,https://www.brouwerijhetij.nl/proeflokalen/proeflokaal-de-molen,4.9264253,52.36669080000001
,Bird Brewery,micro,Diemerbospad 1a,,,Diemen,Noord-Holland,1111 PZ,Netherlands,+31 020 214 6555,http://birdbrewery.com/,4.990673,52.3325138
,Brouwerij 't IJ,regional,Funenkade 7,,,Amsterdam,Noord-Holland,1018 AL,Netherlands,+31 020 261 9801,https://www.brouwerijhetij.nl/proeflokalen/proeflokaal-de-molen,4.9264253,52.36669080000001
,Brouwerij de Eeuwige Jeugd,micro,H.J.E. Wenckebachweg 48,,,Amsterdam,Noord-Holland,1096 AH,Netherlands,,http://www.deeeuwigejeugd.nl/,4.924842,52.337032
,Brouwerij De Prael,micro,Oudezijds Armsteeg 26,,,Amsterdam,Amsterdam,1012 GP,Netherlands,+31 020 408 4469,http://www.depraelamsterdam.nl/,4.899391,52.3756081
,Bruut Bier,micro,Spaklerweg 1F,,,Amsterdam,Noord-Holland,1096 BA,Netherlands,+31 06 34239354,https://bruutbier.nl/,4.91919,52.3431793
,Butcher's Tears,micro,Karperweg 45,,,Amsterdam,Noord-Holland,1075 LB,Netherlands,,http://butchers-tears.com/,4.8535124,52.3472257
,Gebrouwen Door Vrouwen,micro,Jan Pieter Heijestraat 119D,,,Amsterdam,hs,1054 MD,Netherlands,+31 020 854 5277,https://www.gebrouwendoorvrouwen.nl/de-bar,4.864332999999999,52.362525
,Heineken,large,Stadhouderskade 78,,,Amsterdam,Noord-Holland,1072 AE,Netherlands,+31 020 205 0593,https://www.heinekenexperience.com/,4.8918249,52.35783130000001
,Oedipus Brewing,micro,Schaafstraat 21,,,Amsterdam,Noord-Holland,1021 KD,Netherlands,,http://oedipus.com/,4.9241202,52.385357
,Pontus Brewing,micro,Johan Huizingalaan 262,,,Amsterdam,Noord-Holland,1065 JM,Netherlands,,,4.8270084,52.3543823
