id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
,Starke Brews,micro,Contermanskloof Farm,Contermanskloof Road,,Durbanville,Western Cape,7550,South Africa,+27 82 858 2441,https://starkebrews.com/,18.5776,-33.7915
,Barrington’s Craft Brewery,brewpub,Barrington's,Piesang Valley Road,,Plettenberg Bay,Western Cape,6600,South Africa,+27 44 050 3767,https://barringtonsplett.co.za/,23.3564,-34.0521
,Soul Barrel Brewing,micro,R45,,,Simondium,Western Cape,7670,South Africa,+27 82 821 1233,https://soulbarrel.co.za/,18.9622,-33.8443
,Drifter Brewing Company,micro,656 Mowbray Road,Woodstock,,Cape Town,Western Cape,7925,South Africa,+27 21 447 8710,https://drifterbrewing.co.za/,18.4552,-33.9314
,ABRU Craft Brewery,micro,15 Pasita Street,Rosenpark,,Bellville,Western Cape,7530,South Africa,+27 72 616 8377,https://abru.co.za/,18.6533,-33.8742
,Nieuw Brew,brewpub,24 Main Road,,,Nieuwoudtville,Western Cape,8180,South Africa,+27 27 218 1075,https://nieuwbrew.co.za/,19.1091,-31.3789
,Stellenbosch Brewing Company,brewpub,Klein Joostenberg Farm,R304,,Stellenbosch,Western Cape,7606,South Africa,+27 21 884 4014,https://stelliesbeer.com/,18.7845,-33.8217
,Kennel Brewery,micro,Unit 25 The Interchange,9 Nobel Street,,Somerset West,Western Cape,7130,South Africa,+27 71 361 7122,https://kennelbrewery.co.za/,18.8132,-34.0734
,Patiala Brew,micro,34 Fabriek Street,,,Paarl,Western Cape,7646,South Africa,+27 60 715 0341,,18.9619,-33.7381
,Valley Brewery & Taproom,brewpub,8 Unie Street,,,Hopefield,Western Cape,7355,South Africa,+27 72 254 8848,https://www.facebook.com/ValleyBrewerySA/,18.3503,-33.0645
,Hey Joe Brewing Company,brewpub,R45,,,Franschhoek,Western Cape,7690,South Africa,+27 63 Hey-Joe,https://www.heyjoebrewery.com/,18.9678,-33.8583
,Maker’s Brew,micro,70-72 Wale Street,Cape Town City Centre,,Cape Town,Western Cape,8001,South Africa,+27 21 422 2912,https://makerslanding.co.za/,18.4162,-33.9221
,Lunar Brew,micro,15 Wallflower Street,Paarden Eiland,,Cape Town,Western Cape,7405,South Africa,+27 79 571 5262,https://lunarbrew.co.za/,18.4719,-33.9056
,Italian Job Brewery,micro,Allée Bleue Wine Estate,Intersection R45 & R310,,Groot Drakenstein,Western Cape,7680,South Africa,+27 21 874 1021,https://alleebleue.co.za/,18.9669,-33.8569
,Shackleton Brewing Company,micro,23 Transvaal Street,Paarden Eiland,,Cape Town,Western Cape,7405,South Africa,+27 71 887 2363,https://shackletonbrewing.co.za/,18.4761,-33.9077
,Sedgefield Brewery,micro,Scarab Village,N2 Highway,,Sedgefield,Western Cape,6573,South Africa,+27 82 901 2029,https://sedgefieldbrewery.co.za/,22.8225,-34.0084
,Saggy Stone Brewing Company,brewpub,Amandalia Farm,Agtervinkrivier,,Robertson,Western Cape,6705,South Africa,+27 83 453 3526,https://saggystone.co.za/,19.6738,-33.8324
,Robertson Brewery,micro,5 Voortrekker Street,,,Robertson,Western Cape,6705,South Africa,+27 23 626 3288,https://robertsonbrewery.co.za/,19.8821,-33.8033
,Karusa Winery & Micro Brewery,micro,Schoemanshoek,Cango Valley,,Oudtshoorn,Western Cape,6625,South Africa,+27 44 272 8717,https://www.karusa.co.za/,22.2598,-33.4795
,Karoo Brew,brewpub,Laingsburg Country Hotel,Voortrekker Street,,Laingsburg,Western Cape,6900,South Africa,+27 23 551 1009,https://laingsburgcountryhotel.co.za/,20.8584,-33.1956
,Karoo Craft Breweries,micro,62 Voortrekker Street,,,Barrydale,Western Cape,6750,South Africa,+27 28 572 1018,https://www.facebook.com/KarooCraftBreweries/,20.7208,-33.8967
,Honingklip Brewery,micro,Honingklip Farm,R43,,Bot River,Western Cape,7185,South Africa,+27 82 887 2927,https://www.honingklip.co.za/,19.1245,-34.1979
,Hoogeberg Brewing Company,micro,Signal Gun Wines,Hoogeberg Road,,Durbanville,Western Cape,7550,South Africa,+27 21 976 7343,https://signalgun.com/,18.6011,-33.7845
,Hoghouse Brewing Company,brewpub,42 Morningside Street,Ndabeni,,Cape Town,Western Cape,7405,South Africa,+27 21 810 4545,https://www.hoghouse.co.za/,18.4879,-33.9312
,Hermanus Brewery,micro,The Village,14 Harmony Avenue,,Hermanus,Western Cape,7200,South Africa,+27 28 316 1234,https://www.hermanus-brewery.co.za/,19.2291,-34.4215
,Hemel & Aarde Brewery,brewpub,Hemel en Aarde Village,R320,,Hermanus,Western Cape,7200,South Africa,+27 28 316 2578,https://thebrewery.co.za/,19.1918,-34.3986
,Havoc Brew,micro,Unit 17 The Interchange,9 Nobel Street,,Somerset West,Western Cape,7130,South Africa,+27 82 552 9491,https://havocbrew.com/,18.8132,-34.0734
,Fraser’s Folly,micro,Black Oystercatcher Wines,R317,,Bredasdorp,Western Cape,7280,South Africa,+27 28 482 1618,https://frasersfolly.co.za/,20.1068,-34.5772
,Franschhoek Beer Company,brewpub,R45,,,Franschhoek,Western Cape,7690,South Africa,+27 21 876 2145,https://franschhoekbeerco.co.za/,19.0682,-33.9515
,Red Bridge Brewing Company,micro,5 Noble Street,Knysna Industrial,,Knysna,Western Cape,6571,South Africa,+27 82 552 9491,https://redbridgebrewing.co.za/,23.0645,-34.0412
,Old Potter’s Inn & Brewhouse,brewpub,19 Main Road,,,Greyton,Western Cape,7233,South Africa,+27 28 254 9690,https://oldpottersinn.com/,19.6087,-34.0518
,Noon Gun Brewery,micro,214-216 Capricorn Drive,Capricorn Park,Muizenberg,Cape Town,Western Cape,7945,South Africa,+27 21 709 0013,https://noongun.net/,18.4901,-34.0954
,Mountain Brewing Company,micro,Klipbokkop Mountain Reserve,,,Worcester,Western Cape,6850,South Africa,+27 23 349 1908,https://www.mountainbrewing.co/,19.5583,-33.7259
,Maskam Brewing Company,micro,11 Hoog Street,,,Vredendal,Western Cape,8160,South Africa,+27 27 213 5410,https://www.maskambrewing.co.za/,18.5021,-31.6705
,Loxtonia Cider,cidery,Loxtonia Farm,Ezelsfontein Road,,Ceres,Western Cape,6835,South Africa,+27 23 004 0930,https://www.loxtonia.co.za/,19.2845,-33.2431
,Lilypatrick Craft Brewery,micro,Cnr of R44 and Klein Helderberg Road,,,Somerset West,Western Cape,7130,South Africa,+27 79 501 1935,https://lilypatrick.co.za/,18.8525,-34.0402
,Elysium Brewing Company,micro,Unit B1 Centurion Business Park,Milnerton,,Cape Town,Western Cape,7441,South Africa,+27 63 605 9413,https://elysiumbrewing.co.za/,18.5134,-33.8687
,Darling Brew,brewpub,48 Caledon Street,,,Darling,Western Cape,7345,South Africa,+27 21 286 1099,https://darlingbrew.co.za/,18.3804,-33.3797
,Cape Brewing Company,micro,Spice Route Destination,Suid-Agter-Paarl Road,,Paarl,Western Cape,7646,South Africa,+27 21 863 2270,https://capebrewing.co.za/,18.9056,-33.7845
,Ceres Brewery,micro,Loxtonia Farm,Ezelsfontein Road,,Ceres,Western Cape,6835,South Africa,+27 23 004 0930,https://www.ceresbrewery.co.za/,19.2845,-33.2431
,Buchanan’s Brewery,micro,Devon Valley Road,,,Stellenbosch,Western Cape,7600,South Africa,,https://www.facebook.com/BuchanansBrewery/,18.8153,-33.9178
,Woodstock Brewery,brewpub,252 Albert Road,Woodstock,,Cape Town,Western Cape,7925,South Africa,+27 21 203 3046,https://woodstockbrewery.co.za/,18.4491,-33.9272
,Urban Brewing Company,micro,31 Heath Circle,Parklands,,Cape Town,Western Cape,7441,South Africa,+27 76 607 7226,https://urbanbrewing.co.za/,18.5126,-33.8118
