obdb_id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,country,longitude,latitude,tags
dongducheon-brewery-dongducheon-si,동두천브루어리(Dongducheon Brewery),brewpub,"293, Jungang-ro",,,Dongducheon-si,Gyeonggido,,11328,https://www.instagram.com/dongducheon_brewery/,031-827-1635,South Korea,127.0544792,37.90778029,
eight-people-brewery-namyangju-si,에잇피플 브루어리(Eight People Brewery),brewpub,"3, Jaejaegi-ro 190beonan-gil",Hwado-eup,,Namyangju-si,Gyeonggido,,12200,https://www.facebook.com/eightpeoplebrew/,031-595-5589,South Korea,127.3033051,37.61749196,
fundamental-brewing-co-suwon-si,펀더멘탈 브루잉(Fundamental Brewing Co.),brewpub,"61, Maeyeong-ro 269beon-gil",Yeongtong-gu,,Suwon-si,Gyeonggido,,16523,https://www.instagram.com/fundamental_brewing_co/,050-71319-7808,South Korea,127.0677246,37.25978047,
goodman-brewery-guri-si,굿맨브루어리(Goodman Brewery),brewpub,"46-4, Donggureung-ro 389beon-gil",,,Guri-si,Gyeonggido,,11905,http://goodmanbrewery.co.kr/,031-572-6376,South Korea,127.1395861,37.63278304,
haystack-brewery-seongnam-si,헤이스탁 브루어리(Haystack Brewery),brewpub,"25, Pangyogongwon-ro 3-gil",Bundang-gu,,Seongnam-si,Gyeonggido,,13477,,070-7631-1110,South Korea,127.0890607,37.39125615,
hiddentrack-brewing-co-yangju-si,히든트랙브루잉(Hiddentrack Brewing Co.),brewpub,"1754, Hwahap-ro",,,Yangju-si,Gyeonggido,,11475,http://www.hiddentrackbrewing.com,070-4286-9193,South Korea,127.1009756,37.84016888,
kraemerlee-brewery-gapyeong-gun,크래머리 브루어리(Kraemerlee Brewery),brewpub,"429, Cheonggun-ro",Sang-myeon,,Gapyeong-gun,Gyeonggido,,12446,https://www.instagram.com/kraemerlee/,031-585-5977,South Korea,127.3943665,37.7603212,
magictree-brewery-yongin-si,매직트리브루어리(Magictree Brewery),brewpub,"39, Baengnyeong-ro",Cheoin-gu,,Yongin-si,Gyeonggido,,17042,https://magictreebrewery.com/,031-338-2337,South Korea,127.1922904,37.26293486,
playground-brewery-goyang-si,플레이그라운드(playground Brewery),brewpub,"246-13, Isanpo-gil",Ilsanseo-gu,,Goyang-si,Gyeonggido,,10203,https://www.playgroundbrewery.com/,031-912-2463,South Korea,126.7020113,37.66779467,
vaneheim-brewery-namyangju-si,바네하임브루어리(Vaneheim Brewery),micro,"65-1, Naegak 1-ro 73beon-gil",Jinjeop-eup,,Namyangju-si,Gyeonggido,,12071,http://vaneheimbeer.com/,031-529-8003,South Korea,127.1616309,37.70915976,
