id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
19ff5276-c1b2-423a-b6ac-ae47f97efc96,137:ans,micro,Oxbacksgatan 6,,,Södertälje,Stockholm County,15173,Sweden,,https://www.137ansbar.com/,,
ab678084-5320-402c-ab81-ab0d936e02c8,Beer Barons,micro,Fraktflygargatan 2,Flygeleven 3,Lokal 16,Skarpnäck,Stockholm County,12830,Sweden,,https://www.beerbarons.se/,,
53a7328d-21e1-49ad-86db-dc0afbe1178d,Bryggeri Munkbron,micro,Lilla Nygatan 2,,,Stockholm,Stockholm County,11128,Sweden,,https://www.munkbron.com/,,
397a2aaa-4aaa-40e5-a6a7-68380cbac4fd,Ekerö Brygghus,micro,Fladenvägen 2,,,Ekerö,Stockholm County,17831,Sweden,,https://www.ekerobrygghus.com/,,
adb69d0a-d35e-4a13-b38a-34ef3d3d4f09,Fjäderholmarnas Bryggeri,micro,Stora Fjäderholmen,,,Stockholm,Stockholm County,10005,Sweden,,https://www.fjaderholmarnasbryggeri.se/,,
62126ec0-49a3-458f-9f0c-b21a3679a491,Gamla Enskede Bryggeri,micro,Bolidenvägen 8,,,Johanneshov,Stockholm County,12163,Sweden,,https://gamlaenskedebryggeri.se/,,
c3a994d7-61bc-488c-a143-d6ce5a8b74e9,Gamla Hesselby bryggeri,micro,Lindaus väg 2,,,Hässelby,Stockholm County,16572,Sweden,,https://www.hesselbybryggeri.se/,,
d607dfb5-cc03-46d0-8e14-de23a2e9814e,Macken Bryggeri AB,micro,Gustafsvägen 9,,,Solna,Stockholm County,16958,Sweden,,https://mackenbryggeri.se/,,
46422c5f-b0a3-4f56-aa8c-87935c33ce79,Nacka Bryggeri,micro,Brantvägen 3,,,Saltsjöbaden,Stockholm County,13342,Sweden,,https://nackabryggeri.se/,,
8d71fb95-74e0-45b3-9990-aacf86c442ea,Nya Carnegiebryggeriet,micro,Ljusslingan 15,,,Stockholm,Stockholm County,12064,Sweden,,https://www.nyacarnegiebryggeriet.se/en/start/,,
d156e5bc-e715-4275-a3f4-00970d8d5e98,Nynäshamns Ångbryggeri,micro,Lövlundsvägen 2-4,,,Nynäshamn,Stockholm County,14935,Sweden,,https://www.nyab.se/,,
44cff5ad-7a9a-462b-a88e-1217c07ad943,Ölkemi Bryggeri,micro,Rutger Fuchsgatan 5,,,Stockholm,Stockholm County,11667,Sweden,,https://olkemi.se/,,
078d821c-b1f5-49f4-b856-c47b6ce2e164,Omnipollo,micro,Sturegatan 41,,,Sundbyberg,Stockholm County,17231,Sweden,,https://omnipollo.com/,,
68060901-730c-4a93-a6d8-700b444b9c39,PangPang Brewery,micro,Stadsbudsvägen 1,,,Farsta,Stockholm County,12358,Sweden,,https://www.pangpangbrewery.se/,,
82d01186-6b99-453e-ad39-17f11727f86d,Roslagens Brygghus,micro,Starrmora 20,,,Riala,Stockholm County,76113,Sweden,,https://www.roslagensbrygghus.se/,,
993c70f5-bad5-4641-b32d-4a5c0e3b3901,Roslags Näsby Bryggeri,micro,Pentavägen 5A,,,Täby,Stockholm County,18730,Sweden,,https://www.rnbrygg.se/,,
55d30b18-8c5e-47fb-8749-e7dd98f2f8e9,Sigtuna Brygghus,micro,Ahrensbergs brygga 4-14,,,Arlandastad,Stockholm County,19561,Sweden,,https://sigtunabrygghus.se/,,
00151c70-e5b9-4867-be6f-d7af471bf3eb,Skebo Bruksbryggeri,micro,Brobyvägen 16,,,Skebobruk,Stockholm County,76393,Sweden,,https://www.skebobruksbryggeri.se/,,
3c12b1c7-2dfe-4fe7-b8f8-c16ef4fbc848,Smakverkstan Bryggeri,micro,Rimmargatan 16,,,Bromma,Stockholm County,16771,Sweden,,https://www.smakverkstan.se/,,
a74006fa-c545-4d41-853b-48a1ec674d0f,Södra Maltfabriken,micro,Kilowattvägen 12,,,Handen,Stockholm County,13644,Sweden,,https://www.sodramalt.se/,,
ed90d723-97ac-4d25-9cc3-213185821801,Solna Bryggeri,micro,Stjärntorget 2,,,Solna,Stockholm County,16979,Sweden,,https://www.solnabryggeri.se/,,
225b1f00-4873-4acb-bec9-69e4ca80ac12,Sthlm Brewing Co. AB,micro,Frihamnsgatan 26A,,,Stockholm,Stockholm County,11556,Sweden,,https://www.stockholmbrewing.com/,,
780b5a9a-f4d8-4e4d-b513-5712112bc6da,Television Brewing Co,micro,Västmannagatan 69,,,Stockholm,Stockholm County,11326,Sweden,,https://www.televisionbrew.com/,,
094ea5a3-f86e-473c-9151-b9689c5ddbf9,Unibärsum,micro,Fraktflygargatan 2,,,Skarpnäck,Stockholm County,12830,Sweden,,https://www.unibarsum.com/,,
f29e7c2e-572b-4a88-bb65-48bbb92ccd62,Värmdö Bryggeri AB,micro,Leveransvägen 15,,,Gustavsberg,Stockholm County,13445,Sweden,,https://www.varmdobryggeri.se/,,
6625cea4-b036-4971-8ceb-6b9111d94580,Waxholms Bryggeri,micro,Hus 105,,,Vaxholm,Stockholm County,18541,Sweden,,https://www.waxholmsbryggeri.se/,,
