id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
,137:ans,micro,Oxbacksgatan 6,,,Södertälje,Stockholm County,15173,Sweden,,https://www.137ansbar.com/,,
,Beer Barons,micro,Fraktflygargatan 2,Flygeleven 3,Lokal 16,Skarpnäck,Stockholm County,12830,Sweden,,https://www.beerbarons.se/,,
,Bryggeri Munkbron,micro,Lilla Nygatan 2,,,Stockholm,Stockholm County,11128,Sweden,,https://www.munkbron.com/,,
,Ekerö Brygghus,micro,Fladenvägen 2,,,Ekerö,Stockholm County,17831,Sweden,,https://www.ekerobrygghus.com/,,
,Fjäderholmarnas Bryggeri,micro,Stora Fjäderholmen,,,Stockholm,Stockholm County,10005,Sweden,,https://www.fjaderholmarnasbryggeri.se/,,
,Gamla Enskede Bryggeri,micro,Bolidenvägen 8,,,Johanneshov,Stockholm County,12163,Sweden,,https://gamlaenskedebryggeri.se/,,
,Gamla Hesselby bryggeri,micro,Lindaus väg 2,,,Hässelby,Stockholm County,16572,Sweden,,https://www.hesselbybryggeri.se/,,
,Macken Bryggeri AB,micro,Gustafsvägen 9,,,Solna,Stockholm County,16958,Sweden,,https://mackenbryggeri.se/,,
,Nacka Bryggeri,micro,Brantvägen 3,,,Saltsjöbaden,Stockholm County,13342,Sweden,,https://nackabryggeri.se/,,
,Nya Carnegiebryggeriet,micro,Ljusslingan 15,,,Stockholm,Stockholm County,12064,Sweden,,https://www.nyacarnegiebryggeriet.se/en/start/,,
,Nynäshamns Ångbryggeri,micro,Lövlundsvägen 2-4,,,Nynäshamn,Stockholm County,14935,Sweden,,https://www.nyab.se/,,
,Omnipollo,micro,Sturegatan 41,,,Sundbyberg,Stockholm County,17231,Sweden,,https://omnipollo.com/,,
,PangPang Brewery,micro,Stadsbudsvägen 1,,,Farsta,Stockholm County,12358,Sweden,,https://www.pangpangbrewery.se/,,
,Roslagens Brygghus,micro,Starrmora 20,,,Riala,Stockholm County,76113,Sweden,,https://www.roslagensbrygghus.se/,,
,Roslags Näsby Bryggeri,micro,Pentavägen 5A,,,Täby,Stockholm County,18730,Sweden,,https://www.rnbrygg.se/,,
,Sigtuna Brygghus,micro,Ahrensbergs brygga 4-14,,,Arlandastad,Stockholm County,19561,Sweden,,https://sigtunabrygghus.se/,,
,Skebo Bruksbryggeri,micro,Brobyvägen 16,,,Skebobruk,Stockholm County,76393,Sweden,,https://www.skebobruksbryggeri.se/,,
,Smakverkstan Bryggeri,micro,Rimmargatan 16,,,Bromma,Stockholm County,16771,Sweden,,https://www.smakverkstan.se/,,
,Solna Bryggeri,micro,Stjärntorget 2,,,Solna,Stockholm County,16979,Sweden,,https://www.solnabryggeri.se/,,
,Sthlm Brewing Co. AB,micro,Frihamnsgatan 26A,,,Stockholm,Stockholm County,11556,Sweden,,https://www.stockholmbrewing.com/,,
,Södra Maltfabriken,micro,Kilowattvägen 12,,,Handen,Stockholm County,13644,Sweden,,https://www.sodramalt.se/,,
,Television Brewing Co,micro,Västmannagatan 69,,,Stockholm,Stockholm County,11326,Sweden,,https://www.televisionbrew.com/,,
,Unibärsum,micro,Fraktflygargatan 2,,,Skarpnäck,Stockholm County,12830,Sweden,,https://www.unibarsum.com/,,
,Värmdö Bryggeri AB,micro,Leveransvägen 15,,,Gustavsberg,Stockholm County,13445,Sweden,,https://www.varmdobryggeri.se/,,
,Waxholms Bryggeri,micro,Hus 105,,,Vaxholm,Stockholm County,18541,Sweden,,https://www.waxholmsbryggeri.se/,,
,Ölkemi Bryggeri,micro,Rutger Fuchsgatan 5,,,Stockholm,Stockholm County,11667,Sweden,,https://olkemi.se/,,
