id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
siluria-brewing-company,Siluria Brewing Company,planning,,,,Alabaster,Alabama,,35007-8501,http://www.siluriabrewing.com,2054827661,2018-07-24 01:32:48,2018-08-23 23:20:27,United States,-86.8163773,33.244281300000004,
cheaha-brewing-co,Cheaha Brewing Co,brewpub,1208 Walnut Ave,,,Anniston,Alabama,,36201-4526,http://www.cheahabrewingcompany.com,2567707300,2018-07-24 01:32:47,2018-08-23 23:20:09,United States,-85.83377405,33.6601671,
avondale-brewing-co,Avondale Brewing Co,micro,201 41st St S,,,Birmingham,Alabama,,35222-1932,http://www.avondalebrewing.com,2057775456,2018-07-24 01:32:47,2018-08-23 23:19:58,United States,-86.774322,33.524521,
trim-tab-brewing,Trim Tab Brewing,micro,2721 5th Ave S,,,Birmingham,Alabama,,35233-3401,http://www.trimtabbrewing.com,2057030536,2018-07-24 01:32:48,2018-08-23 23:20:31,United States,-86.79140006,33.51284923,
cahaba-brewing-co,Cahaba Brewing Co,micro,4500 5th Ave S Ste C,,,Birmingham,Alabama,,35222-2911,http://www.cahababrewing.com,2059669444,2018-07-24 01:32:47,2018-08-11 21:35:44,United States,,,
red-hills-brewing-co,Red Hills Brewing Co,micro,2823 Central Ave Ste 107,,,Birmingham,Alabama,,35209-2581,http://www.redhillsbrew.com,2055822897,2018-07-24 01:32:48,2018-08-11 21:35:44,United States,,,
birmingham-district-brewing,Birmingham District Brewing,planning,,,,Birmingham,Alabama,,35242-5651,,6019380486,2018-07-24 01:32:47,2018-08-23 23:20:02,United States,-86.80243259999997,33.5206824,
brewpub-in-planning-birmingham,Brewpub In Planning - Birmingham,planning,,,,Birmingham,Alabama,,35222,,2565854531,2018-07-24 01:32:47,2018-08-23 23:20:05,United States,-86.80243259999997,33.5206824,
ghost-train-brewing-co,Ghost Train Brewing Co,micro,2616 3rd Ave S,,,Birmingham,Alabama,,35233-2619,http://www.ghosttrainbrewing.com,2053702487,2018-07-24 01:32:48,2018-08-23 23:20:15,United States,-86.79406151,33.51415935,
good-people-brewing-co,Good People Brewing Co,micro,114 14th St S,,,Birmingham,Alabama,,35233-1415,http://www.goodpeoplebrewing.com,6154984165,2018-07-24 01:32:48,2018-08-23 23:20:17,United States,-86.81217995,33.50759461,
goat-island-brewing,Goat Island Brewing,micro,1646 A John H Cooper Drive,,,Cullman,Alabama,,35055,http://www.goatislandbrewing.com,2565909081,2018-07-24 01:32:48,2018-08-11 21:35:44,United States,,,
cross-eyed-owl-brewing-co,Cross-Eyed Owl Brewing Co.,micro,105 1st Ave NE,,,Decatur,Alabama,,35601-2301,http://www.xeobrewing.com,2564310931,2018-07-24 01:32:47,2018-08-23 23:20:11,United States,-86.98663302,34.60412065,
folklore-brewing,Folklore Brewing,micro,153 Mary Lou Ln,,,Dothan,Alabama,,36301-9521,http://www.folklorebrewing.com,3347022337,2018-07-24 01:32:48,2018-08-11 21:35:44,United States,,,
fairhope-brewing-co,Fairhope Brewing Co,micro,914 Nichols Ave,,,Fairhope,Alabama,,36532-3684,,2512797517,2018-07-24 01:32:47,2018-08-23 23:20:13,United States,-87.898282,30.516291,
bluewater-brewing-co,Bluewater Brewing Co,micro,318 S Royal Ave,,,Florence,Alabama,,35630-4810,http://www.facebook.com/pg/BluewaterBrewingCompanyInc,2562751221,2018-07-24 01:32:47,2018-08-23 23:20:04,United States,-87.65970529,34.804129499999995,
singin-river-brewing-company-llc,"Singin' River Brewing Company, LLC",micro,526 E College St,,,Florence,Alabama,,35630-5764,http://www.singinriverbrewing.com,2567600000,2018-07-24 01:32:48,2018-08-23 23:20:28,United States,-87.66892994,34.8016657,
back-forty-beer-co,Back Forty Beer Co,micro,200 N 6th St,,,Gadsden,Alabama,,35901-3361,http://www.backfortybeer.com,2564674912,2018-07-24 01:32:47,2018-08-23 23:19:59,United States,-86.00500600000002,34.016888,
