id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
fb94830f-6196-4f59-9189-c9060b778085,12 West Brewing Company,micro,3000 E Ray Rd Bldg 6,,,Gilbert,Arizona,85296-7832,United States,6023395014,http://www.12westbrewing.com,,
0faa0fb2-fffa-416d-9eab-46f67477c8ef,12 West Brewing Company - Production Facility,micro,,,,Mesa,Arizona,85207,United States,,,-111.5860662,33.436188
d4bfa9cb-0989-45ac-9898-29564183d462,12 West Brewing Company - Production Facility,micro,7733 E McDowell Rd,,,Mesa,Arizona,85207,United States,,,-111.663779,33.465648
4f4b5b34-d572-4dff-a18f-47e507c073e6,1912 Brewing,taproom,2045 N Forbes Blvd Ste 105,,,Tucson,Arizona,85745-1444,United States,5202564851,http://www.1912brewing.com,-110.993874,32.24646
eef94d73-65e8-4d94-b1de-0d4b45efe090,8-Bit Aleworks,micro,1050 N Fairway Dr Bldg F Ste 10,,,Avondale,Arizona,85323-5206,United States,6239251650,http://www.8-bitaleworks.com,,
7e532466-0153-43ac-8be7-2ed9ead3b5a1,8-Bit Aleworks,taproom,1050 N Fairway Dr Bldg F Ste 101,,,Avondale,Arizona,85323-5206,United States,6239251650,http://www.8-bitaleworks.com,-112.326034,33.453571
ddbf9024-d400-4662-99a0-6b1267e10efd,Ad Astra Brewing Company,taproom,123 n Cortez st.,,,Prescott,Arizona,86301,United States,9513977303,http://adastrabrewing.com,-112.468404,34.543206
db4376f1-207f-4e17-ac91-70a15757e6bf,AFT Brewery,micro,19312 E Calle De Flores,,,Queen Creek,Arizona,85142-9780,United States,6026289036,http://aftbrewery.com,-111.666139,33.237522
264be80a-dc5e-40cf-93f9-cd4914656440,Arizona Craft Brewing,micro,"473 Elgin Road, Suite BH",,,Elgin,Arizona,85611,United States,520369342,,,
701f00a8-fa71-4b74-9fb9-cf82c24c5b38,Arizona Wilderness Brewing,brewpub,912 N Colorado St.,,,Gilbert,Arizona,85233-3405,United States,4804972739,http://Azwbeer.com,-111.839348,33.366262
