id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
12-west-brewing-company-gilbert,12 West Brewing Company,micro,3000 E Ray Rd Bldg 6,,,Gilbert,Arizona,,85296-7832,http://www.12westbrewing.com,6023395014,2018-07-24 01:32:49,2018-08-11 21:35:46,United States,,,
12-west-brewing-company-production-facility-mesa,12 West Brewing Company - Production Facility,micro,,,,Mesa,Arizona,,85207,,,2018-07-24 01:32:49,2018-08-23 23:21:10,United States,-111.5860662,33.436188,
1912-brewing-tucson,1912 Brewing,micro,2045 N Forbes Blvd Ste 105,,,Tucson,Arizona,,85745-1444,http://www.1912brewing.com,5202564851,2018-07-24 01:32:49,2018-08-23 23:21:11,United States,-110.9927505,32.24673727,
8-bit-aleworks-avondale,8-Bit Aleworks,micro,1050 N Fairway Dr Bldg F Ste 10,,,Avondale,Arizona,,85323-5206,http://www.8-bitaleworks.com,6239251650,2018-07-24 01:32:49,2018-08-11 21:35:46,United States,,,
arizona-craft-brewing-elgin,Arizona Craft Brewing,micro,"473 Elgin Road, Suite BH",,,Elgin,Arizona,,85611,,520369342,2018-07-24 01:32:49,2018-08-11 21:35:46,United States,,,
arizona-wilderness-brewing-gilbert,Arizona Wilderness Brewing,brewpub,721 N Arizona Ave,,,Gilbert,Arizona,,85233-3405,http://Azwbeer.com,4804972739,2018-07-24 01:32:49,2018-08-11 21:35:46,United States,,,
bad-water-brewing-scottsdale,Bad Water Brewing,contract,4216 N Brown Ave,,,Scottsdale,Arizona,,85251-3914,http://www.badwaterbrewing.com,5207459175,2018-07-24 01:32:49,2018-08-23 23:21:15,United States,-111.9244743,33.49726157,
barley-brothers-brewery-lake-havasu-city,Barley Brothers Brewery,brewpub,1425 McCulloch Blvd N,,,Lake Havasu City,Arizona,,86403-6597,http://www.barleybrothers.com,9285057837,2018-07-24 01:32:49,2018-08-23 23:21:16,United States,-114.3206399,34.4770677,
barnstar-brewing-skull-valley,Barnstar Brewing,micro,4050 North Tonto Road (Forest Service Rd.102),,,Skull Valley,Arizona,,86338,http://www.barnstarbrew.com,9284422337,2018-07-24 01:32:49,2018-08-11 21:35:47,United States,,,
barrio-brewing-co-tucson,Barrio Brewing Co,micro,800 E 16th St,,,Tucson,Arizona,,85719-6603,http://www.barriobrewing.co,5207912739,2018-07-24 01:32:49,2018-08-23 23:21:18,United States,-110.959665,32.214613,
beaver-street-brewery-flagstaff,Beaver Street Brewery,brewpub,11 S Beaver St Ste 1,,,Flagstaff,Arizona,,86001-5500,http://www.beaverstreetbrewery.com,9287790079,2018-07-24 01:32:49,2018-08-11 21:35:47,United States,,,
beer-research-institute-the-mesa,"Beer Research Institute, The",brewpub,1641 S Stateley Dr Ste 104,,,Mesa,Arizona,,85204,http://www.bri.beer,4808922020,2018-07-24 01:32:49,2018-08-11 21:35:47,United States,,,
bjs-restaurant-brewery-chandler-chandler,BJs Restaurant & Brewery - Chandler,brewpub,3155 W Chandler Blvd,,,Chandler,Arizona,,85226-5175,http://www.bjsrestaurants.com,4809170631,2018-07-24 01:32:49,2018-08-23 23:21:21,United States,-111.911126,33.3053455,
black-bridge-brewery-kingman,Black Bridge Brewery,micro,421 E Beale St,,,Kingman,Arizona,,86401-5833,http://www.blackbridgebrewery.com,9283773618,2018-07-24 01:32:49,2018-08-23 23:21:22,United States,-114.051737,35.1895877,
black-horse-brewery-show-low,Black Horse Brewery,micro,1058 Burton Rd,,,Show Low,Arizona,,85901-3924,http://www.blackhorsebrewery.us,9285379349,2018-07-24 01:32:49,2018-08-11 21:35:47,United States,,,
blackrock-brewers-tucson,BlackRock Brewers,micro,1664 S Research Loop Ste 200,,,Tucson,Arizona,,85710-6767,http://www.brb.beer,5202073203,2018-07-24 01:32:49,2018-08-23 23:21:24,United States,-110.8217786,32.20160831,
blasted-barley-beer-company-tempe,Blasted Barley Beer Company,brewpub,404 S Mill Ave Ste 101,,,Tempe,Arizona,,85281-2879,http://www.blastedbarley.com,4809675887,2018-07-24 01:32:49,2018-08-11 21:35:47,United States,,,
borderlands-brewing-co-tucson,Borderlands Brewing Co,micro,119 E Toole Ave,,,Tucson,Arizona,,85701-1210,http://www.borderlandsbrewing.com,5202618773,2018-07-24 01:32:49,2018-08-23 23:21:26,United States,-110.9676305,32.22334681,
button-brew-house-llc-tucson,"Button Brew House, LLC",micro,6800 N Camino Martin Ste 160,,,Tucson,Arizona,,85741-2395,http://www.button.beer,5202688543,2018-07-24 01:32:49,2018-08-11 21:35:47,United States,,,
