id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
ef970757-fe42-416f-931d-722451f1f59c,10 Barrel Brewing Co,large,1501 E St,,,San Diego,California,92101-6618,United States,6195782311,http://10barrel.com,-117.129593,32.714813
5ae467af-66dc-4d7f-8839-44228f89b596,101 North Brewing Company,closed,1304 Scott St Ste D,,,Petaluma,California,94954-7100,United States,7077534934,http://www.101northbeer.com,-122.665055,38.27029381
4788221a-a03b-458c-9084-4cadd69ade6d,14 Cannons Brewing Company,micro,31125 Via Colinas Ste 907,,,Westlake Village,California,91362-3974,United States,8186996165,http://14cannons.com,-118.802397,34.15334
fe6b9893-b93e-43d5-a9f6-3e0c89a3f13c,1850 Brewing Company,micro,,,,Mariposa,California,95338,United States,,http://www.1850restaurant.com,-119.9036592,37.570148
5ec3b488-48bd-49a7-9828-05bd90195cd5,2 Tread Brewing Co,brewpub,1018 Santa Rosa Plz,,,Santa Rosa,California,95401-6399,United States,4152330857,http://www.2treadbrewing.com,-122.7167729,38.4387767
63baab9a-b561-4eff-8619-f95290a61b77,21st Amendment Brewery,regional,2010 Williams St Unit A,,,San Leandro,California,94577-2334,United States,5105952111,http://www.21st-Amendment.com,-122.1772928,37.71130036
8f9621dc-da98-4ddb-82a1-039c9e2b3224,21st Amendment Brewery Cafe,brewpub,563 2nd St,,,San Francisco,California,94107-1411,United States,4153690900,http://www.21st-amendment.com,-122.3925769,37.782448
5fdcc498-f9df-4fa5-b35d-487a59f0fecc,2Kids Brewing Company,micro,8680 Miralani Dr Ste 123,,,San Diego,California,92126-6391,United States,8584805437,http://www.2kidsBrewing.com,-117.137429,32.896584
60c00c0b-b797-4f6a-b442-3bfbaec156ca,3 Disciples Brewing,micro,,,,Sebastopol,California,95472-5937,United States,7072287309,http://www.3disciplesbrewing.com/home,-122.8332502,38.3845125
a74744eb-ca98-43c5-9199-09df39f8b400,3 Iron Brewing Company,micro,898 Via Lata Ste A,,,Colton,California,92324-3920,United States,9095334892,http://www.3ironbrewingco.com,-117.3066993,34.05616889
3b0b5b9b-f6d8-49e3-8ebd-0bcef6939bcd,32 North Brewing Co,brewpub,8655 Production Ave Ste A,,,San Diego,California,92121-2258,United States,(619) 363-2622,https://42northbrewing.com,-117.1649842,32.88313237
b7f2ebb8-6764-4654-a98b-246724c8952a,411 Broadway Ales,planning,,,,Fresno,California,93721-2801,United States,5412706076,,-119.7088613,36.7295295
6b892c61-269b-453f-acd1-b79491b0ef0b,47 Hills Brewing Co,brewpub,137 S Linden Ave,,,South San Francisco,California,94080-6410,United States,6508678476,http://47hillsbrewingcompany.com,-122.4136168,37.64425595
7e12d827-22dc-4d07-8715-8192c9680b23,5150 Brewing At The Brass Tap Rocklin,micro,5150 Commons Dr Ste 101,,,Rocklin,California,95677-3925,United States,9162462729,http://www.brasstaprocklin.com,-121.207331,38.8047402
4a4baf4f-921c-46c0-9130-afcc4ce4f4d2,559 Local Brewing,micro,608 4th St,,,Clovis,California,93612-1183,United States,5594731875,http://www.fresnobrewingcompany.com,-119.7017487,36.82517171
af6cb069-b61a-4c69-8fd2-0a5f87c11a17,6th and La Brea,brewpub,600 South La Brea Ave,,,Los Angeles,California,90036,United States,,http://www.6thlabrea.com,-118.3440213,34.0730485
a3a1eac7-b858-4bdd-81ac-c2099b717da2,7 Sisters Brewing Co,brewpub,181 Tank Farm Rd Ste 110,,,San Luis Obispo,California,93401-7082,United States,8058687133,http://www.7sistersbrewing.com,-120.6706375,35.2467278
c6a766f9-a187-4e5b-9519-6c737ce0cde5,8 Bit Brewing Company,brewpub,26755 Jefferson Ave Ste F,,,Murrieta,California,92562-6941,United States,9516772322,http://www.8bitbrewerycompany.com,-117.1762542,33.53033448
3055793c-9330-4fe1-958b-fef6d2a0e057,8one8 Brewing Company,micro,8951 de Soto Ave,,,Canoga Park,California,91304-5901,United States,8188352286,http://www.818brewing.com,-118.5885323,34.2218019
de6341a8-881b-4d9f-9335-5e9203e8a2c3,927 Beer Company,micro,821 Cornwall St,,,Cambria,California,93428-2434,United States,8052035265,http://www.cambriabeerco.com,-121.0985408,35.5666725
e2fa853c-ca91-4043-878d-0bcee9900ea3,Abigaile,brewpub,1301 Manhattan Ave,,,Hermosa Beach,California,90254-3666,United States,3107988227,http://abigailrestaurant.com,-118.4048656,33.8734519
4db32843-26ff-4e73-9e24-1cb874109b24,Abnormal Beer Company,micro,16990 Via Tazon Ste 123,,,San Diego,California,92127-1649,United States,8586182463,http://abnormalbeer.co,-117.08575,33.02391
67525d30-1f18-4f03-a8ba-28a1153955eb,Absolution Brewing Co,micro,2878 Columbia St,,,Torrance,California,90503-3808,United States,3104904860,http://www.absolutionbrewingcompany.com,-118.3378601,33.8431391
600f88e5-9dc9-4a41-b54e-909c292ba4bb,Absolution By the Sea,brewpub,7536 Fay Ave,,,La Jolla,California,92037-4839,United States,6192024152,,-117.2740167,32.84083388
2fe1e670-d832-4ba5-b957-f86a09ee062d,Acoustic Ales Brewing Experiment,closed,1795 Hancock St Ste P1,,,San Diego,California,92110-2006,United States,6192992537,http://www.acousticales.com,-117.1840465,32.74219079
2861f9b7-ebe4-49a5-a047-8aa0c142dbf3,Adobe Creek Brewing Company,micro,67 Galli Dr Ste E,,,Novato,California,94949-5718,United States,4155064565,http://www.adobecreekbrewing.com,-122.5358157,38.07349982
333c81a4-9bcd-4699-b28a-2c49dd696596,Aftershock Brewing Co,micro,28822 Old Town Front St Ste 107,,,Temecula,California,92590-2893,United States,9519722256,http://www.aftershockbrewingco.com,-117.1485306,33.49310382
6fbd1118-ceea-4be9-a784-45dd623f16f0,Alameda Island Brewing Company,micro,1716 Park St,,,Alameda,California,94501-1416,United States,5102178885,http://www.alamedaislandbrewingcompany.com,-122.2394506,37.76833631
aa3c4d60-4fb2-49e2-980c-6a61672d90cb,Alaro Craft Brewery,brewpub,2004 Capitol Ave,,,Sacramento,California,95811,United States,9164367711,http://www.alarobrewing.com,-121.4811835,38.57323961
e13a5403-3cd7-4dbf-92f1-e48d0f26c750,Ale House Brewing Co,micro,,,,San Jose,California,95118-1605,United States,4083907574,,-121.8905833,37.3361905
13f19f47-cac4-44df-b4f3-728e4dcde6c5,Ale Industries,micro,3096 E 10th St,,,Oakland,California,94601-2960,United States,9254705280,http://www.aleindustries.com,-122.2281897,37.7761111
f8097dbc-c8e6-4068-9540-5c4bd4ac0bcf,AleSmith Brewing Co,regional,9990 Alesmith Ct,,,San Diego,California,92126-4200,United States,8585499888,http://www.alesmith.com,-117.1495496,32.88858458
68b447a3-c65c-459f-8d02-334757bc6f71,Align Brewing Co,micro,8680 Miralani Dr,,,San Diego,California,92126-6300,United States,,http://www.facebook.com/alignbrewing,-117.137429,32.896584
82ea8f08-2026-43f8-b1a7-cc57ebe8c0bb,All-American Ale Works,micro,5120 E La Palma Ave Ste 103,,,Anaheim,California,92807-2082,United States,9517412771,http://www.all-americanaleworks.com,-117.8056915,33.85925032
9a6f84d7-194b-426d-999f-c1be9beb835d,Almanac Beer Company,micro,651B W Tower Ave,,,Alameda,California,94501-5047,United States,4159326531,http://almanacbeer.com,-122.3062832,37.78344977
30ef2457-11c4-48ef-ae58-37109ceda4c7,Alosta Brewing Co,micro,692 Arrow Grand Cir,,,Covina,California,91722-2122,United States,9094558707,http://www.alostabrewing.com,-117.8781466,34.10365026
abe71cdf-8c92-4be2-adac-902d1a14e7bb,Alpenglow Beer Co,contract,,,,Lafayette,California,94549-4621,United States,,http://www.buckwildbrew.com,-122.1180201,37.8857582
dc9fb80b-fb92-47c2-8b13-9a6f6990f99e,Alpha Acid Brewing Co,micro,121 Industrial Way Ste 12,,,Belmont,California,94002-8208,United States,6503944728,,-122.2655717,37.52125155
1d7c2273-8031-40d2-bb50-7f518722e291,Alpine Beer Company,brewpub,6550 Mira Mesa Blvd,,,San Diego,California,92121-4100,United States,6194452337,http://www.alpinebrewing.com,-117.113975,32.9167796
728f9750-1c56-48be-9f96-b26d04215958,Alta Brewing Company,micro,1983 Julian Avenue,,,San Diego,California,92113-1125,United States,6197957300,http://www.altabrewing.com,-117.1414712,32.7018758
ce487823-fb0a-4ad9-b3de-2f2ec4ce0631,Altamont Beer Works,micro,2402 Research Dr,,,Livermore,California,94550-3850,United States,9254432337,http://www.altamontbeerworks.com,-121.7210974,37.67839114
7d0a71c4-cec0-431b-be2f-d125a9b9a44b,Alvarado Street Brewery,micro,1315 Dayton St Ste E,,,Salinas,California,93901-4400,United States,,,-121.6305329,36.64880356
08bf17d8-5f8f-40bc-88cb-5661f0791b35,Alvarado Street Brewery & Grill,brewpub,426 Alvarado St,,,Monterey,California,93940-2711,United States,8316552337,,-121.8946096,36.59857755
a649a8d5-f59e-4007-bf75-e1609ef76467,Amador Brewing Company,micro,9659 Main St,,,Plymouth,California,95669-9570,United States,2095071900,http://www.amadorbrewing.com,-120.849271,38.4808723
a580bbc1-343c-4213-968d-6f332755f739,Ambitious Ales,planning,,,,Long Beach,California,90807-2907,United States,7142962550,http://www.ambitiousales.com,-118.1580493,33.78538945
fd0d376e-1c1d-48ce-ba6f-897298c20b85,Amplified Ale Works,brewpub,4150 Mission Blvd Ste 208,,,San Diego,California,92109-5054,United States,6195871400,http://www.amplifiedales.com,-117.2511178,32.7719729
c3f5bb6a-c7f4-45a9-829c-3978625f111e,Amplified Ale Works Miramar Studio,brewpub,9030 Kenamar Dr Ste 309,,,San Diego,California,92121-2432,United States,6503804220,https://amplifiedales.com/,-117.1570695,32.88687598
f99c834f-df7e-41e9-8236-ce0d25e43189,Anacapa Brewing Co,brewpub,472 E Main St,,,Ventura,California,93001-2627,United States,8056432337,http://www.anacapabrewing.com,-119.2935874,34.28073347
e6663203-a997-403b-b130-63dd975b00c6,Anaheim Brewery,micro,336 S Anaheim Blvd,,,Anaheim,California,92805-3830,United States,7147801888,http://www.anaheimbrew.com,-117.9125249,33.8328226
25809e1c-0c76-498b-8a57-d6b85ff24c3c,Anchor Brewing Co,large,1705 Mariposa St,,,San Francisco,California,94107-2334,United States,4158638350,http://www.anchorbrewing.com,-122.4011065,37.7630772
55bbdf14-e891-4572-9ed2-9c6bf25edda9,Anderson Valley Brewing Co,regional,17700 CA-253,,,Boonville,California,95415,United States,7078952337,http://www.avbc.com,-123.3560542,39.00141731
be95afe2-de19-4b3b-8c83-a24ac9cd4aa7,Angel City Brewery,micro,216 S Alameda St,,,Los Angeles,California,90012-4201,United States,2136221261,http://www.angelcitybrewery.com,-118.237715,34.04627065
5d0bfbaa-e738-4d5b-a68e-5cfea2116197,Angry Horse Brewing,micro,603 W Whittier Blvd,,,Montebello,California,90640-5235,United States,3235300015,http://angryhorsebrewing.com,-118.1003743,34.0084152
7d78f227-f2c5-4830-abb5-28a209de235d,Anheuser-Busch Inc - Los Angeles,large,15800 Roscoe Blvd,,,Van Nuys,California,91406-1350,United States,8189895300,,-118.4721072,34.2213918
2f7efc38-d4fd-47fc-bc1e-4b506fb6e66c,Anheuser-Busch Inc â Fairfield,large,3101 Busch Dr,,,Fairfield,California,94534-9726,United States,7074292000,,-122.0902992,38.2365838
