id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
lab-brewing-co-/-twisted-oak-tavern,LAB Brewing Co / Twisted Oak Tavern,brewpub,30105 Agoura Rd,,,Agoura Hills,California,,91301-2003,http://www.twistedoaktavern.pub,8187350091,2018-07-24 01:32:58,2018-08-23 23:58:41,United States,-118.7799133,34.14511931,
ladyface-ale-companie,Ladyface Ale Companie,brewpub,29281 Agoura Rd,,,Agoura Hills,California,,91301-2597,http://www.ladyfaceale.com,8184774566,2018-07-24 01:32:58,2018-08-23 23:58:42,United States,-118.76615359999998,34.14404216,
alameda-island-brewing-company,Alameda Island Brewing Company,micro,1716 Park St,,,Alameda,California,,94501-1416,http://www.alamedaislandbrewingcompany.com,5102178885,2018-07-24 01:32:51,2018-08-23 23:24:06,United States,-122.2394506,37.76833631,
almanac-beer-company,Almanac Beer Company,micro,651B W Tower Ave,,,Alameda,California,,94501-5047,http://almanacbeer.com,4159326531,2018-07-24 01:32:51,2018-08-23 23:24:12,United States,-122.3062832,37.78344977,
faction-brewing-co,Faction Brewing Co,micro,2501 Monarch St Ste 200,,,Alameda,California,,94501-5098,http://www.factionbrewing.com,5105232739,2018-07-24 01:32:55,2018-08-23 23:28:09,United States,-122.3097077,37.7866722,
stadium-brewing-co,Stadium Brewing Co,brewpub,26731 Aliso Creek Rd Ste C,,,Aliso Viejo,California,,92656-4811,http://www.stadiumbrewingco.com,9494489611,2018-07-24 01:33:01,2018-08-11 21:36:22,United States,,,
junction-brewery-and-grill,Junction Brewery & Grill,brewpub,110 W American Canyon Rd,,,American Canyon,California,,94503-4196,http://www.junctionbreweryandgrill.com,7076492285,2018-07-24 01:32:57,2018-08-23 23:58:13,United States,-122.261689,38.1658134,
back-street-brewery-and-tasting-room,Back Street Brewery & Tasting Room,micro,1884 S Santa Cruz St,,,Anaheim,California,,92805-6726,http://www.backstreetbrew.com,6572364050,2018-07-24 01:32:52,2018-08-23 23:24:46,United States,-117.8960894,33.79983678,
asylum-brewing,Asylum Brewing,micro,2970 E. La Palma Ave. Suite D,,,Anaheim,California,,92806,http://Www.asylumbrewing.beer,9494495191,2018-07-24 01:32:52,2018-08-11 21:35:55,United States,,,
anaheim-brewery,Anaheim Brewery,micro,336 S Anaheim Blvd,,,Anaheim,California,,92805-3830,http://www.anaheimbrew.com,7147801888,2018-07-24 01:32:52,2018-08-23 23:24:25,United States,-117.9125249,33.8328226,
ballast-point-brewing-company,Ballast Point Brewing Company,planning,,,,Anaheim,California,,92802-2294,,,2018-07-24 01:32:52,2018-08-23 23:24:51,United States,-117.911732,33.8347516,
bottle-logic-brewing,Bottle Logic Brewing,micro,1072 N Armando St,,,Anaheim,California,,92806-2605,http://www.bottlelogic.com,714660,2018-07-24 01:32:53,2018-08-23 23:25:50,United States,-117.8597226,33.8495705,
brewheim-brewing-company,Brewheim Brewing Company,planning,,,,Anaheim,California,,92806,http://www.brewheim.com,,2018-07-24 01:32:53,2018-08-23 23:26:10,United States,-117.911732,33.8347516,
bruery-terreux,Bruery Terreux,micro,1174 N Grove St,,,Anaheim,California,,92806-2129,http://www.thebruery.com,7149966258,2018-07-24 01:32:53,2018-08-23 23:26:18,United States,-117.8418759,33.85793692,
golden-road-brewing,Golden Road Brewing,large,2210 E Orangewood Ave,,,Anaheim,California,,92806,,7149124015,2018-07-24 01:32:56,2018-08-11 21:36:05,United States,,,
h2ops-llc,H2OPS LLC,planning,,,,Anaheim,California,,92808-1225,http://www.h2ops.com,7143924414,2018-07-24 01:32:56,2018-08-23 23:29:06,United States,-117.911732,33.8347516,
hoparazzi-brewing-co,Hoparazzi Brewing Co,micro,2910 E La Palma Ave Ste D,,,Anaheim,California,,92806-2618,,,2018-07-24 01:32:57,2018-08-11 21:36:07,United States,,,
karl-strauss-brewing-co-anaheim,Karl Strauss Brewing Co - Anaheim,brewpub,2390 E Orangewood Ave Ste 100,,,Anaheim,California,,92806-6141,,7149401772,2018-07-24 01:32:57,2018-08-11 21:36:10,United States,,,
legends-craft-brewery,Legends Craft Brewery,micro,1301 S Lewis St,,,Anaheim,California,,92805-6431,http://www.legendsbeer.com,8883270202,2018-07-24 01:32:58,2018-08-23 23:58:56,United States,-117.8980621,33.81628085,
noble-ale-works,Noble Ale Works,micro,1621 S Sinclair St Ste B,,,Anaheim,California,,92806-5947,http://www.noblealeworks.com,7146342739,2018-07-24 01:32:59,2018-08-11 21:36:14,United States,,,
all-american-ale-works,All-American Ale Works,micro,5120 E La Palma Ave Ste 103,,,Anaheim,California,,92807-2082,http://www.all-americanaleworks.com,9517412771,2018-07-24 01:32:51,2018-08-11 21:35:54,United States,,,
jt-schmids-restaurant-and-brewery,JT Schmids Restaurant & Brewery,brewpub,2610 E Katella Ave,,,Anaheim,California,,92806-5903,http://www.jtschmids.com,7146349200,2018-07-24 01:32:57,2018-08-23 23:58:11,United States,-117.8770639,33.805668299999994,
