id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
1988eb86-f0a2-4674-ba04-02454efa0d31,10 Barrel Brewing Co - Denver,large,2620 Walnut St,,,Denver,Colorado,80205-2231,United States,7205738992,,-104.9853655,39.7592508
4ffda196-dd59-44a5-9eeb-5f7fd4b58f5a,105 West Brewing Co,micro,1043 Park St,,,Castle Rock,Colorado,80109-1585,United States,3033257321,http://www.105westbrewing.com,-104.8667206,39.38269495
06e9fffb-e820-45c9-b107-b52b51013e8f,12Degree Brewing,brewpub,820 Main St,,,Louisville,Colorado,80027-1865,United States,3035791004,http://www.12degree.com,-105.1319826,39.9782443
4b677b60-fef1-42e2-90ef-dadc1bd7fb06,14er Brewing Company,proprietor,2801 Walnut St,,,Denver,Colorado,80205-2235,United States,7207731437,http://www.14erBrewing.com,-104.9839636,39.7614112
a1887b5a-0c21-43cf-9547-527b7c11dcf4,3 Freaks Brewing Co,micro,7140 E County Line Rd,,,Highlands Ranch,Colorado,80126-3926,United States,7202990994,http://www.3freaksbrewery.com,-104.9426656,39.5659575
2f6062af-4d6f-42b2-b4ad-626cf01a1fec,300 Suns Brewing Company,brewpub,335 1st Ave Unit C,,,Longmont,Colorado,80501-5958,United States,,http://www.300sunsbrewing.com,,
55de8d28-4231-4497-8ff7-3031e7bb3be5,38 State Brewing,micro,8071 S Broadway Ste A,,,Littleton,Colorado,80122-2730,United States,7206383678,http://www.38statebrew.com,,
dc652569-19d7-4f63-a999-3e8d5d6798c1,4 Noses Brewing Company,micro,8855 W 116th Cir Ste 3,,,Broomfield,Colorado,80021-2521,United States,7204602797,http://4nosesbrewing.com,,
dbf0d7e7-4e2c-4574-9dee-791d95496811,4B's Brewery,brewpub,215 W Main St,,,Cedaredge,Colorado,81413-3339,United States,9708567762,http://www.4bsbrewery.com,-107.925782,38.900614
e2bb50c4-260f-4f42-8306-392f7bd5f4ba,6 & 40 Brewery/Taproom,planning,,,,Lakewood,Colorado,80215-5548,United States,3032325347,http://www.tomsbrewshop.com,-105.1100582,39.6311085
8824022a-0fd9-4727-b6fa-b7aaf65eb043,7 Hermits Brewing Company,brewpub,PO Box 3186,,,Eagle,Colorado,81631-3186,United States,9704714979,http://www.7hermitsbrewing.com,,
b52bfb27-345f-4add-bfc3-1b6fc67ab55b,Acidulous Brewing Company,contract,6712 S Independence St,,,Littleton,Colorado,80128-4046,United States,3039952895,,-105.1059543,39.5383949
e77c24b4-8b21-4d28-a9c0-568623b77cd9,Aero Craft Brewing,planning,,,,Denver,Colorado,80212-2199,United States,3039185446,http://www.aerocraft.beer,-104.984696,39.7391428
9d64f11c-4f42-41c6-8ba7-768f7bf9ec13,Alpine Dog Brewing Co,micro,1505 N Ogden St,,,Denver,Colorado,80218-1405,United States,3038321245,http://www.alpinedogbrewery.com,,
6dcf0b1b-3933-4207-bf88-0a37ee98994a,Alternation Brewing Company,micro,1539 S Broadway,,,Denver,Colorado,80210-2607,United States,3038025340,http://www.alternationbrewing.com,-104.9876117,39.68866374
1a6103ad-023a-4710-988f-17e47a6732c2,Amalgam Brewing,proprietor,6381 Beach St Unit A,,,Denver,Colorado,80221-2036,United States,,http://www.amalgambrewing.com,,
c9b30f6c-608f-4762-b041-c4c91e8aeba2,Angry James Brewing Co,micro,421 Adams Ave,,,Silverthorne,Colorado,80498,United States,9704558800,http://www.angryjamesbrewing.com,-106.0764637,39.63306895
12bc86df-c66b-4fb9-9f84-5bb405ccb8b1,Anheuser-Busch Inc - Fort Collins,large,2351 Busch Dr,,,Fort Collins,Colorado,80524-9400,United States,9704904500,,-105.0019686,40.61817811
c498dd04-30b2-4f8f-b06b-c47a34dd61c7,Animas Brewing Co,brewpub,1560 E 2nd Ave,,,Durango,Colorado,81301-5186,United States,9704038850,http://www.animasbrewing.com,-107.8769912,37.27997215
051edb66-62ad-455e-a04a-d6a0e5fa4178,Asher Brewing Co,micro,4699 Nautilus Ct S Ste 104,,,Boulder,Colorado,80301-5306,United States,3035301381,http://asherbrewing.com,,
5b2501b2-d069-4e5f-8c6b-ef9f6ee408cd,Aspen Brewing Company,micro,404 Aspen Airport Business Ctr,,,Aspen,Colorado,81611-3530,United States,9709202739,http://www.aspenbrewingcompany.com,-106.8597747,39.22153402
325d44c0-53fb-4991-a694-659ac9f89fa9,Atom Brewing Company,micro,654 Moffat St,,,Erie,Colorado,80516,United States,8634120917,http://www.atombrewingcompany.com,-105.0542327,40.0488359
26567ffb-52fb-40b2-a31f-08f4ea3699b9,Atrevida Beer Company,micro,204 Mount View Ln Unit 3,,,Colorado Springs,Colorado,80908,United States,7192664200,http://www.atrevidabeerco.com,,
102c478e-ab27-4c8c-82c3-8eaee82959fa,Avalanche Brewing Co,brewpub,1067 Blair St,,,Silverton,Colorado,81433-0377,United States,9703875282,http://www.avalanchebrewing.com,-107.664791,37.8098899
d07100f1-ab4b-413e-bc07-045ee4d61fe6,Avant Garde Aleworks,micro,920 Dunraven St,,,Estes Park,Colorado,80517,United States,9705912700,https://avantgardealeworks.com,-105.5085669,40.3728533
3bde4342-bfc1-49cb-9b40-7fb1aef26886,Avery Brewing Co,regional,4910 Nautilus Ct N,,,Boulder,Colorado,80301-3242,United States,,,-105.2047652,40.0625835
e25d20e1-1700-45a6-b236-9eb6d01a9434,Baere Brewing Company,micro,"320 Broadway, Unit E",,,Denver,Colorado,80203-3955,United States,9709014810,http://www.baerebrewing.com,,
2b5fbb61-2e0b-42ec-8d68-dcc62fe244e9,Banded Oak Brewing Company,brewpub,470 N Broadway,,,Denver,Colorado,80203-3404,United States,7204798033,http://Bandedoakbrewing.com,-104.9874187,39.7282897
57cf86a1-3d0e-4ac7-8f50-b0bae8e34d9c,Barnett and Son Brewing Company,micro,18425 Pony Express Dr Unit 125,,,Parker,Colorado,80134-9605,United States,7204200462,,,
2907b143-57b4-49ec-aa41-07df64d1e14b,Barrel Dog Brewing,micro,,,,Evergreen,Colorado,80439,United States,5599176846,,-105.321458,39.6361637
ace9df76-b786-4d17-9be9-33a009f48ba2,Barrels & Bottles Brewery,brewpub,600 12th St Ste 160,,,Golden,Colorado,80401-6145,United States,7203283643,http://www.barrelsbottles.com,-105.2202098,39.7562107
,Base Camp Provisions,brewpub,155 N. Mulberry St.,,,Fruita,Colorado,81521,United States,9706392888,https://www.basecampfruita.com,-108.732637,39.160152
247f6183-0e55-4613-bd72-06d88eee5fed,Battle Mountain Brewing Co,brewpub,330 Third St,,,Castle Rock,Colorado,80104,United States,7202871961,https://www.battlemountaincr.com,-104.859545,39.3721413
d5fd0450-160c-444f-a9b3-e027aed21cf4,Beer By Design Brewery,contract,11490 Jackson St,,,Thornton,Colorado,80233-2533,United States,3035172202,http://www.beerbydesign.com,-104.9417886,39.9285623
82a77cad-f8b2-42ed-9427-ba12789ff73f,Bent Barley Brewing Co,micro,15416 E Orchard Rd,,,Centennial,Colorado,80016,United States,3036906311,https://www.bentbarley.com/,-104.8095432,39.6101371
9e7c32bd-ac46-4e84-bfec-20a3be839c8e,Berthoud Brewing Company,micro,450 S 8th St Unit B,,,Berthoud,Colorado,80513,United States,9705329850,http://www.berthoudbrewing.com,,
01e79aac-e955-4846-826e-1936e03bfd13,Beyond The Mountain Brewing Company,micro,6035 Longbow Dr Unit 109,,,Boulder,Colorado,80301-3203,United States,7574072346,http://www.btmbrewing.com,,
c3d41248-80ed-4c14-8078-c100308e5450,Bierstadt Lagerhaus,brewpub,2875 Blake St,,,Denver,Colorado,80205-2210,United States,7205707824,http://www.bierstadtlager.com,-104.9838084,39.7630094
58bbeef3-65a9-4cdf-b2f3-0acb2c53f1f8,BierWerks,brewpub,121 E. Midland Ave,,,Woodland Park,Colorado,80863,United States,7196868100,http://www.bierwerks.com,-105.0519462,38.9941414
1b8be5f6-7f57-4a6e-830a-3d565e2e03d7,Big Beaver Brewing Co,micro,2707 W Eisenhower Blvd Ste 9,,,Loveland,Colorado,80537-3141,United States,9708186064,http://www.bigbeaverbrew.com,,
b2ad6e2c-1bdc-45df-a0bc-c8e075949e75,Big Choice Brewing Co,micro,21 S 1st Ave,,,Brighton,Colorado,80601-1603,United States,3034692616,http://www.bigchoicebrewing.com,-104.822433,39.98642943
797e1d68-c1e1-478c-bc92-9561c7d951b5,Big Thompson Brewery,micro,114 E 15th St,,,Loveland,Colorado,80538-3832,United States,,,-105.0746687,40.40811243
57b4c49f-7c62-4f88-8027-deeb7aa29a99,BJs Restaurant & Brewery - Boulder,brewpub,1690 28th St,,,Boulder,Colorado,80301-,United States,3034405200,http://www.bjsrestaurants.com,-105.258512,40.0291592
6cab717d-2883-4869-ab9a-879f09319efb,Black Beak Brewing,planning,,,,Denver,Colorado,80237-1907,United States,3032107836,,-104.984696,39.7391428
2d1c4b89-4d44-4f47-8ea1-b11fdfc247bd,Black Bottle Brewery,brewpub,1611 S College Ave Ste STE1609,,,Fort Collins,Colorado,80525-1074,United States,9704932337,http://www.blackbottlebrewery.com,,
01a7842a-3139-475e-95e9-e5a671c236ef,Black Cat Brewing,planning,,,,Boulder,Colorado,80302,United States,,http://www.blackcatbrewing.com,-105.2705456,40.0149856
