id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
colorado-farm-brewery,Colorado Farm Brewery,micro,2070 County Road 12 S,,,Alamosa,Colorado,,81101-9116,http://www.cofarmbeer.com,7195800051,2018-07-24 01:33:05,2018-08-24 00:22:36,United States,-105.9855918,37.40026048,
san-luis-valley-brewing-co,San Luis Valley Brewing Co,brewpub,631 Main St,,,Alamosa,Colorado,,81101-2557,http://www.slvbrewco.com,7195872337,2018-07-24 01:33:08,2018-08-24 00:24:35,United States,-105.8742898,37.4681813,
square-peg-brewerks,Square Peg Brewerks,micro,625 Main St,,,Alamosa,Colorado,,81101-2557,http://www.squarepegbrewerks.com,7195807472,2018-07-24 01:33:08,2018-08-24 00:24:45,United States,-105.8742898,37.4681813,
spice-trade-brewing,Spice Trade Brewing,brewpub,7803 Ralston Rd,,,Arvada,Colorado,,80002-2433,http://www.spicetradebrewing.com,3034319000,2018-07-24 01:33:08,2018-08-24 00:24:45,United States,-105.0841731,39.802334,
donavon-brewing-company,Donavon Brewing Company,planning,,,,Arvada,Colorado,,80005-3644,http://www.donavonbrewing.com,3039975920,2018-07-24 01:33:05,2018-08-11 21:36:35,United States,,,
denver-beer-co-olde-town-arvada,Denver Beer Co Olde Town Arvada,micro,5768 Olde Wadsworth Blvd,,,Arvada,Colorado,,80002-2549,,,2018-07-24 01:33:05,2018-08-24 00:22:48,United States,-105.0814554,39.801625,
grand-lake-brewing-co-the,"Grand Lake Brewing Co, The",brewpub,5610 Yukon St,,,Arvada,Colorado,,80002-2446,http://www.grandlakebrewing.com,3039081677,2018-07-24 01:33:06,2018-08-24 00:23:14,United States,-105.082456,39.79927412,
odyssey-beerwerks,Odyssey Beerwerks,micro,5535 W 56th Ave Ste 107,,,Arvada,Colorado,,80002-2806,http://www.odysseybeerwerks.com,3034210772,2018-07-24 01:33:07,2018-08-11 21:36:39,United States,,,
new-image-brewing-co,New Image Brewing Co,brewpub,5622 Yukon St,,,Arvada,Colorado,,80002-2446,http://www.nibrewing.com,7708811010,2018-07-24 01:33:07,2018-08-24 00:23:57,United States,-105.0824595,39.79938347,
someplace-else-brewery,SomePlace Else Brewery,micro,6425 W 52nd Ave Unit 6/6B,,,Arvada,Colorado,,80002-4008,,7205124162,2018-07-24 01:33:08,2018-08-11 21:36:42,United States,,,
aspen-brewing-company,Aspen Brewing Company,micro,404 Aspen Airport Business Ctr,,,Aspen,Colorado,,81611-3530,http://www.aspenbrewingcompany.com,9709202739,2018-07-24 01:33:04,2018-08-24 00:05:29,United States,-106.8597747,39.22153402,
brewery-in-planning-centennial,Brewery In Planning - Centennial,planning,,,,Aurora,Colorado,,80015-2207,,,2018-07-24 01:33:04,2018-08-11 21:36:33,United States,,,
