id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
broken-symmetry-gastro-brewery,Broken Symmetry Gastro Brewery,brewpub,5 Depot Pl,,,Bethel,Connecticut,,06801-2507,,2037311735,2018-07-24 01:33:09,2018-08-24 00:25:29,United States,-73.41424776,41.37097334,
thomas-hooker-brewing-co-llc,Thomas Hooker Brewing Co LLC,micro,16 Tobey Rd,,,Bloomfield,Connecticut,,06002-3522,http://www.hookerbeer.com,8602423111,2018-07-24 01:33:10,2018-08-24 00:25:54,United States,-72.7115431,41.8089235,
back-east-brewing,Back East Brewing,micro,1296 Blue Hills Ave Ste A,,,Bloomfield,Connecticut,,06002-5312,http://www.backeastbrewing.com,8602421793,2018-07-24 01:33:09,2018-08-11 21:36:45,United States,,,
thimble-island-brewery,Thimble Island Brewery,micro,16 Business Park Dr,,,Branford,Connecticut,,06405-2924,http://www.thimbleislandbrewery.com,2032082827,2018-07-24 01:33:10,2018-08-24 00:25:54,United States,-72.77202768,41.29695786,
duvig-brewing-co,Duvig Brewing Co,micro,59 School Ground Rd Ste 10,,,Branford,Connecticut,,06405-2868,http://www.duvig.com,2032082213,2018-07-24 01:33:09,2018-08-11 21:36:46,United States,,,
stony-creek-brewery,Stony Creek Brewery,regional,5 Indian Neck Ave,,,Branford,Connecticut,,06405-4615,http://www.stonycreekbeer.com,2034334545,2018-07-24 01:33:10,2018-08-24 00:25:51,United States,-72.81330366,41.27475355,
aspetuck-brew-lab,Aspetuck Brew Lab,micro,3389 Fairfield Avenue,,,Bridgeport,Connecticut,,6605,http://www.aspetuckbrewlab.com,2032539423,2018-07-24 01:33:09,2018-08-24 00:25:22,United States,-73.2357109,41.1544649,
brewport-brewing-co,Brewport Brewing Co,brewpub,225 S Frontage Rd,,,Bridgeport,Connecticut,,06604-5031,http://www.brewportct.com,2036124438,2018-07-24 01:33:09,2018-08-24 00:25:28,United States,-73.19238627,41.170877,
brewery-in-planning-bristol,Brewery in Planning - Bristol,planning,,,,Bristol,Connecticut,,06010-7955,http://www.hopculturefarms.com,8603059556,2018-07-24 01:33:09,2018-08-11 21:36:45,United States,,,
firefly-hollow-brewing-co,Firefly Hollow Brewing Co.,micro,139 Center St Ste 5005,,,Bristol,Connecticut,,06010-5086,http://www.fireflyhollowbrewing.com,8608458977,2018-07-24 01:33:10,2018-08-11 21:36:46,United States,,,
great-falls-brewing-company,Great Falls Brewing Company,planning,,,,Canaan,Connecticut,,6018,http://GreatFallsBrews.com,8609217843,2018-07-24 01:33:10,2018-08-11 21:36:47,United States,,,
little-house-brewing-company,Little House Brewing Company,planning,,,,Chester,Connecticut,,06412-1342,http://www.littlehousebrewing.com,6128105315,2018-07-24 01:33:10,2018-08-11 21:36:47,United States,,,
coles-road-brewing,Coles Road Brewing,planning,,,,Cromwell,Connecticut,,06416-1113,http://ColesRoadBrewing.com,,2018-07-24 01:33:09,2018-08-11 21:36:46,United States,,,
charter-oak-brewing-company-llc,Charter Oak Brewing Company LLC,contract,39B Shelter Rock Rd,,,Danbury,Connecticut,,06810-7043,http://www.charteroakbrewing.com,2036165268,2018-07-24 01:33:09,2018-08-24 00:25:31,United States,-73.40421711,41.3961903,
black-pond-brews,Black Pond Brews,micro,21A Furnace St,,,Danielson,Connecticut,,06239-3040,http://www.blackpondbrews.com,8602075295,2018-07-24 01:33:09,2018-08-24 00:25:25,United States,-71.88394473,41.80470085,
badsons-beer-co,BADSONS Beer Co,micro,251 Roosevelt Dr,,,Derby,Connecticut,,06418-1665,http://www.badsoons.com,2033082654,2018-07-24 01:33:09,2018-08-24 00:25:23,United States,-73.1322771,41.35136470000001,
fat-orange-cat-brew-co,Fat Orange Cat Brew Co,micro,,,,East Hampton,Connecticut,,06424-1636,http://www.fatorangecatbrewco.com,8608818045,2018-07-24 01:33:10,2018-08-11 21:36:46,United States,,,
olde-burnside-brewing-co,Olde Burnside Brewing Co.,micro,776 Tolland St,,,East Hartford,Connecticut,,06108-2727,http://www.oldeburnsidebrewing.com,8605282200,2018-07-24 01:33:10,2018-08-24 00:25:46,United States,-72.60022238,41.78505670000001,
armada-brewing,Armada Brewing,contract,250 Bradley Street,,,East Haven,Connecticut,,6512,http://www.armadabeer.com,4754413759,2018-07-24 01:33:09,2018-08-24 00:25:21,United States,-72.87397563,41.29004301,
overshores-brewing-co,Overshores Brewing Co,micro,250 Bradley St,,,East Haven,Connecticut,,06512-,http://www.overshores.com,2039096224,2018-07-24 01:33:10,2018-08-24 00:25:48,United States,-72.87397563,41.29004301,
cold-creek-brewery,Cold Creek Brewery,micro,6 Industrial Dr,,,Ellington,Connecticut,,06029-2632,http://coldcreekbrewery.com,8608581900,2018-07-24 01:33:09,2018-08-24 00:25:32,United States,-72.456028,41.9209531,
powder-hollow-brewery,Powder Hollow Brewery,micro,504 Hazard Ave,,,Enfield,Connecticut,,06082-,http://www.powderhollowbrewery.com,8602050942,2018-07-24 01:33:10,2018-08-24 00:25:48,United States,-72.57787090000002,41.9896523,
cambridge-house-brew-pub-granby,Cambridge House Brew Pub - Granby,brewpub,357 Salmon Brook St,,,Granby,Connecticut,,06035-0438,http://www.cbh.beer,8606532739,2018-07-24 01:33:09,2018-08-24 00:25:30,United States,-72.79259539,41.96631414,
outer-light-brewing-company,Outer Light Brewing Company,micro,266 Bridge St Ste 1,,,Groton,Connecticut,,06340-3739,http://www.outerlightbrewing.com,4752019972,2018-07-24 01:33:10,2018-08-11 21:36:47,United States,,,
steady-habit-brewing-company,Steady Habit Brewing Company,micro,95 Bridge Rd,,,Haddam,Connecticut,,06438-1354,,8607775041,2018-07-24 01:33:10,2018-08-11 21:36:47,United States,,,
counterweight-brewing-company,Counterweight Brewing Company,micro,23 Raccio Park Rd,,,Hamden,Connecticut,,06514-1331,http://www.Counterweightbrewing.com,2038217333,2018-07-24 01:33:09,2018-08-24 00:25:34,United States,-72.91955341,41.39321167,
no-worries-brewing-company,No Worries Brewing Company,micro,2520 State St,,,Hamden,Connecticut,,06517-3004,http://www.noworriesbeer.com,2036916662,2018-07-24 01:33:10,2018-08-11 21:36:47,United States,,,
hrg-management-llc,"HRG Management, LLC",planning,,,,Hartford,Connecticut,,6109,,,2018-07-24 01:33:10,2018-08-11 21:36:47,United States,,,
hanging-hills-brewing-company,Hanging Hills Brewing Company,micro,150 Ledyard St,,,Hartford,Connecticut,,06114-1403,http://www.hanginghillsbrewery.com,8602637033,2018-07-24 01:33:10,2018-08-24 00:25:40,United States,-72.67011733,41.74481243,
hog-river-brewing-co,Hog River Brewing Co,micro,1429 Park St,,,Hartford,Connecticut,,06106-2236,http://www.hogriverbrewing.com,8602062119,2018-07-24 01:33:10,2018-08-24 00:25:41,United States,-72.70182745,41.75799856,
city-steam-brewery,City Steam Brewery,brewpub,942 Main St Lbby 3,,,Hartford,Connecticut,,06103-1215,http://www.citysteam.biz,8605251600,2018-07-24 01:33:09,2018-08-11 21:36:46,United States,,,
lost-viking-brewing-company,Lost Viking Brewing Company,planning,,,,Harwinton,Connecticut,,6013,http://www.lostvikingbrew.com,2035256196,2018-07-24 01:33:10,2018-08-11 21:36:47,United States,,,
kent-falls-brewing-company,Kent Falls Brewing Company,micro,,,,Kent,Connecticut,,6757,,8603989645,2018-07-24 01:33:10,2018-08-11 21:36:47,United States,,,
