id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
stewarts-brewing-co,Stewart's Brewing Co,brewpub,219 Governors Pl,,,Bear,Delaware,,19701-3026,http://www.stewartsbrewingcompany.com,3028362739,2018-07-24 01:33:11,2018-08-11 21:36:49,United States,,,
3rd-wave-brewing-co,3rd Wave Brewing Co,micro,501 N Bi State Blvd,,,Delmar,Delaware,,19940-1106,http://www.3rdwavebrewingco.com,3029070423,2018-07-24 01:33:10,2018-08-11 21:36:48,United States,,,
dewey-beer-co,Dewey Beer Co.,brewpub,2100 Coastal Hwy,,,Dewey Beach,Delaware,,19971-2317,http://www.deweybeerco.com,3022271182,2018-07-24 01:33:11,2018-08-24 00:26:03,United States,-75.07497503,38.69614650000001,
fordham-and-old-dominion-brewing-company,Fordham and Old Dominion Brewing Company,large,1284 McD Dr,,,Dover,Delaware,,19901-4639,http://www.fordhamanddominion.com,3026784810,2018-07-24 01:33:11,2018-08-11 21:36:49,United States,,,
16-mile-brewing-co,16 Mile Brewing Co,micro,413 S Bedford St,,,Georgetown,Delaware,,19947-1849,http://www.16milebrewery.com,3022538816,2018-07-24 01:33:10,2018-08-24 00:25:58,United States,-75.37816436,38.6788938,
pizza-by-elizabeths,Pizza By Elizabeths,brewpub,3801 Kennett Pike,,,Greenville,Delaware,,19807-2321,http://www.pizzabyelizabeths.com,3026544478,2018-07-24 01:33:11,2018-08-24 00:26:08,United States,-75.59566848,39.77560249,
crooked-hammock-brewery,Crooked Hammock Brewery,brewpub,36707 Crooked Hammock Way,,,Lewes,Delaware,,19958-4877,,,2018-07-24 01:33:11,2018-08-11 21:36:48,United States,,,
first-state-brewing-company,First State Brewing Company,planning,,,,Middletown,Delaware,,19709-1482,http://www.firststatebrewing.com,3022859535,2018-07-24 01:33:11,2018-08-11 21:36:49,United States,,,
volunteer-brewing-company,Volunteer Brewing Company,micro,120 W Main St,,,Middletown,Delaware,,19709-1040,http://www.VolunteerBrewing.com,3024640822,2018-07-24 01:33:11,2018-08-24 00:26:11,United States,-75.71959161,39.44942786,
mispillion-river-brewing,Mispillion River Brewing,micro,255 Mullet Run St,,,Milford,Delaware,,19963,http://www.mispillionriverbrewing.com,3024916623,2018-07-24 01:33:11,2018-08-24 00:26:07,United States,-75.45083871,38.93078885,
