id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
bardo-brewpub,Bardo Brewpub,micro,25 Potomac Ave SE,,,Washington,District of Columbia,,20003-3670,http://www.bardo.beer,7622337070,2018-07-24 01:33:11,2018-08-24 00:26:14,United States,-77.00658302,38.87165373,
3-stars-brewing-co,3 Stars Brewing Co,micro,6400 Chillum Pl NW Ste B,,,Washington,District of Columbia,,20012-2111,http://www.3starsbrewing.com,2026700333,2018-07-24 01:33:11,2018-08-11 21:36:49,United States,,,
brewery-in-planning-washington,Brewery in Planning - Washington,planning,,,,Washington,District of Columbia,,20009-2408,,,2018-07-24 01:33:11,2018-08-11 21:36:49,United States,,,
city-state-brewing-company,City-State Brewing Company,planning,,,,Washington,District of Columbia,,20017-2518,http://citystatebrewing.com,2025310481,2018-07-24 01:33:11,2018-08-11 21:36:49,United States,,,
dc-brau-brewing-company,DC Brau Brewing Company,regional,3178 Bladensburg Rd NE Ste B,,,Washington,District of Columbia,,20018-2214,http://www.dcbrau.com,2026218890,2018-07-24 01:33:11,2018-08-11 21:36:49,United States,,,
red-bear-brewing-co,Red Bear Brewing Co,planning,,,,Washington,District of Columbia,,20002-3406,http://www.redbear.beer,2062997485,2018-07-24 01:33:11,2018-08-11 21:36:50,United States,,,
admerk-corp-inc,AdMerk Corp. Inc.,contract,20 F St NW,,,Washington,District of Columbia,,20001-6700,http://www.paugustin.com,6172028069,2018-07-24 01:33:11,2018-08-24 00:26:12,United States,-77.00942049999998,38.89742205,
bluejacket,Bluejacket,brewpub,300 Tingey St SE,,,Washington,District of Columbia,,20003-4625,http://www.bluejacketdc.com,,2018-07-24 01:33:11,2018-08-24 00:26:14,United States,-77.0006981,38.87509650000001,
district-chophouse-and-brewery,District ChopHouse and Brewery,brewpub,509 7th St NW,,,Washington,District of Columbia,,20004-1600,http://www.districtchophouse.com,2023473434,2018-07-24 01:33:11,2018-08-24 00:26:16,United States,-77.02166940000002,38.8965132,
gordon-biersch-brewery-restaurant-washington,Gordon Biersch Brewery Restaurant - Washington,brewpub,900 F St NW,,,Washington,District of Columbia,,20004-1404,http://www.gordonbiersch.com/locations/washington-dc?action=view,2027835454,2018-07-24 01:33:11,2018-08-24 00:26:17,United States,-77.02434790000002,38.8971375,
hellbender-brewing-company,Hellbender Brewing Company,micro,5788 2nd St NE,,,Washington,District of Columbia,,20011-2524,http://www.hellbenderbeer.com,2022301030,2018-07-24 01:33:11,2018-08-24 00:26:18,United States,-77.0053314,38.9603005,
right-proper-brewing-company,Right Proper Brewing Company,micro,920 Girard St NE,,,Washington,District of Columbia,,20017-3424,http://www.rightproperbrewing.com,2026072337,2018-07-24 01:33:11,2018-08-24 00:26:18,United States,-76.99307078,38.92679879999999,
right-proper-brewing-company,Right Proper Brewing Company,brewpub,624 T St NW,,,Washington,District of Columbia,,20001-5119,http://www.rightproperbrewery.com,2026072337,2018-07-24 01:33:11,2018-08-24 00:26:19,United States,-77.0213751,38.9154119,
the-public-option,The Public Option,brewpub,1601 Rhode Island Ave NE,,,Washington,District of Columbia,,20018-1841,http://www.thepublicoptiondc.com,2023975129,2018-07-24 01:33:11,2018-08-24 00:26:20,United States,-76.9817377,38.926148,
atlas-brew-works,Atlas Brew Works,micro,2052 W Virginia Ave NE Ste 102,,,Washington,District of Columbia,,20002-1832,http://www.atlasbrewworks.com,2028320420,2018-07-24 01:33:11,2018-08-11 21:36:49,United States,,,
capitol-city-brewing-co,Capitol City Brewing Co,contract,2 Massachusetts Ave NE,,,Washington,District of Columbia,,20002-4945,http://www.capcitybrew.com,2028422337,2018-07-24 01:33:11,2018-08-24 00:26:15,United States,-77.0082686,38.8979293,
gordon-biersch-brewery-restaurant-navy-yard,Gordon Biersch Brewery Restaurant - Navy  Yard,brewpub,100 M St SE,,,Washington,District of Columbia,,20003-3519,http://www.gordonbiersch.com/locations/navy-yard?action=view,2024842739,2018-07-24 01:33:11,2018-08-24 00:26:17,United States,-77.00529709999998,38.8766834,
