id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
oyster-city-brewing-company,Oyster City Brewing Company,micro,17 Avenue D,,,Apalachicola,Florida,,32320-1801,http://www.oystercitybrewingco.com,,2018-07-24 01:33:14,2018-08-24 00:28:06,United States,-84.98504389,29.7259562,
four-stacks-brewing,Four Stacks Brewing,micro,5469 N US Highway 41,,,Apollo Beach,Florida,,33572-3505,http://fourstacksbrewing.com,8136412036,2018-07-24 01:33:13,2018-08-11 21:36:54,United States,,,
atlantic-beach-brewing-company,Atlantic Beach Brewing Company,micro,725 Atlantic Blvd Suite 3,,,Atlantic Beach,Florida,,32233-3946,http://www.atlanticbeachbrewingcompany.com,9048948426,2018-07-24 01:33:11,2018-08-11 21:36:51,United States,,,
ragtime-tavern-seafood-and-grill,Ragtime Tavern Seafood and Grill,brewpub,207 Atlantic Blvd,,,Atlantic Beach,Florida,,32233-5273,http://www.ragtimetavern.com,9042417877,2018-07-24 01:33:14,2018-08-24 00:28:16,United States,-81.3964898,30.3247964,
brewpop-brewery,Brewpop Brewery,brewpub,2122 US Highway 92 W,,,Auburndale,Florida,,33823-3962,http://www.brewpop.com,8636623864,2018-07-24 01:33:12,2018-08-11 21:36:52,United States,,,
the-florida-brewery,The Florida Brewery,regional,202 Gandy Rd,,,Auburndale,Florida,,33823-2726,http://www.floridabrewery.com,8639651825,2018-07-24 01:33:15,2018-08-11 21:36:59,United States,,,
barrel-of-monks-brewing,Barrel of Monks Brewing,micro,1141 S Rogers Cir Ste 5,,,Boca Raton,Florida,,33487-2789,http://www.barrelofmonks.com,5615101253,2018-07-24 01:33:11,2018-08-11 21:36:51,United States,,,
funky-buddha-lounge-and-brewery,Funky Buddha Lounge & Brewery,large,2621 N Federal Hwy,,,Boca Raton,Florida,,33431-7785,http://www.thefunkybuddha.com,5613684643,2018-07-24 01:33:13,2018-08-24 00:27:19,United States,-80.0805397,26.3640441,
momentum-brewhouse,Momentum Brewhouse,micro,9786 Bonita Beach Rd SE Ste 1,,,Bonita Springs,Florida,,34135-4666,http://www.momentumbrewhouse.com,2399499945,2018-07-24 01:33:14,2018-08-11 21:36:57,United States,,,
copperpoint-brewing-company,Copperpoint Brewing Company,micro,151 Commerce Rd,,,Boynton Beach,Florida,,33426-9365,,,2018-07-24 01:33:12,2018-08-24 00:26:55,United States,-80.073376,26.55907743,
devour-brewing-co,Devour Brewing Co,micro,1500 SW 30th Ave Ste 4,,,Boynton Beach,Florida,,33426-9044,http://www.devourbrewing.com,5618066011,2018-07-24 01:33:13,2018-08-11 21:36:54,United States,,,
due-south-brewing-co,Due South Brewing Co,micro,2900 High Ridge Rd Ste 3,,,Boynton Beach,Florida,,33426-8708,http://www.duesouthales.com,5614632337,2018-07-24 01:33:13,2018-08-11 21:36:54,United States,,,
nobo-brewing-company,NOBO Brewing Company,micro,2901 Commerce Park Dr,,,Boynton Beach,Florida,,33426-8728,http://www.nobobrewing.com,5613201522,2018-07-24 01:33:14,2018-08-11 21:36:57,United States,,,
motorworks-brewing,Motorworks Brewing,micro,1014 9th St W,,,Bradenton,Florida,,34205-7331,http://www.motorworksbrewing.com,9415676218,2018-07-24 01:33:14,2018-08-24 00:27:54,United States,-82.57129,27.49087629,
3-keys-brewing-company-llc,"3 Keys Brewing Company, LLC",brewpub,2505 Manatee Ave E,,,Bradenton,Florida,,34208-2421,http://www.3keysbrewing.com,9412180396,2018-07-24 01:33:11,2018-08-24 00:26:22,United States,-82.53393502,27.49645026,
darwin-brewing-co,Darwin Brewing Co,micro,803 17th Ave W,,,Bradenton,Florida,,34205-7608,http://www.darwinbrewingco.com,9417471970,2018-07-24 01:33:12,2018-08-24 00:27:01,United States,-82.57040458,27.48432988,
good-liquid-brewing-company,Good Liquid Brewing Company,micro,4824 14th St W,,,Bradenton,Florida,,34207-2017,http://www.thegoodliquidbrewing.com,9418966381,2018-07-24 01:33:13,2018-08-24 00:27:20,United States,-82.575274,27.470805,
little-giant-brewery,Little Giant Brewery,planning,,,,Bradenton,Florida,,34208-1139,,9419626650,2018-07-24 01:33:14,2018-08-11 21:36:56,United States,,,
naughty-monk-brewery-llc,Naughty Monk Brewery L.L.C.,micro,2507 Lakewood Ranch Blvd,,,Bradenton,Florida,,34211-4949,http://www.naughtymonkbrewery.com,9417082966,2018-07-24 01:33:14,2018-08-24 00:27:56,United States,-82.4324118,27.4519957,
