id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
millercoors-brewing-co-albany,MillerCoors Brewing Co - Albany,large,405 Cordele Rd,,,Albany,Georgia,,31705-2109,,,2018-07-24 01:33:16,2018-08-24 00:29:13,United States,-84.08203126,31.58549343,
pretoria-fields-collective,Pretoria Fields Collective,micro,120 Pine Ave,,,Albany,Georgia,,31701-2529,http://www.pretoriafields.com,2295181770,2018-07-24 01:33:16,2018-08-24 00:29:22,United States,-84.14959300000002,31.57858294,
currahee-brewing-company,Currahee Brewing Company,micro,25 S Main St,,,Alpharetta,Georgia,,30009,,,2018-07-24 01:33:16,2018-08-24 00:29:02,United States,-84.29678259999999,34.0711104,
jekyll-brewing,Jekyll Brewing,micro,2855 Marconi Dr Ste 350,,,Alpharetta,Georgia,,30005-2051,http://www.jekyllbrewing.com,7705968788,2018-07-24 01:33:16,2018-08-24 00:29:10,United States,-84.2536638,34.081656200000005,
southern-brewing-company,Southern Brewing Company,micro,231 Collins Industrial Blvd,,,Athens,Georgia,,30601-1517,http://www.sobrewco.com,7065487183,2018-07-24 01:33:16,2018-08-24 00:29:29,United States,-83.35002287,33.98114012,
akademia-brewing-company,Akademia Brewing Company,brewpub,150 Crane Dr,,,Athens,Georgia,,30606-0600,http://www.AkademiaBC.com,7064613208,2018-07-24 01:33:15,2018-08-24 00:28:58,United States,-83.47153754,33.94270289,
creature-comforts-production-facility-at-southern-mill,Creature Comforts Production Facility At Southern Mill,regional,355 Oneta St Bldg A100,,,Athens,Georgia,,30601,,,2018-07-24 01:33:16,2018-08-11 21:37:01,United States,,,
creature-comforts-brewing-co,Creature Comforts Brewing Co.,regional,271 W Hancock Ave,,,Athens,Georgia,,30601-2727,http://www.creaturecomfortsbeer.com,7064101043,2018-07-24 01:33:16,2018-08-24 00:29:01,United States,-83.380087,33.95919871,
terrapin-beer-co,Terrapin Beer Co,large,265 Newton Bridge Rd,,,Athens,Georgia,,30607-1145,http://www.terrapinbeer.com,7065493377,2018-07-24 01:33:17,2018-08-24 00:29:33,United States,-83.39779284,33.9885289,
max-lagers-wood-fired-grill-and-brewery,Max Lager's Wood Fired Grill & Brewery,brewpub,320 Peachtree St NE,,,Atlanta,Georgia,,30308-3210,http://www.maxlagers.com,4045254400,2018-07-24 01:33:16,2018-08-24 00:29:13,United States,-84.38706074,33.76333225,
sweetwater-brewing-co,SweetWater Brewing Co,regional,195 Ottley Dr NE,,,Atlanta,Georgia,,30324-3924,http://www.sweetwaterbrew.com,4046912537,2018-07-24 01:33:16,2018-08-24 00:29:33,United States,-84.38107219,33.80802235,
monday-night-brewing-garage,Monday Night Brewing - Garage,micro,933 Lee St SW,,,Atlanta,Georgia,,30310,,,2018-07-24 01:33:16,2018-08-24 00:29:14,United States,-84.41617724,33.72906429,
eurobevs,EuroBevs,contract,2255 Cumberland Pkwy SE,,,Atlanta,Georgia,,30339-4515,http://www.eurobevs.com,7704371285,2018-07-24 01:33:16,2018-08-11 21:37:02,United States,,,
new-realm-brewing,New Realm Brewing,brewpub,550 Somerset Ter NE Unit 101,,,Atlanta,Georgia,,30306-4317,http://www.newrealmbrewing.com,4049682778,2018-07-24 01:33:16,2018-08-11 21:37:03,United States,,,
odempseys-brewing-co,O'Dempsey's Brewing Co,contract,"205 Grosvenor Place, Nw",,,Atlanta,Georgia,,30328,http://www.odempseys.com,4048450059,2018-07-24 01:33:16,2018-08-11 21:37:03,United States,,,
eventide-brewing-co,Eventide Brewing Co,micro,1015 Grant St SE,,,Atlanta,Georgia,,30315-2014,http://www.eventidebrewing.com,4049074543,2018-07-24 01:33:16,2018-08-24 00:29:04,United States,-84.37706291,33.72670205,
monday-night-brewing,Monday Night Brewing,micro,670 Trabert Ave NW,,,Atlanta,Georgia,,30318-4230,http://www.mondaynightbrewing.com,4043527703,2018-07-24 01:33:16,2018-08-24 00:29:14,United States,-84.40989212,33.79480405,
orpheus-brewing,Orpheus Brewing,micro,1440 Dutch Valley Pl NE Ste 2001,,,Atlanta,Georgia,,30324-5366,http://www.orpheusbrewing.com,4043471777,2018-07-24 01:33:16,2018-08-24 00:29:18,United States,-84.36858051,33.79314935,
park-tavern-brewery,Park Tavern Brewery,brewpub,500 10th St NE,,,Atlanta,Georgia,,30309-4272,http://www.parktavern.com,4042490001,2018-07-24 01:33:16,2018-08-24 00:29:19,United States,-84.37774399999998,33.781867,
perfect-fool-brewing-company,Perfect Fool Brewing Company,planning,,,,Atlanta,Georgia,,30319,,,2018-07-24 01:33:16,2018-08-11 21:37:03,United States,,,
sabbath-brewing,Sabbath Brewing,planning,,,,Atlanta,Georgia,,30316,,,2018-07-24 01:33:16,2018-08-11 21:37:03,United States,,,
scofflaw-brewing-co,Scofflaw Brewing Co,micro,1738 Macarthur Blvd NW,,,Atlanta,Georgia,,30318-2022,http://www.scofflawbeer.com,4049153392,2018-07-24 01:33:16,2018-08-11 21:37:04,United States,,,
the-lost-druid,The Lost Druid,planning,,,,Atlanta,Georgia,,30307-2758,,,2018-07-24 01:33:17,2018-08-11 21:37:04,United States,,,
the-woodlands-at-sweetwater,The Woodlands At SweetWater,micro,215 Ottley Dr,,,Atlanta,Georgia,,30324-3924,,4046912537,2018-07-24 01:33:17,2018-08-11 21:37:04,United States,,,
red-brick-brewing-co-/-atlanta-brewing-co,Red Brick Brewing Co / Atlanta Brewing Co,micro,2323 Defoor Hills Rd NW,,,Atlanta,Georgia,,30318-2207,http://www.atlantabrewing.com,4043555558,2018-07-24 01:33:16,2018-08-24 00:29:23,United States,-84.43454138,33.81830375,
second-self-brewing,Second Self Brewing,micro,1311 Logan Cir NW,,,Atlanta,Georgia,,30318-2858,http://secondselfbeer.com,6789168035,2018-07-24 01:33:16,2018-08-24 00:29:27,United States,-84.43006194,33.8055922,
stats-brewpub,Stats Brewpub,brewpub,300 Marietta St NW,,,Atlanta,Georgia,,30313-1632,http://StatsATL.com,7705700160,2018-07-24 01:33:16,2018-08-24 00:29:31,United States,-84.3964736,33.7615549,
the-wrecking-bar-brewpub,The Wrecking Bar Brewpub,brewpub,292 Moreland Ave NE,,,Atlanta,Georgia,,30307-1953,http://www.wreckingbarbrewpub.com,4042212600,2018-07-24 01:33:17,2018-08-24 00:29:35,United States,-84.3496422,33.762309,
torched-hop-brewing-company,Torched Hop Brewing Company,brewpub,249 Ponce de Leon Ave NE,,,Atlanta,Georgia,,30308-1937,http://www.Torchedhopbrewing.com,4048352040,2018-07-24 01:33:17,2018-08-24 00:29:36,United States,-84.37929776,33.77232605,
5-seasons-brewing-co-westside,5 Seasons Brewing Co - Westside,brewpub,1000 Marietta St NW Ste 204,,,Atlanta,Georgia,,30318-0683,http://www.5seasonsbrewing.com,4048753232,2018-07-24 01:33:15,2018-08-11 21:37:01,United States,,,
