id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
hawaii-nui-brewing,Hawaii Nui Brewing,closed,275 E Kawili St,,,Hilo,Hawaii,,96720-5074,http://www.hawaiinuibrewing.com,8089348211,2018-07-24 01:33:17,2018-08-24 00:29:42,United States,-155.0697885,19.70587596,
hilo-brewing-co,Hilo Brewing Co,micro,275 E Kawili St,,,Hilo,Hawaii,,96720-5074,https://hilobrewingco.com,8089348211,2020-10-11 20:12:11,2020-10-11 20:12:11,United States,-155.0697885,19.70587596,
beer-lab-hi,Beer Lab HI,micro,1010 University Ave Ste B1,,,Honolulu,Hawaii,,96826-1537,http://www.beerlabhi.com,8088880913,2018-07-24 01:33:17,2018-08-24 00:29:40,United States,-157.8218784,21.29214406,
home-of-the-brave-brewing-company,Home of the Brave Brewing Company,closed,909 Waimanu St,,,Honolulu,Hawaii,,96814-3309,http://www.hotbbc.com,8083968112,2018-07-24 01:33:17,2020-10-11 18:14:11,United States,-157.8535966,21.29875689,
gordon-biersch-brewery-restaurant-honolulu,Gordon Biersch Brewery Restaurant - Honolulu,closed,1 Aloha Tower Dr Ste 1123,,,Honolulu,Hawaii,,96813-4815,http://www.gordonbiersch.com/restaurant,8085994877,2018-07-24 01:33:17,2020-10-11 20:16:30,United States,-157.86622,21.306704,
honolulu-beerworks,Honolulu BeerWorks,brewpub,328 Cooke St,,,Honolulu,Hawaii,,96813-5531,http://www.honolulubeerworks.com,8085892337,2018-07-24 01:33:17,2018-08-24 00:29:44,United States,-157.860634,21.29690603,
maui-brewing-co-waikiki,Maui Brewing Co - Waikiki,brewpub,2300 Kalakua Ave,,,Honolulu,Hawaii,,96815,https://www.mauibrewingco.com,8088432739,2020-10-11 18:36:12,2020-10-11 18:36:12,United States,-157.826624,21.278349,
stewbum,Stewbum,brewpub,96 N King St,,,Honolulu,Hawaii,,96817-5109,http://www.stewbumandstonewall.com,8086646684,2018-07-24 01:33:17,2018-08-24 00:29:49,United States,-157.86347619999995,21.31171513,
waikiki-brewing-company,Waikiki Brewing Company,brewpub,1945 Kalakaua Ave,,,Honolulu,Hawaii,,96815-1851,http://www.waikikibrewing.com,,2018-07-24 01:33:17,2018-08-24 00:29:50,United States,-157.8334964,21.2858755,
waikiki-brewing-company-kakaako,"Waikiki Brewing Company, Kaka'ako",micro,831 Queen St,,,Honolulu,Hawaii,,96813-5203,,,2018-07-24 01:33:17,2018-08-24 00:29:51,United States,-157.8559271,21.29964432,
aloha-beer-co,Aloha Beer Co,brewpub,700 Queen St,,,Honolulu,Hawaii,,96813-5110,http://www.alohabeer.com,8085455959,2018-07-24 01:33:17,2018-08-24 00:29:40,United States,-157.857248,21.301249,
ola-brew-co,Ola Brew Co.,micro,74-5598 Luhia St Ste A,,,Kailua Kona,Hawaii,,96740-3151,http://www.olabrewco.com,8083393565,2018-07-24 01:33:17,2018-08-11 21:37:05,United States,-155.99806,19.646861,
