id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
scorched-earth-brewing-co,Scorched Earth Brewing Co.,micro,203 Berg St,,,Algonquin,Illinois,,60102-3537,http://scorchedearthbrewing.com,2242098472,2018-07-24 01:33:21,2018-08-24 00:32:04,United States,-88.30396970000002,42.17091094,
village-vintner-winery-and-brewery,Village Vintner Winery & Brewery,brewpub,2380 Esplanade Dr Ste 100,,,Algonquin,Illinois,,60102-5450,http://www.thevillagevintner.com,8476584900,2018-07-24 01:33:21,2018-08-24 00:32:19,United States,-88.33838098,42.14408948,
von-jakob-winery,Von Jakob Winery,brewpub,230 Illinois Hwy 127,,,Alto Pass,Illinois,,62905,http://www.vonjakob.com,6188934600,2018-07-24 01:33:21,2018-08-11 21:37:17,United States,,,
the-old-bakery-beer-company,The Old Bakery Beer Company,brewpub,400 Landmarks Blvd,,,Alton,Illinois,,62002-2405,,6184631470,2018-07-24 01:33:21,2018-08-11 21:37:16,United States,,,
1905-brewing-company,1905 Brewing Company,micro,1301 S Chestnut St,,,Assumption,Illinois,,62510-8504,http://1905BrewingCompany.com,2172549374,2018-07-24 01:33:18,2018-08-24 00:30:22,United States,-89.0503635,39.5172564,
wonky-brew-factory,Wonky Brew Factory,planning,,,,Aurora,Illinois,,60506-5749,,,2018-07-24 01:33:21,2018-08-11 21:37:17,United States,,,
hopvine-brewing-company,Hopvine Brewing Company,brewpub,4030 Fox Valley Center Dr,,,Aurora,Illinois,,60504-4109,http://www.hopvinebrewingcompany.com,6302296030,2018-07-24 01:33:19,2018-08-24 00:31:16,United States,-88.21364002,41.76082292,
scratch-brewing-company,Scratch Brewing Company,brewpub,264 Thompson Rd,,,Ava,Illinois,,62907-2658,http://www.scratchbeer.com,6184261415,2018-07-24 01:33:21,2018-08-11 21:37:15,United States,,,
flesk-brewing,Flesk Brewing,micro,200 Applebee St Ste E,,,Barrington,Illinois,,60010-3063,http://www.fleskbrewing.com,2246557291,2018-07-24 01:33:19,2018-08-11 21:37:11,United States,,,
4204-main-street-brewing-co,4204 Main Street Brewing Co,brewpub,4204 W Main St,,,Belleville,Illinois,,62226,,6184167261,2018-07-24 01:33:18,2018-08-24 00:30:23,United States,-90.02053343,38.53796122,
hofbrauhaus-st-louis-belleville,Hofbrauhaus St. Louis-Belleville,brewpub,123 Saint Eugene Dr,,,Belleville,Illinois,,62223-1154,http://www.hofbrauhausstlouis.com,6188002337,2018-07-24 01:33:19,2018-08-11 21:37:12,United States,,,
mainstreet-brewing-company,Mainstreet Brewing Company,micro,4204 W Main St,,,Belleville,Illinois,,62226,http://www.mainstreetbrewingco.com,6184167261,2018-07-24 01:33:20,2018-08-24 00:31:31,United States,-90.02053343,38.53796122,
flapjack-brewery,Flapjack Brewery,brewpub,6833 Stanley Ave,,,Berwyn,Illinois,,60402-5289,http://www.flapjackbrewery.com,,2018-07-24 01:33:19,2018-08-24 00:30:58,United States,-87.79436281,41.83342484,
keg-grove-brewing-company,Keg Grove Brewing Company,micro,712 E Empire St Ste 2,,,Bloomington,Illinois,,61701-3252,http://keggrovebrewing.com,,2018-07-24 01:33:19,2018-08-11 21:37:13,United States,,,
lil-beaver-brewery,Lil Beaver Brewery,micro,16 Currency Dr Unit B,,,Bloomington,Illinois,,61704-9632,http://www.lilbeaverbrewery.com,3098082590,2018-07-24 01:33:20,2018-08-11 21:37:13,United States,,,
blue-island-beer-co,Blue Island Beer Co,micro,13357 Olde Western Ave,,,Blue Island,Illinois,,60406-2969,http://www.blueislandbeerco.com,7089548085,2018-07-24 01:33:18,2018-08-11 21:37:08,United States,,,
