id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
7531dbd8-afc9-4b5b-95bc-7ece7f2c0bf3,10-56 Brewing Company,micro,400 Brown Cir,,,Knox,Indiana,46534,United States,6308165790,,-86.627954,41.289715
56d47579-c181-4510-9b57-5846d9b08ce6,10-56 Brewing Company,brewpub,2120 US-35,,,Knox,Indiana,46534,United States,6308165790,,-86.62002,41.271452
b51f3cdf-60ff-4ae1-94a7-76906c7d62eb,18th Street Brewery,micro,5725 Miller Ave,,,Gary,Indiana,46403-2871,United States,2198030820,http://www.18thstreetbrewery.com,-87.268864,41.599232
add7f978-942e-4d56-b209-c80837a51d69,18th Street Brewery,micro,5417 Oakley Ave,,,Hammond,Indiana,46320-1817,United States,,,-87.517228,41.615142
a23fbc8d-f7c1-4dfc-90e7-11c720fe0a26,2Toms Brewing Company,taproom,3676 N Wells St,,,Fort Wayne,Indiana,46808,United States,2604027644,http://www.2tomsbrewing.com,-85.147724,41.110068
eb3d0c66-bbe8-495d-a876-924f0c0cf509,450 North Brewing Company @ Simmons Winery,brewpub,8111 E 450 N,,,Columbus,Indiana,47203-8106,United States,8125460091,http://www.450northbrewing.com,-85.831864,39.266397
fa28c6af-7460-4060-b305-a0650ae37a9b,5 Arch Brewing,micro,206 N Morton Ave,,,Centerville,Indiana,47330,United States,7657550055,http://www.5archbrewing.com,-84.996832,39.819433
60a4db59-753a-4ff7-8add-d4aee0546e5e,7 Pillars Brewing Company,brewpub,20 E 5th Street,,,Peru,Indiana,46970,United States,7659194300,,-86.069006,40.755237
b4e012c5-0f36-4d0a-a40b-cbcb29c7ceed,95ate5 Brewpub,brewpub,9585 N Industrial Dr,,,Saint John,Indiana,46373,United States,2193656506,http://www.95ate5.com,-87.46380305,41.44400246
b96d27cf-42b8-4791-8fb8-87840016e497,Auburn Brewing Company,planning,,,,Auburn,Indiana,46706,United States,2609081074,,,
89028aa2-3ecf-446b-89c0-5ef641e1bd50,Back Alley Brewing Co,micro,211 S Main St,,,Goshen,Indiana,46526-3722,United States,5743704049,,-85.83457862,41.58461971
df9da06e-0ead-498f-ae26-3c5f783292c9,Back Road Brewery,micro,308 Perry St,,,La Porte,Indiana,46350-3216,United States,2193627623,http://www.backroadbrewery.com,-86.72649137,41.6118882
ecc118fd-aee9-4e81-bcda-8ab049b2f6f3,Backstep Brewing Company,brewpub,125 N Green St,,,Crawfordsville,Indiana,47933-1708,United States,7652302337,http://www.backstepbrewingcompany.com,-86.900149,40.042617
38863255-70b3-4201-bfd0-b4b0dab818d2,Bad Dad Brewery,micro,407 W. Washington St. Ste. C,,,Fairmount,Indiana,46928,United States,7654990941,http://www.baddadbrewery.com,,
42e8f120-42b3-4791-924c-4487681ca3dd,Bad Dad Brewery,micro,407 W. Washington St.,,,Fairmount,Indiana,46928,United States,7659484193,http://www.baddadbrewery.com,-85.653955,40.415057
eaccdf46-40c0-4a05-a4b8-680f0e38f913,Bare Hands Brewery,taproom,12804 Sandy Ct,,,Granger,Indiana,46530-4309,United States,5742772258,http://www.barehandsbrewery.com,-86.116873,41.759648
ee28a49f-8069-428c-a379-c4121d710821,Barley Island Brewing Co,brewpub,639 E Conner St,,,Noblesville,Indiana,46060-2532,United States,3177705280,http://www.barleyisland.com,,
4d515475-dfce-446d-bf21-62a12a4021c3,Basket Case Brewing Co,brewpub,1340 Mill St,,,Jasper,Indiana,47546-2310,United States,8124824345,http://www.basketcasebeer.com,-86.92850063,38.39736355
2357d321-70af-41f4-8ad8-fa6b05fb44b2,Beaver Street Tap Room,brewpub,105 E Beaver St,,,Corydon,Indiana,47112-1146,United States,8122255141,http://www.pointblankbrewing.com,-86.12614,38.210913
137d2ad8-0932-41d7-8c39-fa1a5dbdd3d2,Beech Bank Brewing Company,taproom,301 Main St,,,Beech Grove,Indiana,46107,United States,3175522791,http://www.beechbankbrewing.com,-86.085178,39.721432
ec56cc60-ff02-4523-af59-96b3b03d04a3,Bier Brewery,brewpub,13720 N Meridian St,,,Carmel,Indiana,46032,United States,,,-86.136014,39.987619
11737bcc-a377-45ea-a0fd-8e2295429015,Bier Brewery and Taproom,micro,5133 E 65th St,,,Indianapolis,Indiana,46220-4816,United States,3176960200,http://www.bierbrewery.com,-86.083003,39.875521
4445772e-e9d6-41c3-80cd-d5f4b70e7825,Big Leaf Brewing,taproom,1320 Durkees Ferry Rd,,,West Terre Haute,Indiana,47885-9626,United States,8122812187,,-87.440182,39.560673
fd4d8dde-5175-47ae-a2f8-aae942308e89,Big Lug Brewing Co,brewpub,1435 E 86th St,,,Indianapolis,Indiana,46240-1911,United States,4086872089,,-86.136128,39.911972
f00adb8d-12dc-45ef-852e-57d10d79f7ff,Big Lug Canteen,brewpub,1435 E 86th St,,,Indianapolis,Indiana,46240-1911,United States,,,-86.079957,39.912628
07b46fee-0628-48d0-b21e-723b11659107,Big Woods Brewery,brewpub,60 Mollys Ln,,,Nashville,Indiana,47448,United States,8139886000,http://www.bigwoodsbeer.com,-86.247655,39.208043
78cc5335-72ed-4756-8c08-b18c65ea3675,Birdboy Brewing Co,micro,210 E Collins Rd,,,Fort Wayne,Indiana,46802,United States,2605795508,http://www.birdboybrewing.com,-85.138936,41.121058
64fd68cb-1304-41c8-b42d-0b5e801e7156,Black Acre Brewing Co,brewpub,5632 E Washington St,,,Indianapolis,Indiana,46219-6428,United States,3177973316,http://www.blackacrebrewing.com,-86.1452662,39.7668669
fd28030a-631f-410a-b426-9c67c29b3175,Black Circle Brewing Co,taproom,2201 E 46th St,,,Indianapolis,Indiana,46205,United States,3174260143,http://www.blackcirclebrewing.com,-86.123901,39.839827
7cb5d5cc-c608-46a0-8bde-20c063f1bd1d,Black Swan Brewpub,brewpub,2067 E Hadley Rd,,,Plainfield,Indiana,46168-7484,United States,3178387444,http://www.blackswanbrewpub.com,-86.374141,39.674729
c8613358-8e0b-4ac7-8859-46f1efc36fd1,Blind Owl Brewery,brewpub,5014 E. 62nd St.,,,Indianapolis,Indiana,46220-5228,United States,3179241000,http://www.blindowlbrewery.com,-86.084954,39.868801
2e548a7b-5d71-43be-9371-003d8d720148,Blockhead Beerworks,brewpub,150 Washington St,,,Valparaiso,Indiana,46383,United States,2194050059,,-87.060816,41.469258
0b768b24-8163-4b21-a633-ef4dad76b501,Bloomington Brewing Co,brewpub,1795 E 10th St,,,Bloomington,Indiana,47407-6955,United States,8123392256,,-86.511329,39.171716
b63e1e54-3e7d-4755-a513-0792ab9e4d12,Bloomington Brewing Co - Production Facility,micro,2234 West Industrial Drive,,,Bloomington,Indiana,47404,United States,8126992005,http://www.bbcbloomington.com,,
26241ae5-2fd3-4a65-8b2b-491275466820,Bloomington Brewing Co - Production Facility,micro,2234 W Industrial Park Dr,,,Bloomington,Indiana,47404-2688,United States,8126992005,http://www.bbcbloomington.com,-86.569239,39.175352
dda9e364-55af-4b00-acd9-5d59cb82313b,Books & Brews,brewpub,9402 Uptown Dr Ste 1400,,,Indianapolis,Indiana,46256-1076,United States,3172885136,http://www.booksnbrews.com,-86.036848,39.924243
80a9283a-e07c-4356-8b3f-562144e9db53,Brass Elk Brewing,brewpub,333 Nibco Parkway,,,Elkhart,Indiana,46516,United States,5743263938,http://www.brasselkbrewing.com,-85.969507,41.685592
4694844c-ce2d-411f-9dce-22a5ff52802d,Brew Link Brewing,proprietor,212 E. Main,,,Plainfield,Indiana,46168-9659,United States,3172037788,http://www.brewlinkbrewing.com,,
3eb5ca47-49f7-41c1-a404-4277df830759,Brew Link Brewing,alt prop,4710 E US Hwy 40,,,Plainfield,Indiana,46168,United States,3172037788,http://www.brewlinkbrewing.com,-86.442699,39.692815
41b23b7a-5454-4e9b-b2df-3b1587cea410,Brew Link Downtown,brewpub,714 N Capitol Ave,,,Indianapolis,Indiana,46204,United States,3176531884,,-86.161839,39.777244
66cc78ca-751e-4c9e-8f0c-611d66348f54,BrewDog Indianapolis,location,1140 Shelby St,,,Indianapolis,Indiana,46203,United States,3174499924,http://www.brewdog.com/usa/bars/usa/indianapolis,-86.140208,39.751128
0a1f49af-8c69-4316-bb3d-1042c42b3d03,Broad Ripple Brewing Co,brewpub,842 E 65th St,,,Indianapolis,Indiana,46220-1674,United States,3172532739,http://www.broadripplebrewpub.com,-86.143335,39.873609
8964c08b-1e2a-4c49-9277-64f04c81e549,Brokerage Brewing Company,brewpub,2516 Covington St,,,West Lafayette,Indiana,47906-1404,United States,7652332767,http://www.brokeragebrewing.com,-86.914065,40.454581
8029560b-c49b-4979-a971-461bfac424f6,Brugge Brasserie,brewpub,1011A E Westfield Blvd,,,Indianapolis,Indiana,46220-,United States,3172550978,http://www.bruggebrasserie.com,,
4ce7444f-655c-4a51-9dc6-47406b1896ca,Bulldog Brewing,brewpub,1409 119th St,,,Whiting,Indiana,46394-1714,United States,2196555284,http://www.bulldogbrewingco.com,-87.495143,41.679593
c0c4af99-eb53-4114-b976-de76d111596f,Burn'Em Brewing,taproom,718 Freyer Rd,,,Michigan City,Indiana,46360-1911,United States,2193938606,http://www.burnembrewing.com,-86.828058,41.738657
72a548d0-8bed-4ab0-ac92-467a4cf5546e,Byway Brewing Company,brewpub,2825 Carlson Dr,,,Hammond,Indiana,46323-1183,United States,2198445458,http://www.bywaybrewing.beer,-87.460589,41.571417
