id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
10-56-brewing-company-knox,10-56 Brewing Company,micro,400 Brown Cir,,,Knox,Indiana,,46534,,6308165790,2018-07-24 01:33:21,2018-08-24 00:32:25,United States,-86.627954,41.289715,
18th-street-brewery-gary,18th Street Brewery,micro,5725 Miller Ave,,,Gary,Indiana,,46403-2871,http://www.18thstreetbrewery.com,,2018-07-24 01:33:21,2018-08-24 00:32:26,United States,-87.26887786,41.59928343,
18th-street-brewery-hammond,18th Street Brewery,micro,5417 Oakley Ave,,,Hammond,Indiana,,46320-1817,,,2018-07-24 01:33:21,2018-08-24 00:32:26,United States,-87.517422,41.61556796,
450-north-brewing-company-simmons-winery-columbus,450 North Brewing Company @ Simmons Winery,brewpub,8111 E 450 N,,,Columbus,Indiana,,47203-8106,http://www.450northbrewing.com,8125460091,2018-07-24 01:33:21,2018-08-11 21:37:17,United States,,,
95ate5-brewpub-saint-john,95ate5 Brewpub,brewpub,9585 N Industrial Dr,,,Saint John,Indiana,,46373,http://www.95ate5.com,2193656506,2018-07-24 01:33:21,2018-08-24 00:32:27,United States,-87.46380305,41.44400246,
auburn-brewing-company-auburn,Auburn Brewing Company,planning,,,,Auburn,Indiana,,46706,,2609081074,2018-07-24 01:33:21,2018-08-11 21:37:17,United States,,,
back-alley-brewing-co-goshen,Back Alley Brewing Co,micro,211 S Main St,,,Goshen,Indiana,,46526-3722,,5743704049,2018-07-24 01:33:21,2018-08-24 00:32:27,United States,-85.83457862,41.58461971,
back-road-brewery-la-porte,Back Road Brewery,micro,308 Perry St,,,La Porte,Indiana,,46350-3216,http://www.backroadbrewery.com,2193627623,2018-07-24 01:33:21,2018-08-24 00:32:28,United States,-86.72649137,41.6118882,
backstep-brewing-company-crawfordsville,Backstep Brewing Company,micro,125 N Green St,,,Crawfordsville,Indiana,,47933-1708,http://www.backstepbrewingcompany.com,7652302337,2018-07-24 01:33:21,2018-08-24 00:32:29,United States,-86.89998607,40.04207712,
bad-dad-brewery-fairmount,Bad Dad Brewery,micro,407 W. Washington St. Ste. C,,,Fairmount,Indiana,,46928,http://www.baddadbrewery.com,7654990941,2018-07-24 01:33:21,2018-08-11 21:37:18,United States,,,
bare-hands-brewery-granger,Bare Hands Brewery,micro,12804 Sandy Ct,,,Granger,Indiana,,46530-4309,http://www.barehandsbrewbrewery.com,5742772258,2018-07-24 01:33:21,2018-08-11 21:37:18,United States,,,
barley-island-brewing-co-noblesville,Barley Island Brewing Co,brewpub,639 E Conner St,,,Noblesville,Indiana,,46060-2532,http://www.barleyisland.com,3177705280,2018-07-24 01:33:21,2018-08-11 21:37:18,United States,,,
basket-case-brewing-co-jasper,Basket Case Brewing Co,brewpub,1340 Mill St,,,Jasper,Indiana,,47546-2310,http://www.basketcasebeer.com,8124824345,2018-07-24 01:33:21,2018-08-24 00:32:31,United States,-86.92850063,38.39736355,
bier-brewery-and-taproom-indianapolis,Bier Brewery and Taproom,micro,5133 E 65th St,,,Indianapolis,Indiana,,46220-4816,http://www.bierbrewery.com,3176960200,2018-07-24 01:33:21,2018-08-11 21:37:18,United States,,,
big-leaf-brewing-west-terre-haute,Big Leaf Brewing,micro,1320 Durkees Ferry Rd,,,West Terre Haute,Indiana,,47885-9626,,8122812187,2018-07-24 01:33:21,2018-08-11 21:37:18,United States,,,
big-lug-canteen-indianapolis,Big Lug Canteen,brewpub,1435 E 86th St,,,Indianapolis,Indiana,,46240-1911,,,2018-07-24 01:33:21,2018-08-24 00:32:33,United States,-86.079957,39.912628,
birdboy-brewing-co-fort-wayne,Birdboy Brewing Co,micro,210 E Collins Rd,,,Fort Wayne,Indiana,,46825-5304,http://www.birdboybrewing.com,2605795508,2018-07-24 01:33:21,2018-08-24 00:32:33,United States,-85.13900142,41.12187792,
black-acre-brewing-co-indianapolis,Black Acre Brewing Co,brewpub,5632 E Washington St,,,Indianapolis,Indiana,,46219-6428,http://www.blackacrebrewing.com,3177973316,2018-07-24 01:33:21,2018-08-24 00:32:34,United States,-86.1452662,39.7668669,
black-circle-brewing-co-indianapolis,Black Circle Brewing Co,micro,2201 E 46th St,,,Indianapolis,Indiana,,46205,http://www.blackcirclebrewing.com,3174260143,2018-07-24 01:33:21,2018-08-24 00:32:35,United States,-86.123944,39.8398813,
black-swan-brewpub-plainfield,Black Swan Brewpub,brewpub,2067 E Hadley Rd,,,Plainfield,Indiana,,46168-7484,http://www.blackswanbrewpub.com,3178387444,2018-07-24 01:33:21,2018-08-24 00:32:35,United States,-86.374141,39.674729,
blind-owl-brewery-indianapolis,Blind Owl Brewery,brewpub,5014 E 62nd St,,,Indianapolis,Indiana,,46220-5228,http://www.blindowlbrewery.com,3179241000,2018-07-24 01:33:21,2018-08-11 21:37:18,United States,,,
bloomington-brewing-co-bloomington,Bloomington Brewing Co,brewpub,1795 E 10th St,,,Bloomington,Indiana,,47407-6955,,8123392256,2018-07-24 01:33:21,2018-08-24 00:32:36,United States,-86.51136673,39.1720504,
bloomington-brewing-co-production-facility-bloomington,Bloomington Brewing Co - Production Facility,micro,2234 West Industrial Drive,,,Bloomington,Indiana,,47404,http://www.bbcbloomington.com,8126992005,2018-07-24 01:33:21,2018-08-11 21:37:18,United States,,,
books-brews-indianapolis,Books & Brews,brewpub,9402 Uptown Dr Ste 1400,,,Indianapolis,Indiana,,46256-1076,http://www.booksnbrews.com,3172885136,2018-07-24 01:33:21,2018-08-11 21:37:18,United States,,,
brew-link-brewing-plainfield,Brew Link Brewing,proprietor,212 E. Main,,,Plainfield,Indiana,,46168-9659,http://www.brewlinkbrewing.com,3172037788,2018-07-24 01:33:21,2018-08-11 21:37:18,United States,,,
broad-ripple-brewing-co-indianapolis,Broad Ripple Brewing Co,brewpub,842 E 65th St,,,Indianapolis,Indiana,,46220-1674,,3172532739,2018-07-24 01:33:22,2018-08-11 21:37:18,United States,,,
brokerage-brewing-company-west-lafayette,Brokerage Brewing Company,micro,2516 Covington St,,,West Lafayette,Indiana,,47906-1404,http://www.brokeragebrewing.com,7652332767,2018-07-24 01:33:22,2018-08-24 00:32:39,United States,-86.91414689,40.45361124,
brugge-brasserie-indianapolis,Brugge Brasserie,brewpub,1011A E Westfield Blvd,,,Indianapolis,Indiana,,46220-,http://www.bruggebrasserie.com,3172550978,2018-07-24 01:33:22,2018-08-11 21:37:18,United States,,,
bulldog-brewing-whiting,Bulldog Brewing,brewpub,1409 119th St,,,Whiting,Indiana,,46394-1714,http://www.bulldogbrewingco.com,2196555284,2018-07-24 01:33:22,2018-08-24 00:32:40,United States,-87.4951351,41.679491,
burn-em-brewing-michigan-city,Burn'Em Brewing,brewpub,718 Freyer Rd,,,Michigan City,Indiana,,46360-1911,http://www.burnembrewing.com,2193938606,2018-07-24 01:33:22,2018-08-24 00:32:40,United States,-86.82979191,41.73849717,
byway-brewing-company-hammond,Byway Brewing Company,brewpub,2825 Carlson Dr,,,Hammond,Indiana,,46323-1183,http://www.bywaybrewing.beer,2198445458,2018-07-24 01:33:22,2018-08-11 21:37:18,United States,,,
