id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
albia-brewing-co,Albia Brewing Co,brewpub,11 Benton Ave E,,,Albia,Iowa,,52531-2032,http://www.albiabrewingcompany.blogspot.com,6419324085,2018-07-24 01:33:23,2018-08-24 00:33:45,United States,-92.80737109999998,41.02718903,
millstream-brewing-co,Millstream Brewing Co,brewpub,835 48th Ave,,,Amana,Iowa,,52203-8122,http://www.millstreambrewing.com,3196223672,2018-07-24 01:33:24,2018-08-24 00:38:04,United States,-91.86527265,41.7949318,
alluvial-brewing-company,Alluvial Brewing Company,micro,3715 W 190th St,,,Ames,Iowa,,50014-9316,http://www.alluvialbrewing.com,515337118,2018-07-24 01:33:23,2018-08-11 21:37:23,United States,,,
olde-main-brewing-co-and-restaurant,Olde Main Brewing Co & Restaurant,brewpub,316 Main St,,,Ames,Iowa,,50010,http://www.oldemainbrewing.com/,5152320553,2018-07-24 01:33:24,2018-08-24 00:38:06,United States,-93.61410043,42.02503227,
torrent-brewing-co,Torrent Brewing Co,micro,504 Burnett Ave,,,Ames,Iowa,,50010-6178,http://www.torrentbrewingco.com,5152333155,2018-07-24 01:33:24,2018-08-24 00:38:16,United States,-93.61526616,42.02605341,
mistress-brewing-company,Mistress Brewing Company,micro,1460 NE 69th Pl Ste 66,,,Ankeny,Iowa,,50021-8934,http://www.mistressbrewing.com,5157712133,2018-07-24 01:33:24,2018-08-11 21:37:24,United States,,,
new-american-brewing-company,New American Brewing Company,micro,1631 SW Main St Ste 105,,,Ankeny,Iowa,,50023-7254,http://www.newamericanbeer.com,5152505648,2018-07-24 01:33:24,2018-08-11 21:37:24,United States,,,
firetrucker-brewery,Firetrucker Brewery,micro,716 SW 3rd St,,,Ankeny,Iowa,,50023-2615,http://www.firetrucker.com,5159641284,2018-07-24 01:33:24,2018-08-24 00:37:52,United States,-93.60984369,41.7299268,
river-ridge-brewing,River Ridge Brewing,micro,118 N Riverview St,,,Bellevue,Iowa,,52031-1248,http://www.riverridgebrewing.com,5632310299,2018-07-24 01:33:24,2018-08-11 21:37:25,United States,,,
crawford-brew-works,Crawford Brew Works,micro,3659 Devils Glen Rd,,,Bettendorf,Iowa,,52722,,,2018-07-24 01:33:24,2018-08-24 00:33:56,United States,-90.48344378,41.55924419,
five-cities-brewing,Five Cities Brewing,micro,2255 Falcon Ave,,,Bettendorf,Iowa,,52722,http://www.fivecitiesbrewing.com,5632326105,2018-07-24 01:33:24,2018-08-24 00:37:53,United States,-90.50126378,41.57430518,
