id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
beaver-brewery-at-mos-place,Beaver Brewery At Mo's Place,brewpub,1908 Elm St,,,Beaver,Kansas,,67525-9231,http://www.mosbrewpub.com,6205872350,2018-07-24 01:33:25,2018-08-24 00:38:21,United States,-98.667933,38.639049,
brewery-in-planning-burlington,Brewery in Planning - Burlington,planning,,,,Burlington,Kansas,,66839-9200,,7856332062,2018-07-24 01:33:25,2018-08-11 21:37:26,United States,,,
hank-is-wiser-brewery,Hank Is Wiser Brewery,brewpub,213 N Main St,,,Cheney,Kansas,,67025-9730,http://www.hankiswiserbrewery.com,3165420113,2018-07-24 01:33:25,2018-08-24 00:38:28,United States,-97.7812689,37.62820924,
dodge-city-brewing,Dodge City Brewing,brewpub,701 3rd Ave,,,Dodge City,Kansas,,67801-4336,http://www.dodgecitybrewing.com,6203713999,2018-07-24 01:33:25,2018-08-24 00:38:24,United States,-100.020307,37.754632,
walnut-river-brewing-company,Walnut River Brewing Company,micro,111 W Locust Ave,,,El Dorado,Kansas,,67042-3513,http://www.walnutriverbrewing.com,3163518086,2018-07-24 01:33:25,2018-08-24 00:38:37,United States,-96.85004869,37.81367549,
radius-brewing-company,Radius Brewing Company,micro,610 Merchant St,,,Emporia,Kansas,,66801-2859,http://radiusbrewing@yahoo.com,6202084677,2018-07-24 01:33:25,2018-08-24 00:38:33,United States,-96.18130706,38.40521996,
the-boiler-room-brewhaus-llc,The Boiler Room Brewhaus LLC,micro,10 S National Ave,,,Fort Scott,Kansas,,66701-1311,http://www.Boileroombrewhaus.com,6202232702,2018-07-24 01:33:25,2018-08-24 00:38:35,United States,-94.70741825,37.84103842,
defiance-brewing-co,Defiance Brewing Co.,micro,2050 E US Highway 40,,,Hays,Kansas,,67601-9310,http://www.defiancebeer.com,7853012337,2018-07-24 01:33:25,2018-08-11 21:37:26,United States,,,
gellas-diner-and-liquid-bread-brewing-co,Gella's Diner & Liquid Bread Brewing Co,brewpub,117 E 11th St,,,Hays,Kansas,,67601-3603,http://www.lbbrewing.com,7856212739,2018-07-24 01:33:25,2018-08-24 00:38:26,United States,-99.32909033,38.87174492,
willcott-brewing-company,Willcott Brewing Company,planning,,,,Holton,Kansas,,66436-1703,http://www.willcottbrewing.com,7853381611,2018-07-24 01:33:25,2018-08-11 21:37:27,United States,,,
union-works-brewery-llc,Union Works Brewery LLC,planning,,,,Humboldt,Kansas,,66748-1050,,,2018-07-24 01:33:25,2018-08-11 21:37:27,United States,,,
salt-city-brewing,Salt City Brewing,micro,514 N Main Street,,,Hutchinson,Kansas,,67501,,6209606210,2018-07-24 01:33:25,2018-08-24 00:38:34,United States,-97.93175306,38.05869143,
granite-city-food-and-brewery-#12,Granite City Food & Brewery (#12),brewpub,1701 Village West Pkwy,,,Kansas City,Kansas,,66111-1879,http://www.gcfb.net,9133342255,2018-07-24 01:33:25,2018-08-24 00:38:26,United States,-94.8239539,39.1233376,
free-state-brewing-co,Free State Brewing Co,brewpub,636 Massachusetts St,,,Lawrence,Kansas,,66044-2236,http://www.freestatebrewing.com,7858434555,2018-07-24 01:33:25,2018-08-24 00:38:25,United States,-95.23580916,38.97243469,
23rd-street-brewery,23rd Street Brewery,brewpub,3512 Clinton Pkwy,,,Lawrence,Kansas,,66047-2145,http://www.brew23.com,7858562337,2018-07-24 01:33:25,2018-08-24 00:38:19,United States,-95.28093353,38.9429674,
free-state-brewing-co-production,Free State Brewing Co - Production,micro,1923 Moodie Rd,,,Lawrence,Kansas,,66046-3167,,,2018-07-24 01:33:25,2018-08-24 00:38:25,United States,-95.22586264,38.94967284,
lawrence-beer-company,Lawrence Beer Company,brewpub,826 Pennsylvania St,,,Lawrence,Kansas,,66044-2754,http://www.lawrencebeerco.com,7858560453,2018-07-24 01:33:25,2018-08-24 00:38:30,United States,-95.2285539,38.9683511,
yankee-tank-brewing-company,Yankee Tank Brewing Company,micro,807 E 23rd St Ste J,,,Lawrence,Kansas,,66046-4952,http://yankeetankbrewing.com,7852339333,2018-07-24 01:33:25,2018-08-11 21:37:27,United States,,,
