id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
alexandria-brewing-company,Alexandria Brewing Company,micro,7926 Alexandria Pike Ste 1,,,Alexandria,Kentucky,,41001-1454,http://www.alexandriabrewingcompany.com,8596946999,2018-07-24 01:33:25,2018-08-11 21:37:27,United States,,,
uncrafted-territory-brewing-company,Uncrafted Territory Brewing Company,planning,,,,Beaver Dam,Kentucky,,42320-1915,,2707753131,2018-07-24 01:33:26,2018-08-11 21:37:29,United States,,,
braxton-labs,Braxton Labs,micro,95 Riviera Dr,,,Bellevue,Kentucky,,41073-1337,,859615600,2018-07-24 01:33:25,2018-08-24 00:38:46,United States,-84.4872671,39.10060941,
darkness-brewing,Darkness Brewing,micro,224 Fairfield Ave,,,Bellevue,Kentucky,,41073-1041,,,2018-07-24 01:33:25,2018-08-24 00:38:49,United States,-84.48468072,39.10500991,
white-squirrel-brewery,White Squirrel Brewery,brewpub,871 Broadway Ave,,,Bowling Green,Kentucky,,42101-2571,http://www.whitesquirrelbrewery.com,2709041573,2018-07-24 01:33:26,2018-08-24 00:39:08,United States,-86.44073879999998,36.9844713,
st-arnulf-alery,St Arnulf Alery,micro,3152 Kings Chapel Rd,,,Cadiz,Kentucky,,42211-0000,,5023094703,2018-07-24 01:33:26,2018-08-11 21:37:28,United States,,,
braxton-brewing-company,Braxton Brewing Company,micro,27 W 7th St,,,Covington,Kentucky,,41011-2301,http://www.braxtonbrewing.com,859615600,2018-07-24 01:33:25,2018-08-24 00:38:45,United States,-84.51080761,39.08292505,
maiden-city-brewing-company-llc,"Maiden City Brewing Company, LLC",micro,123 E Pike St,,,Cynthiana,Kentucky,,41031-1527,http://www.maidencitybrewing.com,8599545151,2018-07-24 01:33:26,2018-08-24 00:39:00,United States,-84.288072,38.388396,
beer-engine,Beer Engine,micro,107 Larrimore Ln,,,Danville,Kentucky,,40422-1674,http://www.kybeerengine.com,5024035680,2018-07-24 01:33:25,2018-08-24 00:38:43,United States,-84.771328,37.6481,
flywheel-brewing-company,Flywheel Brewing Company,micro,218 S Mulberry St Ste 103,,,Elizabethtown,Kentucky,,42701-1431,http://www.flywheelbrewing.com,,2018-07-24 01:33:26,2018-08-11 21:37:28,United States,,,
mash-cult-brewing,Mash Cult Brewing,micro,6823 Burlington Pike,,,Florence,Kentucky,,41042-1616,,8593714466,2018-07-24 01:33:26,2018-08-24 00:39:00,United States,-84.64366650000002,39.00085410000001,
country-boy-brewing-georgetown,Country Boy Brewing - Georgetown,micro,108 Corporate Dr,,,Georgetown,Kentucky,,40324-0000,,8595882118,2018-07-24 01:33:25,2018-08-11 21:37:27,United States,,,
lemons-mill-brewery,Lemons Mill Brewery,micro,166 Marimon Ave,,,Harrodsburg,Kentucky,,40330-1311,http://www.lemonsmillbrewery.com,8592650872,2018-07-24 01:33:26,2018-08-24 00:38:58,United States,-84.83862624,37.76080820000001,
henderson-brewing-company,Henderson Brewing Company,planning,,,,Henderson,Kentucky,,42420-3226,,2702004314,2018-07-24 01:33:26,2018-08-11 21:37:28,United States,,,
hopkinsville-brewing-company,Hopkinsville Brewing Company,micro,102 E 5th St,,,Hopkinsville,Kentucky,,42240-3306,http://www.hopkinsvillebrewingcompany.com,2703483927,2018-07-24 01:33:26,2018-08-24 00:38:58,United States,-87.48735745,36.86749436,
rock-house-brewing,Rock House Brewing,micro,119 Luigart Ct,,,Lexington,Kentucky,,40508-1686,http://www.rockhousebrewing.com,8593687064,2018-07-24 01:33:26,2018-08-24 00:39:04,United States,-84.48229841,38.05652337,
alltechs-lexington-brewing,Alltech's Lexington Brewing,regional,475 Angliana Ave,,,Lexington,Kentucky,,40508-3134,http://www.Kentuckyale.com,8592552337,2018-07-24 01:33:25,2018-08-24 00:38:42,United States,-84.51599645,38.04950651,
