id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
mad-science-brewing-company,Mad Science Brewing Company,micro,1619 Buckeystown Pike,,,Adamstown,Maryland,,21710,http://www.madsciencebrewing.com,2404098723,2018-07-24 01:33:29,2018-08-11 21:37:37,United States,,,
back-creek-brewing-company,Back Creek Brewing Company,planning,,,,Annapolis,Maryland,,21401-4019,http://www.backcreekbrewing.com,4103206904,2018-07-24 01:33:28,2018-08-11 21:37:35,United States,,,
brewery-in-planning-arnold,Brewery In Planning - Arnold,planning,,,,Annapolis,Maryland,,21409-5402,,,2018-07-24 01:33:28,2018-08-11 21:37:35,United States,,,
chesapeake-brewing-co,Chesapeake Brewing Co,brewpub,114 West St,,,Annapolis,Maryland,,21401-2802,http://www.chesbrewco.com,4102680000,2018-07-24 01:33:29,2018-08-24 00:40:24,United States,-76.4974843,38.9780984,
gordon-biersch-brewery-restaurant-annapolis,Gordon Biersch Brewery Restaurant - Annapolis,brewpub,1906 Towne Centre Blvd Ste 155,,,Annapolis,Maryland,,21401-3681,http://www.craftworksrestaurants.com,4102665965,2018-07-24 01:33:29,2018-08-11 21:37:36,United States,,,
the-brewers-art-/-old-line-brewery-llc,The Brewer's Art / Old Line Brewery LLC,brewpub,1106 N Charles St,,,Baltimore,Maryland,,21201-5557,http://www.thebrewersart.com,,2018-07-24 01:33:30,2018-08-24 00:40:52,United States,-76.61460679999998,39.303716,
broken-gate-brewing,Broken Gate Brewing,planning,,,,Baltimore,Maryland,,21230-4464,,3103453570,2018-07-24 01:33:29,2018-08-11 21:37:35,United States,,,
duclaw-brewing-co,DuClaw Brewing Co,regional,8901 Yellow Brick Rd Ste B,,,Baltimore,Maryland,,21237-2349,http://www.duclaw.com,4435599900,2018-07-24 01:33:29,2018-08-11 21:37:36,United States,,,
brew-house-no-16,Brew House No 16,brewpub,831 N Calvert St,,,Baltimore,Maryland,,21202-3705,http://www.brewhouseno16.com,4106594084,2018-07-24 01:33:28,2018-08-24 00:40:21,United States,-76.61271192,39.29963095,
checkerspot-brewing-company,Checkerspot Brewing Company,brewpub,175 W Ostend St,,,Baltimore,Maryland,,21230,http://www.checkerspotbrewing.com,4105915527,2018-07-24 01:33:29,2018-08-24 00:40:24,United States,-76.61950279999998,39.2749156,
