id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
10th-district-brewing-company,10th District Brewing Company,micro,491 Washington St,,,Abington,Massachusetts,,02351-2419,http://www.10thdistrictbrewing.com,7813071554,2018-07-24 01:33:30,2018-08-24 00:40:56,United States,-70.94594149,42.10591754,
rapscallion-ales,Rapscallion Ales,micro,5 Strawberry Hill Rd,,,Acton,Massachusetts,,01720-5706,http://www.drinkrapscallion.com,5083477500,2018-07-24 01:33:32,2018-08-24 00:41:42,United States,-71.41585461,42.4919605,
true-west-brewing-company,True West Brewing Company,brewpub,525 Massachusetts Ave Ste 107,,,Acton,Massachusetts,,01720-2962,http://www.brewtruewest.com,9782061600,2018-07-24 01:33:32,2018-08-11 21:37:44,United States,,,
barewolf-brewing,BareWolf Brewing,micro,12 Oakland St,,,Amesbury,Massachusetts,,1913,http://www.barewolfbrewing.com,9783906540,2018-07-24 01:33:30,2018-08-24 00:41:01,United States,-70.92336518,42.85606929,
brewery-silvaticus,Brewery Silvaticus,brewpub,9 Water St,,,Amesbury,Massachusetts,,01913-2936,http://www.silvaticusbeers.com,9785042337,2018-07-24 01:33:31,2018-08-24 00:41:09,United States,-70.9295559,42.8573815,
amherst-brewing-co-/-hangar-pub-and-grill,Amherst Brewing Co / Hangar Pub and Grill,brewpub,10 University Dr,,,Amherst,Massachusetts,,01002-2243,http://www.amherstbrewing.com,4132534400,2018-07-24 01:33:30,2018-08-24 00:40:59,United States,-72.5318418,42.3728635,
high-horse-brewery-and-bistro,High Horse Brewery and Bistro,contract,24 N Pleasant St,,,Amherst,Massachusetts,,01002-1703,http://www.highhorsebrewing.com,4132303034,2018-07-24 01:33:31,2018-08-24 00:41:23,United States,-72.5201343,42.376218,
oak-and-iron-brewing-co,Oak & Iron Brewing Co,brewpub,18 Red Spring Rd,,,Andover,Massachusetts,,01810-3448,http://www.oakandironbrewing.com,9784754077,2018-07-24 01:33:32,2018-08-24 00:41:37,United States,-71.14788579,42.65614908,
paramount-brewing-company,Paramount Brewing Company,planning,,,,Andover,Massachusetts,,01810-5011,,6178691388,2018-07-24 01:33:32,2018-08-11 21:37:43,United States,,,
skyroc-brewery,Skyroc Brewery,micro,11 Riverbank Rd,,,Attleboro,Massachusetts,,02703-,http://www.skyrocbrewery.com,7743312336,2018-07-24 01:33:32,2018-08-24 00:41:47,United States,-71.28788917,41.94462967,
stone-cow-brewery,Stone Cow Brewery,micro,500 West St (Route 122),,,Barre,Massachusetts,,1005,,4135526048,2018-07-24 01:33:32,2018-08-11 21:37:44,United States,,,
arcpoint-brewing-co,Arcpoint Brewing Co,micro,,,,Belchertown,Massachusetts,,01007-9305,http://www.arcpointbrewco.com,5187964977,2018-07-24 01:33:30,2018-08-11 21:37:38,United States,,,
berkley-beer-company,Berkley Beer Company,micro,,,,Berkley,Massachusetts,,02779-1101,http://www.berkleybeer.com,5083269954,2018-07-24 01:33:30,2018-08-11 21:37:39,United States,,,
gentile-brewing-company,Gentile Brewing Company,micro,59 Park St # 1,,,Beverly,Massachusetts,,01915-4253,http://www.gentilebrewing.com,9789696496,2018-07-24 01:33:31,2018-08-11 21:37:41,United States,,,
old-planters-brewing-co,Old Planters Brewing Co.,micro,100 Corning St,,,Beverly,Massachusetts,,01915-3837,http://www.oldplanters.com,9785226446,2018-07-24 01:33:32,2018-08-24 00:41:39,United States,-70.86287139,42.55499645,
