id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
d5cb896d-3e99-4e19-9693-5e06ce987e53,127 Brewing,micro,3090 Shirley Dr,,,Jackson,Michigan,49201-7010,United States,5172581346,,-84.43116792,42.28667212
c17a3e56-4d4e-405e-a21b-85f415903674,5 Lakes Brewing Co.,brewpub,1638 142nd Ave,,,Dorr,Michigan,49323-9312,United States,6163599555,http://www.5lakesbrewing.com,-85.70445518,42.72497157
132540a2-23c8-4720-8c58-31292d264c4a,51st State Brewing Company,brewpub,115 Harding Ave,,,Kingsford,Michigan,49802-3815,United States,9068282167,http://www.51ststatebrewingcompany.com,-88.08819,45.808408
c00f57cf-acdd-46da-9269-d182cb87a7e4,734 Brewing Company,micro,15 E Cross St,,,Ypsilanti,Michigan,48198,United States,7346496453,,-83.61103475,42.24586784
30d8f77b-aeec-4435-a280-16bacd1b1c97,Aberrant Ales,brewpub,219 W Grand River Ave,,,Howell,Michigan,48843,United States,5175188699,http://www.aberrantales.com,-83.93094539,42.60773722
00221d0f-2ed7-41d1-95b8-d8b1bfbc8b0e,Abner's Restaurant Inc / Northern Michigan Beer,brewpub,7528 N Woodbridge (M37),,,Brohman,Michigan,49312,United States,2316892295,,,
4c8a98d1-1012-4814-82a5-20c68b131442,Albion Malleable Brewing Company,brewpub,420 S Superior St,,,Albion,Michigan,49224,United States,5173432202,http://www.albionmalleable.com,-84.7532755,42.2423188
4d43c467-2e30-4b93-a25c-d1e46998dc07,Alma Brewing Co,brewpub,208 E Superior St,,,Alma,Michigan,48801-1819,United States,9894620208,http://www.almabrewing.com,-84.6588719,43.37888808
5e4e7f13-1e56-4715-b575-37522b595062,American Badass Beer,contract,1401 Abbott St Corktown,,,Detroit,Michigan,48216-1946,United States,,http://www.americanbadassbeer.com,,
2b3bdfe8-47fd-4105-939e-57c9864e83b4,American Brewers Inc,micro,3408 Miller Rd,,,Kalamazoo,Michigan,49001-4111,United States,2692171920,http://www.americanbrewers.us,-85.5378194,42.26671998
