id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
gravel-bottom-craft-brewery,Gravel Bottom Craft Brewery,micro,452 Ada Dr SE,,,Ada,Michigan,,49301,http://www.gravelbottom.com,6169207398,2018-07-24 01:33:35,2018-08-24 00:43:04,United States,-85.4857858,42.955144,
cotton-brewing-co,Cotton Brewing Co,brewpub,626 Oak St,,,Adrian,Michigan,,49221-3367,http://www.cottonbrewing.com,5179026608,2018-07-24 01:33:34,2018-08-24 00:42:39,United States,-84.02463418,41.89136136,
burt-lake-brewery-/-seasons-of-the-north-winery,Burt Lake Brewery / Seasons of the North Winery,micro,9090 W M-68 Hwy,,,Alanson,Michigan,,49706,http://www.burtlakebrewery.com,2315481280,2018-07-24 01:33:34,2018-08-11 21:37:47,United States,,,
albion-malleable-brewing-company,Albion Malleable Brewing Company,brewpub,420 S Superior St,,,Albion,Michigan,,49224,http://www.albionmalleable.com,5173432202,2018-07-24 01:33:33,2018-08-24 00:42:01,United States,-84.7532755,42.2423188,
hops-bitters-and-mash,"Hops, Bitters, And Mash",planning,,,,Allen Park,Michigan,,48101-2539,,,2018-07-24 01:33:35,2018-08-11 21:37:51,United States,,,
trail-point-brewing-co,Trail Point Brewing Co.,micro,6035 Lake Michigan Dr,,,Allendale,Michigan,,49401-9101,http://www.trailpointbrewing.com,6168952739,2018-07-24 01:33:37,2018-08-24 00:44:31,United States,-85.93541536,42.97207782,
alma-brewing-co,Alma Brewing Co,brewpub,208 E Superior St,,,Alma,Michigan,,48801-1819,http://www.almabrewing.com,9894620208,2018-07-24 01:33:33,2018-08-24 00:42:02,United States,-84.65887190000002,43.37888808,
austin-brothers-beer-company,Austin Brothers' Beer Company,brewpub,821 W Miller St,,,Alpena,Michigan,,49707-1825,http://www.austinbrosbeerco.com,9893402300,2018-07-24 01:33:33,2018-08-24 00:42:08,United States,-83.43583578,45.07296998,
pileated-brewing-co,Pileated Brewing Co,micro,2290 South Industrial Highway,,,Ann Arbor,Michigan,,48104,http://www.pileatedbrewing.com,7343696290,2018-07-24 01:33:36,2018-08-24 00:43:55,United States,-83.73385304,42.2528625,
arbor-brewing-co,Arbor Brewing Co,brewpub,114 E Washington St,,,Ann Arbor,Michigan,,48104-1905,http://www.arborbrewing.com,7342131393,2018-07-24 01:33:33,2018-08-24 00:42:04,United States,-83.74822471,42.28041029,
biercamp,Biercamp,brewpub,1643 S State St,,,Ann Arbor,Michigan,,48104-4302,http://www.bier-camp.com,7349952437,2018-07-24 01:33:33,2018-08-24 00:42:16,United States,-83.740111,42.2586786,
edelbrau-brewing-company,Edelbrau Brewing Company,planning,,,,Ann Arbor,Michigan,,48108-3393,http://www.edelbrau.com,7347075184,2018-07-24 01:33:34,2018-08-11 21:37:49,United States,,,
homes-brewery,HOMES Brewery,brewpub,2321 Jackson Ave,,,Ann Arbor,Michigan,,48103-3814,http://www.homesbrewery.com,7349546637,2018-07-24 01:33:35,2018-08-24 00:43:13,United States,-83.77845211,42.28032635,
jolly-pumpkin-cafe-and-brewery,Jolly Pumpkin Cafe and Brewery,brewpub,311 S Main St,,,Ann Arbor,Michigan,,48104-2107,http://www.jollypumpkin.com,7349132730,2018-07-24 01:33:35,2018-08-24 00:43:19,United States,-83.7484551,42.2791598,
pointless-brewery,Pointless Brewery,micro,3014 Packard St,,,Ann Arbor,Michigan,,48108-1935,http://www.pointlessbrew.com,9894554484,2018-07-24 01:33:36,2018-08-24 00:43:56,United States,-83.7297662,42.260633,
townies-brewery,Townies Brewery,brewpub,2350 W Liberty Rd,,,Ann Arbor,Michigan,,48103,,,2018-07-24 01:33:37,2018-08-24 00:44:30,United States,-83.7891745,42.2730356,
wolverine-state-brewing-co,Wolverine State Brewing Co,brewpub,2019 W Stadium Blvd # 103,,,Ann Arbor,Michigan,,48103-4557,http://www.wolverinebeer.com,7343692990,2018-07-24 01:33:38,2018-08-24 00:44:42,United States,-83.7745473,42.2694316,
grizzly-peak-brewing-co,Grizzly Peak Brewing Co,brewpub,120 W Washington St Ste 1,,,Ann Arbor,Michigan,,48104-1356,http://www.grizzlypeak.net,7347417325,2018-07-24 01:33:35,2018-08-11 21:37:50,United States,,,
blue-tractor-brewing-co,Blue Tractor Brewing Co,brewpub,207 E Washington St,,,Ann Arbor,Michigan,,48104-2007,,7342224095,2018-07-24 01:33:33,2018-08-24 00:42:24,United States,-83.74704578,42.28052759,
tbd,TBD,micro,17985 Armada Center Rd,,,Armada,Michigan,,48005-2323,http://www.blakeshardcider.com,5869897454,2018-07-24 01:33:37,2018-08-24 00:44:19,United States,-82.95124856,42.84942455,
rochester-mills-production-brewery,Rochester Mills Production Brewery,micro,3275 Lapeer W Rd,,,Auburn Hills,Michigan,,48326-1723,http://www.beercos.com,2483773130,2018-07-24 01:33:36,2018-08-11 21:37:55,United States,,,
cognito-brewing-company,Cognito Brewing Company,brewpub,142 W Monroe St,,,Bangor,Michigan,,49013-1333,http://www.cognitobrewingcompany.com,9718088863,2018-07-24 01:33:34,2018-08-24 00:42:37,United States,-86.11152208,42.31308099,
hop-head-farms-brewing-llc,"Hop Head Farms Brewing, LLC",planning,,,,Baroda,Michigan,,49101-9351,,,2018-07-24 01:33:35,2018-08-11 21:37:51,United States,,,
round-barn-brewery-and-public-house,Round Barn Brewery & Public House,micro,9151 First St,,,Baroda,Michigan,,49101-8927,http://www.roundbarnbrewery.com,2693267059,2018-07-24 01:33:36,2018-08-11 21:37:56,United States,,,
round-barn-brewery-/-round-barn-winery,Round Barn Brewery / Round Barn Winery,micro,10983 Hills Rd,,,Baroda,Michigan,,49101-8742,http://www.roundbarnwinery.com,8007169463,2018-07-24 01:33:36,2018-08-24 00:44:03,United States,-86.479395,41.950161,
new-holland-brewing,New Holland Brewing,planning,,,,Battle Creek,Michigan,,49017,,,2018-07-24 01:33:36,2018-08-11 21:37:53,United States,,,
lumber-barons-brewery,Lumber Barons Brewery,brewpub,804 E Midland St,,,Bay City,Michigan,,48706-4953,http://www.lumberbaronsbrewery.com,9898910100,2018-07-24 01:33:35,2018-08-11 21:37:52,United States,,,
tri-city-brewing-co,Tri City Brewing Co,micro,4170 Shrestha Dr,,,Bay City,Michigan,,48706-2184,http://www.tricitybrewing.com,9896861340,2018-07-24 01:33:37,2018-08-11 21:37:58,United States,,,
whiskey-point-brewing-company,Whiskey Point Brewing Company,planning,,,,Beaver Island,Michigan,,49782-5105,http://www.whiskeypointbrewing.com,2313737842,2018-07-24 01:33:37,2018-08-11 21:37:58,United States,,,
belding-brewing-company,Belding Brewing Company,planning,,,,Belding,Michigan,,48809-1678,,6163086285,2018-07-24 01:33:33,2018-08-11 21:37:46,United States,,,
shorts-brewing-co,Short's Brewing Co,brewpub,121 N Bridge St,,,Bellaire,Michigan,,49615-9509,http://www.shortsbrewing.com,2315336622,2018-07-24 01:33:37,2018-08-24 00:44:09,United States,-85.21012429,44.975604,
cravings-bistro-and-pub,Cravings Bistro & Pub,brewpub,1599 Mall Dr Ste B,,,Benton Harbor,Michigan,,49022-2330,,2699349700,2018-07-24 01:33:34,2018-08-11 21:37:48,United States,,,
north-pier-brewing,North Pier Brewing,micro,670 N Shore Dr,,,Benton Harbor,Michigan,,49022-3646,http://www.northpierbrewing.com,2697577163,2018-07-24 01:33:36,2018-08-24 00:43:43,United States,-86.45499315,42.12454349,
the-livery,The Livery,brewpub,190 5th St,,,Benton Harbor,Michigan,,49022-3484,http://www.liverybrew.com,2699258760,2018-07-24 01:33:37,2018-08-24 00:44:24,United States,-86.45330019,42.11813538,
st-ambrose-cellars,St Ambrose Cellars,micro,841 S Pioneer Rd,,,Beulah,Michigan,,49617,http://www.stambrose-mead-wine.com,2313834262,2018-07-24 01:33:37,2018-08-11 21:37:57,United States,,,
blue-cow-cafe/big-rapids-brewing-co,Blue Cow Cafe/Big Rapids Brewing Co,brewpub,119 N Michigan Ave,,,Big Rapids,Michigan,,49307-1401,http://www.bluecowcafe.com,2317960100,2018-07-24 01:33:33,2018-08-24 00:42:23,United States,-85.48211793,43.69871439,
crankers-brewery,Cranker's Brewery,brewpub,213 S State St,,,Big Rapids,Michigan,,49307-1758,,2317961919,2018-07-24 01:33:34,2018-08-24 00:42:39,United States,-85.483723,43.688013,
big-rock-chop-house-and-brewery,Big Rock Chop House & Brewery,contract,245 S Eton St,,,Birmingham,Michigan,,48009-6577,http://www.bigrockchophouse.com,2486477774,2018-07-24 01:33:33,2018-08-24 00:42:19,United States,-83.19603911,42.54693868,
griffin-claw-brewing-co,Griffin Claw Brewing Co,micro,575 S Eton St,,,Birmingham,Michigan,,48009-6824,http://www.griffinclawbrewingcompany.com,,2018-07-24 01:33:35,2018-08-24 00:43:07,United States,-83.19546429,42.54345720000001,
old-detroit-brewing-co,Old Detroit Brewing Co,planning,,,,Bloomfield Hills,Michigan,,48304-3817,,,2018-07-24 01:33:36,2018-08-11 21:37:54,United States,,,
stiggs-brewery-and-kitchen,Stiggs Brewery & Kitchen,brewpub,112 S Park St,,,Boyne City,Michigan,,49712-1251,http://www.stiggsbrewingcompany.com,2314976100,2018-07-24 01:33:37,2018-08-11 21:37:57,United States,,,
