id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
42aa37d5-8384-4ffe-8c81-7c982eff0384,10K Brewing,micro,2005 2nd Ave,,,Anoka,Minnesota,55303-2243,United States,7633924753,http://10KBrew.com,-93.38952559,45.19812039
50521ef7-f543-4c5d-98b1-0d0ee1a2be01,12welve Eyes Brewing,micro,141 E 4th St Ste LL2,,,Saint Paul,Minnesota,55101-1639,United States,6514938106,http://www.12welveEyes.com,,
b7b68d22-5045-4501-b9bf-ec94946eaffc,14 Lakes Brewery,micro,,,,Crosslake,Minnesota,56442,United States,2186924129,,,
b0d5d69d-b439-44a6-ab3e-0cbd15658dc7,56 Brewing,micro,3055 Columbia Ave NE Ste 102,,,Minneapolis,Minnesota,55418-1860,United States,6124040056,http://www.56brewing.com,,
f3e9ba4b-0246-44ac-9170-f095d19e8d64,612 Brew,micro,945 Broadway St NE,,,Minneapolis,Minnesota,55413-1471,United States,6129648939,http://www.612brew.com,-93.2062058,45.000631
31678502-edf6-4eb0-bc10-4ede5ac279b6,Able Seedhouse and Brewery,micro,1121 Quincy St NE,,,Minneapolis,Minnesota,55413-2773,United States,6124054642,http://www.ablebeer.com,-93.2510686,44.9993934
1b259770-4334-44ad-be18-8097be571df6,Alloy Brewing Company,micro,2700 Coon Rapids Blvd NW,,,Coon Rapids,Minnesota,55433-3955,United States,7634230939,http://www.alloybrewingcompany.com,-93.33543497,45.16953614
4f22a5e8-e8e0-471b-8070-888584fc446a,Angry Inch Brewing,micro,20841 Holyoke Ave,,,Lakeville,Minnesota,55044-,United States,,http://www.angryinchbrewing.com,-93.2432718,44.6476022
e38d5dc2-4bf9-4627-b468-922baaa621ab,Arbeiter Brewing Company,planning,,,,Minneapolis,Minnesota,55418-2325,United States,,http://www.arbeiterbrewing.com,,
64749ace-0bca-4548-83e4-c6465547c60f,Ashby Brewing Company,micro,109 Main St,,,Ashby,Minnesota,56309-4687,United States,8886350291,http://www.abcbrewing.net,-95.81621756,46.09300639
e8f104ff-0e7e-429d-b3da-ae6655830e8c,August Schell Brewing Co,regional,Schells Park/1860 Schell Rd,,,New Ulm,Minnesota,56073,United States,5073545528,http://www.schellsbrewery.com,,
cb595c72-e65b-444e-83a6-9d07d731e2b6,Back Channel Brewing,micro,4787 Shoreline Dr,,,Spring Park,Minnesota,55384-9713,United States,9528559315,https://www.backchannelbrewing.com,-93.64430718,44.93673794
c1496ab2-788d-454c-b205-9e852e54f682,Bad Habit Brewing Company,micro,15 E Minnesota St Ste 108,,,Saint Joseph,Minnesota,56374-4691,United States,3204024442,http://www.badhabitbeer.com,,
6f9649a1-b449-4542-8f23-837bec41f649,Bad Weather Brewing LLC,micro,414 7th St W,,,Saint Paul,Minnesota,55102-2733,United States,6512076627,http://www.badweatherbrewery.com,-93.1655001,44.9040455
d85636df-f559-4277-ab0c-c3ddf3853c4e,Badger Hill Brewing,micro,4571 Valley Industrial Blvd S Ste 500,,,Shakopee,Minnesota,55379-1846,United States,6123884479,http://www.badgerhillbrewing.com,,
ca101b8b-4b59-4298-a163-e5559e72358a,Bald Man Brewing Company,micro,2020 Silver Bell Rd Ste 25,,,Eagan,Minnesota,55122-1030,United States,6516003164,http://www.BaldManBrewing.com,,
d2af1d0e-cc9d-4c26-90a0-f768b9cfb344,Bang Brewing,micro,2320 Capp Rd,,,Saint Paul,Minnesota,55114-1251,United States,6512432264,http://www.bangbrewing.com,,
133a1850-eabe-4a10-95dc-827ae90965ee,Bank Brewing Co,micro,218 N Main St,,,Hendricks,Minnesota,56136-9501,United States,6123092513,http://www.bankbrewing.com,-96.42581655,44.50839827
050945b3-143d-4c19-976d-be130c5b9628,Barley Johns Brewpub,brewpub,781 Old Highway 8 SW,,,New Brighton,Minnesota,55112-7735,United States,6516364670,http://www.barleyjohns.com,-93.1984831,45.0366982
e11f74dd-00c9-4b81-b284-879dc08f3132,Barrel Theory Beer Company,micro,248 7th St E,,,Saint Paul,Minnesota,55101-2349,United States,6516003422,http://www.barreltheory.com,-93.08803482,44.95106551
