id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
brewery-in-planning-albert-lea,Brewery In Planning - Albert Lea,planning,,,,Albert Lea,Minnesota,,56007-4211,,,2018-07-24 01:33:38,2018-08-11 21:38:01,United States,,,
copper-trail-brewing-co,Copper Trail Brewing Co.,micro,410 30th Ave E Ste 103,,,Alexandria,Minnesota,,56308-4770,http://www.coppertrailbrewing.com,3202196688,2018-07-24 01:33:38,2018-08-11 21:38:01,United States,,,
spilled-grain-brewhouse,Spilled Grain Brewhouse,micro,300 Elm St E,,,Annandale,Minnesota,,55302-9406,http://www.spilledgrainbrewhouse.com,3202741129,2018-07-24 01:33:40,2018-08-24 00:45:47,United States,-94.11946132,45.25958238,
10k-brewing,10K Brewing,micro,2005 2nd Ave,,,Anoka,Minnesota,,55303-2243,http://10KBrew.com,7633924753,2018-07-24 01:33:38,2018-08-24 00:44:43,United States,-93.38952559,45.19812039,
ashby-brewing-company,Ashby Brewing Company,micro,109 Main St,,,Ashby,Minnesota,,56309-4687,http://www.abcbrewing.net,8886350291,2018-07-24 01:33:38,2018-08-24 00:44:47,United States,-95.81621756,46.09300639,
jack-pine-brewery,Jack Pine Brewery,micro,15593 Edgewood Dr,,,Baxter,Minnesota,,56401-6952,http://www.jackpinebrewery.com,2182708072,2018-07-24 01:33:39,2018-08-11 21:38:03,United States,,,
u4ic-brewing-inc,"U4ic Brewing, Inc.",micro,23436 Union Trl Ste 1,,,Belle Plaine,Minnesota,,56011-9008,http://www.u4icbrewing.com,9528733303,2018-07-24 01:33:40,2018-08-24 00:45:54,United States,-93.8017001,44.62322460000001,
bemidji-brewing-company,Bemidji Brewing Company,brewpub,211 America Ave NW,,,Bemidji,Minnesota,,56601-3176,http://www.bemidjibeer.com,2184447011,2018-07-24 01:33:38,2018-08-24 00:44:52,United States,-94.88482747,47.46990220000001,
garphish-brewing-company,Garphish Brewing Company,micro,165 Main St,,,Bethel,Minnesota,,55005,http://www.garphish.com,7634520270,2018-07-24 01:33:39,2018-08-24 00:45:14,United States,-93.268872,45.4040025,
lupulin-brewing,Lupulin Brewing,micro,570 Humboldt Dr Ste 107,,,Big Lake,Minnesota,,55309-4868,http://www.lupulinbrewing.com,7632639549,2018-07-24 01:33:39,2018-08-11 21:38:04,United States,,,
invictus-brewing-co,Invictus Brewing Co,planning,,,,Blaine,Minnesota,,55449,http://www.InvictusBrewingCo.com,6127234090,2018-07-24 01:33:39,2018-08-11 21:38:03,United States,,,
invictus-brewing-co,Invictus Brewing Co.,brewpub,2025 105th Ave NE,,,Blaine,Minnesota,,55449-5202,http://www.invictusbrewingco.com,6127234090,2018-07-24 01:33:39,2018-08-24 00:45:24,United States,-93.2189616,45.1608516,
oswald-brewing-company,Oswald Brewing Company,brewpub,110 S Main St,,,Blue Earth,Minnesota,,56013-2007,http://www.oswaldbrewingcompany.com,5075263101,2018-07-24 01:33:39,2018-08-24 00:45:38,United States,-94.2184542,44.10610449,
