id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
46839a79-b7bf-4733-b91b-ce116d062a57,1817 Brewery,micro,100 B South Olive St,,,okolona,Mississippi,38860,United States,6623055907,,-88.749698,34.004383
c66e7af2-41c2-4e8b-b66d-32ea62e28d4f,Biloxi Brewing Co,micro,186 Bohn St,,,Biloxi,Mississippi,39530-3812,United States,2282731638,http://www.biloxibrewing.com,-88.89361913,30.3982915
6e39f621-d0ff-4765-97c2-53224a0d3825,Chandeleur Island Brewing Company,micro,2711 14th St,,,Gulfport,Mississippi,39501-1928,United States,2287019985,http://www.chandeleurbrew.com,-89.095479,30.368075
64dc6a70-6169-4a42-9102-c6abf362bb9c,Colludium Brewery,planning,,,,Hattiesburg,Mississippi,39401,United States,6015202789,http://www.colludiumbrewery.com,,
e8c556c7-d035-4f95-8c82-0fbfcd95de2a,Colludium Brewery,taproom,2108 W 4th St,,,Hattiesburg,Mississippi,39401,United States,6015202789,http://www.colludiumbrewery.com,-89.323667,31.333492
69bb6dc5-6de6-4c4c-b13f-7e09522af56a,Craft Advisory Brewing,brewpub,1314 Government Street,,,Ocean Springs,Mississippi,39564,United States,2283345000,http://www.CraftAdvisoryBrewing.com,-88.823541,30.413306
7ccad05b-4094-411f-8e22-e68cb5eb4bba,Crooked Letter Brewing Co,brewpub,503 Porter Ave,,,Ocean Springs,Mississippi,39564,United States,2282353994,http://www.crookedletterbrewery.com,,
f0f16ce0-7f55-47ec-8772-25d2ccd405b4,Fly Llama Brewing,taproom,186 Bohn St,,,Biloxi,Mississippi,39530,United States,2282235400,http://www.flyllamabrewing.com,-88.893849,30.398353
c19cb32a-c7a8-40a6-a31a-db9e6a96b079,Fort Bayou Brewing Company,brewpub,6616 Rose Farm Rd,,,Ocean Springs,Mississippi,39564,United States,2286414616,http://www.fort-bayou-brewing-company.business.site,-88.829785,30.437605
ca201290-5cfa-4b87-8231-e7cc86672895,Hops and Growlers,taproom,2339 Government St,,,Ocean Springs,Mississippi,39564,United States,2283345585,http://www.hopsandgrowlers.com,-88.806979,30.413678
7ed3f061-489d-43af-a990-1b944405bf3f,Key City Brewing Co.,brewpub,1309 Washington St.,,,Vicksburg,Mississippi,39180,United States,6264871330,http://keycitybeer.com,-90.881898,32.349647
990a512e-4351-4912-9a5a-e7381aa35908,Key City Brewing Co.,brewpub,1309 Washington St.,,,Vicksburg,Mississippi,39180,United States,6264871330,http://keycitybeer.com,-90.881898,32.349647
7a980f26-f18f-48a1-8a1c-7bec1dc79e83,Lazy Magnolia Brewery,micro,7030 Roscoe Turner Rd,,,Kiln,Mississippi,39556-8000,United States,2284672727,http://www.lazymagnolia.com,-89.448576,30.376855
769481b5-a165-4020-8fd0-060464634abb,Lost Spring Brewing Company,taproom,700 Bellande Avenue,,,Ocean Springs,Mississippi,39564,United States,2282195064,http://www.lostspringbrewing.com,-88.826512,30.413337
a76253b7-d902-408b-af47-3cdf10a3e5c0,Lucky Town Brewing Co,micro,1710 N Mill St,,,Jackson,Mississippi,39202-1536,United States,6017900142,http://www.luckytownbrewing.com,-90.18857808,32.31965604
d026174e-36e3-427c-b459-fd32d8598783,Macon Brewing Company/Puff Belly?s Brewery Pizza and Grill,brewpub,3179 Mallet Rd,,,D’Iberville,Mississippi,39540,United States,2289677611,http://www.puffbellys.com,-88.888836,30.456783
13b89410-7391-4eee-9f99-38184e513ca5,Mayhew Junction Brewing Company,micro,106 Eckford Dr,,,Starkville,Mississippi,39759-3710,United States,6625460510,http://www.mayhewjunction.com,,
0fab9619-58f0-42d5-87bb-78cf88a2d2e2,Mighty Miss Brewing Co.,micro,525 S Washington Ave Ste B,,,Greenville,Mississippi,38701-,United States,6623796477,http://www.mightymissbeer.com,,
f7e9278d-b4d2-44f6-8050-1a4843308107,Mississippi Ale House,micro,9211 Highway 178,,,Olive Branch,Mississippi,38654-1610,United States,9013262716,http://Mississippialehouse.com,-89.826649,34.96315
c2d17a53-99d9-4d1e-a0cd-8314ddc93b5c,Natchez Brewing Co,micro,207 High St,,,Natchez,Mississippi,39120-3222,United States,8287135311,http://www.natchezbrew.com,-91.402271,31.564178
b629eb5c-2277-41cb-b37e-a892bf3b9ce3,Slowboat Brewing Company,micro,318 W 5th St,,,Laurel,Mississippi,39440-3461,United States,6014332723,http://www.slowboatbrewco.com,-89.12789538,31.69425231
53129047-f8f0-44a6-a064-7c4f44b90a4a,Southern Prohibition Brewing,micro,301 Mobile St,,,Hattiesburg,Mississippi,39401-3406,United States,6014671057,http://www.soprobrewing.com,-89.289719,31.33037
683676b3-5415-49c5-8746-decc05cba094,The Porter Public House,brewpub,201 W Pine Street,,,Hattiesburg,Mississippi,39401,United States,6013369373,http://www.theporterpub.com,-89.291439,31.326307
baf18871-08d8-4cf1-8ce1-5f2dfd3a611b,"Threefoot Brewing Company, LLC",contract,4010 23rd Avenue,,,Meridian,Mississippi,39305,United States,6016931074,http://www.threefootbrewing.com,-88.7010359,32.4001022
57f4cbdd-2214-4782-95b9-5b86c744441a,"Threefoot Brewing Company, LLC",brewpub,517 23rd Avenue,,,Meridian,Mississippi,39301,United States,6015978223,http://www.threefootbrewing.com,-88.701558,32.363627
0fd7c528-fc25-44a0-8895-61b07138ebf3,Yalobusha Brewing Company,micro,102 S Main St,,,Water Valley,Mississippi,38965-2906,United States,,http://www.yalobrew.com,-89.6366568,34.1422633
