id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
84337872-75da-4cdd-9f8f-1e1691f21642,21st St Brewers Bar,brewpub,2017 Chouteau Ave,,,Saint Louis,Missouri,63103,United States,3142416969,http://www.21stbrew.com,-90.213781,38.624291
be0ec266-d637-42e4-94ba-4ce21e456054,2nd Shift Brewing Co,brewpub,1601 Sublette Ave,,,Saint Louis,Missouri,63110-1924,United States,6187910728,http://www.2ndshiftbrewing.com,-90.280526,38.621943
cb56e27e-d113-4f74-925a-69305a56d082,3 Trails Brewing Co,micro,111 N Main St,,,Independence,Missouri,64050,United States,8168866256,http://www.3trailsbrewing.com,-94.41265,39.122385
4f70ac94-eca5-4cec-8581-92ec5afdf4f2,3Halves Brewing Co,brewpub,110 E Kansas St,,,Liberty,Missouri,64068-2374,United States,8164296886,http://www.3halvesbrewingco.com,-94.4190247,39.2461993
b72f2ce6-e062-404d-ac31-c1060db2d870,4 By 4 Brewing Company,micro,2811 E Galloway St Ste A,,,Springfield,Missouri,65804-4601,United States,4178616400,http://www.4by4brewingcompany.com,-93.239889,37.147986
ac2f41ed-e1e8-4586-aa78-253543db7714,4 Hands Brewing Co,regional,1220 S 8th St,,,Saint Louis,Missouri,63104-3610,United States,3144361559,http://www.4handsbrewery.com,-90.19762012,38.61526593
085c97d4-5a01-4e28-a1c6-683bf773b062,Alma Mader Brewing,micro,2635 Southwest Blvd,,,Kansas City,Missouri,64108,United States,8169452589,http://almamaderbrewing.com,-94.599389,39.082495
0edb8050-2911-4a04-a99a-7927e05cd018,Alpha Brewing Co.,micro,4310 Fyler Ave,,,Saint Louis,Missouri,63116,United States,3146212337,http://www.alphabrewingcompany.com,-90.26236838,38.59861817
32dd19c9-33b8-4ed5-b5f0-1fb5f5d8ad02,Amerisports Brew Pub,brewpub,3200 Ameristar Dr,,,Kansas City,Missouri,64161,United States,8164147435,http://www.ameristar.com,-94.484526,39.150682
d1a61260-d377-4e7d-8ce9-8851e30934ae,Anheuser-Busch InBev,large,1 Busch Pl,,,Saint Louis,Missouri,63118-1849,United States,3145772000,http://www.anheuser-busch.com,-90.2118998,38.5954536
e61dc891-91d8-4a0f-a55e-b5e34acc97fd,Apex Aleworks Brew And BBQ Supplies,micro,4360 S Noland Rd,,,Independence,Missouri,64055-4741,United States,8163135039,http://www.apexaleworks.com,-94.416872,39.041039
084a0621-2a9d-4588-825e-5c5cebc4e8db,Arcadian Moon,brewpub,19203 Old Highway 40,,,Higginsville,Missouri,64037,United States,6605846661,http://www.arcadianmoon.com,-93.773203,39.001467
895ef2f2-7ce5-44c7-af97-ee9c7cce774b,Augusta Brewing Co,brewpub,109 W Main St,,,Washington,Missouri,63090-2191,United States,6362395010,http://www.augustabrewing.com,-91.01173472,38.56026935
7cdb5832-f9fb-421c-b94c-3989c6240894,"Bard's Brewery, LLC",proprietor,,,,Lees Summit,Missouri,64063-0905,United States,8167281707,http://www.bardsbeer.com,,
66e4ffa1-88da-4a41-8bf3-fea86dbcaada,Bastard Brothers Brewing Company,micro,2114 Penta Dr,,,High Ridge,Missouri,63049-2684,United States,3145203401,http://www.bastardbrothersbrewery.com,-90.503349,38.48282
cfd1342e-ac6e-4c57-9d5c-c120c6d7468b,Beard Engine Brewing Co,micro,208 Main St,,,Alba,Missouri,64830,United States,4174830709,,-94.418276,37.248046
53d076da-4ee2-491f-9513-f2bee77c3688,Bee's Knees Ale House,brewpub,106 W Jasper St,,,Versailles,Missouri,65084,United States,5735392525,,-92.835774,38.479374
068bdaad-c6e9-47b2-a3f8-fbdf24c059b6,Big Rip Brewing Company,micro,216 E 9th Ave,,,North Kansas City,Missouri,64116-4315,United States,8168660747,http://www.bigripbrewing.com,-94.57786,39.1261133
9e7959cb-8292-4892-aa10-6467c2b764b0,BKS Artisan Ales,micro,633 E 63rd St #120,,,Kansas City,Missouri,64110,United States,8166733027,http://www.bksartisanales.com,-94.493961,39.010093
47245471-08aa-439c-acfb-67fb282e336a,Bluewood Brewing,micro,1821 Cherokee St,,,Saint Louis,Missouri,63118,United States,3143764166,http://www.bluewoodbrewing.com,-90.216631,38.601767
1e876ec1-817a-4153-a143-459dc0627309,Boat Town Brewing,micro,18146 Campground Rd,,,Phillipsburg,Missouri,65722-8122,United States,4175332306,http://www.boattownbrewing.com,-92.712765,37.59991
05250da0-46b3-4d2a-bf60-c185f602780d,Border Brewing Company,micro,406 E 18th St,,,Kansas City,Missouri,64108,United States,8163156807,http://www.borderbrewco.com,-94.5786142,39.0917581
8aa463ce-a1d9-44ce-9e1a-36f16ff8fdf4,Boulevard Brewing Co,regional,2501 Southwest Blvd,,,Kansas City,Missouri,64108-2345,United States,8164747095,http://www.boulevard.com,-94.59682307,39.08196355
f7977d73-f02d-4adb-b948-6080168f5545,Brew Hub Taproom,brewpub,5656 Oakland Avenue,,,Saint Louis,Missouri,63110,United States,3148335453,http://www.tapbrewhub.com,-90.28300053,38.63049786
88977bac-d0ac-41b8-bcde-bfc17bb0d043,Brewery Emperial,brewpub,1829 Oak St,,,Kansas City,Missouri,64108,United States,8169459625,http://www.breweryemperial.com,-94.57886314,39.09119471
5d8946d2-ed0c-404b-9ae9-3e8626089ca8,Broadway Brewery,brewpub,816 E Broadway Ste B,,,Columbia,Missouri,65201-4898,United States,5734435054,http://www.broadwaybrewery.com,-92.327968,38.951342
68b69497-3a9f-49b3-a523-26bd686d4be2,Bronze Owl Brewing,brewpub,506 Vine St,,,Poplar Bluff,Missouri,63901-7331,United States,5738405202,http://www.bronzeowlbrewing.com,-90.39577338,36.75663108
e08ccb72-2e87-42f2-92d8-e5987c724b02,Bur Oak Brewing Company,micro,8250 E Trade Center Dr,,,Columbia,Missouri,65201-7635,United States,5738142178,http://www.buroakbeer.com,-92.210993,38.954686
2a7ed844-ea02-4a69-a41c-1fc7c476dd16,Calibration Brewery,brewpub,119 Armour Rd,,,Kansas City,Missouri,64116-3502,United States,8169948277,http://www.calibrationbrewery.com,-94.578762,39.141723
2b34e802-aa74-4ab7-baf3-3de5c82bd751,Callsign Brewing,micro,1447 Gentry St,,,North Kansas City,Missouri,64116,United States,8162552320,http://www.callsignbrewing.com,-94.574428,39.138525
dd121468-1064-4fab-98b5-8b2044e3a3b4,Casual Animal,micro,1725 McGee St,,,Kansas City,Missouri,64108,United States,8162145388,http://www.casualanimalbrewing.com,-94.57977386,39.0924045
