id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
beard-engine-brewing-alba,Beard Engine Brewing Co,micro,208 Main St,,,Alba,Missouri,,64830,,4174830709,2020-10-12 14:53:39,2020-10-12 14:53:41,United States,-94.418276,37.248046,
gruhlkes-microbrewery-/-bias-vineyards,Gruhlke's Microbrewery / Bias Vineyards,brewpub,3166 Highway B,,,Berger,Missouri,,63014-1418,http://www.biaswinery.com,5738345475,2018-07-24 01:33:41,2018-08-24 00:46:30,United States,-91.3352114,38.6769847,
east-forty-brewing,East Forty Brewing,micro,1201 W Main St,,,Blue Springs,Missouri,,64015-3613,http://www.eastfortybrewing.com,8169888217,2018-07-24 01:33:41,2018-08-11 21:38:08,United States,-94.279316,39.018709,
wind-shift-brewing,Wind Shift Brewing,micro,3421B NW Jefferson St,,,Blue Springs,Missouri,,64015,http://www.windshiftbrew.com,8167862699,2020-10-12 14:53:33,2020-10-12 14:53:35,United States,-94.303423,39.073677,
charlies-steak-ribs-and-ale,"Charlie's Steak, Ribs & Ale",brewpub,3009 W 76 Country Blvd,,,Branson,Missouri,,65616-8312,http://www.charliesbranson.com,4173346090,2018-07-24 01:33:41,2018-08-11 21:38:07,United States,-93.275808,36.639618,
piney-river-brewing-company,Piney River Brewing Company,micro,15194 Walnut Grove Dr,,,Bucyrus,Missouri,,65444-9002,http://www.pineyriverbrewing.com,4179674001,2018-07-24 01:33:41,2018-08-24 00:46:41,United States,-92.01768537,37.32148798,
minglewood-brewery,Minglewood Brewery,brewpub,121 Broadway St,,,Cape Girardeau,Missouri,,63701-7326,http://www.minglewoodbrewery.com,5738030524,2018-07-24 01:33:41,2018-08-24 00:46:37,United States,-89.51852096,37.30583636,
river-bottoms-brewing-carrollton,River Bottoms Brewing Company,brewpub,12 W Benton St,,,Carrollton,Missouri,,64633,http://www.riverbottomsbrewing.com,6603226110,2020-10-16 11:55:09,2020-10-16 11:55:12,United States,-93.497006,39.405185,
hungry-hollow-brewery-cassville,Hungry Hollow Brewing Company,micro,14396 FR 2140,,,Cassville,Missouri,,65625,http://www.hungryhollowbrewing.com,4173422072,2020-10-12 14:53:29,2020-10-12 14:53:31,United States,-93.831482,36.757718,
steampunk-brew-works,Steampunk Brew Works,micro,231 Lamp and Lantern Vlg,,,Chesterfield,Missouri,,63017-8209,http://www.steampunkbrewworks.com,6362308277,2018-07-24 01:33:42,2018-08-11 21:38:09,United States,-90.517873,38.625963,
pog-brewing-company-cleveland,POG Brewing Company,brewpub,24524 S State State Rte D,,,Cleveland,Missouri,,64734,http://www.pogbrewing.com,8164064179,2020-10-12 14:53:26,2020-10-12 14:53:28,United States,-94.582691,38.701465,
broadway-brewery,Broadway Brewery,brewpub,816 E Broadway Ste B,,,Columbia,Missouri,,65201-4898,http://www.broadwaybrewery.com,5734435054,2018-07-24 01:33:41,2018-08-11 21:38:07,United States,-92.327968,38.951342,
bur-oak-company,Bur Oak Brewing Company,micro,8250 E Trade Center Dr,,,Columbia,Missouri,,65201-7635,http://www.buroakbeer.com,5738142178,2018-07-24 01:33:41,2018-08-11 21:38:07,United States,-92.210993,38.954686,
logboat-brewing-co,Logboat Brewing Co,micro,504 Fay St,,,Columbia,Missouri,,65201-4782,http://www.logboatbrewing.com,5733976786,2018-07-24 01:33:41,2018-08-24 00:46:34,United States,-92.32265015,38.95708639,
flat-branch-pub-and-brewing,Flat Branch Pub and Brewing,brewpub,115 S 5th St,,,Columbia,Missouri,,65201-4230,http://www.flatbranch.com,5734990400,2018-07-24 01:33:41,2018-08-24 00:46:26,United States,-92.33196896,38.95030013,
granite-city-food-and-brewery-#29,Granite City Food & Brewery (#29),brewpub,11411 Olive Blvd,,,Creve Coeur,Missouri,,63141-7108,http://www.gcfb.net,3144323535,2018-07-24 01:33:41,2018-08-24 00:46:28,United States,-90.43338752,38.67222065,
miami-creek-brewing-company,Miami Creek Brewing Company,closed,14226 NW County Road 14001,,,Drexel,Missouri,,64742-9733,http://www.miamicreek.com,8168920297,2018-07-24 01:33:41,2018-08-11 21:38:08,United States,,,
greer-brewing,Greer Brewing,closed,16050 Manchester Rd,,,Ellisville,Missouri,,63011-2161,http://www.greerbrewingco.com,6363463979,2018-07-24 01:33:41,2018-08-24 00:46:29,United States,-90.59484652,38.590625,
melvin-brewing-eureka,Melvin Brewing,regional,110 Hilltop Village Center Dr,,,Eureka,Missouri,,63025,http://www.melvinbrewing.com,6365499231,2020-10-12 14:53:18,2020-10-12 14:53:20,United States,-90.649695,38.52826,
dubious-claims-brewing,Dubious Claims Brewing,brewpub,451 S Thompson Ave,,,Excelsior Springs,Missouri,,64024-2133,http://www.dubiousclaimsbrewingco.com/,8168962477,2018-07-24 01:33:41,2018-08-24 00:46:24,United States,-94.22589926,39.33933583,
main-and-mill-brewing-company,Main And Mill Brewing Company,brewpub,240 E Main St,,,Festus,Missouri,,63028-1907,http://www.mainandmill.com,6365433031,2018-07-24 01:33:41,2018-08-24 00:46:35,United States,-90.39265217,38.21974885,
narrow-gauge-brewing-company,Narrow Gauge Brewing Company,brewpub,1595 N Highway 67 St,,,Florissant,Missouri,,63031-4606,http://www.narrowgaugestl.com,3148313222,2018-07-24 01:33:41,2018-08-11 21:38:09,United States,-90.319028,38.799,
transparent-brewing-company-grandview,Transparent Brewing Company,micro,14501 White Ave,,,Grandview,Missouri,,64030,http://www.transparentbrewingcompany.com,8164998888,2020-10-12 14:53:14,2020-10-12 14:53:16,United States,-94.525651,38.893126,
levi-garrison-and-sons-brewing-company,Levi Garrison & Sons Brewing Company,micro,105 W Bird St,,,Hamilton,Missouri,,64644-1029,http://www.lgsbrewingco.com,8166689421,2018-07-24 01:33:41,2018-08-24 00:46:33,United States,-94.00051,39.744246,
mark-twain-brewing-company,Mark Twain Brewing Company,brewpub,422 N Main St,,,Hannibal,Missouri,,63401-3324,http://www.marktwainbrewery.com,5734061300,2018-07-24 01:33:41,2018-08-24 00:46:35,United States,-91.35744225,39.71293685,
