id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
9046adec-ed04-4c60-8043-4a02e9e2dabc,2 Basset Brewery,micro,202 E Main St,,,White Sulphur Springs,Montana,59645-9081,United States,4065472337,http://www.2bassetbrewery.com,-110.9004865,46.54807609
53305a0f-9b51-4f73-bf5e-88bb0439b216,380 Brewing Company,planning,,,,Clancy,Montana,59634,United States,2065796509,,,
9c3f919e-e6de-4e43-91cb-30f3e73ad591,406 Brewing Company,micro,"101 E Oak St,Â Ste D",,,Bozeman,Montana,59715-2967,United States,4065853745,http://www.406brewingcompany.com,,
40ecc96b-6dea-4e6b-a8f0-55293970654b,Angry Hank's Microbrewery,micro,20 N 30th St,,,Billings,Montana,59101-2140,United States,4062523370,,-108.5076025,45.78022173
b6685b52-d4f2-4b41-a3d9-f88c778b2346,Backslope Brewing,brewpub,1107 9th St W (Highway 2),,,Columbia Falls,Montana,59912,United States,4062242510,http://www.backslopebrewing.com,,
29297833-9297-43fe-a9f4-4a9437a405c1,Bandit Brewing Co,micro,610 N 1st St Ste 5-228,,,Hamilton,Montana,59840-2149,United States,4066466003,http://www.banditbeer.com,,
38ec976b-9832-425c-818e-7843b722acec,Bar 3 BBQ and Brewing,brewpub,100 S Broadway,,,Belgrade,Montana,59714-3909,United States,4063889182,http://www.bar3bbq.com,-111.1770268,45.7751537
ee95babd-8312-4f94-8c5a-a411c1dbd999,Bayern Brewing Inc.,micro,1507 Montana St,,,Missoula,Montana,59801-1409,United States,4067211482,http://www.bayernbrewery.com,-114.0202088,46.8725952
ef663619-6faa-4478-b754-c54f6f5cc823,Beaver Creek Brewery,micro,104 W Oregon Ave,,,Wibaux,Montana,59353-8001,United States,4067952337,http://www.beavercreekbrewery.com,,
4fc62fdf-21cf-4b30-9f08-f40ee4ffac46,Beaverhead Brewing Co,micro,218 S Montana St,,,Dillon,Montana,59725-2438,United States,4069880011,http://www.beaverheadbeer.com,-112.6396875,45.21575351
a0adf1e8-ce6a-4c06-a605-434032d6fa18,Beehive Basin Brewery,micro,245 Town Center Ave,,,Big Sky,Montana,59716,United States,4069957444,http://www.beehivebasinbrewery.com,-111.3037009,45.259632
e29bb9cb-e459-4aab-b24d-390bc235f4b7,Bias Brewing,micro,409 1st Ave E Ste B,,,Kalispell,Montana,59901,United States,4067303020,http://www.biasbrewing.com,,
9f87a804-b9ce-4264-9cc1-c8f6edfdb83f,Big Sky Brewing Co,regional,5417 Trumpeter Way,,,Missoula,Montana,59808-8680,United States,4065492777,http://www.bigskybrew.com,-114.0730248,46.9224156
2f3d22a3-113e-424a-aed6-b8a2f2f785c2,Bitter Root Brewing Co,micro,101 Marcus St,,,Hamilton,Montana,59840-2541,United States,4063637468,http://www.bitterrootbrewing.com,-114.1551946,46.24733778
a539c80f-cfa0-400c-9eb5-a2fe8a882343,Black Eagle Brewery,micro,1600 25th Ave NE,,,Black Eagle,Montana,59414-1070,United States,4068681866,http://www.pitstopblackeagle.com,-111.279526,47.528243
a7b62684-c1ff-470b-8f59-d6198987a2d0,Blackfoot River Brewing Co,micro,66 S Park Ave,,,Helena,Montana,59601-6271,United States,4064493005,http://www.blackfootriverbrewing.com,-112.0417121,46.5862933
e14896e7-fade-424f-97d7-4f620406b5f7,Blacksmith Brewing Co,micro,114 Main St,,,Stevensville,Montana,59870-2109,United States,4067770680,http://www.blacksmithbrewing.com,-114.0929303,46.51154971
f1b9daa7-cb17-498a-b784-e2ff41b4257f,BLUE RIDGE BREWING,planning,,,,Malta,Montana,59538,United States,4066542855,,,
800af4b4-2ba1-4fb1-9712-66d5d514912b,Bonsai Brewing Project,brewpub,549 Wisconsin Ave,,,Whitefish,Montana,59937-2127,United States,4067301717,http://bonsaibrew.com,-114.3406189,48.4214453
2c0881d5-49a6-426d-a234-6d0bd3bb8c36,Bozeman Brewing Co,micro,504 N Broadway Ave,,,Bozeman,Montana,59715-3006,United States,4065859142,http://www.bozemanbrewing.com,-111.0238884,45.6845234
4012cd29-7e59-4c75-98ba-89ff53efe702,Brewing Academy Of Montana At FVCC,planning,,,,Kalispell,Montana,59901,United States,4067564359,http://www.fvcc.edu,,
9396e1c1-49d3-4169-8f7c-c8cb5d53af3a,Bridger Brewing Company,brewpub,1609 S 11th Ave,,,Bozeman,Montana,59715-5466,United States,4065872124,http://www.bridgerbrewing.com,-111.0526959,45.6627215
0e5a4e78-b806-4b0c-a267-3b237a270ce1,Busted Knuckle Brewery,micro,303 1st Ave S,,,Glasgow,Montana,59230-2308,United States,4062282277,,-106.6335464,48.1938472
bc64b49f-5c63-4298-b87a-f6dd657dd7c8,Butte Brewing Co,micro,465 E Galena St,,,Butte,Montana,59701-1928,United States,4062993953,http://www.buttebrewing.com,-112.5259197,46.01246804
847fc182-b1fd-4e3a-bf42-a4aab6d5a0e6,Cabinet Mountain Brewing Co,brewpub,206 Mineral Ave,,,Libby,Montana,59923-1952,United States,4062932739,http://www.cabinetmountainbrewing.com,-115.5506412,48.3936508
d423e8d9-731a-4f9a-a8a9-939d21a2419a,Canyon Creek Brewing,micro,3060 Gabel Rd,,,Billings,Montana,59102-7336,United States,4066562528,http://www.canyoncreekbrewing.com,-108.5916752,45.74436502
808baca1-ffa2-4ee5-8810-77e1b058f0be,Carters Brewing,micro,2526 Montana Ave,,,Billings,Montana,59101-2313,United States,4068617712,http://www.cartersbrewing.com,-108.5016538,45.78291334
4ee8dcea-2193-4a19-bd89-15e6e5591ca4,Conflux Brewing,planning,,,,Missoula,Montana,59802-4418,United States,,,,
