id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
smelter-city-brewing,Smelter City Brewing,micro,101 E Commercial Ave,,,Anaconda,Montana,,59711-2289,http://www.smeltercitybrewing.com,4065630344,2018-07-24 01:33:43,2018-08-24 00:47:26,United States,-112.95216,46.130107,
game-bag-brewing,Game Bag Brewing,planning,,,,Belgrade,Montana,,59714-8809,,5092208584,2018-07-24 01:33:43,2018-08-11 21:38:12,United States,,,
bar-3-bbq-and-brewing,Bar 3 BBQ and Brewing,brewpub,100 S Broadway,,,Belgrade,Montana,,59714-3909,http://www.bar3bbq.com,4063889182,2018-07-24 01:33:42,2018-08-24 00:46:58,United States,-111.1770268,45.7751537,
madison-river-brewing-co,Madison River Brewing Co,micro,20900 Frontage Rd Ste B,,,Belgrade,Montana,,59714-8558,http://www.madisonriverbrewing.com,4063880322,2018-07-24 01:33:43,2018-08-11 21:38:13,United States,,,
harvest-moon-brewing,Harvest Moon Brewing,micro,7 5th St S,,,Belt,Montana,,59412-0510,http://www.harvestmoonbrew.com,4062773188,2018-07-24 01:33:43,2018-08-24 00:47:12,United States,-110.9298527,47.38221919,
beehive-basin-brewery,Beehive Basin Brewery,micro,245 Town Center Ave,,,Big Sky,Montana,,59716,http://www.beehivebasinbrewery.com,4069957444,2018-07-24 01:33:42,2018-08-24 00:46:59,United States,-111.3037009,45.259632,
lone-peak-brewery,Lone Peak Brewery,brewpub,48 Market Pl,,,Big Sky,Montana,,59716,http://www.lonepeakbrewery.com,4069953939,2018-07-24 01:33:43,2018-08-24 00:47:18,United States,-111.2912854,45.2671806,
flathead-lake-brewing-co,Flathead Lake Brewing Co,micro,116 Holt Dr Ste B,,,Bigfork,Montana,,59911-3707,http://www.flatheadlakebrewing.com,4068370085,2018-07-24 01:33:43,2018-08-11 21:38:11,United States,,,
flathead-lake-brewing-co-production-only,Flathead Lake Brewing Co - Production Only,micro,,,,Bigfork,Montana,,59911-8484,http://www.flatheadlakebrewing.com,4068370085,2018-07-24 01:33:43,2018-08-11 21:38:12,United States,,,
angry-hanks-microbrewery,Angry Hank's Microbrewery,micro,20 N 30th St,,,Billings,Montana,,59101-2140,,4062523370,2018-07-24 01:33:42,2018-08-24 00:46:56,United States,-108.5076025,45.78022173,
canyon-creek-brewing,Canyon Creek Brewing,micro,3060 Gabel Rd,,,Billings,Montana,,59102-7336,http://www.canyoncreekbrewing.com,4066562528,2018-07-24 01:33:42,2018-08-24 00:47:05,United States,-108.5916752,45.74436502,
carters-brewing,Carters Brewing,micro,2526 Montana Ave,,,Billings,Montana,,59101-2313,http://www.cartersbrewing.com,4068617712,2018-07-24 01:33:42,2018-08-24 00:47:06,United States,-108.5016538,45.78291334,
montana-brewing-co,Montana Brewing Co,brewpub,113 N Broadway,,,Billings,Montana,,59101-2043,http://www.montanabrewingcompany.com,4062529200,2018-07-24 01:33:43,2018-08-11 21:38:13,United States,,,
thirsty-street-brewing,Thirsty Street Brewing,brewpub,3008 1st Ave N,,,Billings,Montana,,59101-2134,http://www.thirstystreet.com,4069693200,2018-07-24 01:33:43,2018-08-24 00:47:29,United States,-108.5083676,45.78076846,
uberbrew,Uberbrew,brewpub,2305 Montana Ave,,,Billings,Montana,,59101-2421,http://uberbrewmt.com,4065346960,2018-07-24 01:33:43,2018-08-24 00:47:30,United States,-108.4990456,45.78417106,
yellowstone-valley-brewing-co,Yellowstone Valley Brewing Co.,micro,2123B 1st Ave N,,,Billings,Montana,,59101-2404,http://www.yellowstonevalleybrew.com,4062450918,2018-07-24 01:33:43,2018-08-11 21:38:14,United States,,,
black-eagle-brewery,Black Eagle Brewery,micro,1600 25th Ave NE,,,Black Eagle,Montana,,59414-1070,http://www.pitstopblackeagle.com,4068681866,2018-07-24 01:33:42,2018-08-24 00:47:01,United States,-111.279526,47.528243,
kettle-house-brewing-co,Kettle House Brewing Co.,regional,605 Coldsmoke Ave,,,Bonner,Montana,,59823-8504,http://www.kettlehouse.com,4067281660,2018-07-24 01:33:43,2018-08-11 21:38:12,United States,,,
