id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
08d2efda-af3e-4611-b8c6-d5c46af4c7a6,Backswing Brewing Co.,taproom,500 W South St Ste 8,,,Lincoln,Nebraska,68522-1744,United States,4025154263,http://www.backswingbrewing.com,-96.72759,40.79217
7466d420-8ee9-41b1-8794-f9618df77361,Barley Boys Brewery,planning,,,,Omaha,Nebraska,68144-1922,United States,4025986096,http://www.barleyboysbrewery.com,,
3058d3aa-a73a-43ac-b32e-887aff2acb6f,Barley Boys Brewery,micro,2412 S 153rd St,,,Omaha,Nebraska,68144-1922,United States,4025986096,http://www.barleyboysbrewery.com,-96.153688,41.237508
3fc8db54-9189-4e5e-aea0-639a8bd2e8f2,Bearded Brewer Artisan Ales,taproom,"18039 R Plaza., #108",,,Omaha,Nebraska,68135,United States,7204851886,http://beardedbreweraa.com,-96.198332,41.204191
c74f06ec-3978-451b-88b4-92d813b11903,Benson Brewery,brewpub,6059 Maple St,,,Omaha,Nebraska,68104-4050,United States,4029348668,http://www.bensonbrewery.com,-96.006423,41.284719
f82ff0f9-e319-42f0-b0dc-91be4d48e385,Big Hair Brewhaus,taproom,306 N Broadway,,,Hartington,Nebraska,68739,United States,4023693757,http://www.bighairbrew.com,-97.2648,42.622789
f5e7c55b-e9bc-40fd-9008-dcf443a88837,Blue Blood Brewing Company,brewpub,925 Robbers Cave Rd,,,Lincoln,Nebraska,68502,United States,4024772337,http://www.bluebloodbrewing.com,-96.70701376,40.77999602
d6aff1d6-953e-4bc7-90b6-ce8ab896bb6e,Boiler Brewing Company,taproom,129 N 10th St Ste 8,,,Lincoln,Nebraska,68508,United States,14026101267,http://www.boilerbrewingcompany.com,-96.707181,40.81444
1f2d069d-af7a-4b5f-813a-338360822902,Bolo Beer Co,taproom,420 E 1st St,,,Valentine,Nebraska,69201-1904,United States,,http://www.bolobeer.com,-100.543761,42.872172
31a00e99-284f-419b-a1e9-93cc47cec627,Bootleg Brewers - Sandhills Brewing Company,brewpub,45145 829th Rd,,,Taylor,Nebraska,68879-8120,United States,3089423440,http://www.bootlegbrewers.com,-99.421458,41.864658
ac43022a-d475-4647-8933-040a2ac44148,Boss City Brewing Co.,brewpub,824 10th Avenue,,,Sidney,Nebraska,69162,United States,6199621802,http://www.bosscitybrewingco.com,-102.977051,41.145283
b98d7721-ffac-4618-8fd5-7ae3c61255b5,Bottle Rocket Brewing Co,taproom,230 S 5th St,,,Seward,Nebraska,68434-2520,United States,4023045673,http://www.bottlerocketbrewing.com,-97.097432,40.90641
97099f87-5c8c-4738-a998-801b504ad226,Bottle Rocket Brewing Production Facility,micro,211 S 4th St,,,Seward,Nebraska,68434,United States,4023045673,,-97.097062,40.906684
560bd628-7e50-4072-824d-9de843aeb13a,Brewery 719,taproom,817 E 3rd St,,,Alliance,Nebraska,69301-3945,United States,,http://www.brewery719.com,-102.860215,42.097088
77565858-e764-4dfd-9657-1a21fc5f7eb5,Brickway Brewery & Distillery,micro,1116 Jackson St,,,Omaha,Nebraska,68102-2825,United States,4029332613,http://www.drinkbrickway.com,-95.931418,41.254726
5349a160-b8e9-4447-bb32-947718daf82f,Brush Creek Brewing Company,brewpub,102 N Main Street,,,Atkinson,Nebraska,68713,United States,4029252629,http://www.BrushCreekBrewingCompany.com,-98.978497,42.531484
8386db61-9da7-479a-80e4-b83d89974703,Brush Creek Brewing Company,brewpub,102 N Main Street,,,Atkinson,Nebraska,68713,United States,4029252629,http://www.BrushCreekBrewingCompany.com,-98.978497,42.531484
d5388234-b029-4030-8e11-26cb1f72fe0f,Canyon Lakes Brewing Co,brewpub,74896 Johnson Lake Dr 25A,,,Elwood,Nebraska,68937,United States,3087854012,http://www.canyonlakesbrewing.com,-99.827924,40.68441
f3724ff2-1c51-420d-8e06-304c2f9019c0,Catalyst Brewing Company,brewpub,5730 Hidcote Dr.,,,Lincoln,Nebraska,68516,United States,4022617588,http://www.catalystcraft.com,-96.643632,40.739305
a7ba0514-376a-46d5-9827-230e5467c0bb,Code Beer Co.,taproom,200 S Antelope Valley Pkwy,,,Lincoln,Nebraska,68510-1016,United States,4023185888,http://www.codebeer.co,-96.693512,40.812368
