id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
brewery-719,Brewery 719,planning,,,,Alliance,Nebraska,,69301-3945,http://www.brewery719.com,,2018-07-24 01:33:43,2018-08-11 21:38:15,United States,,,
brush-creek-brewing-company,Brush Creek Brewing Company,brewpub,102 N Main St,,,Atkinson,Nebraska,,68713-4946,,4029252629,2018-07-24 01:33:43,2018-08-24 00:47:36,United States,-98.97836727,42.53141502,
kinkaider-brewing-co,Kinkaider Brewing Co,micro,43860 Paulsen Rd,,,Broken Bow,Nebraska,,68822-7120,http://www.kinkaiderbrewing.com,3088728348,2018-07-24 01:33:44,2018-08-11 21:38:16,United States,,,
gottberg-brew-pub,Gottberg Brew Pub,brewpub,2804 13th St,,,Columbus,Nebraska,,68601-4919,http://www.dustersrestaurant.com,4025626488,2018-07-24 01:33:44,2018-08-24 00:47:39,United States,-97.3621271,41.42940061,
jukes-ale-works-llc,Jukes Ale Works LLC,planning,,,,Elkhorn,Nebraska,,68022,,4023054905,2018-07-24 01:33:44,2018-08-11 21:38:16,United States,,,
fairfield-opera-house-brewery,Fairfield Opera House Brewery,brewpub,415 N D St,,,Fairfield,Nebraska,,68938-2114,http://www.fairfieldoperahouse.com,4027262447,2018-07-24 01:33:44,2018-08-24 00:47:37,United States,-98.10588657,40.43061571,
prairie-pride-brewery,Prairie Pride Brewery,micro,115 E South Front St,,,Grand Island,Nebraska,,68801-5917,http://www.prairiepride.beer,3088505375,2018-07-24 01:33:44,2018-08-24 00:47:48,United States,-98.34025786,40.92675443,
first-street-brewing,First Street Brewing,micro,119 N St Joseph Ave,,,Hastings,Nebraska,,68901-7553,http://www.firststreetbrewing.com,4028342400,2018-07-24 01:33:44,2018-08-24 00:47:38,United States,-98.3877198,40.5844989,
steeple-brewing-co,Steeple Brewing Co,micro,717 W 1st St,,,Hastings,Nebraska,,68901,http://www.steeplebrewing.com,4025194205,2018-07-24 01:33:44,2018-08-24 00:47:50,United States,-98.39024973,40.58418233,
lost-way-brewery,Lost Way Brewery,micro,614 3rd Ave,,,Holdrege,Nebraska,,68949-2701,http://www.lostwaybrewery.com,3089950503,2018-07-24 01:33:44,2018-08-24 00:47:45,United States,-99.37228235,40.43685170000001,
hanging-horseshoe-brewing-company,Hanging Horseshoe Brewing Company,micro,73892 332 Ave,,,Imperial,Nebraska,,69033-,,3088827772,2018-07-24 01:33:44,2018-08-11 21:38:15,United States,,,
thunderhead-brewing-co,Thunderhead Brewing Co,brewpub,18 E 21st St,,,Kearney,Nebraska,,68847-5402,http://www.thunderheadbrewing.com,3082371558,2018-07-24 01:33:44,2018-08-24 00:47:51,United States,-99.080732,40.69665183,
lucky-bucket-brewing-co,Lucky Bucket Brewing Co,micro,11941 Centennial Rd Ste 1,,,La Vista,Nebraska,,68128-5623,http://www.luckybucketbrewing.com,4027638868,2018-07-24 01:33:44,2018-08-11 21:38:16,United States,,,
nebraska-brewing-co-la-vista,Nebraska Brewing Co - La Vista,micro,6950 S 108th St,,,La Vista,Nebraska,,68128-5701,,4029340950,2018-07-24 01:33:44,2018-08-24 00:47:46,United States,-96.0813295,41.1772046,
kros-strain-brewing-company,Kros Strain Brewing Company,micro,"10411 Portal Rd, Ste 102",,,LaVista,Nebraska,,68128-5527,http://www.krosstrainbrewing.com,4027797990,2018-07-24 01:33:44,2018-08-11 21:38:16,United States,,,
