id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
boulder-dam-brewing-company,Boulder Dam Brewing Company,brewpub,453 Nevada Way,,,Boulder City,Nevada,,89005-2424,,,2018-07-24 01:33:44,2018-08-24 00:47:57,United States,-114.836937,35.97842094,
the-fox-brewpub,The Fox Brewpub,brewpub,310 S Carson St,,,Carson City,Nevada,,89701-4754,http://www.foxbrewpub.com,7758831369,2018-07-24 01:33:45,2018-08-24 15:35:48,United States,-119.7708155,39.1269616,
shoe-tree-brewing-co,Shoe Tree Brewing Co.,micro,1496 Old Hot Springs Rd,,,Carson City,Nevada,,89706-0627,http://www.shoetreebrewing.com,7752220108,2018-07-24 01:33:45,2018-08-11 21:38:18,United States,,,
matties,Matties,bar,2535 Mountain City Hwy,,,Elko,Nevada,,89801-4496,http://www.mattiesbar-n-grill.com/,7757535100,2018-07-24 01:33:45,2018-08-24 15:35:40,United States,-115.793393,40.836405,
barleys-casino-and-brewing-co,Barley's Casino and Brewing Co,brewpub,4500 E Sunset Rd Ste 30,,,Henderson,Nevada,,89014-2253,http://www.wildfire.sclv.com/barleys,7024582739,2018-07-24 01:33:44,2018-08-11 21:38:17,United States,,,
crafthaus-brewery,CraftHaus Brewery,micro,7350 Eastgate Rd Ste 110,,,Henderson,Nevada,,89011-4071,http://www.crafthausbrewery.com,7024159184,2018-07-24 01:33:44,2018-08-11 21:38:17,United States,,,
joseph-james-brewing-co-inc,"Joseph James Brewing Co, Inc",micro,155 N Gibson Rd,,,Henderson,Nevada,,89014-6713,http://www.jjbrewco.com,7024542739,2018-07-24 01:33:44,2018-08-24 15:35:39,United States,-115.0294086,36.04146875,
lovelady-brewing-company,Lovelady Brewing Company,micro,20 S Water St,,,Henderson,Nevada,,89015-7223,http://www.loveladybrewing.com,7028578469,2018-07-24 01:33:45,2018-08-24 15:35:40,United States,-114.98789740000002,36.03805558,
able-baker-brewing,Able Baker Brewing,micro,1051 Mary Crest Rd #K,,,Henderson,Nevada,,89104,http://www.ablebakerbrewing.com,7025817742,2018-07-24 01:33:44,2018-08-11 21:38:16,United States,,,
astronomy-aleworks,Astronomy Aleworks,planning,,,,Henderson,Nevada,,89011,http://astronomyaleworks.com,7023754968,2018-07-24 01:33:44,2018-08-11 21:38:17,United States,,,
bad-beat-brewing,Bad Beat Brewing,micro,7380 Eastgate Rd Ste 110,,,Henderson,Nevada,,89011-4012,http://www.badbeatbrewing.com,7024634199,2018-07-24 01:33:44,2018-08-11 21:38:17,United States,,,
alibi-ale-works,Alibi Ale Works,micro,204 E Enterprise St,,,Incline Village,Nevada,,89451-9456,http://www.alibialeworks.com,7752987001,2018-07-24 01:33:44,2018-08-24 00:47:54,United States,-119.9537117,39.24819328,
brewery-in-planning-las-vegas,Brewery In Planning - Las Vegas,planning,,,,Las Vegas,Nevada,,89144-4473,,,2018-07-24 01:33:44,2018-08-11 21:38:17,United States,,,
big-dogs-brewing-co,Big Dog's Brewing Co,brewpub,4547 N Rancho Dr Ste A,,,Las Vegas,Nevada,,89130-3432,http://www.bigdogsbrews.com,7023683715,2018-07-24 01:33:44,2018-08-11 21:38:17,United States,,,
brewery-in-planning-las-vegas-nv,"Brewery in Planning - Las Vegas, NV",planning,,,,Las Vegas,Nevada,,89144,,7023083440,2018-07-24 01:33:44,2018-08-11 21:38:17,United States,,,
ellis-island-casino-and-brewery,Ellis Island Casino and Brewery,brewpub,4178 Koval Ln,,,Las Vegas,Nevada,,89109-4568,,,2018-07-24 01:33:44,2018-08-11 21:38:17,United States,,,
hop-nuts-brewing,Hop Nuts Brewing,micro,1120 S Main St Ste 150,,,Las Vegas,Nevada,,89104-1080,http://www.hopnutsbrewing.com,7028165371,2018-07-24 01:33:44,2018-08-11 21:38:17,United States,,,
immortal-brewing-company,Immortal Brewing Company,planning,,,,Las Vegas,Nevada,,89183-5893,http://www.immortalbrewco.com,,2018-07-24 01:33:44,2018-08-11 21:38:17,United States,,,
little-vixen-brewing,Little Vixen Brewing,planning,,,,Las Vegas,Nevada,,89138-6120,,7759975936,2018-07-24 01:33:45,2018-08-11 21:38:17,United States,,,
nevadan-brewing-company,Nevadan Brewing Company,planning,,,,Las Vegas,Nevada,,89139-5939,http://nevadanbrewing.com,7028455768,2018-07-24 01:33:45,2018-08-11 21:38:17,United States,,,
sin-city-beer-co,Sin City Beer Co,contract,3663 Las Vegas Blvd S Ste 504 Miracle Mile Shops,,,Las Vegas,Nevada,,89109-1951,http://www.sincitybeer.com,7028094939,2018-07-24 01:33:45,2018-08-11 21:38:18,United States,,,
tenaya-creek-brewery,Tenaya Creek Brewery,micro,831 W Bonanza Rd,,,Las Vegas,Nevada,,89106-3526,http://www.tenayacreek.com,7023627335,2018-07-24 01:33:45,2018-08-11 21:38:18,United States,,,
gordon-biersch-brewery-restaurant-las-vegas,Gordon Biersch Brewery Restaurant - Las Vegas,brewpub,3987 Paradise Rd,,,Las Vegas,Nevada,,89169-4607,http://www.craftworksrestaurants.com,7023125247,2018-07-24 01:33:44,2018-08-24 15:35:35,United States,-115.1545679,36.1442243,
