id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
asbury-park-brewery,Asbury Park Brewery,micro,810 Sewall Ave,,,Asbury Park,New Jersey,,07712-6527,http://www.asburyparkbrewery.com,7324555571,2018-07-24 01:33:46,2018-08-24 15:36:28,United States,-74.01229282,40.21956661,
dark-city-brewing-company,Dark City Brewing Company,micro,801 Second Ave,,,Asbury Park,New Jersey,,07712-,http://www.darkcitybrewing.com,7324553792,2018-07-24 01:33:47,2018-08-11 21:38:23,United States,,,
brewery-in-planning-asbury-nj,"Brewery in Planning - Asbury, NJ",planning,,,,Asbury,New Jersey,,8802,,9088924603,2018-07-24 01:33:46,2018-08-11 21:38:22,United States,,,
atco-brewing-llc,Atco Brewing LLC,micro,302 White Horse Pike,,,Atco,New Jersey,,08004-2209,http://Www.atcobrewingcompany.com,6097072628,2018-07-24 01:33:46,2018-08-24 15:36:29,United States,-74.89973165,39.77167345,
tun-tavern-brewery-and-restaurant,Tun Tavern Brewery and Restaurant,brewpub,2 Convention Blvd Ste 3,,,Atlantic City,New Jersey,,08401-4137,http://www.tuntavern.com,6093477800,2018-07-24 01:33:48,2018-08-11 21:38:26,United States,,,
carton-brewing-co,Carton Brewing Co,micro,6 E Washington Ave,,,Atlantic Highlands,New Jersey,,07716-1230,http://www.cartonbrewing.com,7326542337,2018-07-24 01:33:46,2018-08-24 15:36:37,United States,-74.0381651,40.4117685,
brewery-in-planning-basking-ridge,Brewery in Planning - Basking Ridge,planning,,,,Basking Ridge,New Jersey,,07920-1102,,,2018-07-24 01:33:46,2018-08-11 21:38:22,United States,,,
ship-bottom-brewery,Ship Bottom Brewery,micro,"830 N Bay Ave, Store 23",,,Beach Haven,New Jersey,,08008-2053,http://www.shipbottombrewery.com,6092076331,2018-07-24 01:33:47,2018-08-11 21:38:25,United States,,,
belford-brewing-company,Belford Brewing Company,micro,84 Leonardville Rd,,,Belford,New Jersey,,07718-1144,http://www.belfordbrewing.com,7327697168,2018-07-24 01:33:46,2018-08-11 21:38:22,United States,,,
beach-haus-brewery,Beach Haus Brewery,micro,801 Main St,,,Belmar,New Jersey,,07719-2705,http://Www.beachhausbeer.com,7322027782,2018-07-24 01:33:46,2018-08-24 15:36:30,United States,-74.0251959,40.1812131,
trap-rock-restaurant-and-brewery,Trap Rock Restaurant And Brewery,brewpub,279 Springfield Ave,,,Berkeley Heights,New Jersey,,07922-1214,http://www.traprockrestaurant.net,9086651755,2018-07-24 01:33:47,2018-08-24 15:37:09,United States,-74.43481217,40.68903820000001,
berlin-brewing-company,Berlin Brewing Company,micro,220 S White Horse Pike,,,Berlin,New Jersey,,08009-1902,http://www.berlinbrewco.com,8563362038,2018-07-24 01:33:46,2018-08-24 15:36:31,United States,-74.92998973,39.79199228,
buck-hill-brewery-and-restaurant,Buck Hill Brewery and Restaurant,brewpub,45 Route 94,,,Blairstown,New Jersey,,7825,http://www.buckhillbrewery.com,9088545300,2018-07-24 01:33:46,2018-08-11 21:38:23,United States,,,
common-sense-brewing,Common Sense Brewing,micro,102 Farnsworth Ave,,,Bordentown,New Jersey,,08505-1308,http://www.commonsensebrewing.com,6095268651,2018-07-24 01:33:46,2018-08-24 15:36:39,United States,-74.71372844,40.14847167,
bradley-brew-project,Bradley Brew Project,micro,714 Main St,,,Bradley Beach,New Jersey,,07720-1013,http://www.bradleybrew.com,732455804,2018-07-24 01:33:46,2018-08-24 15:36:33,United States,-74.01742428,40.20427079,
third-state-brewing,Third State Brewing,micro,352 High St,,,Burlington,New Jersey,,08016-4412,http://www.thirdstatebrewing.com,6093871620,2018-07-24 01:33:47,2018-08-24 15:37:08,United States,-74.85841925,40.07803141,
high-point-brewing-co-inc,"High Point Brewing Co, Inc.",micro,22 Park Pl,,,Butler,New Jersey,,07405-1377,http://www.ramsteinbeer.com,9738387400,2018-07-24 01:33:47,2018-08-11 21:38:24,United States,,,
bucket-brigade-brewery,Bucket Brigade Brewery,micro,205 N Main St,,,Cape May Court House,New Jersey,,08210-2121,http://www.bucketbrigadebrewery.com,6097782641,2018-07-24 01:33:46,2018-08-24 15:36:35,United States,-74.81946353,39.086856,
slack-tide-brewing-company,Slack Tide Brewing Company,micro,1072 Route 83 Unit 3,,,Cape May Court House,New Jersey,,08210-1200,http://www.slacktidebrewingco.com,6094782343,2018-07-24 01:33:47,2018-08-11 21:38:25,United States,,,
cape-may-brewing-company,Cape May Brewing Company,micro,409 Breakwater Rd,,,Cape May,New Jersey,,08204-4537,http://www.capemaybrewery.com,6098499933,2018-07-24 01:33:46,2018-08-24 15:36:36,United States,-74.91285755,39.00066318,
cold-spring-brewery,Cold Spring Brewery,micro,733 Seashore Rd,,,Cape May,New Jersey,,08204-4634,http://www.hcsv.org,6098543077,2018-07-24 01:33:46,2018-08-24 15:36:38,United States,-74.9127483,38.97816685,
twin-elephant-brewing-company,Twin Elephant Brewing Company,micro,13 Watchung Ave Ste 103,,,Chatham,New Jersey,,07928-2759,http://www.twinelephant.com,9735079862,2018-07-24 01:33:48,2018-08-11 21:38:26,United States,,,
forgotten-boardwalk-brewing,Forgotten Boardwalk Brewing,micro,1940 Olney Ave Ste 100,,,Cherry Hill,New Jersey,,08003-2016,http://www.forgottenboardwalk.com,8564370709,2018-07-24 01:33:47,2018-08-11 21:38:23,United States,,,
death-of-the-fox,Death Of The Fox,micro,119 Berkley Rd Ste B,,,Clarksboro,New Jersey,,08020-1161,http://www.deathofthefoxbrewing.com,,2018-07-24 01:33:47,2018-08-11 21:38:23,United States,,,
devils-creek-brewery,Devil's Creek Brewery,micro,1 Powell Ln,,,Collingswood,New Jersey,,08108-1945,http://www.DevilsCreekBrewery.com,8564252520,2018-07-24 01:33:47,2018-08-24 15:36:44,United States,-75.0712461,39.9169234,
source-brewing,Source Brewing,planning,,,,Colts Neck,New Jersey,,07722-2430,http://www.sourcebrewing.com,7327785184,2018-07-24 01:33:47,2018-08-11 21:38:25,United States,,,
screamin-hill-brewery,Screamin Hill Brewery,micro,83 Emleys Hill Rd,,,Cream Ridge,New Jersey,,08514-1617,http://www.screaminhill.com,,2018-07-24 01:33:47,2018-08-11 21:38:25,United States,,,
cypress-brewing-company,Cypress Brewing Company,micro,30 Nixon Ln Unit E,,,Edison,New Jersey,,08837-3844,http://www.cypressbrewing.com,7322439565,2018-07-24 01:33:47,2018-08-11 21:38:23,United States,,,
hidden-sands-brewing-company,Hidden Sands Brewing Company,micro,6754 Washington Ave. Unit B,,,Egg Harbor Township,New Jersey,,08234-3807,http://hiddensands.com,4843191156,2018-07-24 01:33:47,2018-08-11 21:38:24,United States,,,
tuckahoe-brewing-co,Tuckahoe Brewing Co,micro,3092 English Creek Ave,,,Egg Harbor Township,New Jersey,,08234-5245,http://www.tuckahoebrewing.com,6096452739,2018-07-24 01:33:48,2018-08-24 15:37:11,United States,-74.61365675,39.42606663,
river-horse-brewing-company,River Horse Brewing Company,micro,2 Graphics Dr,,,Ewing,New Jersey,,08628-1546,http://www.riverhorse.com,6098830890,2018-07-24 01:33:47,2018-08-24 15:37:04,United States,-74.79656178,40.2765378,
cricket-hill-brewing-co-inc,Cricket Hill Brewing Co. Inc.,micro,24 Kulick Rd,,,Fairfield,New Jersey,,07004-3308,http://www.crickethillbrewery.com,9732769415,2018-07-24 01:33:47,2018-08-24 15:36:40,United States,-74.2963174,40.872626,
magnify-brewing-company,Magnify Brewing Company,micro,1275 Bloomfield Ave Ste 7 Unit 40C,,,Fairfield,New Jersey,,07004-2736,http://www.magnifybrewing.com,9732876099,2018-07-24 01:33:47,2018-08-11 21:38:25,United States,,,
conclave-brewing,Conclave Brewing,micro,15 Minneakoning Rd Ste 202,,,Flemington,New Jersey,,08822-5750,http://www.conclavebrewing.com,9083920893,2018-07-24 01:33:46,2018-08-24 15:36:39,United States,-74.842079,40.53132933,
lone-eagle-brewing,Lone Eagle Brewing,brewpub,44 Stangl Rd,,,Flemington,New Jersey,,08822-1581,http://loneeaglebrewing.com,9082372255,2018-07-24 01:33:47,2018-08-24 15:36:57,United States,-74.86266573,40.50537407,
backward-flag-brewing,Backward Flag Brewing,micro,699 Challenger Way Ste D5,,,Forked River,New Jersey,,08731-5917,http://www.backwardflagbrewing.com,,2018-07-24 01:33:46,2018-08-11 21:38:22,United States,,,
garden-state-beer-company,Garden State Beer Company,micro,247 E White Horse Pike,,,Galloway,New Jersey,,08205-9563,http://www.gardenstatebeerco.com,6092322337,2018-07-24 01:33:47,2018-08-24 15:36:48,United States,-74.52909948,39.4463759,
axe-and-arrow-brewery,Axe And Arrow Brewery,planning,,,,Glassboro,New Jersey,,8028,,,2018-07-24 01:33:46,2018-08-11 21:38:22,United States,,,
bonesaw-brewing-co,Bonesaw Brewing Co.,micro,570 Mullica Hill Road,,,Glassboro,New Jersey,,8028,http://www.bonesawbrewing.com,8562435464,2018-07-24 01:33:46,2018-08-24 15:36:33,United States,-75.1354598,39.7129747,
hackensack-brewing-company,Hackensack Brewing Company,planning,,,,Hackensack,New Jersey,,07601-4824,,,2018-07-24 01:33:47,2018-08-11 21:38:24,United States,,,
the-alementary,The Alementary,micro,58 Voorhis Ln,,,Hackensack,New Jersey,,07601-4820,http://www.alementary.com,2019681290,2018-07-24 01:33:47,2018-08-24 15:37:06,United States,-74.0400401,40.90460655,
czig-meister-brewing-co,Czig Meister Brewing Co.,micro,106 Valentine St,,,Hackettstown,New Jersey,,07840-2156,http://www.CzigMeisterBrewing.com,2018747342,2018-07-24 01:33:47,2018-08-24 15:36:41,United States,-74.83148308,40.8543396,
jersey-girl-brewing-company,Jersey Girl Brewing Company,micro,426 Sand Shore Rd Unit 1,,,Hackettstown,New Jersey,,07840-5535,http://www.jerseygirlbrewing.com,9085914186,2018-07-24 01:33:47,2018-08-11 21:38:24,United States,,,
