id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
railhouse-brewery,Railhouse Brewery,micro,105 E South St Unit C,,,Aberdeen,North Carolina,,28315-,http://www.railhousebrewery.com,9107835280,2018-07-24 01:33:58,2018-08-11 21:38:52,United States,,,
quick-trigger-brewing-company,Quick Trigger Brewing Company,brewpub,118 Main St W,,,Ahoskie,North Carolina,,27910-3302,http://www.quicktriggerbrewing.com,2523326844,2018-07-24 01:33:58,2018-08-24 15:42:31,United States,-76.9863065,36.2857593,
hoppy-trout-brewing-company,Hoppy Trout Brewing Company,brewpub,911 Main St,,,Andrews,North Carolina,,28901-7087,http://www.hoppytroutbrewing.com,8288352111,2018-07-24 01:33:57,2018-08-24 15:41:58,United States,-83.8165709,35.2016188,
andrews-brewing-co-at-calaboose-cellars,Andrews Brewing Co At Calaboose Cellars,micro,575 Aquone Rd,,,Andrews,North Carolina,,28901-7004,http://www.calaboosecellars.com,8283212006,2018-07-24 01:33:55,2018-08-24 15:40:59,United States,-83.81487799,35.19958164,
franklin-brewing-company-llc,"Franklin Brewing Company, LLC",planning,,,,Angier,North Carolina,,27501-6094,http://www.franklin-brewing.com,,2018-07-24 01:33:56,2018-08-11 21:38:48,United States,,,
vicious-fishes-brewery,Vicious Fishes Brewery,micro,219 Fish Dr,,,Angier,North Carolina,,27501-6077,http://www.viciousfishes.com,9196393369,2018-07-24 01:33:59,2018-08-24 15:43:01,United States,-78.749408,35.507541,
southern-peak-brewery,Southern Peak Brewery,micro,950 Windy Rd Ste 100,,,Apex,North Carolina,,27502-2410,http://www.southernpeakbrewery.com,9192084515,2018-07-24 01:33:58,2018-08-24 15:42:42,United States,-78.8439995,35.7461806,
brueprint-brewing-company-llc,Brueprint Brewing Company LLC,micro,1229 Perry Rd Ste 101,,,Apex,North Carolina,,27502-6898,http://www.brueprint.com,9199718846,2018-07-24 01:33:56,2018-08-24 15:41:22,United States,-78.85014375,35.70884819,
wicked-weed-funkatorium,Wicked Weed Funkatorium,large,95 Old Shoals Rd,,,Arden,North Carolina,,28704-9401,http://www.wickedweedbrewing.com,8285759599,2018-07-24 01:33:59,2018-08-24 15:43:07,United States,-82.52495553,35.4674064,
mills-river-brewery,Mills River Brewery,brewpub,330 Rockwood Rd Ste 103,,,Arden,North Carolina,,28704-8216,http://www.millsriverbrewery.net,8285852396,2018-07-24 01:33:57,2018-08-11 21:38:50,United States,,,
wicked-weed-funk-house,Wicked Weed Funk House,large,95 Old Shoals Rd,,,Arden,North Carolina,,28704-9401,http://www.wickedweedbrewing.com,,2018-07-24 01:33:59,2018-08-24 15:43:07,United States,-82.52495553,35.4674064,
four-saints-brewing,Four Saints Brewing,micro,218 S Fayetteville St,,,Asheboro,North Carolina,,27203-5725,http://www.foursaintsbrewing.com,3366103722,2018-07-24 01:33:56,2018-08-24 15:41:43,United States,-79.81447771,35.70368557,
archetype-brewing,Archetype Brewing,micro,265 Haywood Rd,,,Asheville,North Carolina,,28806-4545,http://www.archetypebrewing.com,8285054177,2018-07-24 01:33:55,2018-08-11 21:38:45,United States,,,
biltmore-brewing-company,Biltmore Brewing Company,proprietor,1 N Pack Sq C/O Biltmore Winery Estates,,,Asheville,North Carolina,,28801-3462,http://www.biltmore.com,8004113812,2018-07-24 01:33:55,2018-08-11 21:38:45,United States,,,
asheville-brewing-co,Asheville Brewing Co,brewpub,77 Coxe Ave,,,Asheville,North Carolina,,28801-3621,http://www.ashevillepizza.com,8282554077,2018-07-24 01:33:55,2018-08-24 15:41:00,United States,-82.55530545,35.5917763,
bens-tune-up-/-bens-beer,Ben's Tune-Up / Ben's Beer,brewpub,195 Hilliard Ave,,,Asheville,North Carolina,,28801-3616,http://www.benstuneup.com,8284247580,2018-07-24 01:33:55,2018-08-24 15:41:05,United States,-82.5557931,35.5912756,
bhramari-brewhouse,Bhramari Brewhouse,micro,101 S Lexington Ave,,,Asheville,North Carolina,,28801-3309,http://www.bhramaribrewing.com,8282147981,2018-07-24 01:33:55,2018-08-24 15:41:06,United States,-82.55191879,35.59166763,
burial-beer-co-forestry-camp,Burial Beer Co Forestry Camp,micro,,,,Asheville,North Carolina,,28803-2719,,,2018-07-24 01:33:56,2018-08-11 21:38:47,United States,,,
catawba-brewing-co-asheville,Catawba Brewing Co - Asheville,micro,63 Brook St Ste 1,,,Asheville,North Carolina,,28803-2685,http://www.catawbavalleybrewingcompany.com,8284247290,2018-07-24 01:33:56,2018-08-11 21:38:47,United States,,,
burial-beer-co,Burial Beer Co,micro,40 Collier Ave,,,Asheville,North Carolina,,28801-4024,http://www.burialbeer.com,,2018-07-24 01:33:56,2018-08-24 15:41:23,United States,-82.55379062,35.5879562,
green-man-brewing-co,Green Man Brewing Co,micro,27 Buxton Ave,,,Asheville,North Carolina,,28801-4019,http://www.greenmanbrewery.com,8282525502,2018-07-24 01:33:56,2018-08-24 15:41:50,United States,-82.55367153,35.5886249,
habitat-brewing-co,Habitat Brewing Co,micro,174 Broadway St,,,Asheville,North Carolina,,28801-2305,http://www.habitatbrewing.com,7047018141,2018-07-24 01:33:56,2018-08-24 15:41:51,United States,-82.5533973,35.5986648,
hillman-beer,Hillman Beer,brewpub,25 Sweeten Creek Rd,,,Asheville,North Carolina,,28803-2318,http://www.hillmanbeer.com,8285051312,2018-07-24 01:33:57,2018-08-24 15:41:55,United States,-82.52063100000002,35.51391029999999,
hi-wire-brewing-big-top-production-facility,Hi-Wire Brewing Big Top Production Facility,micro,2 Huntsman Pl,,,Asheville,North Carolina,,28803-2600,http://www.hiwirebrewing.com,,2018-07-24 01:33:57,2018-08-24 15:41:55,United States,-82.54566311,35.57020551,
hi-wire-brewing-south-slope-specialty-brewery,Hi-Wire Brewing South Slope Specialty Brewery,micro,197 Hilliard Ave,,,Asheville,North Carolina,,28801-3616,http://www.hiwirebrewing.com,8285759675,2018-07-24 01:33:57,2018-08-24 15:41:56,United States,-82.55603747,35.5912315,
lexington-avenue-brewery-the-lab,Lexington Avenue Brewery - The LAB,brewpub,39 N Lexington Ave,,,Asheville,North Carolina,,28801-2827,http://www.lexavebrew.com,8282520212,2018-07-24 01:33:57,2018-08-24 15:42:06,United States,-82.5532489,35.5961485,
one-world-brewing,One World Brewing,micro,10 Patton Ave Ste 002,,,Asheville,North Carolina,,28801-3302,http://www.oneworldbrewing.com,8287855580,2018-07-24 01:33:58,2018-08-11 21:38:51,United States,,,
new-belgium-brewing-co,New Belgium Brewing Co,regional,21 Craven St,,,Asheville,North Carolina,,28806-,http://www.newbelgium.com,8885989552,2018-07-24 01:33:57,2018-08-24 15:42:19,United States,-82.57194293,35.5879302,
sweeten-creek-brewing,Sweeten Creek Brewing,brewpub,1127 Sweeten Creek Rd,,,Asheville,North Carolina,,28803-1728,http://www.sweetencreekbrewing.com,8285752785,2018-07-24 01:33:58,2018-08-24 15:42:47,United States,-82.52063100000002,35.51391029999999,
upcountry-brewing,UpCountry Brewing,brewpub,1042 Haywood Rd,,,Asheville,North Carolina,,28806-2639,http://upcountrybrewing.com/,8285752400,2018-07-24 01:33:59,2018-08-11 21:38:54,United States,,,
twin-leaf-brewery,Twin Leaf Brewery,micro,144 Coxe Ave,,,Asheville,North Carolina,,28801-4026,http://www.twinleafbrewery.com,8283332221,2018-07-24 01:33:59,2018-08-24 15:42:58,United States,-82.55454185,35.58942485,
wedge-brewing-co,Wedge Brewing Co,micro,37 Paynes Way Ste 100,,,Asheville,North Carolina,,28801-2626,http://www.wedgebrewing.com,8285052792,2018-07-24 01:33:59,2018-08-24 15:43:02,United States,-82.56659201,35.5865571,
white-labs-kitchen-and-tap,White Labs Kitchen and Tap,brewpub,172 S Charlotte St,,,Asheville,North Carolina,,28801,,8289743868,2018-07-24 01:33:59,2018-08-24 15:43:05,United States,-82.5490695,35.5911334,
brouwerij-cursus-keme,Brouwerij Cursus Keme,brewpub,155 Thompson St,,,Asheville,North Carolina,,28803-1443,,,2018-07-24 01:33:56,2018-08-24 15:41:21,United States,-82.52572837,35.57438843,
french-broad-river-brewing-co,French Broad River Brewing Co,micro,101 Fairview Rd Ste D,,,Asheville,North Carolina,,28803-4301,http://www.frenchbroadbrewery.com,8282770222,2018-07-24 01:33:56,2018-08-11 21:38:48,United States,,,
highland-brewing-co,Highland Brewing Co,regional,12 Old Charlotte Hwy Ste H,,,Asheville,North Carolina,,28803-9419,http://www.highlandbrewing.com,8282993816,2018-07-24 01:33:57,2018-08-11 21:38:49,United States,,,
oyster-house-brewing-co,Oyster House Brewing Co.,brewpub,625 Haywood Rd,,,Asheville,North Carolina,,28806-3255,http://www.oysterhousebeers.com,8285759370,2018-07-24 01:33:58,2018-08-11 21:38:51,United States,,,
thirsty-monk-brewery,Thirsty Monk Brewery,brewpub,92 Patton Ave,,,Asheville,North Carolina,,28801-3315,http://www.monkpub.com,8282545470,2018-07-24 01:33:58,2018-08-24 15:42:51,United States,-82.55531475,35.59410425,
