id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
13-below-brewery,13 Below Brewery,micro,7391 Forbes Rd,,,Cincinnati,Ohio,,45233-1013,http://www.13belowbrewery.com,5139750613,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-84.70634815,39.12639764,
16-lots-brewing,16 Lots Brewing,brewpub,753 Reading Rd,,,Mason,Ohio,,45040-1303,http://www.16lots.com,5134863672,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-84.3183801,39.3545967,
2-tones-brewing-co,2 Tones Brewing Co.,micro,4539 E Broad St,,,Whitehall,Ohio,,43213-1308,http://www.2tonesbrewingco.com,,2018-07-24 01:34:37,2020-10-11 19:04:00,United States,-82.91181740000002,40.0030689,
4kd-crick-brewery,4kd Crick Brewery,brewpub,211 Carpenter Rd,,,Defiance,Ohio,,43512-1718,http://Www.4kdcrickbrewery.com,4199562863,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-84.341647,41.296252,
actual-brewing-company-llc,"Actual Brewing Company, LLC",micro,655 N James Rd,,,Columbus,Ohio,,43219-1837,http://wwww.actualbeer.com,6146363825,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-82.90809859999997,39.9868523,
akronym-brewing-llc,Akronym Brewing LLC,micro,58 E Market St,,,Akron,Ohio,,4430,http://www.akronymbrewing.com,3306208274,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-81.51645882,41.08512193,
alematic-artisan-ales,Alematic Artisan Ales,planning,,,,Huber Heights,Ohio,,45424-3857,http://www.alematicbrewing.com,9376122337,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
anheuser-busch-inc-a-columbus,Anheuser-Busch Inc â Columbus,large,700 Schrock Rd,,,Columbus,Ohio,,43229-1123,,6148886644,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-82.99306999999997,40.102197,
antiques-on-high,Antiques on High,micro,714 S High St,,,Columbus,Ohio,,43206,https://www.antiquesonhigh.com/,614-725-2070,2020-10-11 18:05:00,2020-10-11 18:05:00,United States,-82.99774000000002,39.9476,
aqueduct-brewing,Aqueduct Brewing,micro,529 Grant St Ste 106,,,Akron,Ohio,,44311-1184,http://www.aqueductbrewing.shutterfly.com,3306066583,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-81.51788487,41.0698532,
bad-tom-smith-brewing,Bad Tom Smith Brewing,micro,4720 Eastern Ave,,,Cincinnati,Ohio,,45226-1893,http://www.badtomsmithbrewing.com,5138714677,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-84.41803086,39.11995755,
bad-tom-smith-brewing,Bad Tom Smith Brewing,brewpub,1836 W 25th St,,,Cleveland,Ohio,,44113-3142,,,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-81.7051638,41.48617720000001,
baithouse-brewery,Baithouse Brewery,planning,,,,Sandusky,Ohio,,44870,http://www.baithousebrewery.com,4193665372,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
bardwell-winery-and-brewery,Bardwell Winery and Brewery,micro,716 N High St,,,Mount Orab,Ohio,,45154,http://www.bardwellwinery.com,,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-83.92097890000002,39.0419795,
barleys-brewing-company-ale-house-no-1,Barley's Brewing Company (Ale House No. 1),brewpub,467 N High St,,,Columbus,Ohio,,43215-2007,http://www.barleysbrewing.com,6142282537,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-83.00276690000003,39.9719408,
bascule-brewery-and-public-house,Bascule Brewery And Public House,micro,1397 Colorado Ave,,,Lorain,Ohio,,44052-3377,http://www.basculebrewingcompany.com,,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-82.15710792,41.46560548,
big-ash-brewing-company,Big Ash Brewing Company,planning,,,,Cincinnati,Ohio,,45244-3244,http://www.BigAshBrewing.com,5133079688,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
biker-brew-house,Biker Brew House,micro,5700 Interstate Blvd,,,Austintown,Ohio,,44515-1170,http://www.bikerbrewhouse.com,,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
birdfish-brewing-co,BirdFish Brewing Co,micro,16 S Main St,,,Columbiana,Ohio,,44408-1348,http://www.birdfishbrew.com,3303339385,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-80.69353036,40.888487,
black-cloister-brewing-co,Black Cloister Brewing Co,brewpub,619 Monroe St,,,Toledo,Ohio,,43604-1015,http://www.blackcloister.com,4192141500,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-83.5399665,41.6499863,
black-frog-brewing-co,Black Frog Brewing Co,micro,831 S McCord Rd,,,Holland,Ohio,,43528-8746,http://www.blackfrogbrewery.com,4193897136,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-83.7032185,41.6171284,
bookhouse-brewing-llc,"Bookhouse Brewing, LLC.",planning,,,,Cleveland,Ohio,,44113-3104,http://www.bookhouse.beer,4144264555,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
boss-dog-brewing,Boss Dog Brewing,brewpub,2179 Lee Rd,,,Cleveland,Ohio,,44118-2907,http://www.bossdogbrewing.com,2163212337,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-81.56529555,41.50030645,
boston-beer-co-dba-samuel-adams-brewing-co,Boston Beer Co - DBA Samuel Adams Brewing Co,regional,1625 Central Pkwy,,,Cincinnati,Ohio,,45214-2423,http://www.samueladams.com,6173685000,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-84.52076509999998,39.11257,
bottlehouse-brewery,BottleHouse Brewery,micro,13368 Madison Ave,,,Lakewood,Ohio,,44107-4840,http://www.thebottlehousebrewingcompany.com,2162142120,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-81.78445705,41.47721765,
bowling-green-beer-works,Bowling Green Beer Works,micro,322 N Grove St Ste C,,,Bowling Green,Ohio,,43402-2322,,5122992101,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
branch-and-bone-artisan-ales,Branch & Bone Artisan Ales,micro,905 Wayne Ave,,,Dayton,Ohio,,45410-1247,http://www.branchandboneales.com,9377237608,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-84.17723419,39.75223085,
brausch-brewery,Brausch Brewery,micro,1030 S South St,,,Wilmington,Ohio,,45177-2924,,9373022337,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-83.83091585,39.43274712,
breaking-point-brewery,Breaking Point Brewery,micro,,,,Cleveland Heights,Ohio,,44121-1706,,2162357411,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
