id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
scissortail-brewing-co,Scissortail Brewing Co.,planning,,,,Bartlesville,Oklahoma,,74003-7154,http://www.scissortailbrew.com,9186949948,2018-07-24 01:34:04,2018-08-11 21:39:09,United States,,,
broken-arrow-brewing-co,Broken Arrow Brewing Co.,micro,333 W Dallas St,,,Broken Arrow,Oklahoma,,74012-4026,http://www.brokenarrowbrewingco.com,9182868101,2018-07-24 01:34:04,2020-10-19 22:00:00,United States,-95.79448895,36.0502662,
beavers-bend-brewery,Beavers Bend Brewery,micro,46 Coho Rd,,,Broken Bow,Oklahoma,,74728-6765,http://www.beaversbendbrewery.com,5804943455,2018-07-24 01:34:04,2020-10-19 22:00:00,United States,-94.7595504,34.1658072,
mountain-fork-brewery,Mountain Fork Brewery,micro,89 N Lukfata Trail Rd,,,Broken Bow,Oklahoma,,74728-7025,http://www.mountainforkbrewery.com,5804943233,2018-07-24 01:34:04,2020-10-19 22:00:00,United States,-94.7770233,34.1827774,
harbinger-beer-company-llc,Harbinger Beer Company LLC,planning,111 Buffalo St,,,Caddo,Oklahoma,,74729-2606,http://harbingerbeer.com,5803809398,2018-07-24 01:34:04,2020-10-19 22:00:00,United States,-96.2601872,34.1253524,
battered-boar-brewing-co,Battered Boar Brewing Co,micro,14700 Metro Plaza Blvd Ste F,,,Edmond,Oklahoma,,73013-1991,http://www.batteredboar.com,4052545000,2018-07-24 01:34:04,2020-10-19 22:00:00,United States,-97.50849,35.619996,
frenzy-brewing-company,Frenzy Brewing Company,micro,15 S Broadway,,,Edmond,Oklahoma,,73003-6250,http://www.frenzybrewing.com,4055625350,2018-07-24 01:34:04,2020-10-19 22:00:00,United States,-97.4818183,35.6547287,
land-run-craft-brewing-co,Land Run Craft Brewing Co.,planning,,,,El Reno,Oklahoma,,73036-1019,,4056267176,2018-07-24 01:34:04,2018-08-11 21:39:08,United States,,,
choc-beer-co,Choc Beer Co,micro,120 S West 8th St,,,Krebs,Oklahoma,,74554-0066,http://www.petes.org,9183023002,2018-07-24 01:34:04,2020-10-19 22:00:00,United States,-95.7247222,34.9258333,
lake-texoma-lodge-and-resort,Lake Texoma Lodge And Resort,brewpub,3263 US 70,,,Mead,Oklahoma,,73449-5020,http://laketexomalodge.com,5809310100,2018-07-24 01:34:04,2020-10-19 22:00:00,United States,-96.488335,33.998197,
