id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
3-sheets-brewery,3 Sheets Brewery,micro,136 W 1st Ave,,,Albany,Oregon,,97321,http://www.3sheetsbrewery.com,5416190183,2018-07-24 01:34:05,2018-08-11 21:39:10,United States,,,
deluxe-brewing-co,Deluxe Brewing Co,micro,PO Box 3358,,,Albany,Oregon,,97321-0713,http://www.deluxebrewing.com,5419287699,2018-07-24 01:34:06,2018-08-11 21:39:13,United States,,,
calapooia-brewing-co-/-siletz-ales,Calapooia Brewing Co / Siletz Ales,micro,140 NE Hill St,,,Albany,Oregon,,97321-3002,http://www.calapooiabrewing.com,5419281931,2018-07-24 01:34:05,2018-08-11 21:39:12,United States,,,
siuslaw-brewing,Siuslaw Brewing,micro,16558 Alsea Hwy,,,Alsea,Oregon,,97324-9624,,5417401606,2018-07-24 01:34:08,2018-08-24 16:04:57,United States,-123.6906645,44.35335900000001,
caldera-brewing-co,Caldera Brewing Co,micro,590 Clover Ln,,,Ashland,Oregon,,97520-3709,http://www.calderabrewing.com,5414824677,2018-07-24 01:34:05,2018-08-24 15:46:08,United States,-122.6633744,42.18373846,
standing-stone-brewing-co,Standing Stone Brewing Co,micro,101 Oak St,,,Ashland,Oregon,,97520-1802,http://www.standingstonebrewing.com,5414822448,2018-07-24 01:34:08,2018-08-24 16:05:04,United States,-122.7145793,42.1976451,
hondos-brew-and-cork-pub,Hondo's Brew and Cork Pub,micro,2703 Marine Dr,,,Astoria,Oregon,,97103-2900,http://www.hondosbrew.net,5033252234,2018-07-24 01:34:06,2018-08-24 16:02:12,United States,-123.8140426,46.18885817,
reach-break-brewing,Reach Break Brewing,micro,1343 Duane St,,,Astoria,Oregon,,97103-3917,,5034680743,2018-07-24 01:34:07,2018-08-24 16:04:23,United States,-123.8289931,46.18836741,
astoria-brewing-company,Astoria Brewing Company,micro,1196 Marine Dr,,,Astoria,Oregon,,97103-4112,,5037413040,2018-07-24 01:34:05,2018-08-24 15:45:51,United States,-123.831516,46.18980259,
buoy-beer-company,Buoy Beer Company,micro,1 8th St,,,Astoria,Oregon,,97103-4506,http://www.buoybeer.com,5033254540,2018-07-24 01:34:05,2018-08-24 15:46:06,United States,-123.835151,46.1913235,
fort-george-brewery,Fort George Brewery,regional,1483 Duane St,,,Astoria,Oregon,,97103-3819,http://www.fortgeorgebrewery.com,5033257468,2018-07-24 01:34:06,2018-08-24 16:01:41,United States,-123.8274681,46.1883837,
wet-dog-cafe-and-brewery,Wet Dog Cafe & Brewery,brewpub,990 Astor St,,,Astoria,Oregon,,97103-4201,http://www.wetdogcafe.com,5033256975,2018-07-24 01:34:08,2018-08-24 16:05:43,United States,-123.835821,46.190557,
barley-browns-brewpub,Barley Browns Brewpub,micro,2190 Main St,,,Baker City,Oregon,,97814-2655,http://www.barleybrowns.com,5415234266,2018-07-24 01:34:05,2018-08-24 15:45:54,United States,-117.8294962,44.7787802,
baker-city-brewing-co,Baker City Brewing Co,micro,2200 Main Street,,,Baker City,Oregon,,97814,http://www.barleybrowns.com,5415232337,2018-07-24 01:34:05,2018-08-24 15:45:53,United States,-117.8293471,44.77928865,
bandon-brewing-company,Bandon Brewing Company,brewpub,395 2nd St SE,,,Bandon,Oregon,,97411-9605,http://www.bandonbrewingco.com,5413473911,2018-07-24 01:34:05,2018-08-24 15:45:53,United States,-124.4122494,43.1191572,
hop-cycle-brewing-company,Hop Cycle Brewing Company,planning,,,,Banks,Oregon,,97106-9213,http://www.hopcyclebrewing.com,5032770997,2018-07-24 01:34:06,2018-08-11 21:39:14,United States,,,
cascade-brewing-blending-house,Cascade Brewing Blending House,micro,6770 SW 111th Ave,,,Beaverton,Oregon,,97008-5336,http://www.cascadebrewing.com,5033660730,2018-07-24 01:34:05,2018-08-24 15:46:09,United States,-122.7900557,45.4709556,
cooper-mountain-ale-works,Cooper Mountain Ale Works,micro,15855 SW Kestrel Ct,,,Beaverton,Oregon,,97007-9200,http://www.coopermountainaleworks.com,5035807175,2018-07-24 01:34:06,2018-08-24 15:46:15,United States,-122.8400333,45.4314259,
little-beast-brewing,Little Beast Brewing,micro,3800 SW Cedar Hills Blvd Ste 300E,,,Beaverton,Oregon,,97005-2037,http://www.littlebeastbrewing.com/,5033295107,2018-07-24 01:34:06,2018-08-11 21:39:15,United States,,,
mcmenamins-cedar-hills,McMenamins - Cedar Hills,brewpub,2885 SW Cedar Hills Blvd,,,Beaverton,Oregon,,97005-1343,,5036410151,2018-07-24 01:34:07,2018-08-24 16:02:53,United States,-122.8058983,45.5013601,
mcmenamins-murray-and-allen,McMenamins Murray & Allen,brewpub,6179 SW Murray Blvd,,,Beaverton,Oregon,,97008-4421,http://www.mcmenamins.com,5035269618,2018-07-24 01:34:07,2018-08-24 16:03:11,United States,-122.8264537,45.4750792,
mcmenamins-old-st-francis-school,McMenamins Old St. Francis School,brewpub,700 NW Bond St,,,Bend,Oregon,,97703-2702,http://www.mcmenamins.com,5413825174,2018-07-24 01:34:07,2018-08-24 16:03:16,United States,-121.314499,44.0566885,
10-barrel-brewing-co,10 Barrel Brewing Co,large,62970 18th St,,,Bend,Oregon,,97701-9847,http://www.10barrel.com,5415851007,2018-07-24 01:34:04,2018-08-11 21:39:09,United States,,,
10-barrel-brewing-co,10 Barrel Brewing Co,large,1135 NW Galveston Ave Ste B,,,Bend,Oregon,,97703-2465,,5415851007,2018-07-24 01:34:04,2018-08-11 21:39:09,United States,,,
10-barrel-brewing-co-bend-pub,10 Barrel Brewing Co - Bend Pub,large,62950 NE 18th St,,,Bend,Oregon,,97701,,5415851007,2018-07-24 01:34:04,2018-08-24 15:45:44,United States,-121.2809536,44.0912109,
bend-brewing-high-desert,Bend Brewing High Desert,micro,20650 NE High Desert Lane,,,Bend,Oregon,,97701,,5413831599,2018-07-24 01:34:05,2018-08-11 21:39:11,United States,,,
bevel-craft-brewing,Bevel Craft Brewing,planning,,,,Bend,Oregon,,97701-4924,http://www.bevelbeer.com,8313451922,2018-07-24 01:34:05,2018-08-11 21:39:11,United States,,,
boneyard-beer-co,Boneyard Beer Co,micro,37 NW Lake Pl Ste B,,,Bend,Oregon,,97703-2971,,5413232325,2018-07-24 01:34:05,2018-08-11 21:39:11,United States,,,
boneyard-beer-co,Boneyard Beer Co,regional,63097 Plateau Dr,,,Bend,Oregon,,97701,http://www.boneyardbeer.com,5413232325,2018-07-24 01:34:05,2018-08-11 21:39:11,United States,,,
brewery-in-planning-bend,Brewery In Planning - Bend,planning,,,,Bend,Oregon,,97702-2783,,,2018-07-24 01:34:05,2018-08-11 21:39:11,United States,,,
bridge-99-brewery,Bridge 99 Brewery,micro,63063 Layton Ave,,,Bend,Oregon,,97701-7087,,5412801690,2018-07-24 01:34:05,2018-08-11 21:39:12,United States,,,
bend-brewing-co,Bend Brewing Co,brewpub,1019 NW Brooks St,,,Bend,Oregon,,97703-2018,http://www.bendbrewingco.com,5413831599,2018-07-24 01:34:05,2018-08-24 15:45:56,United States,-121.31393119999998,44.06051115,
craft-kitchen-and-brewery,Craft Kitchen and Brewery,brewpub,62988 Layton Ave Ste 103,,,Bend,Oregon,,97701-6692,http://www.craftkitchenandbrewery.com,5416681766,2018-07-24 01:34:06,2018-08-11 21:39:13,United States,,,
crux-fermentation-project,Crux Fermentation Project,regional,50 SW Division St,,,Bend,Oregon,,97702-1600,http://www.cruxfermentation.com,5413887558,2018-07-24 01:34:06,2018-08-11 21:39:13,United States,,,
crux-fermentation-project-crux2,Crux Fermentation Project - Crux2,micro,63065 18th St,,,Bend,Oregon,,97701-9981,,,2018-07-24 01:34:06,2018-08-11 21:39:13,United States,,,
