id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
c3f35f23-d228-4c85-b0b2-7e9e0febf47d,1787 Brewing Company,brewpub,43 S Fourth St,,,Hamburg,Pennsylvania,19526,United States,4846653032,http://www.1787brewingcompany.com,-75.981604,40.554381
896f26a1-d80e-4790-9287-026a86c1799d,180 and Tapped,micro,2010 A State Ave,,,Coraopolis,Pennsylvania,15108,United States,4127375273,http://www.180andtapped.com,-80.15020356,40.50984957
8436b02b-9a06-474c-b5eb-8ff9aedf1f99,2 Dogz and A Guy Brewing,micro,228 Church St,,,Montrose,Pennsylvania,18801-1271,United States,5704320069,http://2dogzandaguybrewing.com,-75.8800318,41.8336364
5a28e9ac-99f2-4380-8bbe-d974c73d0192,2 Dogz and A Guy Brewing,taproom,33288 State Route 171,,,Susquehanna,Pennsylvania,18847,United States,5708602012,http://2dogzandaguybrewing.com,-75.720538,41.971587
61fa41ea-f26e-4f2c-8858-33b48e7d8a3c,28 Bridges Brewery,brewpub,1597 Washington Pike,,,Bridgeville,Pennsylvania,15017,United States,8145720367,,-80.09555,40.382291
fb8eee34-da8a-42b2-bc4c-77020024a7f0,2nd Story Brewing Company,brewpub,117 Chestnut St Frnt,,,Philadelphia,Pennsylvania,19106-4700,United States,2673145770,http://www.2ndstorybrewing.com,-75.143479,39.948509
3cf2698f-4193-4591-aab3-a8ef0fbedcab,2SP Brewing Company,micro,120 Concord Rd,,,Aston,Pennsylvania,19014-2909,United States,4844837860,http://www.2spbrewing.com,-75.4034,39.854755
ef60f8cf-0fdc-4ea1-aa94-09e1f869176b,412 Brews,micro,706 Island Ave,,,Mc Kees Rocks,Pennsylvania,15136,United States,,http://www.412brews.com,-80.061678,40.472829
2cbf69ec-bec6-4fb2-811c-79b8630fe062,633 Brewing,taproom,118 Walnut St,,,Waynesboro,Pennsylvania,17268,United States,7173875818,http://www.633brewing.com,-77.578352,39.752393
f8ab9530-289b-4684-89f1-474e89f4c5ae,Abjuration Brewing,taproom,644 Broadway Ave,,,Mc Kees Rocks,Pennsylvania,15136-3008,United States,4127661668,http://www.abjurationbrewing.com,-80.072411,40.472011
5f80749c-c0f7-4b10-99f7-dd24c1144c24,Acclamation Brewing,taproom,555B Wildwood Ave,,,Verona,Pennsylvania,15147,United States,3045509439,http://www.acclamationbrewing.com,-79.837333,40.502238
b3b01085-1280-4c91-bf00-19085675d4b6,"Acrospire Brewing, LLC",taproom,1650 Butler Plank Rd,,,Glenshaw,Pennsylvania,15116,United States,4123344547,http://www.acrospirebrewingco.com,-79.962806,40.53548
8135f18c-0c31-4b4d-bb22-84eccf498e9c,Aldus Brewing Company,taproom,555 Centennial Ave,,,Hanover,Pennsylvania,17331-3936,United States,7176342407,http://www.aldusbrewing.com,-76.97699,39.790548
61853d49-62af-44bc-b0f7-bbc0faa89d30,All Saints Brewing Co,taproom,1602 State Route 119,,,Greensburg,Pennsylvania,15601-7317,United States,7242891202,http://www.allsaintscraftbrewing.com,-79.526494,40.311621
0924f3af-e548-446b-baf8-687ea51b02ae,Allegheny City Brewing,taproom,507 Foreland St,,,Pittsburgh,Pennsylvania,15212-4910,United States,4129043732,http://www.alleghenycitybrewing.com,-80.000423,40.454218
1ee6c093-72d5-4972-8644-3f5229b43a0e,Allegheny Creek Brewing,brewpub,690 Allegheny Rd,,,Mount Bethel,Pennsylvania,18343,United States,5708975900,http://www.alleghenycreekbc.com,-75.099431,40.874203
3f583ab8-71bf-4009-9257-193ef53a1fe1,Allentown Brew Works,brewpub,812 Hamilton St,,,Allentown,Pennsylvania,18101-2437,United States,6104337777,http://www.thebrewworks.com,-75.4575021,40.6060468
47528176-817f-48f3-bd20-e436c2f5bb74,Allusion Brewing Company,brewpub,143 Grant Ave,,,Vandergrift,Pennsylvania,15690-1238,United States,7245684916,http://www.allusionbrewingcompany.com,-79.562712,40.60316
23e2a7bb-fc70-4585-a342-767c63af6cd1,Altered Genius Brewing Co.,taproom,411 Merchant St.,,,Ambridge,Pennsylvania,15003,United States,,http://alteredgeniusbrewing.com,-80.22553,40.583854
4c92654b-a82a-4a9a-8c3f-fc03886a0be7,American Honor Beer Co,contract,700 N Pennsylvania Ave,,,Wilkes Barre,Pennsylvania,18705-2451,United States,,http://www.BoondoggleBeer.com,-75.859363,41.254896
100bd173-a62f-48e0-824b-acb6e29fa11e,Animated Brewing Company,brewpub,255 S. Mount Airy Rd.,,,Coatesville,Pennsylvania,19320,United States,4843400408,http://animatedbrewing.com,-75.829246,39.992589
fca1bd0a-b89d-4fd5-9b2b-6d6b0970371b,Antifragile Brewing Co.,micro,324 E Calder Way,,,State College,Pennsylvania,16801,United States,8148103075,,-77.857897,40.796312
855b2e6e-9fa0-40da-bcba-343bef14d556,Appalachian Brewing Co - Collegeville,brewpub,50 W Third Ave Collegeville Station 2nd Floor,,,Collegeville,Pennsylvania,19426-3655,United States,4849736064,http://www.abcbrew.com,,
4198a2b6-2db2-454f-b9d7-f12fdb02c55f,Appalachian Brewing Co - Gettysburg Battlefield,brewpub,259 Steinwehr Ave,,,Gettysburg,Pennsylvania,17325,United States,7173342200,http://www.abcbrew.com,-77.234124,39.820255
cb55778e-fc31-4634-b56f-570961484c8d,Appalachian Brewing Co - Gettysburg Gateway,brewpub,70 Presidential Cir,,,Gettysburg,Pennsylvania,17325-8399,United States,7173982419,http://www.abcbrew.com,-77.191949,39.842613
48fd38a6-736f-4e76-b69a-8642d82c67df,Appalachian Brewing Co - Harrisburg,micro,50 N Cameron St,,,Harrisburg,Pennsylvania,17101-2407,United States,7172211080,http://www.abcbrew.com,-76.875509,40.265789
dddd1391-58ad-4a74-bd0d-93997ccaf17d,Appalachian Brewing Co - Lititz,brewpub,55 N Water St,,,Lititz,Pennsylvania,17543-1612,United States,7172211080,http://www.abcbrew.com,-76.300721,40.157851
19693f1b-962f-4b88-8d53-7faf3e176208,Appalachian Brewing Co - Mechanicsburg,brewpub,6462 Carlisle Pike,,,Mechanicsburg,Pennsylvania,17050-2384,United States,7177954660,http://www.abcbrew.com,-77.017117,40.247431
7cf94748-8071-408f-b8a2-d4b9421ed4c9,Arboretum Trail Brewing Co,taproom,1351 Washington Blvd,,,Pittsburgh,Pennsylvania,15206,United States,4123572737,http://www.arboretumtrailbrewing.com,-79.90897,40.468811
8ae4e8a5-b6fe-4b5a-a3b4-389dda33867a,Aristaeus Craft Brewing,taproom,2475 Big Oak Rd,,,Langhorne,Pennsylvania,19047-1913,United States,2152085472,http://aristaeusbrewing.com,-74.882419,40.198429
8b8c61d5-c6c4-4558-9d70-ac0e99c843c2,Artifact Brewing,taproom,2 S York Rd,,,Hatboro,Pennsylvania,19040,United States,,http://www.artifactales.com,-75.106405,40.177155
0162958c-3a14-4c1c-9810-f74d510d5f35,Artifice Ales & Mead,brewpub,55 N Main St,,,Manheim,Pennsylvania,17545-1503,United States,7173683322,,-76.396221,40.16505
7a8264f0-9f1c-43c2-8812-aee4de3f4073,Artillery Brewing Co,brewpub,333 Granite Alley,,,West Chester,Pennsylvania,19380,United States,4849995976,http://www.artillerybrewing.com,-75.610389,39.958848
39b6533a-40a4-4ba1-a41e-dd8f381b7ed7,Arundel Cellars & Brewing Co,brewpub,11727 E Main Rd,,,North East,Pennsylvania,16428-3635,United States,8147251079,http://www.arundelcellars.com,-79.803794,42.223737
b1873307-6cb6-426e-ae93-c49ada9f41cf,Aslin Beer Company - Pittsburgh,brewpub,1801 Smallman Street,,,Pittsburgh,Pennsylvania,15222,United States,2025787400,,-79.985737,40.45121
215dc8f1-754b-4dac-a448-255375c5a8d9,Aston Abbey Brewing Co,micro,340 Turner Industrial Way,,,Aston,Pennsylvania,19014-3014,United States,6102452178,http://www.astonabbeybrewing.com,,
87d71c35-9537-4ef1-b232-668bea736ffa,Attic Brewing,planning,,,,Philadelphia,Pennsylvania,19144-3603,United States,7082047376,,,
cd2ae77c-9e4c-42ac-8756-b115b7fe95e8,Attic Brewing Company,taproom,137 W Berkley St,,,Philadelphia,Pennsylvania,19144-3603,United States,7082047376,http://www.atticbrewing.com,-75.161718,40.022994
506f8ec3-7cac-42c1-b7fd-9fe1a5865b2c,Aurochs Brewing Company,taproom,8321 Ohio River Blvd,,,Pittsburgh,Pennsylvania,15202-1451,United States,7242608737,http://www.aurochsbrewing.com,-80.103367,40.5118
5e3a075e-f0f1-4ef0-927f-beb8f00a5585,Axemann Brewery,micro,2042 Axemann Road #300,,,Bellefonte,Pennsylvania,16823,United States,8145746146,http://www.axemannbrewery.com,-77.778128,40.906076
c7c8d19f-bfe1-4981-822a-cf29d7fe2bcd,Back Alley Brewing Company,taproom,2975 W Liberty Ave,,,Pittsburgh,Pennsylvania,15216-2543,United States,,http://www.backalleybrewingpa.com,-80.034806,40.39451
d207b8e4-245c-467b-9c66-1c81c89559f6,Back Mountain Brewing Company,taproom,1174 Twin Stacks Dr,,,Dallas,Pennsylvania,18612,United States,5703101387,http://www.backmountainbrew.com,-75.975587,41.340779
99de73a3-0396-47b9-96b4-480332cd6bb9,Back Porch Brewing,micro,133 North Hanover Street,,,Carlisle,Pennsylvania,17013,United States,7172264350,http://www.backporchbrewinginc.com,-77.188211,40.203814
e3691df9-e07d-4eb5-ab87-72cff4df4f2a,Bald Birds Brewing Company,taproom,970 Rittenhouse Road Suite 400,,,Audubon,Pennsylvania,19403,United States,5709712877,http://www.baldbirdsbrewing.com,-75.416258,40.126355
f82e76c7-5673-40a7-9440-f44aa0dd320d,Bald Birds Brewing Company - Jersey Shore,micro,220 Shaffer Lane,,,Jersey Shore,Pennsylvania,17740,United States,,,-77.270882,41.193548
5d408c7c-fb56-4012-bd83-3471f43ffc2f,Bangor Trust Brewing,brewpub,15 Broadway,,,Bangor,Pennsylvania,18013-2601,United States,6104523232,http://bangortrustbrewing.com,,
8708e835-641a-4dcf-9809-d28b4d796cd7,Bangor Trust Brewing,brewpub,50 Broadway,,,Bangor,Pennsylvania,18013-2601,United States,6104523232,http://bangortrustbrewing.com,-75.205929,40.86563
a834c4b5-4852-4887-aa6f-c872dfc10824,Bar Hygge / Brewery Techne,brewpub,1720 Fairmount Ave,,,Philadelphia,Pennsylvania,19130-2858,United States,,,-75.166112,39.966971
6267a2b4-289e-4720-8baf-6ab825f30380,Barley Creek Brewing Co,brewpub,1774 Sullivan Trl,,,Tannersville,Pennsylvania,18372-7893,United States,5706299399,http://www.barleycreek.com,-75.330477,41.053518
a2b95876-4884-48c1-a9e1-293cc4791d4f,Barrel Splitters Brewing,taproom,1890 Woodhaven Road,,,Philadelphia,Pennsylvania,19116,United States,,,-75.002224,40.111365
b5857838-ef52-47ed-b4e4-849a321374eb,Battlefield Brew Works,brewpub,248 Hunterstown Rd,,,Gettysburg,Pennsylvania,17325-7840,United States,7173982907,http://www.battlefieldbreworks.com,-77.210789,39.846226
fa0b9910-a718-4a33-ace8-59e9def925f6,Bayonet Cider Company,planning,,,,Pittsburgh,Pennsylvania,15206-5111,United States,5134841943,,,
7f648c99-fa13-43cd-bae9-8e33a27f8120,Bearded Barrel Brewing,micro,439 W Main St,,,Plymouth,Pennsylvania,18651,United States,5702398636,http://www.beardedbarrelbrewing.com,-75.954839,41.2383
c0b53d0f-5c81-435b-920d-a193e02e1b73,Beaver Brewing Co,brewpub,1820 7th Ave,,,Beaver Falls,Pennsylvania,15010-4001,United States,,http://www.beaverbrewingcompany.com,-80.318874,40.759103
709f000d-826d-45e8-ab4f-c89137a58790,Benny Brewing Co.,micro,1429 Sans Souci Pkwy,,,Wilkes Barre,Pennsylvania,18706-6025,United States,5702356995,http://www.martysblueroom.com,-75.940665,41.222413
eeabc125-dc98-49cf-a9da-969ee820c348,Bent Run Brewing Co,brewpub,5607 SR 957,,,Lander,Pennsylvania,16345,United States,8147578269,http://www.bentrunbrewing.com,,
e018d81d-f301-4519-8ea0-593f287ae48b,Bent Run Brewing Co,brewpub,20 Clark St.,,,Warren,Pennsylvania,16365,United States,8147578269,http://www.bentrunbrewing.com,-79.146782,41.842709
8b33dd81-0c75-4be9-90c0-72d5ed79f436,Berwick Brewing Co,brewpub,328 W Front St,,,Berwick,Pennsylvania,18603-4757,United States,5707524313,http://www.berwickbrewing.com,-76.237878,41.051964
8d8effee-70c5-4bdb-a21b-02fdf012e4a1,Bespoke Brewing,brewpub,242 Gap Rd,,,Ronks,Pennsylvania,17572,United States,,,-76.164024,39.982538
4dd9752b-954d-41fa-b899-c3e26aef7812,Big Bottom Brewery,brewpub,6 Tristan Dr,,,Dillsburg,Pennsylvania,17019-1627,United States,7175028800,http://www.facebook.com/bigbottombrewery,-77.019098,40.133846
09abdff1-a4d5-4dd6-b440-5359a6480e9f,Big Chief Brewing,taproom,193 Easton Rd,,,Horsham,Pennsylvania,19044,United States,6093673833,http://www.bigchiefbrewing.com,-75.128679,40.174352
f2a920cd-ce7f-4915-9771-28139a1eccd1,Big Dog Craft Brewing,brewpub,1559 Manheim Pike,,,Lancaster,Pennsylvania,17601,United States,7175177466,http://www.bigdogcraftbrewing.com,-76.338769,40.079676
43c287c8-3d79-4761-8a36-4d23dc144f05,Big Rail Brewing,taproom,845 Leesburg Station Rd,,,Volant,Pennsylvania,16156,United States,7243722073,http://bigrailbrewing.com,-80.234771,41.143979
3060aac1-4236-47ee-8155-1ec380c5d7e0,Big Sewickley Creek Brewery,taproom,2030 Big Sewickley Creek Road,,,Sewickley,Pennsylvania,15143,United States,,http://https://sewickleybrewery.com/,-80.156969,40.608905
780fb2dd-5893-46c3-9ba7-c3102b8645e3,Bill's Best Brewery,taproom,57 S Keswick Ave,,,Glenside,Pennsylvania,19038,United States,2155176970,,-75.149257,40.099704
27c38f61-cc1b-4e9c-baea-a55193ba486b,Birthright Brewing Co.,brewpub,57 S Main St,,,Nazareth,Pennsylvania,18064-2037,United States,6103652225,http://www.birthrightbrewingco.com,-75.31224579,40.74211365
