id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
180-and-tapped-coraopolis,180 and Tapped,micro,2010 A State Ave,,,Coraopolis,Pennsylvania,,15108,http://www.180andtapped.com,4127375273,2018-07-24 01:34:09,2018-08-24 16:05:59,United States,-80.15020356,40.50984957,
2-dogz-and-a-guy-brewing-montrose,2 Dogz and A Guy Brewing,micro,228 Church St,,,Montrose,Pennsylvania,,18801-1271,http://2dogzandaguybrewing.com,5704320069,2018-07-24 01:34:09,2018-08-24 16:06:01,United States,-75.8800318,41.8336364,
2nd-story-brewing-company-philadelphia,2nd Story Brewing Company,brewpub,117 Chestnut St Frnt,,,Philadelphia,Pennsylvania,,19106-4700,http://www.2ndstorybrewing.com/,2673145770,2018-07-24 01:34:09,2018-08-11 21:39:22,United States,,,
2sp-brewing-company-aston,2SP Brewing Company,micro,120 Concord Rd,,,Aston,Pennsylvania,,19014-2909,http://www.2spbrewing.com,4844837860,2018-07-24 01:34:09,2018-08-11 21:39:22,United States,,,
412-brews-mc-kees-rocks,412 Brews,brewpub,706 Island Ave,,,Mc Kees Rocks,Pennsylvania,,15136-3287,http://www.412brews.com,,2018-07-24 01:34:09,2018-08-11 21:39:22,United States,,,
abjuration-brewing-mc-kees-rocks,Abjuration Brewing,micro,644 Broadway Ave,,,Mc Kees Rocks,Pennsylvania,,15136-3008,http://www.abjurationbrewing.com,4127661668,2018-07-24 01:34:09,2018-08-11 21:39:22,United States,,,
aldus-brewing-company-hanover,Aldus Brewing Company,micro,555 Centennial Ave,,,Hanover,Pennsylvania,,17331-3936,http://www.aldusbrewing.com,7176342407,2018-07-24 01:34:09,2018-08-24 16:06:07,United States,-76.98030009,39.79422185,
all-saints-brewing-co-greensburg,All Saints Brewing Co,micro,1602 State Route 119,,,Greensburg,Pennsylvania,,15601-7317,http://www.allsaintscraftbrewing.com,7242891202,2018-07-24 01:34:09,2018-08-11 21:39:22,United States,,,
allegheny-city-brewing-pittsburgh,Allegheny City Brewing,micro,507 Foreland St,,,Pittsburgh,Pennsylvania,,15212-4910,http://www.alleghenycitybrewing.com,4129043732,2018-07-24 01:34:09,2018-08-24 16:06:10,United States,-80.00061073,40.45424933,
allentown-brew-works-allentown,Allentown Brew Works,brewpub,812 Hamilton St,,,Allentown,Pennsylvania,,18101-2437,http://www.thebrewworks.com,6104337777,2018-07-24 01:34:09,2018-08-24 16:06:11,United States,-75.4575021,40.6060468,
american-honor-beer-co-wilkes-barre,American Honor Beer Co,contract,700 N Pennsylvania Ave,,,Wilkes Barre,Pennsylvania,,18705-2451,http://www.BoondoggleBeer.com,,2018-07-24 01:34:09,2018-08-24 16:06:13,United States,-75.859363,41.254896,
appalachian-brewing-co-collegeville-collegeville,Appalachian Brewing Co - Collegeville,brewpub,50 W Third Ave Collegeville Station 2nd Floor,,,Collegeville,Pennsylvania,,19426-3655,http://www.abcbrew.com,4849736064,2018-07-24 01:34:09,2018-08-11 21:39:22,United States,,,
appalachian-brewing-co-gettysburg-gateway-gettysburg,Appalachian Brewing Co - Gettysburg Gateway,brewpub,70 Presidential Cir,,,Gettysburg,Pennsylvania,,17325-8399,http://www.abcbrew.com,7173982419,2018-07-24 01:34:09,2018-08-11 21:39:22,United States,,,
appalachian-brewing-co-harrisburg-harrisburg,Appalachian Brewing Co - Harrisburg,brewpub,50 N Cameron St,,,Harrisburg,Pennsylvania,,17101-2407,http://www.abcbrew.com,7172211080,2018-07-24 01:34:09,2018-08-24 16:06:18,United States,-76.8816961,40.291059,
appalachian-brewing-co-lititz-lititz,Appalachian Brewing Co - Lititz,brewpub,55 N Water St,,,Lititz,Pennsylvania,,17543-1612,http://www.abcbrew.com,7172211080,2018-07-24 01:34:09,2018-08-24 16:06:20,United States,-76.30100986,40.15827375,
appalachian-brewing-co-mechanicsburg-mechanicsburg,Appalachian Brewing Co - Mechanicsburg,brewpub,6462 Carlisle Pike,,,Mechanicsburg,Pennsylvania,,17050-2384,http://www.abcbrew.com,7177954660,2018-07-24 01:34:09,2018-08-11 21:39:22,United States,,,
arundel-cellars-brewing-co-north-east,Arundel Cellars & Brewing Co,brewpub,11727 E Main Rd,,,North East,Pennsylvania,,16428-3635,http://www.arundelcellars.com,8147251079,2018-07-24 01:34:09,2018-08-24 16:06:23,United States,-79.8216539,42.2195527,
aston-abbey-brewing-co-aston,Aston Abbey Brewing Co,micro,340 Turner Industrial Way,,,Aston,Pennsylvania,,19014-3014,http://www.astonabbeybrewing.com,6102452178,2018-07-24 01:34:09,2018-08-11 21:39:22,United States,,,
attic-brewing-philadelphia,Attic Brewing,planning,,,,Philadelphia,Pennsylvania,,19144-3603,,7082047376,2018-07-24 01:34:09,2018-08-11 21:39:22,United States,,,
aurochs-brewing-company-pittsburgh,Aurochs Brewing Company,micro,8321 Ohio River Blvd,,,Pittsburgh,Pennsylvania,,15202-1451,,7242608737,2018-07-24 01:34:09,2018-08-24 16:06:26,United States,-80.0221567,40.4488158,
bangor-trust-brewing-bangor,Bangor Trust Brewing,brewpub,15 Broadway,,,Bangor,Pennsylvania,,18013-2601,http://bangortrustbrewing.com,6104523232,2018-07-24 01:34:09,2018-08-11 21:39:23,United States,,,
bar-hygge-brewery-techne-philadelphia,Bar Hygge / Brewery Techne,brewpub,1720 Fairmount Ave,,,Philadelphia,Pennsylvania,,19130-2858,,,2018-07-24 01:34:09,2018-08-24 16:06:27,United States,-75.16567302,39.96707286,
barley-creek-brewing-co-tannersville,Barley Creek Brewing Co,brewpub,1774 Sullivan Trl,,,Tannersville,Pennsylvania,,18372-7893,http://www.barleycreek.com,5706299399,2018-07-24 01:34:09,2018-08-24 16:06:29,United States,-75.32890575,41.05236395,
battlefield-brew-works-gettysburg,Battlefield Brew Works,brewpub,248 Hunterstown Rd,,,Gettysburg,Pennsylvania,,17325-7840,http://www.battlefieldbrewworks.com,7173982907,2018-07-24 01:34:09,2018-08-11 21:39:23,United States,,,
bayonet-cider-company-pittsburgh,Bayonet Cider Company,planning,,,,Pittsburgh,Pennsylvania,,15206-5111,,5134841943,2018-07-24 01:34:09,2018-08-11 21:39:23,United States,,,
beaver-brewing-co-beaver-falls,Beaver Brewing Co,brewpub,1820 7th Ave,,,Beaver Falls,Pennsylvania,,15010-4001,http://www.beaverbrewingcompany.com,,2018-07-24 01:34:09,2018-08-24 16:06:32,United States,-80.3192793,40.7650557,
benny-brewing-co-wilkes-barre,Benny Brewing Co.,micro,1429 Sans Souci Pkwy,,,Wilkes Barre,Pennsylvania,,18706-6025,http://www.martysblueroom.com,5702356995,2018-07-24 01:34:09,2018-08-11 21:39:23,United States,,,
bent-run-brewing-co-lander,Bent Run Brewing Co,brewpub,5607 SR 957,,,Lander,Pennsylvania,,16345,http://www.bentrunbrewing.com,8147578269,2018-07-24 01:34:09,2018-08-11 21:39:23,United States,,,
berwick-brewing-co-berwick,Berwick Brewing Co,brewpub,328 W Front St,,,Berwick,Pennsylvania,,18603-4757,http://www.berwickbrewing.com,5707524313,2018-07-24 01:34:09,2018-08-24 16:06:37,United States,-76.2381632,41.05243327,
big-bottom-brewery-dillsburg,Big Bottom Brewery,micro,6 Tristan Dr,,,Dillsburg,Pennsylvania,,17019-1627,http://www.facebook.com/bigbottombrewery,7175028800,2018-07-24 01:34:09,2018-08-11 21:39:23,United States,,,
birthright-brewing-co-nazareth,Birthright Brewing Co.,brewpub,57 S Main St,,,Nazareth,Pennsylvania,,18064-2037,http://www.birthrightbrewingco.com,6103652225,2018-07-24 01:34:09,2018-08-24 16:06:40,United States,-75.31224579,40.74211365,
black-forest-brewery-ephrata,Black Forest Brewery,brewpub,301 W Main St,,,Ephrata,Pennsylvania,,17522-1713,http://www.blackforestbrewery.net,7174507217,2018-07-24 01:34:09,2018-08-24 16:06:42,United States,-76.183579,40.181767,
black-wolf-brewing-llc-pocono-pines,Black Wolf Brewing LLC,planning,,,,Pocono Pines,Pennsylvania,,18350,,,2018-07-24 01:34:09,2018-08-11 21:39:23,United States,,,
bloom-brew-west-newton,Bloom Brew,micro,100 Riverside Dr,,,West Newton,Pennsylvania,,15089-1542,http://www.bloombrew.com,7243224494,2018-07-24 01:34:09,2018-08-24 16:06:43,United States,-79.768066,40.210228,
blue-canoe-brewery-titusville,Blue Canoe Brewery,brewpub,113 S Franklin St,,,Titusville,Pennsylvania,,16354-1737,,8147750077,2018-07-24 01:34:09,2018-08-24 16:06:45,United States,-79.6733234,41.6230211,
blueprint-brewing-co-harleysville,Blueprint Brewing Co.,micro,1571 Gehman Rd,,,Harleysville,Pennsylvania,,19438-2930,http://www.blueprintbrewco.com,4843197901,2018-07-24 01:34:09,2018-08-11 21:39:23,United States,,,
bluestone-brewing-company-sayre,Bluestone Brewing Company,brewpub,18 Pitney St,,,Sayre,Pennsylvania,,18840-2720,http://www.bluestonebrewingcompany.com,5707310222,2018-07-24 01:34:09,2018-08-24 16:06:48,United States,-76.54508776,41.99222929,
bog-turtle-brewery-llc-oxford,"Bog Turtle Brewery, LLC",micro,14 S 3rd St Ste 1,,,Oxford,Pennsylvania,,19363-1601,http://www.bogturtlebrewery.com,4847580416,2018-07-24 01:34:09,2018-08-11 21:39:23,United States,,,
boneshire-brew-works-harrisburg,Boneshire Brew Works,micro,7462 Derry St,,,Harrisburg,Pennsylvania,,17111-5228,http://www.boneshire.com,7174127814,2018-07-24 01:34:09,2018-08-24 16:06:51,United States,-76.8712077,40.2633825,
bonn-place-brewing-bethlehem,Bonn Place Brewing,micro,310 Taylor St,,,Bethlehem,Pennsylvania,,18015,http://www.bonnbrewing.com,6104196660,2018-07-24 01:34:09,2018-08-24 16:06:52,United States,-75.3745048,40.6116536,
boom-city-brewing-williamsport,Boom City Brewing,brewpub,317 Pine St,,,Williamsport,Pennsylvania,,17701-6509,http://www.boomcitybrewing.com,2722022956,2018-07-24 01:34:09,2018-08-24 16:06:54,United States,-77.00331232,41.24108564,
