id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
ea5535e7-94e9-4c24-baa4-32b15b495c8b,Apponaug Brewing Company,brewpub,334 Knight St,,,Warwick,Rhode Island,02886-1286,United States,4016814321,http://www.apponaugbrewing.com,-71.470315,41.727023
a8a27ab9-3403-4fa9-a852-ceb6fe938af4,Beer On Earth,micro,425 W Fountain St #104,,,Providence,Rhode Island,02903,United States,4018850580,http://www.beeronearth.com,-71.4238514,41.8189698
4671c6b2-500c-4ddb-81be-41d7ee0960a1,Beer On Earth,taproom,425 W Fountain St Ste 104,,,Providence,Rhode Island,02903,United States,5083305937,http://www.beeronearth.com,-71.423823,41.819191
fb27716e-64ac-45bb-a3b7-7d0a12821631,Bravo Brewing Company,taproom,75 Pascoag Main Street,,,Pascoag,Rhode Island,02859,United States,4013384217,http://www.bravobrewingcompany.com,-71.701723,41.956313
1b93afb3-f335-4c76-b247-16021324c687,Brutopia Brewery and Kitchen,brewpub,505 Atwood Ave,,,Cranston,Rhode Island,02920-5327,United States,4014648877,http://www.brutopiabrewery.com,-71.47169613,41.78983825
7499d5f1-3dee-4207-a073-aea0d069ea6b,Buttonwoods Brewery,taproom,530 Wellington Ave Ste 22,,,Cranston,Rhode Island,02910-2997,United States,4014612337,http://www.buttonwoodsbrewery.com,-71.426646,41.772787
c8e457a7-0753-4e02-a20e-cda524635a0e,Coddington Brewing Co,brewpub,210 Coddington Hwy,,,Middletown,Rhode Island,02842-4884,United States,,,-71.305783,41.518617
59c2cac1-d48e-4ee3-bbea-8d19cc1cfcbe,Crooked Current Brewery,taproom,560 Mineral Spring Ave Ste 2-112,,,Pawtucket,Rhode Island,02860-8612,United States,4014738312,http://www.crookedcurrentbrewery.com,-71.406122,41.872249
3e01b66a-8c7c-41f1-aa78-d019fe805ce7,Foolproof Brewing Company,micro,241 Grotto Ave,,,Pawtucket,Rhode Island,02860-3403,United States,4017215970,http://www.foolproofbrewing.com,-71.408576,41.870579
72ca0074-8bfb-4c8e-93c3-d37f82916ef3,Grey Sail Brewing Co. LLC,micro,63 Canal St,,,Westerly,Rhode Island,02891-1552,United States,4102127592,http://www.greysailbrewing.com,-71.832297,41.384878
9f3231b3-471e-4a89-bf21-ad295430b428,Hive Brewing Company,alt prop,61 Canal St,,,Westerly,Rhode Island,02891,United States,,http://https://www.hive.beer/,-71.832278,41.384919
635005ee-4800-4ff6-a77f-b91f40a80439,Isle Brewers Guild,taproom,461 Main Street,,,Pawtucket,Rhode Island,02860,United States,4012634435,http://www.Islebrewers.com,-71.389095,41.876787
0623e420-0d84-46f5-a662-9937ed33799b,LineSider Brewing,micro,1485 S County Trl,,,East Greenwich,Rhode Island,02818,United States,4013987700,https://linesiderbrewing.com,-71.4977115,41.6562569
47e1f46b-e172-4f32-882b-c7bdf619fffb,Long Live Beerworks,taproom,40R Sprague St,,,Providence,Rhode Island,02907,United States,,http://www.longlivebeerworks.com,-71.425959,41.809235
07734988-c319-4da8-8ff9-cd6a90eb474d,Lops Brewing,taproom,122 N Main St,,,Woonsocket,Rhode Island,02895,United States,7742190538,http://www.lopsbrewing.com,-71.514069,42.007139
87ed7ff9-556b-4b20-aa67-282b4db14fd6,Mohegan Cafe and Brewery,brewpub,213 Water St,,,Block Island,Rhode Island,02807,United States,4014665911,https://monheganbrewing.com,-69.32038438,43.7594709
62009eb2-a83b-4535-8205-1b5a9ed86aef,Moniker Brewery,micro,432 W Fountain St,,,Providence,Rhode Island,02903-3516,United States,4016480150,http://www.monikerbrewery.com,-71.4239298,41.8183971
6dfbd9e4-3616-4220-8686-eacb359cea0b,Moniker Brewery,taproom,432 W. Fountain Street,,,Providence,Rhode Island,02908,United States,5712188541,http://www.monikerbrewery.com,-71.424113,41.818532
29d69ef0-65de-402a-a98f-7c6db6ae5271,Narragansett Brewing Co,office only location,271 Tockwotton St,,,Providence,Rhode Island,02903,United States,4014378970,http://www.narragansettbeer.com,-71.389881,41.818844
6812030a-d789-4578-aa72-5e5d43554381,Narragansett Brewing Co,regional,271 Tockwotten St,,,Providence,Rhode Island,02912,United States,,,-71.390448,41.818477
f30c94db-0f97-492d-be18-e0e0d362e360,Narragansett Brewing Co - Pawtucket,regional,461 Main St,,,Pawtucket,Rhode Island,02860-2913,United States,4014378970,http://www.narragansettbeer.com,-71.38847715,41.87668875
a3649b1f-6f4d-47f4-b4e6-572cef4b510b,Newport Craft Brewing and Distilling,micro,293 JT Connell Hwy,,,Newport,Rhode Island,02840,United States,4018495232,http://www.newportcraft.com,-71.315704,41.513896
2050984b-7693-4c4c-9036-1f98ec6047b8,Norey's Brewpub,brewpub,156 Broadway,,,Newport,Rhode Island,2840,United States,,http://noreysbrewpub.com,-71.30966,41.493901
