id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
aiken-brewing-co,Aiken Brewing Co,brewpub,140 Laurens St SW,,,Aiken,South Carolina,,29801-3848,http://www.aikenbrewingcompany.com,8035020707,2018-07-24 01:34:14,2018-08-24 16:14:08,United States,-81.7228141,33.5603084,
carolina-bauernhaus-ales,Carolina Bauernhaus Ales,brewpub,115 Federal St,,,Anderson,South Carolina,,29625-4364,http://carolinabauernhaus.com,8644018167,2018-07-24 01:34:14,2018-08-11 21:39:35,United States,,,
salt-marsh-brewing,Salt Marsh Brewing,brewpub,203 Bluffton Rd,,,Bluffton,South Carolina,,29910-6213,http://www.facebook.com/Saltmarshbrew/,8433219556,2018-07-24 01:34:15,2018-08-24 16:15:16,United States,-80.86048975,32.2372909,
southern-barrel-brewing-company,Southern Barrel Brewing Company,micro,375 Buckwalter Place Blvd,,,Bluffton,South Carolina,,29910,http://www.southernbarrelbrewingco.com,8438372337,2018-07-24 01:34:15,2018-08-24 16:15:20,United States,-80.9199124,32.2715377,
new-groove-artisan-brewery,New Groove Artisan Brewery,brewpub,4078 Highway 9,,,Boiling Springs,South Carolina,,29316-8501,http://www.newgroovebrew.com,8645863900,2018-07-24 01:34:15,2018-08-24 16:14:55,United States,-82.017032,35.072809,
steel-hands-brewing,Steel Hands Brewing,planning,,,,Cayce,South Carolina,,29033-3439,,8039200592,2018-07-24 01:34:15,2018-08-11 21:39:38,United States,,,
dockerys,Dockery's,brewpub,186 Seven Farms Dr Ste F399,,,Charleston,South Carolina,,29492-8510,http://www.dockerysdi.com,8432841173,2018-07-24 01:34:14,2018-08-11 21:39:36,United States,,,
fams-brewing-company,Fam's Brewing Company,brewpub,1291 Folly Rd,,,Charleston,South Carolina,,29412,http://www.famspizza.com,8437937733,2018-07-24 01:34:14,2018-08-11 21:39:36,United States,,,
freehouse-brewery,Freehouse Brewery,micro,2895 Pringle St Ste B,,,Charleston,South Carolina,,29405-7506,http://www.freehousebeer.com,,2018-07-24 01:34:14,2018-08-11 21:39:36,United States,,,
frothy-beard-brewing-co,Frothy Beard Brewing Co,micro,1401 Sam Rittenberg Blvd Ste 1,,,Charleston,South Carolina,,29407-5031,http://www.frothybeard.com,8437932970,2018-07-24 01:34:14,2018-08-11 21:39:36,United States,,,
holy-city-brewing,Holy City Brewing,micro,4155 Dorchester Rd Ste C,,,Charleston,South Carolina,,29405-7486,http://www.holycitybrewing.com,8432256089,2018-07-24 01:34:15,2018-08-11 21:39:36,United States,,,
charles-towne-fermentory,Charles Towne Fermentory,micro,809 Savannah Hwy,,,Charleston,South Carolina,,29407-7278,http://www.chsfermentory.com,8436410431,2018-07-24 01:34:14,2018-08-24 16:14:17,United States,-79.985096,32.781811,
cooper-river-brewing-company,Cooper River Brewing Company,micro,2201-B Mechanic St,,,Charleston,South Carolina,,29405,http://www.cooperriverbrewing.com,8434057979,2018-07-24 01:34:14,2018-08-24 16:14:26,United States,-79.954817,32.817102,
fattys-beer-works,Fatty's Beer Works,contract,1436 Meeting Street Rd,,,Charleston,South Carolina,,29405-9342,http://www.followfatty.com,8439745330,2018-07-24 01:34:14,2018-08-24 16:14:34,United States,-79.950716,32.816629,
munkle-brewing-company,Munkle Brewing Company,micro,1513 Meeting Street Rd,,,Charleston,South Carolina,,29405-9301,http://MunkleBrewing.com,8437893109,2018-07-24 01:34:15,2018-08-24 16:14:53,United States,-79.95068928,32.81853,
revelry-brewing-co,Revelry Brewing Co.,micro,10 Conroy St,,,Charleston,South Carolina,,29403-3815,http://www.revelrybrewingco.com,8432036194,2018-07-24 01:34:15,2018-08-24 16:15:08,United States,-79.9439382,32.80728239,
snafu-brewing-company,Snafu Brewing Company,micro,3280 Industry Dr,,,Charleston,South Carolina,,29418-8452,http://www.snafubrewingcompany.com,8437674121,2018-07-24 01:34:15,2018-08-24 16:15:19,United States,-80.0664232,32.9255082,
the-hold-by-revelry-brewing,The Hold By Revelry Brewing,micro,36 Romney St,,,Charleston,South Carolina,,29403-3825,http://www.revelrybrewingco.com,,2018-07-24 01:34:15,2018-08-24 16:15:25,United States,-79.94569372,32.80761336,
tradesman-brewing-company,Tradesman Brewing Company,micro,1639 Tatum St,,,Charleston,South Carolina,,29412-2646,http://www.tradesmanbrewing.com,8434101315,2018-07-24 01:34:15,2018-08-24 16:15:28,United States,-79.97321382,32.76013923,
edmundas-oast-brewing-co,Edmundâs Oast Brewing Co,brewpub,1505 King St Extension,,,Charleston,South Carolina,,29405,http://www.edmundsoast.com,8437183224,2018-07-24 01:34:14,2018-08-11 21:39:36,United States,,,
palmetto-brewing-co,Palmetto Brewing Co,regional,289 Huger St Bldg B,,,Charleston,South Carolina,,29403-4560,http://www.palmettobrewery.com,8439370903,2018-07-24 01:34:15,2018-08-11 21:39:37,United States,,,
twisted-cypress-brewing-company,Twisted Cypress Brewing Company,micro,1897 Sam Rittenberg Blvd,,,Charleston,South Carolina,,29407-4870,http://www.twistedcypressbrewingco.com,8436081899,2018-07-24 01:34:15,2018-08-24 16:15:29,United States,-80.0219063,32.79905412,
conquest-brewing-co,Conquest Brewing Co.,micro,947 S Stadium Rd,,,Columbia,South Carolina,,29201-4724,http://www.conquestbrewing.com,8037123063,2018-07-24 01:34:14,2018-08-24 16:14:25,United States,-81.02382212,33.97100882,
river-rat-brewery,River Rat Brewery,brewpub,1231 Shop Rd,,,Columbia,South Carolina,,29201-4744,http://www.riverratbrewery.com,8037245712,2018-07-24 01:34:15,2018-08-24 16:15:11,United States,-81.01125386,33.97325589,
brewery-in-planning-dulles,Brewery In Planning - Dulles,planning,,,,Columbia,South Carolina,,29229-7322,,,2018-07-24 01:34:14,2018-08-11 21:39:35,United States,,,
columbia-craft-brewing-company,Columbia Craft Brewing Company,brewpub,520 Greene St,,,Columbia,South Carolina,,29201-3612,http://www.columbiacraft.com,8037996027,2018-07-24 01:34:14,2018-08-24 16:14:22,United States,-81.04200957,33.99236663,
cottontown-brew-lab,CottonTown Brew Lab,micro,1223 Franklin St,,,Columbia,South Carolina,,29201-1958,http://www.ctbl.asurewebsites.net,8444273952,2018-07-24 01:34:14,2018-08-24 16:14:28,United States,-81.04004014,34.01695029,
swamp-cabbage-brewing-company,Swamp Cabbage Brewing Company,micro,921 Brookwood Dr,,,Columbia,South Carolina,,29201-4609,http://www.swampcabbagebrewing.com,8039392589,2018-07-24 01:34:15,2018-08-11 21:39:38,United States,,,
twisted-spur-brewing,Twisted Spur Brewing,brewpub,705 Gervais St Ste A,,,Columbia,South Carolina,,29201-6012,,8037640203,2018-07-24 01:34:15,2018-08-11 21:39:38,United States,,,
hunter-gatherer-brewery-and-alehouse,Hunter Gatherer Brewery and Alehouse,brewpub,900 Main St,,,Columbia,South Carolina,,29201-3964,http://www.huntergathererbrewery.com,8037480540,2018-07-24 01:34:15,2018-08-24 16:14:46,United States,-81.0315874,33.997366,
southern-hops-brewing-co,Southern Hops Brewing Co.,brewpub,911 Sunset Acres Ln,,,Florence,South Carolina,,29501-6073,http://www.southernhops.com,8436671900,2018-07-24 01:34:15,2018-08-11 21:39:38,United States,,,
seminar-brewing,Seminar Brewing,brewpub,551 W Lucas St,,,Florence,South Carolina,,29501-2817,http://seminar brewing.com,8436659200,2018-07-24 01:34:15,2018-08-24 16:15:17,United States,-79.78837666,34.2209957,
