id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
blackhorse-brewery,Blackhorse Brewery,planning,,,,Alcoa,Tennessee,,37701,,,2018-07-24 01:34:16,2018-08-11 21:39:41,United States,,,
elderbrew,Elderbrew,micro,24 6th St,,,Bristol,Tennessee,,37620,http://www.elderbrew.com,,2018-07-24 01:34:16,2018-08-24 16:16:47,United States,-82.18356135,36.594077,
holston-river-brewing-company,Holston River Brewing Company,micro,2623 Volunteer Pkwy,,,Bristol,Tennessee,,37620-,http://www.hrbrewing.com,4233611572,2018-07-24 01:34:16,2018-08-24 16:17:03,United States,-82.1910353,36.574583,
big-river-grille-and-brewing-works-chattanooga,Big River Grille & Brewing Works - Chattanooga,brewpub,222 Broad St,,,Chattanooga,Tennessee,,37402-1009,http://www.craftworksrestaurants.com,4232672739,2018-07-24 01:34:16,2018-08-24 16:16:16,United States,-85.31070875,35.05387554,
heaven-and-ale-brewing-co,Heaven & Ale Brewing Co,brewpub,300 Cherokee Blvd Ste 101,,,Chattanooga,Tennessee,,37405-3811,http://www.heavenandalebrewing.com,4044416434,2018-07-24 01:34:16,2018-08-24 16:16:57,United States,-85.311847,35.064349,
mchales-brewhouse,McHale's Brewhouse,brewpub,724 Ashland Ter,,,Chattanooga,Tennessee,,37415-3536,http://www.mchalesbrewhouse.com,4238772124,2018-07-24 01:34:17,2018-08-24 16:17:29,United States,-85.27573976,35.11640583,
five-wits-brewing-co,Five Wits Brewing Co.,planning,,,,Chattanooga,Tennessee,,37408,,4237742991,2018-07-24 01:34:16,2018-08-11 21:39:42,United States,,,
chattanooga-brewing-co,Chattanooga Brewing Co,micro,1804 Chestnut St,,,Chattanooga,Tennessee,,37408-1027,http://www.chattabrew.com,4237029958,2018-07-24 01:34:16,2018-08-24 16:16:31,United States,-85.31443025,35.03633349,
hutton-and-smith-brewing-company,Hutton & Smith Brewing Company,micro,431 E Martin Luther King Blvd # 120,,,Chattanooga,Tennessee,,37403,http://www.huttonandsmithbrewing.com,4237603600,2018-07-24 01:34:17,2018-08-11 21:39:43,United States,,,
moccasin-bend-brewing-co,Moccasin Bend Brewing Co,micro,3210 Broad St # B,,,Chattanooga,Tennessee,,37408-3059,http://www.bendbrewingbeer.com,4238216392,2018-07-24 01:34:17,2018-08-11 21:39:43,United States,,,
oddstory-brewing-co,Oddstory Brewing Co,micro,336 E Mlk,,,Chattanooga,Tennessee,,37403-4121,http://www.oddstorybrewing.co,2563097208,2018-07-24 01:34:17,2018-08-11 21:39:43,United States,,,
mad-knight-brewing-company,Mad Knight Brewing Company,micro,4015 Tennessee Ave,,,Chattanooga,Tennessee,,37409-1322,http://www.madknightbrewing.com,4238256504,2018-07-24 01:34:17,2018-08-24 16:17:23,United States,-85.32785692,35.00864326,
wanderlinger-brewing-co,WanderLinger Brewing Co,planning,,,,Chattanooga,Tennessee,,37403-4331,http://www.wanderlinger.com,6156535407,2018-07-24 01:34:17,2018-08-11 21:39:44,United States,,,
terminal-brewhouse-the,"Terminal Brewhouse, The",brewpub,1464 Market St,,,Chattanooga,Tennessee,,37402-4448,http://www.terminalbrewhouse.com,4237528090,2018-07-24 01:34:17,2018-08-24 16:18:07,United States,-85.30723077,35.03644493,
panther-creek-brews,Panther Creek Brews,planning,,,,Christiana,Tennessee,,37037-5122,http://www.panthercreekbrews.com,6155891401,2018-07-24 01:34:17,2018-08-11 21:39:43,United States,,,
gladiator-brewing-co,Gladiator Brewing Co.,planning,,,,Clarksville,Tennessee,,37040,,9137497035,2018-07-24 01:34:16,2018-08-11 21:39:42,United States,,,
blackhorse-pub-and-brewery,Blackhorse Pub and Brewery,brewpub,132 Franklin St,,,Clarksville,Tennessee,,37040-3438,http://www.blackhorsebrews.com,9315523726,2018-07-24 01:34:16,2018-08-24 16:16:19,United States,-87.35889940000001,36.52735085,
tennessee-valley-brewing-company,Tennessee Valley Brewing Company,micro,2088 Lowes Dr Ste H,,,Clarksville,Tennessee,,37040-1635,http://www.tnvalleybrewing.com,9312411040,2018-07-24 01:34:17,2018-08-11 21:39:44,United States,,,
the-star-spangled-brewing-co,The Star Spangled Brewing Co.,micro,1030 Progress Dr Ste E,,,Clarksville,Tennessee,,37040-5329,,6153981237,2018-07-24 01:34:17,2018-08-11 21:39:44,United States,,,
