id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
9c5a66c8-cc13-416f-a5d9-0a769c87d318,(512) Brewing Co,micro,407 Radam Ln Ste F200,,,Austin,Texas,78745-1197,United States,5129211545,http://www.512brewing.com,,
08f78223-24f8-4b71-b381-ea19a5bd82df,11 Below Brewing Company,micro,6820 Bourgeois Rd,,,Houston,Texas,77066-3107,United States,2814442337,http://www.11belowbrewing.com,-95.5186591,29.9515464
d6e77d51-2fa2-44cb-89b3-c94bf1dc77df,28th State Brewing,planning,,,,Houston,Texas,77095-6933,United States,,https://www.instagram.com/28thstatebrew/?hl=en,,
ed387340-ea78-4f65-9de0-15e2da50371e,3 Nations Brewing,micro,2405 Squire Pl Ste 200,,,Farmers Branch,Texas,75234-4714,United States,4696607184,http://www.threenationsbrewing.com,-96.89883128,32.93044336
aea0a6f9-557e-4907-be23-d80737a071e4,4J Brewing Company,micro,1348 Cedar Post Ln.,,,Houston,Texas,77055,United States,7136780776,https://4jbrewingcompany.com,,
760e8395-f2a2-4161-9bf1-c72ed1aa6ae3,4th Tap Brewing Cooperative,micro,10615 Metric Blvd,,,Austin,Texas,78758-4520,United States,5129089817,,-97.7118913,30.3852024
83d47922-0a23-4b85-9c1c-d50b9135d64a,5 Stones Artisan Brewery,micro,11335 Farm To Market Road 1863,,,New Braunfels,Texas,78132,United States,2103808215,,-98.232345,29.711365
eaf55668-8444-4e4f-80c2-b9f32f7e4d83,5th Element Brewing,planning,,,,Leander,Texas,78641-4009,United States,9156378199,,,
849d5961-83c5-4115-9ae4-c0e93c8d3a7f,5x5 Brewing Co.,planning,,,,Mission,Texas,78572-6215,United States,9565291353,http://www.5x5brewing.com,,
c2bc693f-906a-46a0-a5f9-82eab2d2845b,8th Wonder Brewery,micro,2202 Dallas St,,,Houston,Texas,77003-3519,United States,7133970072,http://www.8thwonderbrew.com,-95.3559402,29.7487783
2b067eab-e0b0-46b6-aaea-e40a62cf632f,903 Brewers,micro,1718 S Elm St,,,Sherman,Texas,75090-8725,United States,2142438090,http://www.903brewers.com,-96.60698055,33.61788732
7fa5779e-88df-42ab-895b-412b635498ae,Acopon Brewing Co,micro,211 W Mercer St,,,Dripping Springs,Texas,78620-5363,United States,5128294723,http://www.acoponbrewing.com,-98.09006208,30.19269957
9ff5f718-dee7-4e69-b79c-6250de87e840,Adelbert's Brewery LLC,micro,2314 Rutland Dr Ste 100,,,Austin,Texas,78758-5273,United States,5126621462,http://www.adelbertsbeer.com,-97.7201589,30.3826286
edf1c0fb-cce0-44ec-8d98-dd4778e2d533,Alamo Beer Co,micro,415 Burnet St,,,San Antonio,Texas,78202-1909,United States,2108725589,http://www.alamobeer.com,-98.4771638,29.42902321
b1f7a6c5-a4e0-477b-a380-17f8a0120e2d,"Alcazar Brewery, LLC.",planning,,,,Rio Grande City,Texas,78582-4450,United States,,,,
be64e523-9c15-4348-87e5-c6747b87abcb,Altmeyer and Lewis Brewing Company,micro,15898 N Hwy 123,,,San Marcos,Texas,78666-2418,United States,5126679537,http://www.altmeyerlewisbrewing.com,,
68410dce-b145-4c0a-993f-08fc280cc9c8,Altstadt Brewery,micro,6120 E US Highway 290,,,Fredericksburg,Texas,78624-2176,United States,8303042337,http://www.altstadtbeer.com,-98.8467263,30.2468574
a7e8257d-956d-46ca-81f4-33d1b6a13fc8,"Angelina Brewing Company, LLC.",planning,,,,Lufkin,Texas,75904-7550,United States,3168419327,,,
34dd23fd-b208-4a7b-b4d2-3488b20e618f,Anheuser-Busch Inc â Houston,large,775 Gellhorn Dr,,,Houston,Texas,77029-1496,United States,7136752311,,-95.27130674,29.771858
26a850f9-f796-427c-810d-84b4ae08dfbb,Anvil Brewing,brewpub,115 S. Compress St,,,Pittsburg,Texas,75686-1353,United States,9039267741,http://www.anvilbrewingtx.com,,
e04c1682-dba4-4366-ac2e-4a8dab19da3c,Aquabrew,brewpub,150 S L B J Dr,,,San Marcos,Texas,78666-5506,United States,5123532739,http://www.aqua-brew.com,,
e37a575c-5e11-4a2f-8e58-8fcce92e78ac,"Aransas Pass Brewing Company, LLC",planning,,,,Aransas Pass,Texas,78336-1920,United States,,,,
7e286282-9365-48c2-8bd2-1193bac62449,Armadillo Ale Works,micro,221 S Bell Ave,,,Denton,Texas,76201-4259,United States,9405804446,http://www.armadilloaleworks.com,-97.12830051,33.21286666
d916497e-0b1b-48aa-8add-10a62c0b3e90,Astral Brewing,micro,4816 N Shepherd Dr suite a,,,Houston,Texas,77018,United States,7135341067,https://www.astralbrewing.com,,
be88a2bb-0975-416c-b9f4-c571ddf70e5c,Athens Brewing Co,brewpub,101 E Tyler St,,,Athens,Texas,75751-2547,United States,9039527493,http://www.athensbrewingco.com,-95.852642,32.205458
9a280fbb-adee-484a-876b-50e71235a711,Austin Beerworks,regional,3001 Industrial Ter,,,Austin,Texas,78758-7609,United States,5128212494,http://www.austinbeerworks.com,-97.72984444,30.3795705
483efb3e-05aa-43b5-a283-40414b6b47dc,B and J's Handcrafted Texas Ales,micro,6335 S Padre Island Dr,,,Corpus Christi,Texas,78412-4013,United States,3619926671,http://pizzaandbrew@aol.com,-97.2962784,27.6749936
