id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
policy-kings-brewery-llc,Policy Kings Brewery LLC,planning,,,,Cedar City,Utah,,84720,http://www.policykingsbrewery.com,,2018-07-24 01:34:23,2018-08-11 21:39:58,United States,,,
pinnacle-brewing-co/groggs,Pinnacle Brewing Co/Groggs,contract,1653 Carbonville Rd,,,Helper,Utah,,84526-2504,,4356372924,2018-07-24 01:34:23,2018-08-11 21:39:58,United States,,,
roosters-brewing-co-#2,Roosters Brewing Co (#2),micro,748 Heritage Park Blvd Ste 101,,,Layton,Utah,,84041-5724,http://www.roostersbrewingco.com,8017749330,2018-07-24 01:34:23,2018-08-24 16:25:07,United States,-111.9793389,41.08320878,
bohemian-brewery-and-grill,Bohemian Brewery and Grill,micro,94 E 7200 S,,,Midvale,Utah,,84047-1532,http://www.bohemianbrewery.com,8015665474,2018-07-24 01:34:22,2018-08-24 16:24:41,United States,-111.894011,40.6206923,
2-row-brewing,2 Row Brewing,micro,6856 S 300 W,,,Midvale,Utah,,84047-1083,http://www.2rowbrewing.com,8019878663,2018-07-24 01:34:22,2018-08-24 16:24:40,United States,-111.9007652,40.59502020000001,
brewery-in-planning-draper,Brewery In Planning - Draper,planning,,,,Midvale,Utah,,84047-2875,,8015578075,2018-07-24 01:34:22,2018-08-11 21:39:57,United States,,,
hoppers-grill-and-brewing-co,Hoppers Grill and Brewing Co,brewpub,890 E Fort Union Blvd,,,Midvale,Utah,,84047-1745,http://www.hoppersbrewpub.com,8015660424,2018-07-24 01:34:23,2018-08-24 16:24:54,United States,-111.8663362,40.62210005,
eddie-mcstiffs-brewing-co-c/o-eddie-snyder,Eddie McStiffs Brewing Co c/o Eddie Snyder,contract,57 S Main St,,,Moab,Utah,,84532-2502,http://www.eddiemcstiffs.com,4352592337,2018-07-24 01:34:22,2018-08-11 21:39:57,United States,,,
moab-brewery,Moab Brewery,micro,686 S Main St,,,Moab,Utah,,84532-2901,http://www.themoabbrewery.com,4352596333,2018-07-24 01:34:23,2018-08-11 21:39:58,United States,,,
roosters-brewing-co-#1,Roosters Brewing Co  (#1),micro,253 Historic 25th St,,,Ogden,Utah,,84401-2301,,8016276171,2018-07-24 01:34:23,2018-08-11 21:39:58,United States,,,
utog-brewing-company,UTOG Brewing Company,planning,,,,Ogden,Utah,,84401-1407,http://www.utogbrewing.com,8017252402,2018-07-24 01:34:23,2018-08-11 21:39:58,United States,,,
ruby-river-steak-house-and-brewery,Ruby River Steak House and Brewery,brewpub,4286 Riverdale Rd,,,Ogden,Utah,,84405-3512,http://www.sizzlingplatter.com,8016222320,2018-07-24 01:34:23,2018-08-24 16:25:09,United States,-111.9883755,41.18405234,
talisman-brewing-company,Talisman Brewing Company,micro,1258 Gibson Ave,,,Ogden,Utah,,84404-5541,http://www.talismanbrewingco.com,3853892945,2018-07-24 01:34:23,2018-08-24 16:25:16,United States,-111.98444750000002,41.243496,
mine-shaft-brewing,Mine Shaft Brewing,planning,,,,Park City,Utah,,84098-6724,http://www.mineshaftbrewingpc.com,,2018-07-24 01:34:23,2018-08-11 21:39:58,United States,,,
park-city-brewery,Park City Brewery,micro,2720 Rasmussen Rd Ste A1,,,Park City,Utah,,84098-5751,http://www.parkcitybrewery.com,4352008906,2018-07-24 01:34:23,2018-08-11 21:39:58,United States,,,
wasatch-brew-pub-park-city,Wasatch Brew Pub - Park City,micro,250 Main St,,,Park City,Utah,,84060-5113,http://www.wasatchbeers.com,4356490900,2018-07-24 01:34:23,2018-08-24 16:25:23,United States,-111.49458359999998,40.6418424,
blue-zone-brewing-co,Blue Zone Brewing Co.,planning,,,,Saint George,Utah,,84790-5716,,4353135050,2018-07-24 01:34:22,2018-08-11 21:39:57,United States,,,
