id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
84d621c4-81a5-44e6-aca7-1566c2e67cc0,1781 Brewing Company,taproom,11109 Plank Rd,,,Spotsylvania,Virginia,22553-4258,United States,5408412598,,-77.718185,38.327034
a0fba022-6993-4fa1-8953-f624b0c2c8ca,1865 Brewing Company,brewpub,9 S Mallory St,,,Hampton,Virginia,23663-1707,United States,7579649571,http://www.1865brewingcompany.com,-76.321458,37.01883
fb2460bb-d6bb-4690-a700-f0b5628cc7dd,2 Silos Brewing Company,brewpub,9925 Discovery Blvd,,,Manassas,Virginia,20109,United States,7034202257,http://www.2silosbrewing.com,-77.523519,38.742776
5cda93ce-6b16-4374-9d43-bb4383be0187,2 Witches Winery and Brewing Company,micro,209 Trade St,,,Danville,Virginia,24541-3545,United States,4345492739,http://www.2witcheswinebrew.com,-79.42125553,36.58590349
78c1d17a-92c7-422e-b5f8-9045f4106784,2 Witches Winery and Brewing Company,taproom,209 Trade Street,,,Danville,Virginia,24541-3545,United States,4345492739,http://www.2witcheswinebrew.com,-79.420986,36.585298
b62b7c62-a4d8-44a2-bb50-492f9e865ee8,36 Fifty Brewing,taproom,120 N Chestnut St,,,Marion,Virginia,24354,United States,,,-81.518913,36.834289
286561ca-cad4-47bc-8d20-436fa5783f83,480 B.C. Farm Brewery/Molon Lave Vineyards,taproom,10075 Lees Mill Road,,,Warrenton,Virginia,20186,United States,5404395460,http://www.molonlavevineyards.com,-77.825774,38.620196
e5992621-3c91-4968-b913-85972aa66fbb,"6 Bears & A Goat Brewing Company, LLC",brewpub,1140 International Pkwy,,,Fredericksburg,Virginia,22406-1126,United States,54035690562,http://www.6bgbrewingco.com,,
52b0ec67-1e56-49f6-a4bb-e5eed59a155d,7 Dogs Brewpub,brewpub,360 W Spring St,,,Wytheville,Virginia,24382,United States,2762280994,,-81.085082,36.947536
4a4e8e31-c8f6-42ad-8be0-8a4c0f1d3385,A Few Old Goats Brewing,taproom,515 8th St SW Ste 228,,,Roanoke,Virginia,24016,United States,5403399562,,-79.955788,37.270349
a0111777-1fe6-4c8c-864e-c2518f5d5670,Adroit Theory Brewing Company,micro,404 Browning Ct Unit C,,,Purcellville,Virginia,20132-6171,United States,7034340553,http://www.adroit-theory.com,,
817389ea-e12a-4fb6-bace-5a5d3ef1d412,Adroit Theory Brewing Company,micro,404 Browning Ct,,,Purcellville,Virginia,20132-6171,United States,7034340553,http://www.adroit-theory.com,-77.720183,39.143909
