id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
wolf-hills-brewing-co,Wolf Hills Brewing Co,micro,350 Park St SE,,,Abingdon,Virginia,,24210-3314,http://www.wolfhillsbrewing.com,2762067562,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-81.966309,36.7123245,
blue-mountain-brewery,Blue Mountain Brewery,micro,9519 Critzers Shop Rd,,,Afton,Virginia,,22920-2415,http://www.bluemountainbrewery.com,5404568020,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
brewing-tree-beer-company,Brewing Tree Beer Company,micro,9278 Rockfish Valley Hwy,,,Afton,Virginia,,22920,,5403810990,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
quattro-goombas-brewery,Quattro Goombas Brewery,brewpub,22860 James Monroe Hwy,,,Aldie,Virginia,,20105-1916,http://www.goombabrewery.com,7035091332,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
high-speed-low-drag-brewing-llc,High Speed Low Drag Brewing LLC,planning,,,,Alexandria,Virginia,,22307-2001,http://www.kirklippold.com,7756849197,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
hops-grillhouse-and-brewery,Hops Grillhouse and Brewery,contract,3625 Jefferson Davis Hwy,,,Alexandria,Virginia,,22305-3133,http://www.hopsrestaurants.com,7038379107,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-77.05237509999998,38.8399578,
nostrum-brewing,Nostrum Brewing,planning,,,,Alexandria,Virginia,,22303-2214,,,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
port-city-brewing-co,Port City Brewing Co.,regional,3950 Wheeler Ave,,,Alexandria,Virginia,,22304-6409,http://www.portcitybrewing.com,7037972739,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-77.10149229,38.80803165,
wheatland-spring-brewery,Wheatland Spring Brewery,planning,,,,Alexandria,Virginia,,22314-4308,,,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
loose-shoe-brewing-company-llc,"Loose Shoe Brewing Company, LLC",micro,198 Ambriar Plz,,,Amherst,Virginia,,24521-,http://www.looseshoebrewing.com,434946,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
krikelkay-brewing-company,Krikelkay Brewing Company,planning,,,,Appomattox,Virginia,,24522-4034,http://www.krikelkaybrewing.com,4344263419,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
lidl-us-llc,Lidl US LLC,contract,3500 S Clark St,,,Arlington,Virginia,,22202-4045,,,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-77.051863,38.842856,
new-district-brewing-company,New District Brewing Company,micro,2709 S Oakland St,,,Arlington,Virginia,,22206-2309,http://www.newdistrictbrewing.com,7038885820,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-77.08966299,38.84421984,
blue-mountain-barrel-house-and-organic-brewery,Blue Mountain Barrel House and Organic Brewery,micro,495 Cooperative Way,,,Arrington,Virginia,,22922-3305,http://www.bluemountainbarrel.com,4342634002,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
dynasty-brewing-company,Dynasty Brewing Company,planning,,,,Ashburn,Virginia,,20147,http://www.dynastybrewing.com,7037279229,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
grey-tower-brewing,Grey Tower Brewing,planning,,,,Ashburn,Virginia,,20147-5433,,7032093107,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
house-6-brewing,House 6 Brewing,planning,,,,Ashburn,Virginia,,20147,http://www.house6brewing.com,5855205710,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
lost-rhino-brewing-co,Lost Rhino Brewing Co,micro,21730 Red Rum Dr Ste 142,,,Ashburn,Virginia,,20147-5870,http://www.lostrhino.com,5712912083,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-77.47673436,39.01564409,
old-ox-brewery-llc,Old Ox Brewery LLC,micro,44652 Guilford Dr Ste 114,,,Ashburn,Virginia,,20147-6006,http://www.oldoxbrewery.com,7037298375,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-77.45608031,39.02226368,
the-craft-of-brewing,The Craft Of Brewing,micro,"21140 Ashburn Crossing Drive, Suite 170",,,Ashburn,Virginia,,20147,http://www.thecraftob.com,7036873932,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
center-of-the-universe-brewing-co,Center of the Universe Brewing Co,micro,11293 Air Park Rd,,,Ashland,Virginia,,23005-3436,http://www.cotubrewing.com,8043680299,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
mountain-valley-brewing,Mountain Valley Brewing,micro,4220 Mountain Valley Rd,,,Axton,Virginia,,24054-2985,,2768332171,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-79.70721,36.715687,
beales,Beale's,brewpub,510 Grove St,,,Bedford,Virginia,,24523,http://www.bealesbeer.com,,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-79.51785,37.33585,
bull-and-bones-brewhaus-and-grill,Bull & Bones Brewhaus & Grill,brewpub,1470 S Main St Ste 120,,,Blacksburg,Virginia,,24060-5571,http://www.bullandbones.com,5409532855,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
right-mind-brewing,Right Mind Brewing,brewpub,1410 S Main St,,,Blacksburg,Virginia,,24060-5528,http://www.rightmindbrewing.com,5405527000,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-80.4010083,37.2152422,
rising-silo-brewery,Rising Silo Brewery,brewpub,2351 Glade Rd,,,Blacksburg,Virginia,,24060-1928,http://www.risingsilobrewery.com,5407500796,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-80.4630874,37.2361304,
bear-chase-brewing-company,Bear Chase Brewing Company,planning,,,,Bluemont,Virginia,,20135,,,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
dirt-farm-brewing,Dirt Farm Brewing,brewpub,18701 Foggy Bottom Rd,,,Bluemont,Virginia,,20135-1858,http://www.dirtfarmbrewing.com,5405542337,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
hammer-and-forge-brewing-company,Hammer & Forge Brewing Company,micro,70 Main Street,,,Boones Mill,Virginia,,24064,http://www.hammerandforgebrewing.com,5406133913,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-79.95438626,37.1151673,
old-trade-brewery,Old Trade Brewery,micro,13270 Alanthus Rd,,,Brandy Station,Virginia,,22714-1905,http://www.oldtradebrewery.com,7742188645,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-77.91079599999998,38.523145,
studio-brew,Studio Brew,brewpub,221 Moore St,,,Bristol,Virginia,,24201-4302,http://www.studiobrew.beer,4233603258,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-82.18231373,36.59862808,
bristol-station-brews-and-taproom,Bristol Station Brews & Taproom,micro,41 Piedmont Ave,,,Bristol,Virginia,,24201-4160,http://www.bristolbrew.com,2766081220,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-82.1842085,36.59629295,
the-farm-brewery-at-broad-run,The Farm Brewery At Broad Run,micro,16015 John Marshall Hwy,,,Broad Run,Virginia,,20137-2250,http://www.thefarmatbroadrun.com,7037533548,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
staunton-river-brewing-company,Staunton River Brewing Company,micro,1571 Mount Calvary Rd,,,Brookneal,Virginia,,24528-3156,http://www.stauntonriverbrewing.com,4343769463,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
chaos-mountain-brewing-llc,"Chaos Mountain Brewing, LLC",micro,3135 Dillons Mill Rd,,,Callaway,Virginia,,24067-2615,http://www.chaosmountainbrewing.com,5403341600,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
cape-charles-brewing-company,Cape Charles Brewing Company,brewpub,2198 Stone Rd,,,Cape Charles,Virginia,,23310-2706,http://www.capecharlesbrewing.com,7574494839,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-75.992111,37.269795,
great-american-restaurants-sweetwater-tavern,"Great American Restaurants, Sweetwater Tavern",brewpub,14250 Sweetwater Ln,,,Centreville,Virginia,,20121-5336,http://www.greatamericanrestaurants.com,7034491100,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-77.43946496,38.82898546,
ono-brewing-company,Ono Brewing Company,micro,4520 Daly Dr Ste 102,,,Chantilly,Virginia,,20151-3735,http://www.onobrewco.com,5714096662,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-77.44370063,38.88327875,
jurnee-brewing-company,Jurnee Brewing Company,planning,,,,Chantilly,Virginia,,20152-2075,http://www.jurneebeers.com,,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
mustang-sally-brewing-co,Mustang Sally Brewing Co,micro,14140 Parke Long Ct # A-C,,,Chantilly,Virginia,,20151-4009,http://www.msbrewing.com,7033787450,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
reason-beer,Reason Beer,micro,1180 Seminole Trl Ste 290,,,Charlottesville,Virginia,,22901-5713,http://www.reasonbeer.com,4342494572,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-78.48603299999998,38.06792831,
three-notchd-sour-house,Three Notch'd Sour House,micro,520 2nd St SE,,,Charlottesville,Virginia,,22902-5794,http://threenotchdbrewing.com/,4349563141,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-78.4820248,38.0261159,
three-notchd-brewing-company,Three Notch'd Brewing Company,micro,520 2nd St SE,,,Charlottesville,Virginia,,22902-5794,,,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-78.4820248,38.0261159,
hardywood-park-craft-brewery-charlottesville,Hardywood Park Craft Brewery-Charlottesville,micro,1000 W Main St,,,Charlottesville,Virginia,,22903-3277,,4342343386,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-78.49505511,38.03257623,
random-row-brewing-co,Random Row Brewing Co.,micro,608 Preston Ave,,,Charlottesville,Virginia,,22903-4566,http://www.randomrow.com,4342848466,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-78.48712033,38.03470505,
south-street-brewery,South Street Brewery,brewpub,106 W South St Ste 202,,,Charlottesville,Virginia,,22902-3600,http://www.southstreetbrewery.com,4342936550,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
champion-brewing-company,Champion Brewing Company,micro,324 6th St SE,,,Charlottesville,Virginia,,22902-5655,http://www.championbrewingcompany.com,4342952739,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-78.4784691,38.0277402,
big-ugly-brewing-co,Big Ugly Brewing Co,micro,1296 Battlefield Blvd S,,,Chesapeake,Virginia,,23322-4378,http://www.biguglybrewing.com,7576092739,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-76.22847989,36.67862015,
black-narrows-brewing-company,Black Narrows Brewing Company,micro,4522 Chicken City Rd,,,Chincoteague,Virginia,,23336-2303,http://www.blacknarrowsbrewing.com,7869994877,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-75.36219281,37.93125647,
jack-masons-tavern-and-brewery,Jack Mason's Tavern and Brewery,brewpub,400 E Ridgeway St,,,Clifton Forge,Virginia,,24422-1327,http://www.jackmasonstavern.com,5408625624,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-79.82746218,37.81505479,
pro-re-nata-brewery,Pro Re Nata Brewery,micro,6135 Rockfish Gap Tpke,,,Crozet,Virginia,,22932-3325,http://www.prnbrewery.com,4348234878,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
starr-hill-brewery-llc,Starr Hill Brewery LLC,regional,5391 Three Notch D Rd,,,Crozet,Virginia,,22932-3181,http://www.starrhill.com,4348235671,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
beer-hound-brewery,Beer Hound Brewery,contract,201 Waters Pl Apt 102,,,Culpeper,Virginia,,22701-3102,,5403175327,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
far-gohn-brewing-company,Far Gohn Brewing Company,micro,301 S East St,,,Culpeper,Virginia,,22701-3105,http://www.fargohnbrewing.com,5404232089,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
old-house-vineyards,Old House Vineyards,micro,18351 Corkys Ln,,,Culpeper,Virginia,,22701,http://www.oldhousevineyards.com,5404231032,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
ballast-point-brewing-company,Ballast Point Brewing Company,large,555 International Pkwy,,,Daleville,Virginia,,24083-3028,,5405913059,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-79.91380298,37.43575624,
damascus-brewery,Damascus Brewery,micro,32173 Government Rd,,,Damascus,Virginia,,24236-,http://www.thedamascusbrewery.com,2764691069,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-81.80251841,36.63973356,
ballad-brewing,Ballad Brewing,micro,600 Craghead St,,,Danville,Virginia,,24541-1504,http://www.balladbrewing.com,8049250109,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-79.386371,36.584786,
2-witches-winery-and-brewing-company,2 Witches Winery and Brewing Company,micro,209 Trade St,,,Danville,Virginia,,24541-3545,http://www.2witcheswinebrew.com,4345492739,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-79.42125553,36.58590349,
barrel-oak-farm-taphouse,Barrel Oak Farm Taphouse,micro,3623 Grove Ln,,,Delaplane,Virginia,,20144-2226,http://www.barreloak.com,5403646402,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
ocelot-brewing-co,Ocelot Brewing Co,micro,23600 Overland Dr Ste 180,,,Dulles,Virginia,,20166-4441,http://www.ocelotbrewing.com,7036652146,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
solace-brewing-company,Solace Brewing Company,micro,42615 Trade West Dr Ste 100,,,Dulles,Virginia,,20166-2259,http://www.solacebrewing.com,7033455630,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
swover-creek-farm-brewery,Swover Creek Farm Brewery,micro,4176 Swover Creek Rd,,,Edinburg,Virginia,,22824-3744,http://www.swovercreekfarms.com,5409848973,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
millercoors-brewing-co-shenandoah-facility,MillerCoors Brewing Co - Shenandoah Facility,large,5135 South East Side Hwy,,,Elkton,Virginia,,22827-3469,http://www.coors.com,5402898201,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-78.68239615,38.35777975,
brewery-in-planning-fairfax,Brewery In Planning - Fairfax,planning,,,,Fairfax,Virginia,,22030,,,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
chubby-squirrel-brewing-company,Chubby Squirrel Brewing Company,brewpub,10382 Willard Way,,,Fairfax,Virginia,,22030-2508,http://www.chubbysquirrelbrewing.com,5405588040,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-77.30201557,38.84818941,
river-company-restaurant-and-brewery-inc-the,"River Company Restaurant & Brewery Inc, The",brewpub,6633 Viscoe Rd,,,Fairlawn,Virginia,,24141-6903,http://www.therivercompanybrewery.com,5406333940,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-80.54498015,37.14603579999999,
audacious-aleworks,Audacious Aleworks,micro,110 E Fairfax St,,,Falls Church,Virginia,,22046,,,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-77.17234359,38.88076482,
great-american-restaurants-sweetwater-tavern,"Great American Restaurants, Sweetwater Tavern",brewpub,3066 Gate House Plz,,,Falls Church,Virginia,,22042-1028,http://www.greatamericanrestaurants.com,7036458100,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
mad-fox-brewing-co,Mad Fox Brewing Co,brewpub,444 W Broad St Ste I,,,Falls Church,Virginia,,22046-3362,http://www.madfoxbrewing.com,7039426840,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
buffalo-mountain-brewery,Buffalo Mountain Brewery,micro,332 Webbs Mill Rd N,,,Floyd,Virginia,,24091,,,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-80.32462582,36.92079563,
apocalypse-ale-works,Apocalypse Ale Works,micro,1257 Burnbridge Rd,,,Forest,Virginia,,24551-3803,http://www.apocalypsebrewworks.com,4342588761,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-79.28917899,37.36302124,
the-oozlefinch-craft-brewery,The Oozlefinch Craft Brewery,micro,81 Patch Rd,,,Fort Monroe,Virginia,,23651-1052,http://www.oozlefinchbeers.com,7572247042,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
6-bears-and-a-goat-brewing-company-llc,"6 Bears & A Goat Brewing Company, LLC",brewpub,1140 International Pkwy,,,Fredericksburg,Virginia,,22406-1126,http://www.6bgbrewingco.com,54035690562,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
adventure-brewing-co,Adventure Brewing Co,micro,33 Perchwood Dr Ste 101,,,Fredericksburg,Virginia,,22405-4552,http://www.adventurebrewing.com,5402428876,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
adventure-south,Adventure South,brewpub,3300 Dill Smith Dr,,,Fredericksburg,Virginia,,22408-7319,http://www.adventurebrewing.com,5403717799,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
battlefield-brewing-co,Battlefield Brewing Co,brewpub,4187 Plank Rd,,,Fredericksburg,Virginia,,22407-4896,,5407852164,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
highmark-brewery,Highmark Brewery,micro,390 Kings Hwy,,,Fredericksburg,Virginia,,22405-3245,http://www.highmarkbrewery.com,7633007575,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-77.45511040000002,38.3053991,
maltese-brewing-company,Maltese Brewing Company,micro,11047 Pierson Dr Ste B,,,Fredericksburg,Virginia,,22408-2062,http://www.maltesebrewing.com,5406424512,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
red-dragon-brewery,Red Dragon Brewery,micro,1419 Princess Anne St,,,Fredericksburg,Virginia,,22401-3638,http://www.reddragonbrewery.com,,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-77.46312137,38.30737927,
spencer-devon-brewing,Spencer Devon Brewing,brewpub,106 George St,,,Fredericksburg,Virginia,,22401-5863,http://www.spencerdevonbrewing.com,5404798381,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-77.4587704,38.30272523,
strangeways-brewing-fxbg,Strangeways Brewing - FXBG,micro,350 Lansdowne Rd,,,Fredericksburg,Virginia,,22401-7351,,8043034336,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-77.45625316,38.27297555,
front-royal-brewing-company-llc,"Front Royal Brewing Company, LLC",brewpub,122 E Main St,,,Front Royal,Virginia,,22630-3337,http://www.frontroyalbrewing.com,5403610773,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-78.19199641,38.9180285,
tin-cannon-brewing-company,Tin Cannon Brewing Company,micro,7679 Limestone Dr Ste 130,,,Gainesville,Virginia,,20155-4041,http://www.tincannonbrewing.com,5712480489,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
creek-bottom-brewing,Creek Bottom Brewing,brewpub,307 N Meadow St,,,Galax,Virginia,,24333-3019,http://www.creekbottombrewing.com,2762362337,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-80.92094471,36.66708636,
intermission-beer-company-glen-allen,Intermission Beer Company,micro,10089 Brook Rd unit A,,,Glen Allen,Virginia,,23059,https://www.intermissionbeer.com/,8045850405,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
gloucester-brewing-company,Gloucester Brewing Company,planning,,,,Gloucester,Virginia,,23061,,,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
lickinghole-creek-craft-brewery,Lickinghole Creek Craft Brewery,micro,4100 Knolls Point Dr,,,Goochland,Virginia,,23063-2858,http://www.lickingholecreek.com,8043148717,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-78.00369659999998,37.74046720000001,
white-rock-vineyards-and-winery,White Rock Vineyards & Winery,micro,2117 Bruno Dr,,,Goodview,Virginia,,24095-2974,http://www.whiterockwines.com,5408903359,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-79.70797231,37.23145289,
bull-island-brewing-company,Bull Island Brewing Company,brewpub,758 Settlers Landing Rd,,,Hampton,Virginia,,23669-4035,http://www.bullislandbrewing.com,7577889489,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-76.34206545,37.02487345,
capstan-bar-brewing-company,Capstan Bar Brewing Company,micro,2036 Exploration Way,,,Hampton,Virginia,,23666-6260,http://www.capstanbarbrewing.com,7577887276,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-76.39947559999997,37.08233900000001,
the-st-george-brewing-company,The St. George Brewing Company,micro,204 Challenger Way,,,Hampton,Virginia,,23666-1365,http://www.stgbeer.com,7578657781,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-76.39442194,37.09992525,
the-vanguard-brewpub-and-distillery,The Vanguard Brewpub & Distillery,brewpub,504 N King St,,,Hampton,Virginia,,23669-3057,http://www.thevanguard757.com,7576408100,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-76.34538304,37.03124955,
sunken-city-brewing-co,Sunken City Brewing Co,micro,40 Brewery Dr,,,Hardy,Virginia,,24101-1100,http://www.sunkencitybeer.com,5404200476,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
restless-moons-brewing,Restless Moons Brewing,micro,120 W Wolfe St,,,Harrisonburg,Virginia,,22802-3815,http://www.restlessmoons.com,5402172726,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-78.87084726,38.45189522,
brothers-craft-brewing,Brothers Craft Brewing,micro,800 N Main St,,,Harrisonburg,Virginia,,22802-4625,http://www.brotherscraftbrewing.com,5404216599,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-78.861099,38.45757,
three-notchd-valley-collab-house,Three Notch'd Valley Collab House,micro,241 E Market St,,,Harrisonburg,Virginia,,22801,,4342930610,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-78.86549649999998,38.4487621,
pale-fire-brewing-co,Pale Fire Brewing Co,micro,217 S Liberty St Ste 105,,,Harrisonburg,Virginia,,22801-3675,http://www.palefirebrewing.com,5402175452,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
final-gravity-brewing-co,Final Gravity Brewing Co.,micro,6118 Lakeside Ave,,,Henrico,Virginia,,23228,,8042644808,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,-77.46933476,37.61145549,
aslin-beer-company,Aslin Beer Company,micro,257 Sunset Park Dr.,,,Herndon,Virginia,,20170,http://www.aslinbeer.com,7037875766,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
griffin-owens-insurance-group,Griffin Owens Insurance Group,planning,,,,Herndon,Virginia,,20170-4609,http://www.griffinowens.com,7034710050,2018-07-24 01:34:37,2018-07-24 01:34:37,United States,,,
