id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
dobra-zupas,Dobra Zupas,brewpub,600 S Oakwood Ave,,,Beckley,West Virginia,,25801-5928,http://www.dobrazupas.com,3042539872,2018-07-24 01:34:34,2018-08-24 16:41:23,United States,-81.196413,37.770874,
berkeley-springs-brewing-co,Berkeley Springs Brewing Co,brewpub,110 Michigan Ln,,,Berkeley Springs,West Virginia,,25411-3008,http://www.berkeleyspringsbrewingcompany.com,3042583369,2018-07-24 01:34:34,2018-08-11 21:40:29,United States,,,
screech-owl-brewing,Screech Owl Brewing,micro,2323 Ralph Livengood Rd,,,Bruceton Mills,West Virginia,,26525-5889,http://www.screechowlbrewing.com,3043794777,2018-07-24 01:34:34,2018-08-11 21:40:29,United States,,,
abolitionist-ale-works,Abolitionist Ale Works,brewpub,129 W Washington St,,,Charles Town,West Virginia,,25414-1529,http://www.abolitionistaleworks.com,6812521548,2018-07-24 01:34:34,2018-08-24 16:41:07,United States,-77.8607888,39.28867207,
mash-brewing-company,Mash Brewing Company,micro,122 N George St,,,Charles Town,West Virginia,,25414-1502,http://www.mashbrewingcompany.com,6812521788,2018-07-24 01:34:34,2018-08-24 16:41:26,United States,-77.86015133,39.28926882,
bad-shepherd-beer-company,Bad Shepherd Beer Company,brewpub,702 Quarrier St,,,Charleston,West Virginia,,25301-2627,http://www.blacksheepwv.com,3045527569,2018-07-24 01:34:34,2018-08-24 16:41:09,United States,-81.63612015,38.35094943,
weathered-ground-brewery,Weathered Ground Brewery,micro,2027 Flat Top Rd,,,Cool Ridge,West Virginia,,25843-9303,http://www.weatheredgroundbrewery.com,3047166230,2018-07-24 01:34:34,2018-08-24 16:41:42,United States,-81.09682583,37.64833857,
blackwater-brewing-co,Blackwater Brewing Co,micro,912 William Ave,,,Davis,West Virginia,,26260-0356,http://www.BlackwaterBrewingWV.com,3042098118,2018-07-24 01:34:34,2018-08-24 16:41:15,United States,-79.4695264,39.1274943,
stumptown-ales,Stumptown Ales,micro,390 William Ave,,,Davis,West Virginia,,26260,http://www.stumptownales.com,3042595570,2018-07-24 01:34:34,2018-08-24 16:41:39,United States,-79.4646754,39.12899878,
big-timber-brewing,Big Timber Brewing,micro,1210 S Davis Ave,,,Elkins,West Virginia,,26241-3437,http://www.bigtimberbrewing.com,3046375008,2018-07-24 01:34:34,2018-08-24 16:41:13,United States,-79.85143109,38.91765609,
brewstel,Brewstel,micro,120 Davis Ave,,,Elkins,West Virginia,,26241-3812,http://www.brewstel.com,3049974769,2018-07-24 01:34:34,2018-08-24 16:41:18,United States,-79.849588,38.923407,
banjo-brewing,Banjo Brewing,planning,,,,Fayetteville,West Virginia,,25840,,3042164231,2018-07-24 01:34:34,2018-08-11 21:40:29,United States,,,
bridge-brew-works,Bridge Brew Works,micro,335 Nick Rahall Greenway,,,Fayetteville,West Virginia,,25840-1617,http://www.bridgebrewworks.com,3042822201,2018-07-24 01:34:34,2018-08-11 21:40:29,United States,,,
eight-rivers-brewery,Eight Rivers Brewery,planning,,,,Hillsboro,West Virginia,,24946-0039,,2022513083,2018-07-24 01:34:34,2018-08-11 21:40:29,United States,,,
the-peddler,The Peddler,brewpub,835 3rd Ave,,,Huntington,West Virginia,,25701,,3046910415,2018-07-24 01:34:34,2018-08-24 16:41:40,United States,-82.44527196,38.42165769,
greenbrier-valley-brewing-co,Greenbrier Valley Brewing Co,micro,862 Industrial Park Rd Ste A,,,Maxwelton,West Virginia,,24957,http://www.gvbeer.com,3045204669,2018-07-24 01:34:34,2018-08-11 21:40:29,United States,,,
brewery-in-planning-morgantown-wv,"Brewery in Planning - Morgantown, WV",planning,,,,Morgantown,West Virginia,,26501,http://www.BeertopiaWV.com,3044764871,2018-07-24 01:34:34,2018-08-11 21:40:29,United States,,,
chestnut-brew-works,Chestnut Brew Works,micro,444 Brockway Ave,,,Morgantown,West Virginia,,26501,http://www.chestnutbrewworks.com,3042762737,2018-07-24 01:34:34,2018-08-24 16:41:21,United States,-79.9507513,39.6272755,
morgantown-brewing-co,Morgantown Brewing Co,brewpub,1291 University Ave,,,Morgantown,West Virginia,,26505-5450,http://www.morgantownbrewing.com,3042926959,2018-07-24 01:34:34,2018-08-24 16:41:28,United States,-79.9579978,39.6305115,
north-end-tavern-and-brewery,North End Tavern & Brewery,brewpub,3500 Emerson Ave,,,Parkersburg,West Virginia,,26104-1806,http://www.netbrewery.com,3044285854,2018-07-24 01:34:34,2018-08-24 16:41:31,United States,-81.53300809999998,39.28745120000001,
parkersburg-brewing-co,Parkersburg Brewing Co,brewpub,707 Market St,,,Parkersburg,West Virginia,,26101-4628,http://www.parkersburgbrewing.com,3049161502,2018-07-24 01:34:34,2018-08-24 16:41:33,United States,-81.55823029,39.26705857,
sophisticated-hound-brewing-company,Sophisticated Hound Brewing Company,micro,,,,Princeton,West Virginia,,24739,,,2018-07-24 01:34:34,2018-08-11 21:40:30,United States,,,
rippon-brewing-company,Rippon Brewing Company,planning,,,,Rippon,West Virginia,,25441,http://www.ripponbrewing.com,3048392263,2018-07-24 01:34:34,2018-08-11 21:40:29,United States,,,
short-story-brewing,Short Story Brewing,brewpub,5904 Fairmont Rd,,,Rivesville,West Virginia,,26588-8844,http://www.shortstorybrewing.com,3049332165,2018-07-24 01:34:34,2018-08-11 21:40:30,United States,,,
bavarian-brothers-brewing,Bavarian Brothers Brewing,planning,,,,Shepherdstown,West Virginia,,25443-4601,,3048762551,2018-07-24 01:34:34,2018-08-11 21:40:29,United States,,,
old-spruce-brewing,Old Spruce Brewing,planning,,,,Snowshoe,West Virginia,,26209,http://www.oldsprucetavern.com,3045721020,2018-07-24 01:34:34,2018-08-11 21:40:29,United States,,,
bannings-inc,Banning's Inc,micro,620 Water St,,,Summersville,West Virginia,,26651-1453,,3046196972,2018-07-24 01:34:34,2018-08-24 16:41:10,United States,-80.85147552,38.281623,
mountain-state-brewing-co,Mountain State Brewing Co,micro,1 Nelson Blvd,,,Thomas,West Virginia,,26292,http://www.mountainstatebrewing.com,3044634500,2018-07-24 01:34:34,2018-08-24 16:41:29,United States,-79.498521,39.142037,
pubstomper-brewing-company,Pubstomper Brewing Company,proprietor,132 Tower Ln,,,Westover,West Virginia,,26501-4506,http://www.pubstomperbrewing.com,3046850996,2018-07-24 01:34:34,2018-08-24 16:41:34,United States,-79.96183033,39.63624754,
brew-keepers,Brew Keepers,micro,2200 Main St,,,Wheeling,West Virginia,,26003-2866,,7248098968,2018-07-24 01:34:34,2018-08-24 16:41:17,United States,-80.724448,40.060033,
wheeling-brewing-co,Wheeling Brewing Co,brewpub,2247 Market St,,,Wheeling,West Virginia,,26003-3839,http://www.wheelingbrewing.com,3049058757,2018-07-24 01:34:34,2018-08-24 16:41:44,United States,-80.72429082,40.05925145,
